,PM,MO,ABBV,T,VZ,PFE,CSCO,KO,IBM,AVGO,MMM,C,GILD,USB,DUK,TFC,SO,DOW,KHC,BX,KMB,MET,D,GIS,EXC,AEP,LUMN,HPQ,PPL,K,FITB,PEG,PSA,CCI,FE,IP,ED,EIX,RF,ETR,DTE,AM,BEN,OMC,SJM,MTB,AGR,CAH,NTAP,IPG,EVRG,NWL,BKR,FNF,CNA,FANG,ARES,WSO,FHN,EQR,AVB,PBCT,O,WU,PNW,EXR,IRM,NRG,UGI,TFSL,NI,NYCB,ORI,OGE,OMF,GLPI,JNPR,PEAK,MDU,APAM,VICI,HRB,MCY,UNM,HBI,FLO,SNV,LEG,BXP,ESS,FAF,VLY,OLN,NAVI,CFR,UMPQ,WisdomTree US Total Dividend ETF,CC,UBSI,R,MPW,XRX,VGR,UDR,NFG,CUBE,OZK,INGR,BGS,WBS,KTB,CCOI,FHB,CPT,ISBC,POR,MC,HE,NNN,BKH,ANAT,NJR,GCMG,STOR,ALE,SR,MSM,RCII,PPBI,KIM,VIRT,CMP,ASB,SJI,BRX,COR,SWX,CATY,NWE,FHI,SLG,AVA,MDC,SRC,FFBC,RILY,BOH,CBT,LSI,NWBI,ACC,HTA,WSBC,SFNC,STAG,SBRA,CVBF,FULT,ONB,PDCO,PFS,COLB,BKE,AUB,TDS,HOPE,HR,HIW,JW.A,UVV,AROC,DLX,IBOC,KRO,WAFD,SAFT,HCSG,RGR,LXP,NSA,SASR,DEI,PRK,GEF/B,PCH,BANR,CUZ,DOC,RYN,NHI,CFFN,OTTR,FIBK,TRMK,NWN,CHCO,HNI,HPP,CWEN.A,SWM,ILPT,Greif Inc Class B,BDN,SUM
07/09/2021,5.72,5.36,5.25,4.57,4.54,4.54,4.08,3.98,3.64,3.37,3.25,2.82,2.16,1.76,1.71,1.61,1.53,1.36,1.29,1.24,1.2,1.18,1.13,1.05,0.91,0.84,0.82,0.79,0.71,0.67,0.6,0.59,0.59,0.58,0.58,0.56,0.56,0.49,0.43,0.42,0.41,0.4,0.4,0.39,0.39,0.36,0.35,0.34,0.32,0.31,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,98.15
07/12/2021,5.67,5.31,5.36,4.56,4.57,4.52,4.09,4.01,3.66,3.4,3.27,2.74,2.15,1.73,1.74,1.55,1.54,1.34,1.28,1.26,1.22,1.16,1.16,1.07,0.91,0.85,0.81,0.78,0.72,0.68,0.58,0.6,0.6,0.6,0.59,0.57,0.58,0.5,0.42,0.43,0.42,0.39,0.4,0.38,0.39,0.36,0.35,0.33,0.32,0.3,0.3,0.28,0.27,0.28,0.27,0.23,0.26,0.26,0.24,0.25,0.24,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,98.2
07/13/2021,5.67,5.31,5.36,4.56,4.57,4.52,4.09,4.01,3.66,3.4,3.27,2.74,2.15,1.73,1.74,1.55,1.54,1.34,1.28,1.26,1.22,1.16,1.16,1.07,0.91,0.85,0.81,0.78,0.72,0.68,0.58,0.6,0.6,0.6,0.59,0.57,0.58,0.5,0.42,0.43,0.42,0.39,0.4,0.38,0.39,0.36,0.35,0.33,0.32,0.3,0.3,0.28,0.27,0.28,0.27,0.23,0.26,0.26,0.24,0.25,0.24,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,98.2
07/14/2021,5.68,5.35,5.32,4.45,4.51,4.53,4.1,4.0,3.68,3.46,3.27,2.74,2.13,1.75,1.74,1.58,1.53,1.35,1.28,1.26,1.2,1.15,1.15,1.05,0.9,0.84,0.81,0.77,0.72,0.68,0.6,0.59,0.6,0.6,0.58,0.57,0.57,0.5,0.42,0.42,0.43,0.4,0.4,0.39,0.39,0.36,0.35,0.34,0.32,0.31,0.3,0.29,0.27,0.28,0.27,0.23,0.25,0.26,0.24,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,98.16
07/15/2021,5.68,5.35,5.32,4.45,4.51,4.53,4.1,4.0,3.68,3.46,3.27,2.74,2.13,1.75,1.74,1.58,1.53,1.35,1.28,1.26,1.2,1.15,1.15,1.05,0.9,0.84,0.81,0.77,0.72,0.68,0.6,0.59,0.6,0.6,0.58,0.57,0.57,0.5,0.42,0.42,0.43,0.4,0.4,0.39,0.39,0.36,0.35,0.34,0.32,0.31,0.3,0.29,0.27,0.28,0.27,0.23,0.25,0.26,0.24,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,98.16
07/16/2021,5.62,5.35,5.36,4.45,4.51,4.53,4.06,3.99,3.66,3.49,3.24,2.78,2.12,1.76,1.75,1.59,1.53,1.35,1.27,1.29,1.2,1.16,1.15,1.04,0.91,0.84,0.8,0.75,0.72,0.67,0.6,0.59,0.61,0.6,0.58,0.57,0.57,0.5,0.43,0.42,0.43,0.4,0.4,0.38,0.39,0.36,0.35,0.34,0.31,0.3,0.3,0.29,0.28,0.28,0.26,0.23,0.25,0.26,0.24,0.25,0.25,0.22,0.23,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,98.17
07/19/2021,5.7,5.38,5.37,4.43,4.54,4.57,4.14,4.14,3.64,3.48,3.3,2.74,2.12,1.75,1.77,1.56,1.54,1.33,1.25,1.25,1.21,1.14,1.15,1.04,0.91,0.85,0.79,0.73,0.71,0.67,0.59,0.59,0.61,0.6,0.58,0.57,0.57,0.49,0.42,0.42,0.43,0.38,0.38,0.38,0.39,0.35,0.36,0.33,0.31,0.3,0.3,0.29,0.26,0.27,0.26,0.22,0.25,0.25,0.24,0.26,0.25,0.22,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.09,0.07,0.07,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,98.16
07/20/2021,5.66,5.36,5.38,4.45,4.55,4.62,4.11,4.16,3.62,3.38,3.25,2.69,2.15,1.76,1.81,1.56,1.57,1.29,1.26,1.3,1.24,1.13,1.18,1.06,0.93,0.87,0.76,0.71,0.72,0.68,0.57,0.6,0.61,0.6,0.59,0.55,0.59,0.5,0.41,0.43,0.44,0.37,0.37,0.37,0.4,0.34,0.36,0.33,0.3,0.29,0.32,0.29,0.25,0.28,0.26,0.21,0.25,0.25,0.22,0.26,0.25,0.21,0.23,0.22,0.23,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.2,0.18,0.17,0.18,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.13,0.12,0.14,0.12,0.12,0.24,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.09,0.07,0.07,0.07,0.08,0.08,0.07,0.08,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,98.14
07/21/2021,5.66,5.36,5.38,4.45,4.55,4.62,4.11,4.16,3.62,3.38,3.25,2.69,2.15,1.76,1.81,1.56,1.57,1.29,1.26,1.3,1.24,1.13,1.18,1.06,0.93,0.87,0.76,0.71,0.72,0.68,0.57,0.6,0.61,0.6,0.59,0.55,0.59,0.5,0.41,0.43,0.44,0.37,0.37,0.37,0.4,0.34,0.36,0.33,0.3,0.29,0.32,0.29,0.25,0.28,0.26,0.21,0.25,0.25,0.22,0.26,0.25,0.21,0.23,0.22,0.23,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.2,0.18,0.17,0.18,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.13,0.12,0.14,0.12,0.12,0.24,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.09,0.07,0.07,0.07,0.08,0.08,0.07,0.08,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,98.14
07/22/2021,5.66,5.36,5.38,4.45,4.55,4.62,4.11,4.16,3.62,3.38,3.25,2.69,2.15,1.76,1.81,1.56,1.57,1.29,1.26,1.3,1.24,1.13,1.18,1.06,0.93,0.87,0.76,0.71,0.72,0.68,0.57,0.6,0.61,0.6,0.59,0.55,0.59,0.5,0.41,0.43,0.44,0.37,0.37,0.37,0.4,0.34,0.36,0.33,0.3,0.29,0.32,0.29,0.25,0.28,0.26,0.21,0.25,0.25,0.22,0.26,0.25,0.21,0.23,0.22,0.23,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.2,0.18,0.17,0.18,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.13,0.12,0.14,0.12,0.12,0.24,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.09,0.07,0.07,0.07,0.08,0.08,0.07,0.08,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,98.14
