,United States Treasury Bills 0.01%,CMBR 0 08/19/21,USFR,S+p 500 Index Jul21 4175 Put,CMBR 0 08/26/21,B 0 08/26/21,Option on S&P 500 Index Aug21,B 0 11/18/21,B 0 11/26/21,n/a,SUM
07/09/2021,83.36,11.28,5.52,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,11.28,0.0,5.52,-0.11,83.31,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,11.28,0.0,5.52,-0.11,83.31,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,11.27,0.0,5.51,-0.07,83.28,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,11.27,0.0,5.51,-0.02,83.24,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,11.27,0.0,5.51,-0.01,0.0,83.23,0.0,0.0,0.0,0.0,100.0
07/20/2021,11.27,0.0,5.51,0.0,0.0,83.22,0.0,0.0,0.0,0.0,100.0
07/21/2021,11.27,0.0,5.51,0.0,0.0,83.22,0.0,0.0,0.0,0.0,100.0
07/22/2021,11.27,0.0,5.51,0.0,0.0,83.22,0.0,0.0,0.0,0.0,100.0
07/23/2021,11.27,0.0,5.51,0.0,0.0,83.22,0.0,0.0,0.0,0.0,100.0
07/26/2021,11.48,0.0,5.61,0.0,0.0,84.81,-1.9,0.0,0.0,0.0,100.0
07/27/2021,11.41,0.0,5.58,0.0,0.0,84.26,-1.24,0.0,0.0,0.0,100.01
07/28/2021,11.41,0.0,5.58,0.0,0.0,84.26,-1.24,0.0,0.0,0.0,100.01
07/29/2021,11.41,0.0,5.58,0.0,0.0,84.26,-1.24,0.0,0.0,0.0,100.01
07/30/2021,11.39,0.0,5.57,0.0,0.0,84.14,-1.1,0.0,0.0,0.0,100.0
08/02/2021,11.41,0.0,5.58,0.0,0.0,84.25,-1.23,0.0,0.0,0.0,100.01
08/04/2021,11.41,0.0,5.58,0.0,0.0,84.25,-1.23,0.0,0.0,0.0,100.01
08/05/2021,11.41,0.0,5.58,0.0,0.0,84.25,-1.23,0.0,0.0,0.0,100.01
09/07/2021,0.0,0.0,4.7,0.0,0.0,0.0,0.0,70.37,25.2,-0.27,100.0
09/08/2021,0.0,0.0,4.7,0.0,0.0,0.0,0.0,70.37,25.2,-0.27,100.0
09/09/2021,0.0,0.0,4.7,0.0,0.0,0.0,0.0,70.37,25.2,-0.27,100.0
09/10/2021,0.0,0.0,4.7,0.0,0.0,0.0,0.0,70.37,25.2,-0.27,100.0
09/13/2021,0.0,0.0,4.7,0.0,0.0,0.0,0.0,70.36,25.2,-0.26,100.0
09/14/2021,0.0,0.0,4.72,0.0,0.0,0.0,0.0,70.65,25.3,-0.67,100.0
09/15/2021,0.0,0.0,4.72,0.0,0.0,0.0,0.0,70.65,25.3,-0.67,100.0
09/16/2021,0.0,0.0,4.72,0.0,0.0,0.0,0.0,70.65,25.3,-0.67,100.0
09/17/2021,0.0,0.0,4.7,0.0,0.0,0.0,0.0,70.43,25.22,-0.36,99.99
09/20/2021,0.0,0.0,4.69,0.0,0.0,0.0,0.0,70.23,25.15,-0.08,99.99
09/21/2021,0.0,0.0,4.69,0.0,0.0,0.0,0.0,70.18,25.13,0.0,100.0
09/22/2021,0.0,0.0,4.69,0.0,0.0,0.0,0.0,70.18,25.13,0.0,100.0
09/23/2021,0.0,0.0,4.69,0.0,0.0,0.0,0.0,70.18,25.13,0.0,100.0
09/24/2021,0.0,0.0,4.69,0.0,0.0,0.0,0.0,70.18,25.13,0.0,100.0
09/27/2021,0.0,0.0,4.79,0.0,0.0,0.0,0.0,71.77,25.7,-2.26,100.0
09/28/2021,0.0,0.0,4.74,0.0,0.0,0.0,0.0,71.04,25.44,-1.23,99.99
09/29/2021,0.0,0.0,4.74,0.0,0.0,0.0,0.0,71.04,25.44,-1.23,99.99
