,2899 HK,914 HK,3323.HK,600309 C1,1772 HK,1378.HK,2600 HK,2689.HK,358 HK,1313.HK,3993 HK,002812 C2,002493 C2,600346 C1,002460 C2,603799 C1,600019 C1,2314.HK,1818.HK,1787 HK,603993 C1,603659 C1,1208.HK,600111 C1,600585 C1,600426 C1,601600 C1,600010 C1,002601 C2,600547 C1,600176 C1,601233 C1,002709 C2,600362 C1,601899 C1,000703 C2,002340 C2,600219 C1,601216 C1,300285 C2,600489 C1,600352 C1,000825 C2,000932 C2,600486 C1,600989 C1,300699 C2,002078 C2,600549 C1,000630 C2,600160 C1,002010 C2,000709 C2,603737 C1,600143 C1,000975 C2,600688 C1,002075 C2,000629 C2,600801 C1,601992 C1,002683 C2,002080 C2,300037 C2,002409 C2,000401 C2,002648 C2,002541 C2,002064 C2,000830 C2,600392 C1,000301 C2,600988 C1,000807 C2,2798.HK,CASH,246 HK,67 HK,n/a,SUM
07/09/2021,8.21,7.08,5.67,4.52,4.41,3.6,3.15,3.12,3.09,2.95,2.87,2.6,2.24,2.06,1.98,1.93,1.91,1.62,1.49,1.37,1.37,1.36,1.33,1.2,1.09,1.05,1.02,1.02,0.99,0.98,0.89,0.83,0.78,0.76,0.76,0.75,0.74,0.71,0.7,0.7,0.69,0.68,0.65,0.64,0.62,0.6,0.59,0.57,0.57,0.55,0.55,0.5,0.5,0.49,0.48,0.47,0.44,0.44,0.41,0.39,0.39,0.36,0.32,0.31,0.3,0.3,0.29,0.28,0.26,0.26,0.25,0.25,0.19,0.19,0.18,0.1,0.0,0.0,0.0,99.96
07/12/2021,7.95,6.88,5.65,4.56,4.53,3.45,2.99,3.06,3.0,2.96,3.1,2.69,2.11,1.96,2.09,2.06,1.94,1.54,1.42,1.33,1.51,1.64,1.29,1.39,1.06,1.08,1.01,1.09,0.94,0.96,0.9,0.84,0.79,0.74,0.72,0.74,0.79,0.71,0.68,0.72,0.66,0.66,0.64,0.65,0.61,0.56,0.64,0.56,0.64,0.55,0.55,0.49,0.48,0.5,0.48,0.46,0.43,0.39,0.41,0.39,0.38,0.36,0.34,0.33,0.34,0.29,0.29,0.26,0.26,0.26,0.28,0.28,0.19,0.19,0.17,0.13,0.0,0.0,0.0,99.97
07/13/2021,7.95,6.88,5.65,4.56,4.53,3.45,2.99,3.06,3.0,2.96,3.1,2.69,2.11,1.96,2.09,2.06,1.94,1.54,1.42,1.33,1.51,1.64,1.29,1.39,1.06,1.08,1.01,1.09,0.94,0.96,0.9,0.84,0.79,0.74,0.72,0.74,0.79,0.71,0.68,0.72,0.66,0.66,0.64,0.65,0.61,0.56,0.64,0.56,0.64,0.55,0.55,0.49,0.48,0.5,0.48,0.46,0.43,0.39,0.41,0.39,0.38,0.36,0.34,0.33,0.34,0.29,0.29,0.26,0.26,0.26,0.28,0.28,0.19,0.19,0.17,0.13,0.0,0.0,0.0,99.97
07/14/2021,7.99,6.63,5.52,4.63,4.58,3.48,3.08,2.97,3.02,2.87,3.27,2.7,2.05,1.86,2.15,2.13,1.93,1.51,1.39,1.32,1.56,1.49,1.32,1.5,1.03,1.09,1.09,1.18,0.96,0.95,0.89,0.83,0.85,0.77,0.74,0.73,0.85,0.73,0.68,0.68,0.66,0.64,0.66,0.66,0.59,0.57,0.63,0.54,0.69,0.56,0.56,0.47,0.48,0.49,0.47,0.45,0.43,0.34,0.42,0.38,0.37,0.34,0.33,0.33,0.33,0.28,0.28,0.25,0.27,0.26,0.3,0.29,0.19,0.19,0.16,0.12,0.0,0.0,0.0,99.98
07/15/2021,7.97,6.63,5.38,4.61,4.83,3.35,3.01,2.91,3.04,2.82,3.16,2.83,2.11,1.88,2.31,2.29,1.87,1.48,1.34,1.27,1.58,1.6,1.29,1.6,1.0,1.08,1.04,1.22,0.96,0.91,0.91,0.84,0.82,0.76,0.74,0.71,0.86,0.72,0.67,0.69,0.64,0.63,0.66,0.66,0.58,0.59,0.62,0.53,0.69,0.55,0.58,0.5,0.47,0.48,0.47,0.44,0.41,0.3,0.42,0.37,0.36,0.34,0.33,0.37,0.32,0.27,0.29,0.24,0.25,0.26,0.3,0.31,0.18,0.19,0.16,0.12,0.0,0.0,0.0,99.97
07/16/2021,7.98,6.61,5.36,4.59,4.83,3.42,3.05,2.91,3.01,2.82,3.02,2.79,2.12,1.87,2.35,2.23,1.87,1.45,1.37,1.26,1.5,1.44,1.29,1.63,1.0,1.06,1.05,1.35,0.96,0.9,0.94,0.86,0.86,0.76,0.73,0.72,0.89,0.79,0.67,0.69,0.64,0.63,0.68,0.66,0.59,0.59,0.6,0.54,0.67,0.56,0.6,0.53,0.48,0.49,0.46,0.44,0.42,0.28,0.43,0.37,0.36,0.36,0.32,0.38,0.31,0.27,0.29,0.24,0.25,0.27,0.29,0.3,0.18,0.2,0.17,0.13,0.0,0.0,0.0,99.98
07/19/2021,7.89,6.68,5.36,4.67,4.9,3.26,2.91,2.94,2.93,2.82,3.08,2.88,2.27,2.05,2.31,2.12,1.96,1.45,1.35,1.19,1.53,1.41,1.26,1.74,0.99,1.06,1.01,1.38,0.97,0.82,0.92,0.89,0.77,0.76,0.72,0.73,0.84,0.82,0.67,0.7,0.63,0.61,0.76,0.68,0.59,0.59,0.56,0.53,0.7,0.55,0.63,0.49,0.49,0.46,0.48,0.44,0.41,0.28,0.44,0.36,0.36,0.35,0.33,0.35,0.3,0.28,0.29,0.25,0.26,0.27,0.3,0.31,0.18,0.2,0.15,0.13,0.0,0.0,0.0,100.0
07/20/2021,7.89,6.68,5.36,4.67,4.9,3.26,2.91,2.94,2.93,2.82,3.08,2.88,2.27,2.05,2.31,2.12,1.96,1.45,1.35,1.19,1.53,1.41,1.26,1.74,0.99,1.06,1.01,1.38,0.97,0.82,0.92,0.89,0.77,0.76,0.72,0.73,0.84,0.82,0.67,0.7,0.63,0.61,0.76,0.68,0.59,0.59,0.56,0.53,0.7,0.55,0.63,0.49,0.49,0.46,0.48,0.44,0.41,0.28,0.44,0.36,0.36,0.35,0.33,0.35,0.3,0.28,0.29,0.25,0.26,0.27,0.3,0.31,0.18,0.2,0.15,0.13,0.0,0.0,0.0,100.0
07/21/2021,7.94,6.65,5.43,4.52,4.94,3.37,3.01,2.98,2.97,2.85,3.06,2.6,2.39,2.02,2.28,2.07,1.95,1.46,1.34,1.2,1.54,1.32,1.25,1.66,0.99,1.06,1.05,1.33,0.97,0.83,0.94,0.91,0.72,0.77,0.72,0.73,0.85,0.84,0.68,0.69,0.63,0.64,0.82,0.7,0.57,0.6,0.57,0.54,0.67,0.56,0.65,0.49,0.49,0.45,0.5,0.44,0.4,0.28,0.44,0.36,0.36,0.35,0.32,0.33,0.29,0.28,0.29,0.24,0.27,0.29,0.32,0.33,0.18,0.21,0.15,0.13,0.0,0.0,0.0,100.02
07/22/2021,7.89,6.56,5.49,4.55,5.1,3.39,3.15,2.99,2.9,2.84,3.05,2.54,2.35,2.0,2.33,2.0,1.94,1.46,1.33,1.23,1.57,1.3,1.21,1.72,0.98,1.03,1.06,1.32,0.97,0.83,0.93,0.92,0.69,0.77,0.72,0.73,0.84,0.84,0.68,0.71,0.63,0.63,0.82,0.7,0.61,0.63,0.55,0.53,0.68,0.57,0.64,0.49,0.5,0.46,0.5,0.42,0.38,0.28,0.44,0.35,0.36,0.35,0.31,0.32,0.31,0.28,0.29,0.24,0.26,0.28,0.31,0.3,0.18,0.21,0.15,0.14,0.0,0.0,0.0,100.01
