,3690.HK,D05.SI,BABA,DNB.OL,FERG.L,BAER.SW,JD,NTB,DANSKE.CO,SU.PA,1299.HK,005930.KS,8035.T,EDU,081660.KS,NPN.JO,BIDU,HOLI,IQ,TAL,SLGN,ROG.SW,NOAH,BNR.DE,NVSN.MX,TCOM,SLGN.1,1024.HK,DIDI,300888.SZ,PRX.AS,2318.HK,MTRO.L,SUM
07/09/2021,6.77,5.84,5.75,5.5,5.26,5.25,5.12,5.01,5.0,4.99,4.91,4.78,4.17,4.09,3.96,3.87,2.76,2.66,2.64,2.07,2.05,1.9,1.54,1.51,1.47,0.85,0.25,0.03,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,6.53,5.89,5.55,5.57,5.48,5.18,5.04,5.12,5.19,5.22,5.02,4.83,4.3,4.0,3.78,3.68,2.59,2.76,2.38,2.42,0.0,1.97,1.68,1.61,1.51,0.79,0.0,0.02,1.62,0.25,0.0,0.0,0.0,99.98
07/15/2021,6.48,5.9,5.53,5.68,5.52,5.25,5.01,5.15,5.15,5.25,4.92,4.81,4.26,4.1,3.78,3.67,2.58,2.83,2.36,2.44,0.0,1.99,1.67,1.61,1.51,0.78,0.0,0.02,1.5,0.25,0.0,0.0,0.0,100.0
07/16/2021,6.63,5.9,5.59,5.46,5.47,5.19,5.18,4.95,5.06,5.17,5.02,4.77,4.18,4.29,3.76,3.6,2.61,2.77,2.34,2.67,0.0,1.96,1.63,1.6,1.49,0.78,0.0,0.02,1.65,0.25,0.0,0.0,0.0,99.98999999999998
07/19/2021,6.43,5.73,5.64,5.15,5.24,5.08,5.13,4.9,4.96,5.02,4.89,4.76,4.14,4.22,3.67,3.73,2.59,2.7,2.24,2.69,0.0,1.92,1.59,1.58,1.45,0.75,0.0,0.02,1.62,0.25,1.14,0.76,0.0,99.99
07/20/2021,6.49,5.81,5.61,5.02,5.26,5.05,5.08,4.8,4.93,4.98,4.93,4.76,4.09,4.01,3.7,3.82,2.52,2.7,2.18,2.45,0.0,1.96,1.59,1.59,1.47,0.73,0.0,0.02,1.58,0.25,1.58,1.05,0.0,100.01
07/21/2021,6.49,5.81,5.61,5.02,5.26,5.05,5.08,4.8,4.93,4.98,4.93,4.76,4.09,4.01,3.7,3.82,2.52,2.7,2.18,2.45,0.0,1.96,1.59,1.59,1.47,0.73,0.0,0.02,1.58,0.25,1.58,1.05,0.0,100.01
07/22/2021,6.49,5.81,5.61,5.02,5.26,5.05,5.08,4.8,4.93,4.98,4.93,4.76,4.09,4.01,3.7,3.82,2.52,2.7,2.18,2.45,0.0,1.96,1.59,1.59,1.47,0.73,0.0,0.02,1.58,0.25,1.58,1.05,0.0,100.01
07/23/2021,6.27,5.78,5.63,4.8,5.22,5.12,5.02,4.76,4.84,5.01,4.85,4.76,4.1,3.88,3.66,3.76,2.52,2.81,2.21,2.39,0.0,1.95,1.61,1.6,1.46,0.7,0.0,0.02,1.5,0.23,1.55,1.99,0.0,100.0
07/26/2021,6.22,5.8,5.65,4.16,5.29,5.17,5.09,4.71,4.99,5.08,4.91,4.7,4.03,3.98,3.62,3.83,2.51,2.82,2.15,2.53,0.0,1.87,1.59,1.6,1.46,0.69,0.0,0.02,1.35,0.23,1.58,2.38,0.0,100.00999999999998
07/27/2021,6.28,6.1,5.75,4.32,5.61,5.48,5.11,5.01,5.03,5.45,5.1,4.98,4.35,1.92,3.84,3.93,2.56,2.96,2.11,0.78,0.0,1.99,1.64,1.7,1.55,0.69,0.0,0.02,1.12,0.25,1.63,2.74,0.0,100.0
07/28/2021,6.28,6.1,5.75,4.32,5.61,5.48,5.11,5.01,5.03,5.45,5.1,4.98,4.35,1.92,3.84,3.93,2.56,2.96,2.11,0.78,0.0,1.99,1.64,1.7,1.55,0.69,0.0,0.02,1.12,0.25,1.63,2.74,0.0,100.0
07/29/2021,5.75,6.34,5.56,4.53,5.82,5.71,4.87,5.26,5.48,5.7,5.21,5.08,4.47,0.93,3.95,3.82,2.51,2.96,2.12,0.44,0.0,2.07,1.62,1.79,1.6,0.67,0.0,0.02,1.17,0.26,1.56,2.71,0.0,99.98000000000002
07/30/2021,4.9,6.53,5.59,4.53,5.99,5.8,4.94,5.33,5.57,5.84,5.19,5.27,4.68,0.77,4.11,3.67,2.52,3.0,2.16,0.0,0.0,2.15,1.54,1.85,1.66,0.71,0.0,0.02,1.21,0.27,1.5,2.69,0.0,99.98999999999998
08/02/2021,5.56,6.44,5.71,4.14,5.75,5.82,5.28,5.17,5.42,5.67,5.16,5.11,4.51,0.16,3.97,4.02,3.1,2.93,2.2,0.0,0.0,2.11,1.57,1.78,1.62,0.73,0.0,0.02,0.72,0.26,2.38,2.7,0.0,100.01
08/03/2021,5.56,6.44,5.71,4.14,5.75,5.82,5.28,5.17,5.42,5.67,5.16,5.11,4.51,0.16,3.97,4.02,3.1,2.93,2.2,0.0,0.0,2.11,1.57,1.78,1.62,0.73,0.0,0.02,0.72,0.26,2.38,2.7,0.0,100.01
08/04/2021,5.56,6.44,5.71,4.14,5.75,5.82,5.28,5.17,5.42,5.67,5.16,5.11,4.51,0.16,3.97,4.02,3.1,2.93,2.2,0.0,0.0,2.11,1.57,1.78,1.62,0.73,0.0,0.02,0.72,0.26,2.38,2.7,0.0,100.01
08/05/2021,5.56,6.44,5.71,4.14,5.75,5.82,5.28,5.17,5.42,5.67,5.16,5.11,4.51,0.16,3.97,4.02,3.1,2.93,2.2,0.0,0.0,2.11,1.57,1.78,1.62,0.73,0.0,0.02,0.72,0.26,2.38,2.7,0.0,100.01
08/06/2021,5.1,6.34,5.66,4.05,5.7,5.79,5.11,5.07,5.3,5.82,5.15,5.22,4.59,0.0,3.97,3.69,3.02,3.84,2.16,0.0,0.0,2.12,1.61,1.78,1.61,0.64,0.0,0.02,0.73,0.25,2.18,3.46,0.0,99.98
08/13/2021,5.63,6.46,5.48,4.05,5.52,5.76,5.11,5.04,5.23,5.81,5.05,5.02,4.49,0.0,4.09,3.97,2.98,3.69,2.0,0.0,0.0,2.1,1.65,1.74,1.57,0.63,0.0,0.01,0.65,0.26,2.33,3.7,0.0,100.02
08/16/2021,5.63,6.44,5.42,4.14,5.67,5.82,5.07,5.17,5.36,5.98,5.01,4.82,4.36,0.0,4.11,3.84,2.9,3.71,1.8,0.0,0.0,2.14,1.69,1.76,1.59,0.62,0.0,0.01,0.63,0.27,2.36,3.67,0.0,99.99
08/17/2021,5.58,6.43,5.36,4.2,5.73,5.96,5.05,5.22,5.44,6.1,5.11,4.65,4.33,0.0,4.03,3.85,2.78,3.65,1.81,0.0,0.0,2.17,1.67,1.78,1.62,0.65,0.0,0.01,0.6,0.28,2.31,3.64,0.0,100.01
