,AAPL,GOOGL,MSFT,BRK.B,T,XOM,AMZN,INTC,FB,VZ,CVX,UNH,WMT,JNJ,CMCSA,CVS,PG,HD,F,PFE,CSCO,BMY,V,COST,CI,GM,ORCL,IBM,MCK,MRK,DIS,ANTM,PEP,ABBV,LOW,AVGO,TGT,KO,CHTR,KR,RTX,UPS,LIN,AMGN,ACN,CB,TMUS,MDT,BIIB,UNP,CAH,HON,COP,MPC,GILD,WBA,LMT,GE,ABT,TMO,PSX,PM,QCOM,ALL,MA,MO,CNC,DELL,ABC,AXP,VLO,TXN,HUM,CAT,MMM,NKE,FDX,MU,ADBE,PYPL,OXY,HPQ,MDLZ,PGR,EXC,TRV,LLY,MCD,REGN,JCI,EBAY,NVDA,DOW,KHC,CRM,DE,HCA,DHR,DD,KMI,NOC,SLB,GD,DG,ETN,EOG,NLOK,FISV,BDX,LUMN,TJX,TSN,NSC,CSX,AMAT,BBY,SBUX,AEP,LHX,LEN,ADM,SYY,AMT,NEM,EMR,BX,ADP,HPE,LBTYK,BKNG,CTSH,VIAC,WMB,HIG,LYB,TSLA,CL,KMB,LRCX,SHW,CTVA,MMC,CMI,PCAR,WM,GIS,ITW,PEG,SYK,IP,APD,EL,TEL,SPGI,NUE,ED,TROW,XEL,ADI,BKR,FOXA,AON,RGA,DISCA,PSA,INTU,OKE,L,PXD,DVA,EIX,ETR,ORLY,DHI,AZO,DLTR,ATUS,DTE,BAX,ES,ALXN,VST,GLW,HAL,ARW,BSX,PH,STZ,WRK,WEC,NFLX,EQIX,SNEX,FE,VMW,INFO,DXC,SWK,ATVI,STX,TT,AMCR,DISH,CBRE,LH,KLAC,GE.,LSXMK,RE,TX,URI,ACGL,RJF,DGX,M,IQV,JBL,AGPXX,OVV,TRGP,DVN,CAR,XLNX,APH,AMD,MRVL,ZTS,CHV.,PEP.,PEO.,4I1.,ALS.,TRL.,FCX,VRTX,KSS,BG,HRL,A,CEGVV,SUM
07/09/2021,5.36,3.22,3.09,2.98,2.13,1.87,1.78,1.5,1.47,1.35,1.32,1.31,1.12,1.1,1.04,1.01,1.0,0.84,0.8,0.75,0.75,0.66,0.66,0.66,0.64,0.64,0.62,0.61,0.61,0.6,0.6,0.58,0.57,0.56,0.52,0.51,0.49,0.49,0.48,0.46,0.46,0.46,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.66
07/12/2021,5.44,3.19,3.07,2.99,2.08,1.85,1.79,1.49,1.45,1.33,1.31,1.3,1.11,1.11,1.04,1.01,1.0,0.85,0.8,0.75,0.75,0.67,0.65,0.67,0.64,0.65,0.65,0.62,0.61,0.59,0.61,0.58,0.57,0.56,0.52,0.51,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.44,0.45,0.44,0.43,0.43,0.44,0.41,0.41,0.41,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.37,0.36,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.34,0.34,0.32,0.33,0.33,0.34,0.33,0.32,0.31,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.64
07/13/2021,5.44,3.19,3.07,2.99,2.08,1.85,1.79,1.49,1.45,1.33,1.31,1.3,1.11,1.11,1.04,1.01,1.0,0.85,0.8,0.75,0.75,0.67,0.65,0.67,0.64,0.65,0.65,0.62,0.61,0.59,0.61,0.58,0.57,0.56,0.52,0.51,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.44,0.45,0.44,0.43,0.43,0.44,0.41,0.41,0.41,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.37,0.36,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.34,0.34,0.32,0.33,0.33,0.34,0.33,0.32,0.31,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.64
07/14/2021,5.44,3.19,3.07,2.99,2.08,1.85,1.78,1.49,1.45,1.33,1.31,1.3,1.11,1.11,1.04,1.01,1.0,0.85,0.79,0.75,0.75,0.66,0.65,0.67,0.64,0.65,0.65,0.62,0.61,0.59,0.6,0.58,0.57,0.56,0.52,0.51,0.49,0.49,0.48,0.47,0.46,0.46,0.45,0.44,0.45,0.44,0.43,0.43,0.44,0.41,0.41,0.41,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.37,0.36,0.37,0.36,0.36,0.35,0.36,0.35,0.35,0.34,0.34,0.32,0.33,0.33,0.33,0.33,0.32,0.31,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.53
07/15/2021,5.41,3.22,3.06,2.98,2.07,1.85,1.78,1.5,1.46,1.33,1.31,1.31,1.11,1.1,1.05,1.01,1.0,0.84,0.8,0.75,0.74,0.67,0.65,0.67,0.64,0.65,0.64,0.62,0.61,0.59,0.63,0.59,0.57,0.56,0.52,0.52,0.5,0.49,0.47,0.47,0.46,0.46,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.4,0.41,0.41,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.37,0.37,0.35,0.36,0.35,0.34,0.34,0.34,0.32,0.33,0.34,0.34,0.33,0.32,0.31,0.29,0.3,0.3,0.29,0.28,0.29,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.59
07/16/2021,5.48,3.24,3.12,2.99,2.07,1.85,1.77,1.52,1.46,1.34,1.31,1.33,1.12,1.11,1.04,1.01,1.0,0.84,0.79,0.75,0.75,0.67,0.66,0.67,0.64,0.65,0.65,0.62,0.61,0.59,0.63,0.6,0.58,0.56,0.52,0.52,0.5,0.5,0.47,0.47,0.46,0.45,0.44,0.44,0.45,0.44,0.44,0.43,0.44,0.4,0.41,0.41,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.37,0.36,0.36,0.35,0.36,0.33,0.34,0.34,0.32,0.33,0.34,0.33,0.33,0.32,0.31,0.29,0.3,0.3,0.29,0.27,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.74000000000001
07/19/2021,5.6,3.24,3.13,3.0,2.09,1.79,1.75,1.49,1.44,1.35,1.28,1.34,1.13,1.1,1.05,1.02,1.02,0.85,0.77,0.76,0.76,0.67,0.68,0.68,0.64,0.64,0.64,0.62,0.61,0.6,0.63,0.6,0.59,0.56,0.53,0.51,0.5,0.51,0.47,0.48,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.43,0.41,0.41,0.41,0.42,0.37,0.36,0.38,0.37,0.38,0.38,0.37,0.37,0.34,0.37,0.37,0.36,0.37,0.36,0.35,0.33,0.34,0.34,0.3,0.33,0.35,0.33,0.33,0.32,0.31,0.29,0.3,0.3,0.26,0.27,0.3,0.28,0.3,0.29,0.28,0.29,0.28,0.27,0.26,0.24,0.26,0.25,0.24,0.25,0.25,0.25,0.25,0.23,0.24,0.22,0.24,0.23,0.23,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.86000000000001
07/20/2021,5.57,3.27,3.15,3.0,2.1,1.76,1.74,1.48,1.43,1.36,1.26,1.35,1.14,1.11,1.05,1.03,1.04,0.86,0.76,0.77,0.76,0.68,0.69,0.68,0.64,0.62,0.66,0.62,0.61,0.6,0.62,0.6,0.6,0.57,0.53,0.5,0.51,0.51,0.47,0.49,0.45,0.46,0.45,0.45,0.45,0.45,0.44,0.43,0.41,0.41,0.41,0.42,0.36,0.35,0.39,0.37,0.38,0.37,0.37,0.38,0.33,0.37,0.37,0.36,0.37,0.36,0.35,0.33,0.34,0.34,0.29,0.33,0.35,0.33,0.33,0.32,0.31,0.28,0.31,0.3,0.25,0.27,0.3,0.29,0.3,0.3,0.28,0.29,0.28,0.27,0.26,0.23,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.21,0.24,0.24,0.23,0.19,0.2,0.21,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.1,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.78
07/21/2021,5.57,3.27,3.15,3.0,2.1,1.76,1.74,1.48,1.43,1.36,1.26,1.35,1.14,1.11,1.05,1.03,1.04,0.86,0.76,0.77,0.76,0.68,0.69,0.68,0.64,0.62,0.66,0.62,0.61,0.6,0.62,0.6,0.6,0.57,0.53,0.5,0.51,0.51,0.47,0.49,0.45,0.46,0.45,0.45,0.45,0.45,0.44,0.43,0.41,0.41,0.41,0.42,0.36,0.35,0.39,0.37,0.38,0.37,0.37,0.38,0.33,0.37,0.37,0.36,0.37,0.36,0.35,0.33,0.34,0.34,0.29,0.33,0.35,0.33,0.33,0.32,0.31,0.28,0.31,0.3,0.25,0.27,0.3,0.29,0.3,0.3,0.28,0.29,0.28,0.27,0.26,0.23,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.21,0.24,0.24,0.23,0.19,0.2,0.21,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.1,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.78
07/22/2021,5.57,3.27,3.15,3.0,2.1,1.76,1.74,1.48,1.43,1.36,1.26,1.35,1.14,1.11,1.05,1.03,1.04,0.86,0.76,0.77,0.76,0.68,0.69,0.68,0.64,0.62,0.66,0.62,0.61,0.6,0.62,0.6,0.6,0.57,0.53,0.5,0.51,0.51,0.47,0.49,0.45,0.46,0.45,0.45,0.45,0.45,0.44,0.43,0.41,0.41,0.41,0.42,0.36,0.35,0.39,0.37,0.38,0.37,0.37,0.38,0.33,0.37,0.37,0.36,0.37,0.36,0.35,0.33,0.34,0.34,0.29,0.33,0.35,0.33,0.33,0.32,0.31,0.28,0.31,0.3,0.25,0.27,0.3,0.29,0.3,0.3,0.28,0.29,0.28,0.27,0.26,0.23,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.21,0.24,0.24,0.23,0.19,0.2,0.21,0.21,0.19,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.1,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.78
