,SPY,SPDW,SPEM,SPIB,SPLB,SPIP,SPSM,JNK,SPEU,SPTL,PDBC,GWX,SPAB,XLK,MDY,DGL,XLB,GVMXX,SPDR S&P Emerging Markets Small Cap ETF,RWR,XLI,RWX,EBND,XLE,U.S. Dollar,EWX,SPDR® Dow Jones International RelEst ETF,State Street Instl US Govt MMkt Premier,n/a,XLP,XLC,SUM
07/09/2021,21.73,15.07,6.84,6.08,5.22,5.09,4.81,4.07,3.89,3.16,2.98,2.94,2.54,2.2,1.97,1.91,1.89,1.71,1.02,1.0,0.98,0.98,0.98,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,21.74,14.97,6.75,6.12,5.28,5.1,4.74,4.08,3.87,3.21,2.99,2.9,2.57,2.2,1.95,1.93,1.9,1.79,1.02,1.0,0.98,0.98,0.98,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/13/2021,21.74,14.97,6.75,6.12,5.28,5.1,4.74,4.08,3.87,3.21,2.99,2.9,2.57,2.2,1.95,1.93,1.9,1.79,1.02,1.0,0.98,0.98,0.98,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/14/2021,21.76,15.09,6.8,6.05,5.19,5.05,4.82,4.05,3.9,3.14,2.99,2.92,2.53,2.2,1.98,1.92,1.92,1.77,1.02,1.01,0.99,0.99,0.97,0.95,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,21.79,15.1,6.79,6.03,5.18,5.05,4.83,4.04,3.91,3.13,2.99,2.92,2.53,2.2,1.98,1.91,1.92,1.77,1.02,1.02,0.99,0.99,0.97,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,21.03,15.5,6.03,5.02,4.99,5.08,5.92,1.5,3.99,3.1,3.03,3.01,8.02,2.02,1.96,0.0,0.0,1.78,1.01,1.01,1.99,0.99,1.0,1.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/19/2021,21.03,15.41,6.08,5.04,5.07,5.12,5.84,1.51,3.97,3.17,2.99,3.0,8.08,2.02,1.94,0.0,0.0,1.79,1.02,1.02,2.0,0.98,1.01,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,20.99,15.38,6.08,5.07,5.08,5.15,5.79,1.51,3.97,3.19,3.0,2.99,8.13,2.01,1.93,0.0,0.0,1.82,0.0,1.03,1.99,0.0,1.01,1.87,0.0,1.03,0.98,0.0,0.0,0.0,0.0,100.0
07/21/2021,20.99,15.38,6.08,5.07,5.08,5.15,5.79,1.51,3.97,3.19,3.0,2.99,8.13,2.01,1.93,0.0,0.0,1.82,1.03,1.03,1.99,0.98,1.01,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,20.99,15.38,6.08,5.07,5.08,5.15,5.79,1.51,3.97,3.19,3.0,2.99,8.13,2.01,1.93,0.0,0.0,1.82,0.0,1.03,1.99,0.0,1.01,1.87,0.0,1.03,0.98,0.0,0.0,0.0,0.0,100.0
