,BAB,VRIG,PHB,PLW,IUS,RPG,OMFL,PBTP,BKLN,ISDX,SPLV,IDLV,PGX,IUSS,IIGD,XMLV,XSLV,EELV,ISEM,IIGV,PCY,Cash/Receivables/Payables,n/a,AGPXX,95IE.L,SUM
07/09/2021,15.9,9.39,8.98,7.97,7.62,7.36,5.55,4.96,4.44,3.44,3.04,2.98,2.98,2.52,2.48,2.01,2.0,1.97,1.96,1.49,0.98,-0.01,0.0,0.0,0.0,100.01
07/12/2021,15.86,9.37,8.95,7.94,7.65,7.37,5.59,4.95,4.43,3.48,3.07,3.0,2.97,2.53,2.47,2.03,2.0,1.97,1.93,1.49,0.98,-0.01,0.0,0.0,0.0,100.02
07/13/2021,15.86,9.37,8.95,7.94,7.65,7.37,5.59,4.95,4.43,3.48,3.07,3.0,2.97,2.53,2.47,2.03,2.0,1.97,1.93,1.49,0.98,-0.01,0.0,0.0,0.0,100.02
07/15/2021,15.86,9.36,8.94,7.93,7.66,7.4,5.61,4.94,4.42,3.45,3.06,3.01,2.97,2.54,2.47,2.03,2.01,1.97,1.93,1.49,0.98,-0.01,0.0,0.0,0.0,100.02
07/16/2021,15.84,9.4,8.95,7.92,7.65,7.4,5.54,4.98,4.45,3.47,3.06,3.02,2.97,2.51,2.48,2.02,1.99,1.97,1.94,1.49,0.98,-0.01,0.0,0.0,0.0,100.01999999999998
07/19/2021,16.0,9.39,8.96,8.02,7.62,7.29,5.49,4.98,4.43,3.42,3.09,3.01,2.96,2.47,2.48,2.02,1.99,1.98,1.93,1.5,0.99,-0.01,0.0,0.0,0.0,100.01
07/22/2021,16.19,9.55,8.98,8.14,7.42,7.01,5.41,5.02,4.5,3.44,2.98,2.98,2.99,2.47,2.52,1.98,1.98,1.99,1.97,1.51,1.0,-0.01,0.0,0.0,0.0,100.02
07/23/2021,16.07,9.49,8.96,8.06,7.49,7.08,5.54,4.99,4.48,3.43,2.99,2.98,2.99,2.52,2.5,2.0,2.01,1.98,1.96,1.5,1.0,-0.01,0.0,0.0,0.0,100.01
08/03/2021,15.88,9.4,8.9,7.96,7.55,7.31,5.64,4.98,4.44,3.53,2.99,3.01,2.97,2.56,2.48,2.01,2.03,1.97,1.93,1.49,0.99,-0.01,0.0,0.0,0.0,100.01
08/04/2021,15.88,9.4,8.9,7.96,7.55,7.31,5.64,4.98,4.44,3.53,2.99,3.01,2.97,2.56,2.48,2.01,2.03,1.97,1.93,1.49,0.99,-0.01,0.0,0.0,0.0,100.01
08/05/2021,15.94,9.39,8.88,8.0,7.52,7.31,5.62,4.97,4.43,3.53,2.99,3.02,2.97,2.55,2.48,2.0,2.02,1.98,1.94,1.49,0.99,-0.01,0.0,0.0,0.0,100.01
08/09/2021,15.87,9.37,8.87,7.97,7.52,7.43,5.66,4.95,4.42,3.53,2.99,3.04,2.97,2.54,2.47,2.0,2.03,1.99,1.95,1.48,0.99,0.0,-0.01,0.0,0.0,100.03
08/13/2021,15.76,9.4,8.85,7.87,7.59,7.39,5.77,4.96,4.43,3.53,3.0,3.03,2.95,2.57,2.47,2.0,2.05,1.99,1.95,1.47,0.98,0.0,-0.01,0.0,0.0,100.0
08/16/2021,15.7,9.38,8.85,7.85,7.62,7.38,5.82,4.95,4.43,3.54,3.01,3.05,2.95,2.57,2.46,2.01,2.05,1.99,1.96,1.47,0.98,0.0,-0.01,0.0,0.0,100.00999999999998
08/19/2021,15.82,9.35,8.84,7.91,7.62,7.37,5.76,4.94,4.42,3.51,3.04,3.05,2.95,2.54,2.46,2.02,2.05,1.98,1.94,1.48,0.98,0.0,0.0,0.0,0.0,100.03
08/20/2021,15.82,9.39,8.88,7.94,7.61,7.33,5.69,4.96,4.43,3.49,3.06,3.04,2.96,2.52,2.47,2.03,2.04,1.98,1.91,1.48,0.99,0.0,0.0,0.0,0.0,100.02
08/23/2021,15.95,9.42,8.89,8.01,7.54,7.35,5.6,4.97,4.45,3.44,3.05,3.04,2.96,2.48,2.48,2.01,2.03,1.98,1.89,1.49,0.99,0.0,0.0,0.0,0.0,100.02
08/24/2021,15.91,9.39,8.87,7.98,7.57,7.41,5.64,4.94,4.44,3.44,3.05,3.05,2.96,2.5,2.47,2.01,2.05,1.98,1.87,1.48,0.0,0.0,0.98,0.0,0.0,99.99
08/25/2021,15.91,9.39,8.87,7.98,7.57,7.41,5.64,4.94,4.44,3.44,3.05,3.05,2.96,2.5,2.47,2.01,2.05,1.98,1.87,1.48,0.0,0.0,0.98,0.0,0.0,99.99
08/26/2021,15.99,9.48,9.0,7.99,7.55,7.02,5.5,5.0,4.5,3.49,2.98,3.0,2.99,2.52,2.5,1.99,1.99,2.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,99.98999999999998
08/27/2021,15.93,9.47,8.99,7.94,7.56,7.04,5.56,5.0,4.5,3.54,2.96,2.99,2.99,2.55,2.49,1.98,1.99,2.02,2.03,1.49,1.0,0.0,0.0,0.0,0.0,100.01999999999998
09/02/2021,15.88,9.43,9.0,7.92,7.57,7.17,5.59,5.0,4.49,3.54,2.96,2.97,2.98,2.57,2.48,2.0,2.01,2.04,2.05,1.49,1.0,0.0,-0.1,0.0,0.0,100.04000000000002
09/03/2021,15.82,9.43,9.0,7.9,7.57,7.15,5.58,5.0,4.49,3.51,2.96,2.96,2.98,2.56,2.48,2.0,2.01,2.05,2.08,1.49,1.01,0.0,0.0,0.0,0.0,100.03
09/06/2021,15.8,9.39,8.97,7.89,7.57,7.17,5.58,4.98,4.49,3.54,2.98,2.99,2.99,2.58,2.48,2.01,2.01,2.04,2.07,1.48,1.0,0.0,0.0,0.0,0.0,100.01000000000002
09/07/2021,15.73,9.4,9.0,7.85,7.56,7.2,5.56,4.99,4.49,3.58,2.97,2.99,2.99,2.57,2.48,2.0,2.0,2.05,2.11,1.48,1.01,0.0,0.0,0.0,0.0,100.01
09/08/2021,15.73,9.4,9.0,7.85,7.56,7.2,5.56,4.99,4.49,3.58,2.97,2.99,2.99,2.57,2.48,2.0,2.0,2.05,2.11,1.48,1.01,0.0,0.0,0.0,0.0,100.01
09/09/2021,15.73,9.4,9.0,7.85,7.56,7.2,5.56,4.99,4.49,3.58,2.97,2.99,2.99,2.57,2.48,2.0,2.0,2.05,2.11,1.48,1.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,15.76,9.44,9.02,7.84,7.55,7.19,5.53,5.0,4.51,3.56,2.95,2.99,2.99,2.56,2.48,1.98,1.99,2.06,2.13,1.48,1.0,0.0,0.0,0.0,0.0,100.01
09/13/2021,15.86,9.44,9.02,7.92,7.5,7.14,5.5,5.02,4.51,3.54,2.95,2.98,2.99,2.54,2.49,1.98,1.97,2.05,2.11,1.49,1.01,0.0,0.0,0.0,0.0,100.01
09/14/2021,15.87,9.46,9.05,7.91,7.46,7.14,5.49,5.03,4.52,3.54,2.94,2.98,3.0,2.52,2.49,1.96,1.96,2.05,2.12,1.49,1.01,0.0,0.0,0.0,0.0,99.99
