,MSFT,AMZN,FB,BKNG,QCOM,AMAT,GOOGL,APO,NVDA,PANW,AAPL,BGNE,V,ATVI,PYPL,IQV,FTCH,OXY,URI,ISRG,STNE,USFD,RNG,FCX,BABA,PENN,KURA,SUM
07/09/2021,12.05,10.92,5.55,5.15,4.97,4.71,4.57,4.47,4.38,4.29,4.26,4.01,3.78,3.7,3.31,2.8,2.61,2.48,2.32,2.13,2.1,1.92,1.43,1.24,0.86,0.0,0.0,100.01
07/12/2021,12.1,11.08,5.53,5.1,5.0,4.66,4.56,4.3,4.26,4.28,4.37,4.09,3.78,3.63,3.4,2.81,2.64,2.47,2.38,2.14,1.97,1.97,1.39,1.26,0.84,0.0,0.0,100.01
07/13/2021,12.1,11.08,5.53,5.1,5.0,4.66,4.56,4.3,4.26,4.28,4.37,4.09,3.78,3.63,3.4,2.81,2.64,2.47,2.38,2.14,1.97,1.97,1.39,1.26,0.84,0.0,0.0,100.01
07/14/2021,12.1,11.08,5.53,5.1,5.0,4.66,4.56,4.3,4.26,4.28,4.37,4.09,3.78,3.63,3.4,2.81,2.64,2.47,2.38,2.14,1.97,1.97,1.39,1.26,0.84,0.0,0.0,100.01
07/15/2021,12.05,11.06,5.56,5.12,5.02,4.71,4.6,4.31,4.34,4.26,4.34,4.11,3.76,3.65,3.43,2.78,2.61,2.44,2.4,2.16,1.93,1.95,1.35,1.26,0.83,0.0,0.0,100.03
07/16/2021,12.23,10.96,5.55,5.09,4.99,4.71,4.63,4.21,4.3,4.26,4.38,4.11,3.84,3.67,3.42,2.79,2.69,2.46,2.35,2.16,1.91,1.88,1.34,1.24,0.85,0.0,0.0,100.02
07/19/2021,12.4,10.97,5.51,5.11,5.06,4.66,4.68,4.24,4.08,4.31,4.53,4.18,3.99,3.61,3.41,2.8,2.58,2.25,2.39,2.18,1.81,1.89,1.29,1.21,0.89,0.0,0.0,100.03
07/20/2021,12.55,10.93,5.52,5.12,5.07,4.54,4.74,4.1,3.96,4.38,4.52,4.16,4.04,3.71,3.43,2.85,2.62,2.17,2.35,2.2,1.79,1.87,1.33,1.18,0.89,0.0,0.0,100.02
07/21/2021,12.55,10.93,5.52,5.12,5.07,4.54,4.74,4.1,3.96,4.38,4.52,4.16,4.04,3.71,3.43,2.85,2.62,2.17,2.35,2.2,1.79,1.87,1.33,1.18,0.89,0.0,0.0,100.02
07/22/2021,12.55,10.93,5.52,5.12,5.07,4.54,4.74,4.1,3.96,4.38,4.52,4.16,4.04,3.71,3.43,2.85,2.62,2.17,2.35,2.2,1.79,1.87,1.33,1.18,0.89,0.0,0.0,100.02
07/23/2021,12.48,10.93,5.53,5.08,5.06,4.68,4.71,4.15,4.05,4.52,4.51,4.05,3.95,3.69,3.47,2.84,2.61,2.13,2.39,2.21,1.81,1.84,1.29,1.17,0.88,0.0,0.0,100.03
07/26/2021,12.48,10.93,5.53,5.08,5.06,4.68,4.71,4.15,4.05,4.52,4.51,4.05,3.95,3.69,3.47,2.84,2.61,2.13,2.39,2.21,1.81,1.84,1.29,1.17,0.88,0.0,0.0,100.03
07/27/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,100.01
07/28/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,100.01
07/29/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,100.01
07/30/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,100.01
08/02/2021,12.51,10.81,5.79,5.08,5.08,4.74,4.8,4.15,4.12,4.37,4.44,0.0,3.92,2.43,3.47,2.77,2.54,2.15,2.41,2.18,1.81,0.0,1.62,2.08,0.83,2.96,2.95,100.01
08/03/2021,12.53,10.02,5.68,5.12,5.35,4.88,4.95,4.18,4.18,4.43,4.44,0.0,3.95,2.26,3.16,2.8,2.73,2.15,2.49,2.26,1.82,0.0,1.59,2.29,0.8,2.93,3.03,100.02
08/04/2021,12.53,10.02,5.68,5.12,5.35,4.88,4.95,4.18,4.18,4.43,4.44,0.0,3.95,2.26,3.16,2.8,2.73,2.15,2.49,2.26,1.82,0.0,1.59,2.29,0.8,2.93,3.03,100.02
08/05/2021,12.56,10.06,5.62,5.12,5.33,4.97,4.96,4.22,4.25,4.45,4.44,0.0,3.85,2.24,3.11,2.8,2.74,2.13,2.47,2.27,1.82,0.0,1.61,2.21,0.83,2.92,3.04,100.02
08/09/2021,12.66,10.1,5.75,5.16,5.21,4.93,4.97,4.32,4.4,4.45,4.44,0.0,3.82,2.16,3.2,2.79,2.55,2.15,2.45,2.31,1.76,0.0,1.48,2.14,0.82,3.08,2.91,100.01
08/10/2021,12.7,10.05,5.78,5.12,5.21,4.97,4.97,4.37,4.36,4.28,4.43,0.0,3.86,2.22,3.2,2.81,2.53,2.17,2.5,2.34,1.75,0.0,1.47,2.21,0.81,3.07,2.83,100.01
08/11/2021,12.7,10.05,5.78,5.12,5.21,4.97,4.97,4.37,4.36,4.28,4.43,0.0,3.86,2.22,3.2,2.81,2.53,2.17,2.5,2.34,1.75,0.0,1.47,2.21,0.81,3.07,2.83,100.01
08/13/2021,12.69,10.07,5.8,5.21,5.24,4.85,5.06,4.3,4.31,4.21,4.46,0.0,3.84,2.26,3.17,2.82,2.52,2.18,2.59,2.28,1.74,0.0,1.54,2.31,0.81,3.02,2.74,100.02000000000001
