,CHG.BK,NTLA,CERE,ALEC,EDIT,MGNX,TBIO,ISEE,INBX,CLDX,CRSP,SAVA,PRTA,CRTX,NKTX,RXDX,REPL,KOD,PTGX,IMAB,ACIU,KYMR,RCUS,IOVA,RLAY,NGM,DVAX,BCAB,ANVS,ATRA,KRYS,AGEN,PASG,BCYC,SWTX,ARDX,DTIL,AMRS,MGTX,RGNX,ARNA,CRNX,TGTX,NVAX,EPIX,ANAB,ALLO,MYOV,FGEN,FATE,SRNE,RLMD,IMVT,CDXS,DNLI,MCRB,FMTX,VKTX,AKBA,ALBO,LEGN,INO,IMCR,GERN,MRNS,IDYA,PHAT,BBIO,CARA,STTK,CCXI,SESN,XENE,SGMO,ASND,XBIT,DRNA,ANNX,RYTM,MRTX,CMRX,GMDA,TPTX,STRO,AXSM,AVIR,RCKT,IMGN,CLVS,RETA,IMTX,PMVP,ARCT,ADVM,ZYME,ADAP,PSTX,Compass Pathways PLC ADR,CRIS,RPTX,ARVN,XNCR,RVMD,KDMN,FIXX,ALLK,MIRM,CCCC,CYTK,CGEN,GTHX,BOLT,BDTX,IBRX,SBTX,AVRO,GOSS,AMTI,KRTX,MRUS,SNDX,ALXO,PRVB,MDGL,ITOS,SYRS,VIR,WVE,TCRR,VOR,ORIC,KRON,MORF,PGEN,RNA,SRRK,PRAX,ARQT,FREQ,KURA,HARP,MRSN,MEIP,RUBY,ZIOP,ETNB,OLMA,ATNX,ALDX,ZNTL,CUE,ALVR,QURE,STOK,IGMS,AFMD,NRIX,MGTA,COGT,MTEM,GRTS,FBRX,BCEL,CTMX,APLT,LXRX,VXRT,PLRX,SELB,CGEM,KDNY,ABCL,GRCL,AKRO,VSTM,HGEN,KALV,ORTX,NUVB,PRLD,FDMT,TARS,RAPT,EVLO,CRDF,TSHA,KROS,BTAI,ARWR,CDAK,PRTK,CVAC,ALGS,ATHA,GMTX,CVM,Cash,4338.SR,CMPS,Immunocore Holdings PLC ADR,n/a,4340.SR,DGCXX,IMGO,KZR,ACET,ERAS,GRPH,ROIV,EWTX,FULC,KNTE,VBIV,GHRS,DAWN,CNTA,AUTL,ABUS,TIL,RXRX,ADGI,DICE,CRBU,ATAI,TCRT,SUM
07/09/2021,1.24,0.97,0.89,0.87,0.74,0.72,0.72,0.67,0.66,0.66,0.63,0.62,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.38,0.37,0.37,0.35,0.34,0.3,0.28,0.28,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,0.94,0.92,1.0,0.65,0.71,0.73,0.82,0.61,0.62,0.61,0.76,0.63,0.67,0.58,0.6,0.53,0.59,0.6,0.56,0.58,0.53,0.63,0.57,0.55,0.6,0.55,0.56,0.67,0.53,0.57,0.58,0.51,0.56,0.55,0.58,0.53,0.53,0.54,0.55,0.55,0.6,0.55,0.49,0.54,0.56,0.5,0.53,0.55,0.52,0.51,0.55,0.54,0.54,0.53,0.54,0.54,0.55,0.5,0.54,0.53,0.51,0.54,0.51,0.54,0.42,0.53,0.54,0.52,0.51,0.62,0.5,0.54,0.48,0.5,0.56,0.54,0.53,0.51,0.52,0.49,0.52,0.5,0.52,0.52,0.51,0.51,0.51,0.5,0.53,0.52,0.51,0.48,0.51,0.51,0.48,0.52,0.47,0.51,0.53,0.52,0.48,0.5,0.49,0.48,0.5,0.49,0.51,0.49,0.48,0.49,0.48,0.47,0.46,0.46,0.47,0.49,0.47,0.5,0.43,0.47,0.5,0.37,0.51,0.51,0.48,0.46,0.5,0.44,0.48,0.49,0.46,0.48,0.46,0.51,0.49,0.52,0.47,0.48,0.45,0.47,0.46,0.47,0.46,0.47,0.44,0.47,0.45,0.46,0.49,0.44,0.46,0.43,0.47,0.48,0.46,0.44,0.44,0.4,0.47,0.44,0.43,0.45,0.45,0.47,0.45,0.45,0.43,0.42,0.48,0.47,0.41,0.42,0.44,0.42,0.44,0.44,0.42,0.43,0.44,0.42,0.44,0.45,0.42,0.43,0.4,0.42,0.38,0.4,0.38,0.35,0.32,0.28,0.29,0.27,0.21,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,0.0,0.94,0.92,1.0,0.65,0.71,0.73,0.82,0.61,0.62,0.61,0.76,0.63,0.67,0.58,0.6,0.53,0.59,0.6,0.56,0.58,0.53,0.63,0.57,0.55,0.6,0.55,0.56,0.67,0.53,0.57,0.58,0.51,0.56,0.55,0.58,0.53,0.53,0.54,0.55,0.55,0.6,0.55,0.49,0.54,0.56,0.5,0.53,0.55,0.52,0.51,0.55,0.54,0.54,0.53,0.54,0.54,0.55,0.5,0.54,0.53,0.51,0.54,0.51,0.54,0.42,0.53,0.54,0.52,0.51,0.62,0.5,0.54,0.48,0.5,0.56,0.54,0.53,0.51,0.52,0.49,0.52,0.5,0.52,0.52,0.51,0.51,0.51,0.5,0.53,0.52,0.51,0.48,0.51,0.51,0.48,0.52,0.47,0.51,0.53,0.52,0.48,0.5,0.49,0.48,0.5,0.49,0.51,0.49,0.48,0.49,0.48,0.47,0.46,0.46,0.47,0.49,0.47,0.5,0.43,0.47,0.5,0.37,0.51,0.51,0.48,0.46,0.5,0.44,0.48,0.49,0.46,0.48,0.46,0.51,0.49,0.52,0.47,0.48,0.45,0.47,0.46,0.47,0.46,0.47,0.44,0.47,0.45,0.46,0.49,0.44,0.46,0.43,0.47,0.48,0.46,0.44,0.44,0.4,0.47,0.44,0.43,0.45,0.45,0.47,0.45,0.45,0.43,0.42,0.48,0.47,0.41,0.42,0.44,0.42,0.44,0.44,0.42,0.43,0.44,0.42,0.44,0.45,0.42,0.43,0.4,0.42,0.38,0.4,0.38,0.35,0.32,0.28,0.29,0.27,0.21,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,0.0,0.92,0.92,0.92,0.67,0.71,0.72,0.82,0.62,0.64,0.59,0.67,0.66,0.64,0.56,0.61,0.54,0.6,0.6,0.59,0.58,0.55,0.63,0.59,0.54,0.6,0.56,0.56,0.63,0.51,0.56,0.58,0.5,0.55,0.55,0.58,0.52,0.53,0.54,0.54,0.54,0.59,0.56,0.48,0.55,0.55,0.5,0.52,0.54,0.53,0.49,0.57,0.54,0.55,0.51,0.55,0.54,0.54,0.5,0.55,0.53,0.5,0.53,0.5,0.54,0.43,0.54,0.53,0.51,0.5,0.68,0.51,0.53,0.48,0.5,0.57,0.53,0.52,0.51,0.52,0.49,0.51,0.51,0.5,0.51,0.51,0.52,0.51,0.49,0.52,0.54,0.51,0.47,0.51,0.51,0.48,0.52,0.5,0.51,0.54,0.52,0.48,0.5,0.5,0.48,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.46,0.49,0.48,0.49,0.47,0.5,0.42,0.47,0.5,0.38,0.51,0.5,0.48,0.45,0.51,0.45,0.46,0.5,0.46,0.5,0.46,0.51,0.49,0.5,0.48,0.48,0.45,0.47,0.46,0.48,0.45,0.47,0.49,0.47,0.44,0.47,0.5,0.44,0.45,0.44,0.47,0.5,0.46,0.44,0.44,0.4,0.47,0.45,0.45,0.46,0.44,0.48,0.45,0.45,0.43,0.42,0.47,0.47,0.42,0.43,0.45,0.42,0.44,0.43,0.42,0.44,0.45,0.44,0.44,0.45,0.45,0.42,0.44,0.42,0.39,0.4,0.37,0.34,0.31,0.27,0.3,0.27,0.22,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/15/2021,0.0,0.9,0.93,0.93,0.64,0.67,0.75,0.78,0.59,0.81,0.59,0.7,0.61,0.66,0.57,0.59,0.54,0.6,0.6,0.57,0.6,0.53,0.64,0.57,0.54,0.61,0.56,0.55,0.71,0.51,0.57,0.59,0.5,0.57,0.55,0.58,0.53,0.52,0.54,0.53,0.55,0.59,0.55,0.49,0.58,0.56,0.5,0.51,0.53,0.51,0.47,0.59,0.53,0.55,0.5,0.55,0.53,0.55,0.49,0.55,0.53,0.49,0.53,0.5,0.51,0.46,0.54,0.54,0.52,0.49,0.71,0.49,0.53,0.46,0.5,0.58,0.55,0.52,0.5,0.53,0.48,0.5,0.52,0.51,0.52,0.52,0.53,0.51,0.49,0.51,0.53,0.55,0.45,0.5,0.51,0.47,0.54,0.51,0.5,0.56,0.51,0.48,0.5,0.49,0.5,0.49,0.5,0.48,0.47,0.48,0.47,0.47,0.47,0.45,0.5,0.46,0.48,0.47,0.52,0.43,0.47,0.49,0.4,0.52,0.49,0.48,0.44,0.51,0.43,0.44,0.5,0.45,0.51,0.46,0.51,0.49,0.5,0.5,0.48,0.44,0.46,0.46,0.46,0.45,0.44,0.46,0.48,0.42,0.45,0.49,0.44,0.45,0.43,0.48,0.51,0.45,0.43,0.44,0.4,0.45,0.46,0.48,0.47,0.45,0.48,0.44,0.43,0.45,0.42,0.51,0.47,0.41,0.44,0.45,0.43,0.44,0.43,0.4,0.43,0.44,0.44,0.44,0.44,0.46,0.42,0.43,0.43,0.39,0.4,0.38,0.33,0.32,0.27,0.29,0.27,0.22,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/16/2021,0.0,0.9,0.93,0.93,0.64,0.67,0.75,0.78,0.59,0.81,0.59,0.7,0.61,0.66,0.57,0.59,0.54,0.6,0.6,0.57,0.6,0.53,0.64,0.57,0.54,0.61,0.56,0.55,0.71,0.51,0.57,0.59,0.5,0.57,0.55,0.58,0.53,0.52,0.54,0.53,0.55,0.59,0.55,0.49,0.58,0.56,0.5,0.51,0.53,0.51,0.47,0.59,0.53,0.55,0.5,0.55,0.53,0.55,0.49,0.55,0.53,0.49,0.53,0.5,0.51,0.46,0.54,0.54,0.52,0.49,0.71,0.49,0.53,0.46,0.5,0.58,0.55,0.52,0.5,0.53,0.48,0.5,0.52,0.51,0.52,0.52,0.53,0.51,0.49,0.51,0.53,0.55,0.45,0.5,0.51,0.47,0.54,0.51,0.5,0.56,0.51,0.48,0.5,0.49,0.5,0.49,0.5,0.48,0.47,0.48,0.47,0.47,0.47,0.45,0.5,0.46,0.48,0.47,0.52,0.43,0.47,0.49,0.4,0.52,0.49,0.48,0.44,0.51,0.43,0.44,0.5,0.45,0.51,0.46,0.51,0.49,0.5,0.5,0.48,0.44,0.46,0.46,0.46,0.45,0.44,0.46,0.48,0.42,0.45,0.49,0.44,0.45,0.43,0.48,0.51,0.45,0.43,0.44,0.4,0.45,0.46,0.48,0.47,0.45,0.48,0.44,0.43,0.45,0.42,0.51,0.47,0.41,0.44,0.45,0.43,0.44,0.43,0.4,0.43,0.44,0.44,0.44,0.44,0.46,0.42,0.43,0.43,0.39,0.4,0.38,0.33,0.32,0.27,0.29,0.27,0.22,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/19/2021,0.0,0.9,0.9,0.9,0.62,0.68,0.79,0.9,0.59,0.93,0.56,0.62,0.62,0.63,0.64,0.51,0.53,0.59,0.62,0.59,0.57,0.54,0.67,0.54,0.53,0.62,0.6,0.54,0.65,0.53,0.55,0.6,0.46,0.65,0.55,0.58,0.53,0.5,0.53,0.55,0.55,0.6,0.56,0.49,0.53,0.59,0.5,0.5,0.55,0.49,0.48,0.57,0.54,0.52,0.49,0.56,0.54,0.55,0.52,0.56,0.56,0.51,0.0,0.49,0.49,0.49,0.57,0.53,0.52,0.45,0.67,0.49,0.55,0.48,0.52,0.57,0.55,0.55,0.52,0.53,0.5,0.51,0.5,0.52,0.48,0.53,0.52,0.51,0.51,0.51,0.56,0.54,0.45,0.48,0.54,0.48,0.53,0.0,0.51,0.51,0.5,0.5,0.48,0.49,0.49,0.5,0.5,0.51,0.51,0.46,0.48,0.47,0.45,0.43,0.51,0.45,0.47,0.44,0.5,0.43,0.47,0.5,0.4,0.5,0.5,0.44,0.46,0.51,0.46,0.4,0.56,0.45,0.51,0.46,0.49,0.52,0.48,0.49,0.45,0.45,0.45,0.48,0.46,0.46,0.45,0.49,0.48,0.44,0.45,0.48,0.43,0.44,0.44,0.49,0.49,0.45,0.46,0.43,0.43,0.44,0.43,0.43,0.44,0.46,0.46,0.44,0.46,0.43,0.41,0.5,0.47,0.39,0.44,0.43,0.43,0.47,0.44,0.39,0.42,0.47,0.46,0.42,0.43,0.39,0.41,0.44,0.43,0.4,0.41,0.35,0.34,0.29,0.28,0.29,0.24,0.21,0.02,1.36,0.51,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,0.0,0.87,0.89,0.89,0.63,0.67,0.79,0.89,0.59,0.86,0.56,0.6,0.61,0.64,0.65,0.52,0.51,0.59,0.63,0.61,0.57,0.56,0.68,0.54,0.56,0.61,0.59,0.56,0.67,0.51,0.56,0.6,0.48,0.65,0.55,0.58,0.52,0.47,0.54,0.55,0.55,0.59,0.55,0.51,0.52,0.6,0.51,0.51,0.32,0.5,0.48,0.56,0.54,0.52,0.49,0.57,0.55,0.55,0.48,0.59,0.57,0.53,0.0,0.5,0.48,0.48,0.56,0.53,0.51,0.46,0.69,0.5,0.56,0.48,0.51,0.55,0.57,0.56,0.52,0.55,0.5,0.51,0.49,0.52,0.46,0.55,0.53,0.5,0.49,0.51,0.56,0.56,0.44,0.48,0.54,0.47,0.54,0.0,0.51,0.55,0.5,0.5,0.49,0.59,0.49,0.51,0.5,0.54,0.5,0.46,0.47,0.46,0.45,0.41,0.52,0.47,0.47,0.44,0.49,0.43,0.46,0.52,0.39,0.5,0.5,0.46,0.46,0.52,0.46,0.4,0.56,0.45,0.51,0.45,0.5,0.54,0.48,0.5,0.46,0.45,0.45,0.47,0.46,0.45,0.45,0.51,0.47,0.44,0.44,0.48,0.42,0.44,0.44,0.49,0.49,0.44,0.5,0.44,0.39,0.43,0.43,0.44,0.43,0.46,0.46,0.44,0.47,0.43,0.41,0.5,0.48,0.39,0.44,0.43,0.42,0.45,0.44,0.38,0.42,0.48,0.47,0.41,0.42,0.4,0.4,0.42,0.43,0.4,0.41,0.36,0.32,0.29,0.28,0.28,0.26,0.21,0.0,1.37,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/21/2021,0.0,0.87,0.89,0.89,0.63,0.67,0.79,0.89,0.59,0.86,0.56,0.6,0.61,0.64,0.65,0.52,0.51,0.59,0.63,0.61,0.57,0.56,0.68,0.54,0.56,0.61,0.59,0.56,0.67,0.51,0.56,0.6,0.48,0.65,0.55,0.58,0.52,0.47,0.54,0.55,0.55,0.59,0.55,0.51,0.52,0.6,0.51,0.51,0.32,0.5,0.48,0.56,0.54,0.52,0.49,0.57,0.55,0.55,0.48,0.59,0.57,0.53,0.0,0.5,0.48,0.48,0.56,0.53,0.51,0.46,0.69,0.5,0.56,0.48,0.51,0.55,0.57,0.56,0.52,0.55,0.5,0.51,0.49,0.52,0.46,0.55,0.53,0.5,0.49,0.51,0.56,0.56,0.44,0.48,0.54,0.47,0.54,0.0,0.51,0.55,0.5,0.5,0.49,0.59,0.49,0.51,0.5,0.54,0.5,0.46,0.47,0.46,0.45,0.41,0.52,0.47,0.47,0.44,0.49,0.43,0.46,0.52,0.39,0.5,0.5,0.46,0.46,0.52,0.46,0.4,0.56,0.45,0.51,0.45,0.5,0.54,0.48,0.5,0.46,0.45,0.45,0.47,0.46,0.45,0.45,0.51,0.47,0.44,0.44,0.48,0.42,0.44,0.44,0.49,0.49,0.44,0.5,0.44,0.39,0.43,0.43,0.44,0.43,0.46,0.46,0.44,0.47,0.43,0.41,0.5,0.48,0.39,0.44,0.43,0.42,0.45,0.44,0.38,0.42,0.48,0.47,0.41,0.42,0.4,0.4,0.42,0.43,0.4,0.41,0.36,0.32,0.29,0.28,0.28,0.26,0.21,0.0,1.37,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/22/2021,0.0,0.87,0.89,0.89,0.63,0.67,0.79,0.89,0.59,0.86,0.56,0.6,0.61,0.64,0.65,0.52,0.51,0.59,0.63,0.61,0.57,0.56,0.68,0.54,0.56,0.61,0.59,0.56,0.67,0.51,0.56,0.6,0.48,0.65,0.55,0.58,0.52,0.47,0.54,0.55,0.55,0.59,0.55,0.51,0.52,0.6,0.51,0.51,0.32,0.5,0.48,0.56,0.54,0.52,0.49,0.57,0.55,0.55,0.48,0.59,0.57,0.53,0.0,0.5,0.48,0.48,0.56,0.53,0.51,0.46,0.69,0.5,0.56,0.48,0.51,0.55,0.57,0.56,0.52,0.55,0.5,0.51,0.49,0.52,0.46,0.55,0.53,0.5,0.49,0.51,0.56,0.56,0.44,0.48,0.54,0.47,0.54,0.0,0.51,0.55,0.5,0.5,0.49,0.59,0.49,0.51,0.5,0.54,0.5,0.46,0.47,0.46,0.45,0.41,0.52,0.47,0.47,0.44,0.49,0.43,0.46,0.52,0.39,0.5,0.5,0.46,0.46,0.52,0.46,0.4,0.56,0.45,0.51,0.45,0.5,0.54,0.48,0.5,0.46,0.45,0.45,0.47,0.46,0.45,0.45,0.51,0.47,0.44,0.44,0.48,0.42,0.44,0.44,0.49,0.49,0.44,0.5,0.44,0.39,0.43,0.43,0.44,0.43,0.46,0.46,0.44,0.47,0.43,0.41,0.5,0.48,0.39,0.44,0.43,0.42,0.45,0.44,0.38,0.42,0.48,0.47,0.41,0.42,0.4,0.4,0.42,0.43,0.4,0.41,0.36,0.32,0.29,0.28,0.28,0.26,0.21,0.0,1.37,0.51,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
