,4NDX  210930C06850840,4NDX  210930P13701670,4NDX  210930P11418060,4NDX  210930P06850840,Cash&Other,4NDX  210930P09705350,4NDX  210930C13701670,4NDX  210930C13238100,SUM
07/09/2021,121.15,1.9,0.45,-0.05,-0.14,-0.17,-10.06,-13.07,100.01000000000002
07/12/2021,121.78,1.8,0.44,-0.09,-0.15,-0.17,-10.28,-13.33,100.0
07/13/2021,121.78,1.8,0.44,-0.09,-0.15,-0.17,-10.28,-13.33,100.0
07/14/2021,121.78,1.8,0.44,-0.09,-0.15,-0.17,-10.28,-13.33,100.0
07/15/2021,122.72,1.64,0.41,-0.08,-0.15,-0.17,-10.64,-13.73,100.0
07/16/2021,122.62,1.75,0.41,-0.07,-0.16,-0.17,-10.67,-13.72,99.99
07/19/2021,121.12,1.79,0.4,-0.06,-0.16,-0.15,-9.96,-12.99,99.99
07/20/2021,119.73,2.01,0.45,-0.09,-0.17,-0.16,-9.4,-12.38,99.99
07/21/2021,119.73,2.01,0.45,-0.09,-0.17,-0.16,-9.4,-12.38,99.99
07/22/2021,118.21,2.29,0.53,-0.08,-0.17,-0.2,-8.84,-11.74,100.0
07/23/2021,120.48,1.86,0.44,-0.07,-0.17,-0.17,-9.67,-12.7,100.0
07/26/2021,123.63,1.41,0.34,-0.07,-0.26,-0.13,-10.89,-14.04,99.98999999999998
07/27/2021,125.79,1.22,0.29,-0.04,-0.26,-0.12,-11.84,-15.03,100.01
07/28/2021,125.79,1.22,0.29,-0.04,-0.26,-0.12,-11.84,-15.03,100.01
07/29/2021,126.16,1.19,0.28,-0.04,-0.26,-0.12,-12.01,-15.2,99.99999999999999
