,IWM,ENPH,AVTR,MDB,CRL,DVN,CTLT,POOL,TECH,PKI,ZEN,MPWR,AVY,FANG,PLUG,J,VICI,ON,TXG,NVAX,ENTG,NLOK,TXT,NUAN,PTC,MOH,CGNX,FICO,BILL,PHM,AVLR,ELS,CCK,HWM,AAL,XPO,SBNY,FBHS,XTSLA,ALLE,CBOE,BRO,NDSN,IPG,PKG,GGG,MTN,CDAY,FIVN,MASI,CPT,FDS,RH,HST,STLD,GME,LII,MPW,BAH,IRM,TTC,SNA,WSM,CHGG,JKHY,PWR,BKI,FFIV,ZNGA,PNR,AMH,GH,RGEN,CREE,RUN,TPR,AXON,QGEN,RPM,BWA,PENN,TREX,LW,DT,WTRG,MRO,NCLH,LEA,WRB,MOS,CABO,CF,BG,HSIC,DECK,MHK,FND,JAZZ,LPLA,REG,VER,FIVE,DAR,TRGP,FWONK,CSL,JLL,NI,COLD,RE,EWBC,PFPT,OC,HUBB,AZPN,DXC,NRG,NWSA,DOX,NWL,ESTC,GLPI,LAD,ATR,PEN,MKSI,WSO,SYNH,NTRA,Y,SMAR,NBIX,FHN,TPL,LAMR,FRT,WAL,AOS,GL,WU,GWRE,CUBE,CMA,CLF,MIDD,FSLR,UGI,BFAM,RHI,RS,DBX,PNW,AIZ,MANH,OLED,IVZ,SAM,AMED,BLDR,LSI,KIM,G,OHI,GLOB,KSS,NLSN,ACM,VST,SCI,STOR,ARES,ST,CONE,CIEN,BSY,SEE,AGNC,WEX,JNPR,BERY,CBSH,KRC,OGN,EHC,YETI,REXR,ITT,AIRC,APA,VRT,RGA,CG,PLAN,PII,HRC,GNTX,BRKR,NNN,ZION,AGCO,CPRI,ATH,LECO,SITE,VNO,UTHR,ARMK,JBL,OSK,AFG,BYND,KNX,USFD,AMC,NTLA,ARW,DCI,HII,IAA,BC,RGLD,IPGP,VOYA,RNR,PPD,SMG,CHE,PCTY,CROX,TPX,PVH,NYT,MAT,JEF,AA,X,GXO,DKS,USD,CHDN,NTNX,TNDM,SUM
07/09/2021,44.31,0.37,0.31,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.66999999999999
07/12/2021,44.19,0.36,0.31,0.28,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.25,0.26,0.24,0.23,0.26,0.25,0.24,0.24,0.21,0.24,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.0,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.2,0.2,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.54
07/13/2021,44.19,0.36,0.31,0.28,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.25,0.26,0.24,0.23,0.26,0.25,0.24,0.24,0.21,0.24,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.0,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.2,0.2,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.54
07/14/2021,44.22,0.36,0.31,0.28,0.29,0.29,0.27,0.28,0.27,0.26,0.25,0.26,0.26,0.24,0.22,0.26,0.25,0.24,0.24,0.21,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.0,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.0,0.13,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.13,0.13,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.53
07/15/2021,0.0,0.36,0.31,0.28,0.29,0.29,0.27,0.28,0.27,0.26,0.25,0.26,0.26,0.24,0.22,0.26,0.25,0.24,0.24,0.21,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.28,0.15,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7
07/16/2021,44.14,0.37,0.32,0.28,0.29,0.3,0.28,0.28,0.27,0.26,0.25,0.26,0.26,0.25,0.21,0.26,0.25,0.24,0.23,0.21,0.24,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.21,0.2,0.19,0.21,0.22,0.2,0.0,0.18,0.19,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.18,0.18,0.19,0.16,0.17,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.19,0.19,0.18,0.17,0.16,0.18,0.17,0.16,0.17,0.17,0.16,0.18,0.18,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.0,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.13,0.13,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.69000000000001
07/19/2021,43.94,0.34,0.32,0.27,0.29,0.28,0.27,0.28,0.27,0.26,0.25,0.26,0.26,0.23,0.21,0.26,0.26,0.24,0.22,0.2,0.24,0.22,0.23,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.19,0.21,0.21,0.2,0.2,0.21,0.22,0.21,0.13,0.19,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.21,0.21,0.2,0.18,0.18,0.19,0.15,0.17,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.19,0.18,0.17,0.16,0.18,0.18,0.16,0.17,0.16,0.14,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.15,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.16,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.0,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.0,0.13,0.13,0.13,0.14,0.14,0.0,0.13,0.0,0.12,0.12,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.0,0.13,0.13,0.13,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.57000000000001
07/20/2021,43.94,0.34,0.32,0.27,0.29,0.28,0.27,0.28,0.27,0.26,0.25,0.26,0.26,0.23,0.21,0.26,0.26,0.24,0.22,0.2,0.24,0.22,0.23,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.19,0.21,0.21,0.2,0.2,0.21,0.22,0.21,0.13,0.19,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.21,0.21,0.2,0.18,0.18,0.19,0.15,0.17,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.19,0.19,0.18,0.17,0.16,0.18,0.18,0.16,0.17,0.16,0.14,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.16,0.15,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.16,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.0,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.0,0.13,0.13,0.13,0.14,0.14,0.0,0.13,0.0,0.12,0.12,0.0,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.0,0.13,0.13,0.13,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.57000000000001
07/21/2021,43.89,0.34,0.33,0.27,0.3,0.27,0.28,0.28,0.28,0.27,0.25,0.26,0.26,0.22,0.2,0.27,0.26,0.23,0.22,0.21,0.24,0.22,0.23,0.24,0.23,0.23,0.22,0.23,0.21,0.21,0.2,0.22,0.21,0.19,0.2,0.21,0.21,0.21,0.15,0.19,0.19,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.2,0.21,0.2,0.18,0.17,0.19,0.15,0.17,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.2,0.19,0.19,0.17,0.16,0.18,0.18,0.16,0.17,0.15,0.14,0.17,0.17,0.17,0.18,0.17,0.16,0.17,0.18,0.17,0.17,0.14,0.13,0.15,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.16,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.0,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.0,0.13,0.13,0.13,0.14,0.14,0.0,0.13,0.0,0.0,0.12,0.0,0.13,0.13,0.0,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.55
07/22/2021,43.92,0.34,0.33,0.28,0.3,0.27,0.28,0.28,0.28,0.27,0.25,0.27,0.26,0.21,0.21,0.26,0.26,0.23,0.23,0.25,0.24,0.23,0.23,0.25,0.23,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.21,0.19,0.19,0.21,0.2,0.21,0.15,0.19,0.19,0.2,0.2,0.19,0.2,0.2,0.19,0.2,0.2,0.21,0.21,0.2,0.18,0.17,0.18,0.16,0.17,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.2,0.19,0.19,0.17,0.16,0.18,0.18,0.17,0.17,0.16,0.15,0.17,0.18,0.18,0.18,0.17,0.16,0.18,0.17,0.17,0.17,0.14,0.13,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.14,0.14,0.16,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.0,0.0,0.12,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.13,0.13,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.13,0.13,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.71
