,VGLT,NVDA,Sprott Physical Gold Trust,COST,HON,NEE,UNP,LOW,AMT,CAT,ZTS,PLD,CCI,CSX,ILMN,EQIX,EW,ITW,ADI,Us Dollars,GPN,NXPI,REGN,WM,ALGN,EMR,VRTX,MSCI,NEM,JCI,SNPS,A,IQV,SCCO,ROST,AEP,APH,APTV,EOG,CTAS,CTSH,PH,SPG,ALXN,CNC,PAYX,SYY,IFF,SBAC,XLNX,PANW,SWKS,SLB,AFL,ANSS,RSG,PXD,DHI,KEYS,AME,VRSK,PCAR,EQR,WEC,EFX,SIVB,GRMN,ARE,O,FTV,ED,MKC,ABC,DISCK,DISCA,IP,NUE,DOV,DTE,VMC,URI,WAT,TFX,MLM,ETR,HPE,LNG,IT,SSNC,NTAP,RF,HAL,JBHT,LNT,WPC,CNP,MHK,WRK,HSIC,NI,SEE,NOV,DTM WI,FTI,AZN,PHYS/U.NE,n/a,DTM,NOW,ISRG,HCA,FIS,TWLO,IDXX,KLAC,DOCU,FCX,DLR,VEEV,MCHP,RMD,DD,ODFL,MTD,EPAM,WST,PAYC,W,ZBRA,ALB,EXR,SUI,HRL,VTR,CTLT,DVN,FOXA,CHD,FLT,ALNY,ON,RNG,BURL,EXPD,TDY,QRVO,AGR,DRE,TER,GPC,AVY,TYL,BXP,EXAS,SBNY,FANG,CDAY,MKTX,WAB,PWR,UDR,AES,MOH,INCY,MASI,LKQ,ELS,CPT,CGNX,EMN,L,NDSN,CCK,CSGP,INVH,SUM
07/09/2021,14.77,8.92,4.54,2.88,2.62,2.58,2.38,2.37,2.04,1.87,1.49,1.47,1.42,1.24,1.23,1.2,1.19,1.1,1.09,1.03,1.03,0.97,0.95,0.95,0.93,0.93,0.85,0.81,0.8,0.8,0.76,0.75,0.75,0.74,0.74,0.72,0.71,0.7,0.69,0.68,0.67,0.67,0.67,0.66,0.65,0.65,0.64,0.63,0.61,0.61,0.61,0.6,0.59,0.58,0.58,0.56,0.54,0.54,0.52,0.51,0.51,0.5,0.49,0.48,0.46,0.46,0.46,0.45,0.44,0.42,0.4,0.4,0.4,0.39,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.27,0.23,0.22,0.22,0.21,0.2,0.17,0.16,0.12,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,15.21,8.72,4.6,2.95,2.61,2.62,2.33,2.35,2.09,1.83,1.54,1.5,1.46,1.18,1.23,1.25,1.21,1.1,1.05,0.9,1.0,0.94,0.94,0.95,0.93,0.92,0.84,0.83,0.8,0.8,0.76,0.75,0.75,0.73,0.72,0.72,0.71,0.66,0.65,0.69,0.66,0.67,0.65,0.65,0.65,0.66,0.62,0.63,0.63,0.57,0.63,0.59,0.55,0.57,0.58,0.57,0.52,0.52,0.53,0.51,0.52,0.49,0.51,0.49,0.47,0.45,0.46,0.46,0.45,0.42,0.41,0.39,0.39,0.37,0.34,0.36,0.35,0.35,0.36,0.35,0.34,0.35,0.35,0.34,0.34,0.32,0.32,0.31,0.31,0.3,0.28,0.27,0.27,0.23,0.23,0.23,0.21,0.2,0.17,0.16,0.12,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,15.21,8.72,4.6,2.95,2.61,2.62,2.33,2.35,2.09,1.83,1.54,1.5,1.46,1.18,1.23,1.25,1.21,1.1,1.05,0.9,1.0,0.94,0.94,0.95,0.93,0.92,0.84,0.83,0.8,0.8,0.76,0.75,0.75,0.73,0.72,0.72,0.71,0.66,0.65,0.69,0.66,0.67,0.65,0.65,0.65,0.66,0.62,0.63,0.63,0.57,0.63,0.59,0.55,0.57,0.58,0.57,0.52,0.52,0.53,0.51,0.52,0.49,0.51,0.49,0.47,0.45,0.46,0.46,0.45,0.42,0.41,0.39,0.39,0.37,0.34,0.36,0.35,0.35,0.36,0.35,0.34,0.35,0.35,0.34,0.34,0.32,0.32,0.31,0.31,0.3,0.28,0.27,0.27,0.23,0.23,0.23,0.21,0.2,0.17,0.16,0.12,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,14.9,8.71,4.57,2.97,2.65,2.6,2.35,2.36,2.08,1.86,1.53,1.52,1.45,1.21,1.23,1.23,1.2,1.11,1.06,0.9,1.01,0.95,0.95,0.95,0.94,0.93,0.83,0.84,0.81,0.81,0.76,0.75,0.75,0.75,0.73,0.72,0.72,0.68,0.66,0.69,0.67,0.68,0.67,0.65,0.65,0.67,0.63,0.62,0.63,0.57,0.64,0.59,0.56,0.57,0.58,0.57,0.51,0.52,0.53,0.51,0.52,0.5,0.51,0.49,0.47,0.47,0.46,0.47,0.45,0.42,0.41,0.39,0.39,0.37,0.34,0.36,0.36,0.35,0.36,0.36,0.34,0.35,0.34,0.34,0.34,0.32,0.32,0.31,0.31,0.3,0.29,0.27,0.27,0.23,0.23,0.23,0.22,0.2,0.17,0.16,0.12,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/15/2021,14.82,8.88,4.54,2.92,2.65,2.59,2.33,2.36,2.08,1.86,1.53,1.53,1.46,1.2,1.24,1.23,1.19,1.11,1.07,0.9,1.0,0.97,0.93,0.95,0.96,0.93,0.83,0.83,0.8,0.81,0.75,0.75,0.74,0.75,0.72,0.72,0.71,0.69,0.66,0.69,0.67,0.68,0.67,0.65,0.66,0.66,0.62,0.62,0.63,0.57,0.63,0.6,0.56,0.57,0.57,0.56,0.51,0.52,0.53,0.52,0.51,0.5,0.51,0.49,0.47,0.48,0.47,0.46,0.45,0.42,0.41,0.39,0.39,0.37,0.35,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.27,0.27,0.23,0.23,0.23,0.22,0.2,0.17,0.16,0.12,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,14.83,8.83,4.59,2.94,2.66,2.6,2.33,2.36,2.09,1.85,1.55,1.52,1.45,1.21,1.25,1.23,1.19,1.12,1.07,0.86,1.02,0.97,0.94,0.95,0.96,0.93,0.84,0.84,0.8,0.81,0.76,0.75,0.75,0.75,0.72,0.72,0.72,0.69,0.67,0.68,0.67,0.68,0.66,0.66,0.66,0.67,0.61,0.61,0.63,0.57,0.63,0.59,0.55,0.57,0.58,0.57,0.51,0.51,0.54,0.52,0.52,0.5,0.51,0.49,0.47,0.47,0.47,0.46,0.45,0.42,0.41,0.39,0.39,0.37,0.34,0.36,0.35,0.36,0.36,0.35,0.34,0.35,0.34,0.34,0.33,0.3,0.31,0.31,0.31,0.3,0.29,0.27,0.27,0.23,0.23,0.22,0.21,0.2,0.17,0.16,0.12,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,15.16,8.28,4.65,2.98,2.76,2.67,2.34,2.38,2.11,1.82,1.56,1.54,1.46,1.21,1.2,1.25,1.19,1.13,1.05,0.89,1.04,0.93,0.97,0.97,0.93,0.94,0.85,0.84,0.81,0.81,0.76,0.75,0.74,0.74,0.73,0.74,0.71,0.67,0.61,0.66,0.67,0.67,0.66,0.64,0.65,0.68,0.6,0.61,0.64,0.55,0.64,0.6,0.52,0.58,0.58,0.58,0.48,0.51,0.53,0.52,0.53,0.51,0.52,0.5,0.48,0.48,0.47,0.47,0.45,0.42,0.42,0.39,0.39,0.36,0.33,0.35,0.35,0.36,0.36,0.36,0.34,0.36,0.31,0.34,0.34,0.31,0.31,0.31,0.31,0.29,0.29,0.25,0.27,0.24,0.24,0.23,0.21,0.19,0.16,0.16,0.12,0.07,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,15.26,7.99,4.63,2.99,2.76,2.73,2.34,2.4,2.14,1.8,1.57,1.56,1.48,1.21,1.22,1.26,1.21,1.13,1.04,0.9,1.04,0.92,0.96,0.98,0.93,0.94,0.86,0.85,0.79,0.82,0.76,0.76,0.75,0.72,0.71,0.75,0.7,0.66,0.6,0.69,0.67,0.66,0.65,0.64,0.65,0.68,0.6,0.61,0.64,0.55,0.64,0.6,0.51,0.58,0.58,0.59,0.47,0.51,0.53,0.52,0.54,0.51,0.53,0.51,0.49,0.46,0.47,0.48,0.46,0.42,0.42,0.4,0.39,0.36,0.33,0.35,0.34,0.36,0.37,0.36,0.34,0.36,0.32,0.34,0.35,0.31,0.31,0.31,0.31,0.29,0.28,0.25,0.27,0.24,0.24,0.23,0.2,0.19,0.17,0.16,0.12,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/21/2021,15.26,7.99,4.63,2.99,2.76,2.73,2.34,2.4,2.14,1.8,1.57,1.56,1.48,1.21,1.22,1.26,1.21,1.13,1.04,0.9,1.04,0.92,0.96,0.98,0.93,0.94,0.86,0.85,0.79,0.82,0.76,0.76,0.75,0.72,0.71,0.75,0.7,0.66,0.6,0.69,0.67,0.66,0.65,0.64,0.65,0.68,0.6,0.61,0.64,0.55,0.64,0.6,0.51,0.58,0.58,0.59,0.47,0.51,0.53,0.52,0.54,0.51,0.53,0.51,0.49,0.46,0.47,0.48,0.46,0.42,0.42,0.4,0.39,0.36,0.33,0.35,0.34,0.36,0.37,0.36,0.34,0.36,0.32,0.34,0.35,0.31,0.31,0.31,0.31,0.29,0.28,0.25,0.27,0.24,0.24,0.23,0.2,0.19,0.17,0.16,0.12,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,15.26,7.99,4.63,2.99,2.76,2.73,2.34,2.4,2.14,1.8,1.57,1.56,1.48,1.21,1.22,1.26,1.21,1.13,1.04,0.9,1.04,0.92,0.96,0.98,0.93,0.94,0.86,0.85,0.79,0.82,0.76,0.76,0.75,0.72,0.71,0.75,0.7,0.66,0.6,0.69,0.67,0.66,0.65,0.64,0.65,0.68,0.6,0.61,0.64,0.55,0.64,0.6,0.51,0.58,0.58,0.59,0.47,0.51,0.53,0.52,0.54,0.51,0.53,0.51,0.49,0.46,0.47,0.48,0.46,0.42,0.42,0.4,0.39,0.36,0.33,0.35,0.34,0.36,0.37,0.36,0.34,0.36,0.32,0.34,0.35,0.31,0.31,0.31,0.31,0.29,0.28,0.25,0.27,0.24,0.24,0.23,0.2,0.19,0.17,0.16,0.12,0.07,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
