,SAIA,CIVI,PDCE,TNDM,PIPR,MTSI,WTFC,EVR,AIT,SHOO,AVNT,SHYF,SLAB,THC,BANR,FOXF,BECN,LSCC,RRX,PACW,ACHC,STAG,WK,NOG,HUBG,AZEK,PZZA,EGP,PNFP,SPXC,AIMC,ELF,AXNX,MTH,BKH,CYBR,MLKN,FUL,AEIS,OMCL,SR,HQY,VBTX,EVRI,MGPI,ICFI,OPCH,RM,ILPT,HOMB,ATRC,VRRM,n/a,TTMI,CVLT,ESTA,BLFS,SEM,PFBC,ABCB,ASGN,ASAN,MGNI,URBN,EB,TXRH,ESE,BDN,LPSN,AMN,NTRA,ZD,INN,LADR,NDLS,KTB,TENB,COOK,PCRX,BAND,BIGC,TCMD,AA,BBIO,NTLA,BPMC,HALO,ARNA,IOVA,FATE,ARWR,CCSI,ASTE,SUM
12/01/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
12/02/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
12/06/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
12/07/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
12/08/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
12/09/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
12/10/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
12/13/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
12/14/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
12/15/2021,2.14,1.72,1.71,1.71,1.69,1.63,1.52,1.48,1.48,1.47,1.46,1.44,1.43,1.43,1.41,1.39,1.39,1.35,1.33,1.33,1.3,1.29,1.28,1.27,1.26,1.23,1.22,1.22,1.21,1.21,1.21,1.2,1.2,1.2,1.19,1.16,1.16,1.16,1.15,1.15,1.12,1.12,1.12,1.12,1.12,1.1,1.09,1.07,1.07,1.07,1.06,1.05,1.04,1.04,1.03,1.03,1.02,1.02,1.02,1.01,0.99,0.98,0.97,0.94,0.9,0.9,0.88,0.88,0.86,0.86,0.85,0.85,0.83,0.82,0.81,0.81,0.8,0.78,0.72,0.68,0.68,0.66,0.65,0.49,0.48,0.47,0.44,0.41,0.41,0.4,0.24,0.18,0.1,100.0
