,JNJ,UNH,PFE,ABT,ABBV,TMO,MRK,LLY,DHR,MDT,BMY,AMGN,ISRG,CVS,ANTM,ZTS,SYK,GILD,CI,BDX,ILMN,EW,BSX,REGN,HUM,HCA,IDXX,BIIB,VRTX,IQV,A,ALGN,CNC,DXCM,BAX,ALXN,RMD,ZBH,MTD,MCK,WST,LH,CERN,WAT,STE,COO,CTLT,TFX,CRL,HOLX,PKI,DGX,VTRS,ABC,CAH,INCY,ABMD,BIO,XRAY,UHS,HSIC,DVA,OGN,Perrigo Co. Plc,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,State Street Instl Liquid Reserves Prem,PRGO,MRNA,SUM
07/09/2021,9.21,8.06,4.58,4.4,4.26,4.23,4.12,3.9,3.68,3.56,3.1,2.92,2.34,2.23,1.97,1.92,1.81,1.79,1.68,1.51,1.44,1.38,1.29,1.27,1.22,1.18,1.17,1.08,1.08,1.0,0.94,0.91,0.89,0.88,0.85,0.85,0.75,0.71,0.69,0.62,0.57,0.57,0.5,0.46,0.43,0.42,0.4,0.4,0.39,0.37,0.37,0.36,0.36,0.36,0.34,0.33,0.31,0.3,0.29,0.25,0.22,0.18,0.16,0.13,0.09,0.0,0.0,0.0,0.0,100.03
07/12/2021,9.26,8.04,4.57,4.41,4.27,4.24,4.11,3.93,3.65,3.57,3.1,2.92,2.34,2.2,1.96,1.94,1.8,1.77,1.65,1.52,1.44,1.4,1.28,1.25,1.22,1.17,1.17,1.16,1.06,0.99,0.94,0.92,0.88,0.89,0.85,0.84,0.76,0.69,0.69,0.62,0.57,0.56,0.5,0.47,0.43,0.42,0.4,0.41,0.39,0.37,0.36,0.36,0.35,0.35,0.34,0.32,0.31,0.3,0.28,0.24,0.22,0.18,0.16,0.13,0.12,0.0,0.0,0.0,0.0,100.01
07/13/2021,9.26,8.04,4.57,4.41,4.27,4.24,4.11,3.93,3.65,3.57,3.1,2.92,2.34,2.2,1.96,1.94,1.8,1.77,1.65,1.52,1.44,1.4,1.28,1.25,1.22,1.17,1.17,1.16,1.06,0.99,0.94,0.92,0.88,0.89,0.85,0.84,0.76,0.69,0.69,0.62,0.57,0.56,0.5,0.47,0.43,0.42,0.4,0.41,0.39,0.37,0.36,0.36,0.35,0.35,0.34,0.32,0.31,0.3,0.28,0.24,0.22,0.18,0.16,0.13,0.12,0.0,0.0,0.0,0.0,100.01
07/14/2021,9.26,8.06,4.59,4.41,4.27,4.21,4.09,3.88,3.65,3.57,3.11,2.92,2.33,2.22,1.97,1.94,1.79,1.77,1.67,1.5,1.44,1.38,1.28,1.26,1.22,1.19,1.18,1.12,1.06,1.0,0.94,0.94,0.89,0.88,0.84,0.84,0.75,0.69,0.69,0.62,0.57,0.57,0.5,0.47,0.43,0.42,0.4,0.41,0.4,0.37,0.36,0.37,0.36,0.35,0.34,0.32,0.31,0.3,0.28,0.25,0.22,0.18,0.16,0.13,0.12,0.0,0.0,0.0,0.0,100.01
07/15/2021,9.23,8.12,4.6,4.37,4.3,4.18,4.06,3.89,3.65,3.57,3.12,2.9,2.35,2.23,2.01,1.95,1.79,1.77,1.67,1.5,1.46,1.37,1.28,1.24,1.22,1.2,1.16,1.09,1.06,0.98,0.94,0.96,0.9,0.89,0.84,0.85,0.75,0.69,0.69,0.62,0.57,0.57,0.5,0.47,0.43,0.42,0.4,0.41,0.39,0.37,0.36,0.37,0.36,0.35,0.34,0.32,0.3,0.3,0.28,0.25,0.22,0.18,0.16,0.13,0.12,0.0,0.0,0.0,0.0,100.02
07/16/2021,9.23,8.18,4.6,4.36,4.31,4.19,4.07,3.88,3.64,3.55,3.12,2.91,2.34,2.23,2.02,1.96,1.77,1.77,1.67,1.5,1.46,1.37,1.26,1.25,1.23,1.19,1.17,1.1,1.06,0.99,0.94,0.96,0.9,0.89,0.84,0.85,0.75,0.68,0.69,0.62,0.57,0.57,0.5,0.47,0.42,0.42,0.4,0.41,0.39,0.36,0.36,0.37,0.35,0.35,0.34,0.31,0.3,0.3,0.28,0.25,0.22,0.18,0.15,0.13,0.12,0.0,0.0,0.0,0.0,100.02
07/19/2021,9.22,8.25,4.67,4.31,4.3,4.21,4.1,3.83,3.71,3.51,3.13,2.95,2.35,2.25,2.02,1.98,1.75,1.78,1.68,1.49,1.4,1.38,1.24,1.28,1.25,1.2,1.17,1.03,1.08,0.98,0.94,0.93,0.89,0.88,0.85,0.83,0.76,0.66,0.7,0.62,0.57,0.56,0.5,0.48,0.42,0.41,0.39,0.37,0.39,0.36,0.36,0.36,0.35,0.35,0.34,0.31,0.29,0.3,0.28,0.25,0.22,0.17,0.15,0.13,0.12,0.0,0.0,0.0,0.0,99.99
07/20/2021,9.19,8.22,4.69,4.33,4.31,4.24,4.1,3.84,3.75,3.51,3.12,2.96,2.33,2.23,2.0,1.97,1.75,1.79,1.66,1.5,1.41,1.38,1.24,1.27,1.26,1.2,1.18,1.01,1.09,0.98,0.94,0.92,0.88,0.9,0.85,0.82,0.76,0.66,0.7,0.62,0.57,0.56,0.48,0.47,0.42,0.41,0.39,0.38,0.4,0.37,0.36,0.36,0.35,0.35,0.34,0.31,0.3,0.3,0.28,0.25,0.22,0.17,0.15,0.0,0.0,0.0,0.13,0.13,0.0,100.01
07/21/2021,9.19,8.22,4.69,4.33,4.31,4.24,4.1,3.84,3.75,3.51,3.12,2.96,2.33,2.23,2.0,1.97,1.75,1.79,1.67,1.5,1.41,1.38,1.24,1.27,1.26,1.2,1.18,1.01,1.09,0.98,0.94,0.92,0.88,0.9,0.85,0.82,0.76,0.66,0.7,0.62,0.57,0.56,0.48,0.47,0.42,0.41,0.39,0.38,0.4,0.37,0.36,0.36,0.35,0.35,0.34,0.31,0.3,0.3,0.28,0.25,0.22,0.17,0.15,0.13,0.13,0.0,0.0,0.0,0.0,100.01999999999998
07/22/2021,9.19,8.22,4.69,4.33,4.31,4.24,4.1,3.84,3.75,3.51,3.12,2.96,2.33,2.23,2.0,1.97,1.75,1.79,1.66,1.5,1.41,1.38,1.24,1.27,1.26,1.2,1.18,1.01,1.09,0.98,0.94,0.92,0.88,0.9,0.85,0.82,0.76,0.66,0.7,0.62,0.57,0.56,0.48,0.47,0.42,0.41,0.39,0.38,0.4,0.37,0.36,0.36,0.35,0.35,0.34,0.31,0.3,0.3,0.28,0.25,0.22,0.17,0.15,0.0,0.0,0.0,0.13,0.13,0.0,100.01
07/23/2021,9.1,7.99,4.71,4.33,4.2,4.21,3.96,3.84,3.69,3.46,3.06,2.91,2.32,2.21,1.96,1.95,1.72,1.78,1.63,1.47,1.46,1.36,1.25,1.26,1.22,1.34,1.17,1.0,1.04,0.97,0.93,0.91,0.86,0.89,0.83,0.0,0.76,0.67,0.69,0.63,0.56,0.55,0.48,0.47,0.42,0.41,0.39,0.37,0.4,0.37,0.36,0.37,0.34,0.35,0.34,0.3,0.3,0.3,0.28,0.24,0.22,0.17,0.15,0.13,0.12,-0.04,0.0,0.0,1.92,100.01
07/26/2021,9.1,7.98,4.72,4.27,4.22,4.19,3.94,3.86,3.73,3.48,3.09,2.86,2.34,2.21,1.91,1.94,1.73,1.75,1.62,1.47,1.44,1.35,1.26,1.25,1.22,1.32,1.18,1.0,1.03,0.95,0.93,0.92,0.87,0.89,0.82,0.0,0.76,0.67,0.69,0.64,0.56,0.56,0.48,0.47,0.42,0.4,0.4,0.37,0.4,0.37,0.36,0.37,0.34,0.36,0.35,0.3,0.3,0.3,0.28,0.24,0.22,0.17,0.16,0.13,0.08,0.0,0.0,0.0,2.01,100.0
07/27/2021,9.09,7.92,4.69,4.31,4.19,4.2,3.95,3.91,3.72,3.47,3.07,2.86,2.32,2.2,1.88,1.94,1.73,1.74,1.61,1.47,1.45,1.37,1.26,1.23,1.22,1.31,1.19,0.98,1.04,0.96,0.93,0.92,0.86,0.9,0.82,0.0,0.76,0.67,0.69,0.64,0.57,0.56,0.47,0.48,0.42,0.41,0.4,0.37,0.4,0.37,0.37,0.37,0.34,0.36,0.35,0.3,0.3,0.3,0.28,0.24,0.22,0.17,0.15,0.0,0.0,0.0,0.08,0.13,2.14,100.02
07/28/2021,9.09,7.92,4.69,4.31,4.19,4.2,3.95,3.91,3.72,3.47,3.07,2.86,2.32,2.2,1.88,1.94,1.73,1.74,1.61,1.47,1.45,1.37,1.26,1.23,1.22,1.31,1.19,0.98,1.04,0.96,0.93,0.92,0.86,0.9,0.82,0.0,0.76,0.67,0.69,0.64,0.57,0.56,0.47,0.48,0.42,0.41,0.4,0.37,0.4,0.37,0.37,0.37,0.34,0.36,0.35,0.3,0.3,0.3,0.28,0.24,0.22,0.17,0.15,0.0,0.0,0.0,0.08,0.13,2.14,100.02
07/29/2021,9.15,7.89,4.73,4.29,4.21,4.2,3.95,3.91,3.72,3.48,3.06,2.85,2.31,2.21,1.87,1.93,1.75,1.74,1.58,1.47,1.45,1.37,1.26,1.22,1.22,1.31,1.18,1.01,1.04,0.96,0.92,0.93,0.86,0.88,0.82,0.0,0.76,0.67,0.69,0.65,0.56,0.55,0.48,0.48,0.42,0.4,0.39,0.38,0.4,0.37,0.39,0.37,0.34,0.36,0.35,0.29,0.3,0.3,0.28,0.24,0.22,0.17,0.15,0.13,0.77,-0.69,0.0,0.0,2.07,99.97
