,2SPY  211231C00003010,2QQQ  211231C00313760,Cash&Other,2SPY  211231C00410560,2QQQ  211231C00344520,SUM
07/09/2021,100.26,15.04,1.1,-7.97,-8.44,99.99
07/12/2021,101.61,15.42,0.23,-8.56,-8.7,100.0
07/13/2021,101.61,15.42,0.23,-8.56,-8.7,100.0
07/14/2021,101.61,15.42,0.23,-8.56,-8.7,100.0
07/15/2021,101.85,15.78,0.22,-8.87,-8.99,99.99
07/16/2021,101.72,15.82,0.22,-8.71,-9.05,100.0
07/19/2021,101.56,15.25,0.21,-8.47,-8.56,99.99
07/20/2021,101.18,14.76,0.21,-8.0,-8.15,100.0
07/21/2021,101.18,14.76,0.21,-8.0,-8.15,100.0
07/22/2021,100.52,14.29,0.21,-7.22,-7.8,100.0
07/23/2021,101.22,15.1,0.21,-8.13,-8.4,100.0
07/26/2021,101.55,16.18,0.2,-8.68,-9.26,99.99
07/27/2021,102.09,17.0,0.2,-9.31,-9.98,100.0
07/28/2021,102.09,17.0,0.2,-9.31,-9.98,100.0
07/29/2021,102.29,17.13,0.19,-9.55,-10.07,99.99
07/30/2021,102.04,16.03,0.19,-9.13,-9.14,99.99
08/02/2021,102.22,16.25,0.18,-9.34,-9.31,100.0
08/03/2021,102.06,16.23,0.18,-9.19,-9.29,99.99
08/04/2021,102.06,16.23,0.18,-9.19,-9.29,99.99
08/05/2021,101.91,16.2,0.18,-9.04,-9.25,100.0
08/06/2021,102.2,16.49,0.18,-9.38,-9.49,100.0
08/10/2021,102.3,16.63,0.18,-9.56,-9.54,100.01
08/11/2021,102.3,16.63,0.18,-9.56,-9.54,100.01
08/12/2021,102.23,16.77,0.18,-9.51,-9.67,100.0
08/13/2021,102.35,16.31,0.17,-9.53,-9.31,99.99
08/16/2021,102.64,16.41,0.16,-9.85,-9.38,99.98
08/17/2021,102.73,16.66,0.16,-9.98,-9.57,100.0
08/18/2021,102.73,16.66,0.16,-9.98,-9.57,100.0
08/19/2021,103.0,16.67,0.16,-10.25,-9.58,100.0
08/20/2021,102.55,15.88,0.16,-9.69,-8.9,100.0
08/23/2021,102.18,15.91,0.15,-9.27,-8.98,99.99
08/24/2021,102.44,16.63,0.15,-9.68,-9.54,100.0
08/25/2021,102.44,16.63,0.15,-9.68,-9.54,100.0
08/26/2021,102.86,17.81,0.14,-10.31,-10.51,99.99
08/27/2021,102.88,17.98,0.14,-10.37,-10.63,100.0
08/30/2021,102.75,17.54,0.13,-10.16,-10.28,99.98
08/31/2021,103.11,18.25,0.13,-10.64,-10.85,100.0
09/01/2021,103.11,18.25,0.13,-10.64,-10.85,100.0
09/02/2021,103.4,19.32,0.13,-11.04,-11.81,100.0
09/03/2021,103.4,19.29,0.13,-11.05,-11.77,100.0
09/06/2021,103.45,19.15,0.11,-11.06,-11.66,99.99
09/07/2021,103.4,19.56,0.11,-11.04,-12.03,100.0
09/08/2021,103.4,19.56,0.11,-11.04,-12.03,100.0
09/09/2021,103.4,19.56,0.11,-11.04,-12.03,100.0
09/10/2021,103.17,19.67,0.11,-10.81,-12.15,99.99
09/13/2021,102.82,19.1,0.1,-10.38,-11.64,100.0
09/14/2021,102.41,18.54,0.1,-9.93,-11.13,99.98999999999998
09/15/2021,102.41,18.54,0.1,-9.93,-11.13,99.98999999999998
09/16/2021,102.4,18.4,0.1,-9.94,-10.96,100.0
09/17/2021,101.97,18.17,0.1,-9.49,-10.74,100.01
