,OTIS,EVR,JEF,ACI,BAH,PLTK,CRWD,ALLY,FTNT,AMCR,IDXX,MSI,AMP,VRSN,SYF,TREX,CDNS,VST,RS,FICO,VER,KR,BPOP,SLG,OMF,CARR,SGFY,DPZ,MSCI,POOL,AZO,AZPN,DVN,WSM,LII,LAZ,ALSN,BBY,HPE,BRX,ENPH,ZBRA,QRVO,ETR,ORLY,TER,MANH,HUBS,NRG,HPQ,VEEV,EXPD,PAYX,SMG,PRI,MTCH,DFS,MOH,LULU,MCK,CDW,DKS,LESL,HLF,W,RHI,FLO,WTM,DVA,CHE,BPYU,TT,AVY,STNE,KEYS,MTD,PHM,WRI,UI,TPX,RL,EQH,AFG,SNPS,ZS,PFG,CNXC,KIM,MCFE,DTE,CTAS,VNT,HOLX,MRO,BHF,XRX,FCN,ZNGA,MXIM,OKTA,GWW,DOV,CTXS,AEE,ALXN,AMED,MAS,RPRX,HSY,PNW,FL,DBX,SEE,AM,PTON,NVT,PANW,IDA,TTWO,NTAP,ETSY,QDEL,DT,GRMN,FE,LPLA,CLX,SHC,WORK,HZNP,DGX,AGCO,ROK,JBL,CIEN,GO,XLRN,LUMN,AN,XTSLA,LB,PNR,TSCO,YUMC,BURL,HRB,SMAR,BRKR,EQR,PII,LITE,KSS,AVTR,CRUS,WU,SHLS,RNG,FNF,DNB,COLM,RJF,NVCR,AVLR,CAH,HIG,STE,STT,NBIX,HIW,GNRC,TTC,CACI,CFG,GLPI,FOXA,QRTEA,ATH,EHC,ANET,MDB,GDDY,MDU,STLD,FAF,CMA,PINS,PODD,SNX,THG,CRI,OMC,DOX,IPG,AVT,PLAN,FFIV,AGO,UHS,NTNX,NWL,USD,UPST,NWS,MRVI,APA,DTM WI,LPX,OGN,DECK,SF,YUM,SBAC,A,BLD,GME,DRE,NTRA,RSG,NET,AFL,RH,CPB,SPB,ODFL,SLGN,AA,FR,DOCU,127.HK,DXCM,RMD,LDOS,MAN,SUM
07/09/2021,2.22,1.56,1.37,1.22,1.16,1.1,1.09,0.95,0.9,0.9,0.86,0.85,0.84,0.84,0.83,0.83,0.81,0.78,0.78,0.76,0.74,0.73,0.72,0.71,0.71,0.7,0.7,0.67,0.67,0.66,0.66,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.63,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.59,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.53,0.52,0.52,0.51,0.49,0.48,0.48,0.48,0.48,0.48,0.46,0.46,0.46,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.13
07/12/2021,2.26,1.51,1.28,1.26,1.19,1.1,1.09,0.94,0.92,0.91,0.87,0.85,0.83,0.85,0.82,0.83,0.81,0.8,0.78,0.76,0.74,0.74,0.71,0.69,0.71,0.71,0.72,0.68,0.67,0.67,0.65,0.65,0.66,0.65,0.65,0.64,0.65,0.63,0.64,0.61,0.58,0.61,0.6,0.61,0.6,0.58,0.59,0.59,0.59,0.57,0.57,0.58,0.57,0.54,0.54,0.54,0.54,0.54,0.54,0.52,0.52,0.52,0.49,0.49,0.48,0.49,0.48,0.47,0.47,0.46,0.46,0.46,0.44,0.41,0.44,0.43,0.42,0.43,0.43,0.41,0.42,0.41,0.42,0.43,0.43,0.41,0.41,0.4,0.4,0.41,0.4,0.39,0.4,0.39,0.37,0.4,0.38,0.37,0.36,0.38,0.37,0.37,0.38,0.38,0.37,0.38,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.36,0.35,0.36,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.32,0.31,0.29,0.3,0.28,0.3,0.3,0.35,0.29,0.3,0.29,0.28,0.27,0.28,0.28,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.26,0.26,0.25,0.19,0.26,0.26,0.26,0.26,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.22,0.24,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.0,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.0,0.17,0.0,0.17,0.26,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.14
07/13/2021,2.26,1.51,1.28,1.26,1.19,1.1,1.09,0.94,0.92,0.91,0.87,0.85,0.83,0.85,0.82,0.83,0.81,0.8,0.78,0.76,0.74,0.74,0.71,0.69,0.71,0.71,0.72,0.68,0.67,0.67,0.65,0.65,0.66,0.65,0.65,0.64,0.65,0.63,0.64,0.61,0.58,0.61,0.6,0.61,0.6,0.58,0.59,0.59,0.59,0.57,0.57,0.58,0.57,0.54,0.54,0.54,0.54,0.54,0.54,0.52,0.52,0.52,0.49,0.49,0.48,0.49,0.48,0.47,0.47,0.46,0.46,0.46,0.44,0.41,0.44,0.43,0.42,0.43,0.43,0.41,0.42,0.41,0.42,0.43,0.43,0.41,0.41,0.4,0.4,0.41,0.4,0.39,0.4,0.39,0.37,0.4,0.38,0.37,0.36,0.38,0.37,0.37,0.38,0.38,0.37,0.38,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.36,0.35,0.36,0.35,0.36,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.32,0.31,0.29,0.3,0.28,0.3,0.3,0.35,0.29,0.3,0.29,0.28,0.27,0.28,0.28,0.29,0.29,0.28,0.27,0.26,0.26,0.25,0.26,0.26,0.25,0.19,0.26,0.26,0.26,0.26,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.22,0.24,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.0,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.0,0.17,0.0,0.17,0.26,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.14
07/14/2021,2.24,1.48,1.3,1.27,1.18,1.11,1.08,0.97,0.92,0.9,0.86,0.85,0.85,0.84,0.84,0.84,0.8,0.81,0.78,0.77,0.74,0.74,0.73,0.7,0.72,0.7,0.67,0.67,0.67,0.67,0.66,0.64,0.67,0.66,0.64,0.64,0.65,0.63,0.64,0.62,0.59,0.61,0.6,0.6,0.61,0.59,0.58,0.58,0.6,0.56,0.57,0.58,0.57,0.55,0.55,0.55,0.56,0.54,0.53,0.51,0.52,0.53,0.51,0.48,0.47,0.49,0.47,0.46,0.47,0.45,0.45,0.46,0.44,0.4,0.44,0.44,0.42,0.43,0.43,0.41,0.42,0.42,0.43,0.42,0.43,0.41,0.41,0.41,0.39,0.4,0.4,0.39,0.39,0.39,0.39,0.4,0.37,0.36,0.36,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.36,0.35,0.34,0.35,0.33,0.36,0.34,0.36,0.34,0.36,0.35,0.33,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.31,0.29,0.3,0.28,0.3,0.31,0.23,0.3,0.3,0.29,0.28,0.27,0.28,0.28,0.28,0.29,0.29,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.2,0.26,0.26,0.26,0.26,0.24,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.23,0.24,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.17,0.17,0.0,0.17,0.0,0.17,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.96000000000001
07/15/2021,2.24,1.48,1.3,1.27,1.18,1.11,1.08,0.97,0.92,0.9,0.86,0.85,0.85,0.84,0.84,0.84,0.8,0.81,0.78,0.77,0.74,0.74,0.73,0.7,0.72,0.7,0.67,0.67,0.67,0.67,0.66,0.64,0.67,0.66,0.64,0.64,0.65,0.63,0.64,0.62,0.59,0.61,0.6,0.6,0.61,0.59,0.58,0.58,0.6,0.56,0.57,0.58,0.57,0.55,0.55,0.55,0.56,0.54,0.53,0.51,0.52,0.53,0.51,0.48,0.47,0.49,0.47,0.46,0.47,0.45,0.45,0.46,0.44,0.4,0.44,0.44,0.42,0.43,0.43,0.41,0.42,0.42,0.43,0.42,0.43,0.41,0.41,0.41,0.39,0.4,0.4,0.39,0.39,0.39,0.39,0.4,0.37,0.36,0.36,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.36,0.35,0.34,0.35,0.33,0.36,0.34,0.36,0.34,0.36,0.35,0.33,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.31,0.29,0.3,0.28,0.3,0.31,0.23,0.3,0.3,0.29,0.28,0.27,0.28,0.28,0.28,0.29,0.29,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.2,0.26,0.26,0.26,0.26,0.24,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.23,0.24,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.17,0.17,0.0,0.17,0.0,0.17,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.96000000000001
07/16/2021,2.26,1.55,1.31,1.25,1.19,1.12,1.08,0.99,0.93,0.92,0.86,0.85,0.86,0.83,0.85,0.83,0.81,0.8,0.79,0.76,0.74,0.74,0.73,0.69,0.72,0.72,0.68,0.69,0.68,0.67,0.66,0.64,0.68,0.66,0.63,0.65,0.65,0.64,0.61,0.61,0.59,0.6,0.61,0.6,0.61,0.6,0.57,0.56,0.58,0.53,0.57,0.58,0.57,0.54,0.55,0.56,0.58,0.54,0.53,0.52,0.51,0.52,0.48,0.47,0.46,0.49,0.47,0.46,0.47,0.46,0.45,0.47,0.44,0.4,0.44,0.45,0.41,0.43,0.42,0.41,0.42,0.41,0.43,0.42,0.43,0.41,0.41,0.41,0.39,0.41,0.39,0.38,0.39,0.39,0.39,0.39,0.37,0.36,0.37,0.38,0.37,0.38,0.36,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.36,0.35,0.36,0.35,0.35,0.34,0.32,0.33,0.34,0.33,0.33,0.32,0.31,0.32,0.32,0.32,0.33,0.32,0.31,0.29,0.3,0.27,0.3,0.32,0.69,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.29,0.29,0.28,0.27,0.26,0.27,0.25,0.26,0.21,0.24,0.19,0.26,0.26,0.27,0.26,0.24,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.24,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.17,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.0,0.17,0.16,0.17,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.42
07/19/2021,1.6,1.41,1.09,1.04,0.95,0.88,0.9,0.91,0.84,0.72,0.74,0.7,0.74,0.69,0.76,0.61,0.74,0.57,0.6,0.63,0.83,0.75,0.62,0.89,0.78,0.59,0.48,0.63,0.82,0.49,0.52,0.63,0.58,0.64,0.47,0.7,0.49,0.64,0.59,0.74,0.39,0.55,0.58,0.54,0.49,0.57,0.53,0.55,0.41,0.53,0.56,0.48,0.41,0.52,0.47,0.55,0.43,0.47,0.5,0.5,0.43,0.45,0.45,0.5,0.48,0.43,0.42,0.35,0.43,0.39,0.5,0.4,0.34,0.35,0.37,0.46,0.32,0.44,0.35,0.36,0.34,0.37,0.31,0.47,0.37,0.37,0.36,0.44,0.28,0.32,0.34,0.32,0.34,0.0,0.36,0.36,0.33,0.27,0.39,0.32,0.32,0.32,0.46,0.31,0.4,0.33,0.35,0.34,0.29,0.26,0.2,0.3,0.29,0.34,0.25,0.32,0.35,0.24,0.34,0.37,0.27,0.32,0.25,0.26,0.21,0.26,0.41,0.32,0.31,0.29,0.29,0.26,0.35,0.3,0.27,0.26,0.27,0.32,0.27,0.58,0.27,0.25,0.28,0.23,0.18,0.21,0.23,0.2,0.34,0.24,0.28,0.21,0.27,0.24,0.23,0.0,0.24,0.28,0.25,0.19,0.3,0.0,0.18,0.27,0.0,0.22,0.36,0.19,0.3,0.27,0.18,0.26,0.0,0.26,0.0,0.27,0.17,0.0,0.24,0.17,0.25,0.0,0.0,0.21,0.0,0.27,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,2.24,1.12,0.74,0.6,0.6,0.59,0.36,0.34,0.32,0.28,0.24,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.34
07/20/2021,1.6,1.41,1.09,1.04,0.95,0.88,0.9,0.91,0.84,0.72,0.74,0.7,0.74,0.69,0.76,0.61,0.74,0.57,0.6,0.63,0.83,0.75,0.62,0.89,0.78,0.59,0.48,0.63,0.82,0.49,0.52,0.63,0.58,0.64,0.47,0.7,0.49,0.64,0.59,0.74,0.39,0.55,0.58,0.54,0.49,0.57,0.53,0.55,0.41,0.53,0.56,0.48,0.41,0.52,0.47,0.55,0.43,0.47,0.5,0.5,0.43,0.45,0.45,0.5,0.48,0.43,0.42,0.35,0.43,0.39,0.5,0.4,0.34,0.35,0.37,0.46,0.32,0.44,0.35,0.36,0.34,0.37,0.31,0.47,0.37,0.37,0.36,0.44,0.28,0.32,0.34,0.32,0.34,0.0,0.36,0.36,0.33,0.27,0.39,0.32,0.32,0.32,0.46,0.31,0.4,0.33,0.35,0.34,0.29,0.26,0.2,0.3,0.29,0.34,0.25,0.32,0.35,0.24,0.34,0.37,0.27,0.32,0.25,0.26,0.21,0.26,0.41,0.32,0.31,0.29,0.29,0.26,0.35,0.3,0.27,0.26,0.27,0.32,0.27,0.58,0.27,0.25,0.28,0.23,0.18,0.21,0.23,0.2,0.34,0.24,0.28,0.21,0.27,0.24,0.23,0.0,0.24,0.28,0.25,0.19,0.3,0.0,0.18,0.27,0.0,0.22,0.36,0.19,0.3,0.27,0.18,0.26,0.0,0.26,0.0,0.27,0.17,0.0,0.24,0.17,0.25,0.0,0.0,0.21,0.0,0.27,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,2.24,1.12,0.74,0.6,0.6,0.59,0.36,0.34,0.32,0.28,0.24,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.34
07/21/2021,1.61,1.38,1.07,1.05,0.96,0.9,0.91,0.9,0.85,0.72,0.76,0.69,0.74,0.7,0.75,0.62,0.74,0.57,0.59,0.64,0.84,0.77,0.61,0.88,0.77,0.59,0.51,0.63,0.83,0.49,0.52,0.64,0.57,0.63,0.48,0.69,0.49,0.64,0.58,0.74,0.39,0.55,0.57,0.55,0.49,0.56,0.53,0.56,0.41,0.52,0.57,0.48,0.41,0.53,0.48,0.55,0.42,0.47,0.5,0.5,0.43,0.44,0.45,0.51,0.47,0.43,0.42,0.35,0.43,0.39,0.5,0.4,0.34,0.34,0.36,0.47,0.32,0.44,0.35,0.36,0.33,0.36,0.31,0.47,0.37,0.37,0.36,0.44,0.28,0.33,0.36,0.32,0.35,0.0,0.35,0.35,0.33,0.27,0.39,0.32,0.32,0.32,0.47,0.31,0.4,0.33,0.36,0.34,0.3,0.26,0.2,0.3,0.28,0.33,0.25,0.32,0.35,0.25,0.35,0.36,0.28,0.34,0.25,0.26,0.21,0.26,0.42,0.32,0.31,0.29,0.29,0.26,0.35,0.3,0.27,0.26,0.28,0.31,0.27,0.23,0.26,0.24,0.28,0.23,0.17,0.21,0.23,0.19,0.35,0.24,0.28,0.21,0.27,0.24,0.24,0.0,0.25,0.29,0.26,0.19,0.3,0.0,0.18,0.28,0.0,0.22,0.37,0.19,0.3,0.27,0.18,0.26,0.0,0.26,0.0,0.26,0.0,0.0,0.24,0.17,0.25,0.0,0.0,0.23,0.0,0.26,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,2.21,1.08,0.75,0.6,0.59,0.59,0.36,0.34,0.32,0.29,0.24,0.23,0.22,0.21,0.2,0.2,0.2,0.21,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.12
07/22/2021,1.61,1.36,1.05,1.1,0.95,0.91,0.92,0.87,0.86,0.71,0.77,0.69,0.72,0.71,0.73,0.62,0.75,0.55,0.58,0.64,0.84,0.81,0.6,0.85,0.76,0.58,0.53,0.63,0.83,0.5,0.52,0.65,0.56,0.64,0.48,0.69,0.48,0.64,0.58,0.71,0.4,0.55,0.58,0.54,0.5,0.57,0.55,0.56,0.4,0.53,0.58,0.49,0.41,0.53,0.47,0.53,0.41,0.46,0.51,0.51,0.43,0.44,0.45,0.51,0.49,0.43,0.43,0.35,0.43,0.39,0.5,0.4,0.33,0.34,0.37,0.47,0.32,0.42,0.36,0.35,0.32,0.35,0.31,0.48,0.38,0.36,0.35,0.41,0.29,0.33,0.36,0.32,0.36,0.0,0.34,0.34,0.34,0.28,0.39,0.33,0.32,0.32,0.47,0.31,0.41,0.33,0.36,0.34,0.3,0.26,0.19,0.3,0.28,0.33,0.27,0.31,0.36,0.25,0.35,0.37,0.29,0.38,0.26,0.27,0.21,0.25,0.43,0.32,0.32,0.29,0.3,0.25,0.35,0.3,0.27,0.27,0.28,0.31,0.28,0.23,0.25,0.24,0.27,0.23,0.17,0.21,0.24,0.2,0.35,0.24,0.28,0.2,0.28,0.24,0.23,0.0,0.24,0.28,0.26,0.19,0.29,0.0,0.19,0.28,0.0,0.22,0.35,0.19,0.29,0.28,0.18,0.26,0.0,0.25,0.0,0.26,0.0,0.0,0.24,0.18,0.25,0.0,0.0,0.21,0.0,0.28,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,2.21,1.06,0.76,0.6,0.57,0.58,0.37,0.34,0.32,0.3,0.24,0.22,0.22,0.22,0.2,0.2,0.21,0.2,0.19,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,86.06
