,ALB,002812 C2,300750 C2,002460 C2,300014 C2,002371 C2,1211 HK,300450 C2,MIN.AX,006400.KS,051910.KS,SQM,6752.T,TSLA,300207 C2,ENS,603659 C1,300037 C2,LTHM,VAR1.DE,300073 C2,6674.T,6121 TT,PLS.AX,ORE.AX,819.HK,066970.KQ,020150.KS,GXY.AX,300457 C2,AMG.AS,LAC.TO,3211 TT,CASH,INR.AX,047310.KQ,8137.HK,082920.KQ,6619.T,L & F CO LTD - RTS,6619 JP,082920 KS,047310 KS,n/a,SUM
07/09/2021,11.93,6.61,6.12,5.67,5.63,5.28,5.01,4.4,4.21,4.18,3.78,3.66,3.6,3.5,3.07,2.67,2.29,2.18,1.85,1.81,1.75,1.26,1.24,1.17,0.95,0.83,0.79,0.78,0.73,0.66,0.63,0.39,0.34,0.27,0.25,0.13,0.12,0.12,0.11,0.03,0.0,0.0,0.0,0.0,100.0
07/12/2021,11.4,6.53,6.36,5.73,6.28,5.75,4.72,4.51,4.01,3.88,3.52,3.51,3.47,3.33,3.62,2.52,2.64,2.29,1.72,1.73,1.97,1.19,1.18,1.15,0.93,0.83,0.93,0.71,0.72,0.74,0.6,0.36,0.33,0.14,0.24,0.12,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,99.99
07/13/2021,11.4,6.53,6.36,5.73,6.28,5.75,4.72,4.51,4.01,3.88,3.52,3.51,3.47,3.33,3.62,2.52,2.64,2.29,1.72,1.73,1.97,1.19,1.18,1.15,0.93,0.83,0.93,0.71,0.72,0.74,0.6,0.36,0.33,0.14,0.24,0.12,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,99.99
07/14/2021,11.82,6.68,6.17,6.01,6.19,5.71,4.6,4.58,4.03,3.85,3.37,3.65,3.4,3.32,3.34,2.56,2.44,2.28,1.82,1.76,1.98,1.17,1.17,1.12,0.91,0.82,0.94,0.69,0.69,0.76,0.62,0.38,0.33,0.14,0.24,0.12,0.11,0.0,0.11,0.0,0.0,0.11,0.0,0.0,99.99
07/15/2021,12.0,6.83,6.08,6.3,6.47,5.53,4.72,4.52,4.0,3.64,3.27,3.66,3.31,3.29,3.25,2.46,2.55,2.52,1.83,1.68,2.01,1.14,1.12,1.1,0.89,0.75,0.88,0.66,0.68,0.74,0.59,0.4,0.31,0.13,0.24,0.11,0.11,0.0,0.11,0.0,0.0,0.1,0.0,0.0,99.98
07/16/2021,11.86,6.74,6.07,6.41,6.39,5.35,4.75,4.74,3.98,3.75,3.25,3.63,3.32,3.22,3.23,2.42,2.31,2.56,1.73,1.69,2.17,1.18,1.14,1.11,0.93,0.76,1.05,0.67,0.71,0.78,0.59,0.38,0.31,0.14,0.25,0.11,0.12,0.0,0.12,0.0,0.0,0.1,0.0,0.0,100.02
07/19/2021,12.0,7.05,6.17,6.4,6.44,5.54,4.37,4.52,4.1,3.79,3.2,3.61,3.32,3.15,3.1,2.39,2.28,2.39,1.73,1.73,2.14,1.18,1.17,1.13,0.96,0.73,1.11,0.71,0.73,0.76,0.59,0.36,0.3,0.15,0.24,0.11,0.12,0.0,0.13,0.0,0.0,0.11,0.0,0.0,100.01
07/20/2021,12.0,7.05,6.17,6.4,6.44,5.54,4.37,4.52,4.1,3.79,3.2,3.61,3.32,3.15,3.1,2.39,2.28,2.39,1.73,1.73,2.14,1.18,1.17,1.13,0.96,0.73,1.11,0.71,0.73,0.76,0.59,0.36,0.3,0.15,0.24,0.11,0.12,0.0,0.13,0.0,0.0,0.11,0.0,0.0,100.01
07/21/2021,12.07,6.55,5.95,6.5,6.36,5.59,4.49,4.35,4.16,3.92,3.36,3.59,3.46,3.23,3.08,2.44,2.21,2.31,1.62,1.8,2.08,1.23,1.2,1.17,0.99,0.77,1.16,0.75,0.75,0.75,0.58,0.35,0.3,0.15,0.26,0.12,0.12,0.0,0.13,0.0,0.0,0.11,0.0,0.0,100.01
07/22/2021,12.1,6.42,5.96,6.66,6.34,5.65,4.47,4.4,4.14,3.93,3.36,3.63,3.46,3.3,3.1,2.42,2.18,2.28,1.59,1.76,2.05,1.22,1.21,1.11,0.94,0.77,1.21,0.78,0.72,0.76,0.56,0.34,0.3,0.15,0.24,0.12,0.12,0.0,0.13,0.0,0.0,0.11,0.0,0.0,99.99
07/23/2021,12.56,6.89,5.94,6.67,6.21,5.44,4.37,4.43,4.0,3.81,3.29,3.62,3.36,3.33,3.12,2.51,2.24,2.25,1.68,1.74,2.03,1.16,1.2,1.07,0.9,0.77,1.13,0.79,0.69,0.76,0.55,0.35,0.29,0.15,0.23,0.11,0.12,0.0,0.13,0.0,0.0,0.11,0.0,0.0,100.0
07/26/2021,12.24,6.76,5.94,7.49,6.26,6.14,4.49,4.38,3.99,3.64,3.15,3.59,3.25,3.1,3.0,2.43,2.17,2.16,1.69,1.7,1.92,1.09,1.15,1.18,0.98,0.75,1.04,0.77,0.75,0.77,0.53,0.34,0.28,0.19,0.24,0.11,0.12,0.0,0.12,0.0,0.0,0.1,0.0,0.0,100.0
