,ASML.AS,INGA.AS,PRX.AS,PHIA.AS,ADYEN.AS,AD.AS,DSM.AS,WKL.AS,AKZA.AS,HEIA.AS,TKWY.AS,ASM.AS,NN.AS,CCEP,KPN.AS,IMCD.AS,RAND.AS,LIGHT.AS,AGN.AS,AER,BESI.AS,HEIO.AS,ASRNL.AS,AALB.AS,ABN.AS,PNL.AS,ARCAD.AS,CRBN.AS,VPK.AS,OCI.AS,JDEP.AS,BFIT.AS,BOKA.AS,TWEKA.AS,SBMO.AS,ECMPA.AS,ALFEN.AS,INTER.AS,ACCEL.AS,FLOW.AS,FUR.AS,INPST.AS,BAMNB.AS,SLIGR.AS,AMG.AS,VLK.AS,NSI.AS,WHA.AS,PHARM.AS,TOM2.AS,CMCOM.AS,VASTN.AS,BSGR.AS,EUR,BRNL.AS,SIFG.AS,FFARM.AS,XTSLA,FAST.AS,WFFUT,SR,VGU1,VGZ1,UMG.AS,USD,SUM
07/09/2021,24.07,6.2,5.84,5.6,5.32,4.33,4.28,3.67,3.44,3.4,2.5,2.32,2.01,1.88,1.61,1.44,1.4,1.31,1.12,1.08,1.04,0.98,0.91,0.9,0.87,0.68,0.67,0.63,0.58,0.58,0.57,0.56,0.56,0.49,0.48,0.47,0.47,0.45,0.45,0.44,0.4,0.37,0.37,0.35,0.35,0.34,0.34,0.3,0.27,0.26,0.2,0.17,0.15,0.14,0.13,0.12,0.1,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,24.53,5.96,5.79,5.38,5.43,4.32,4.28,3.79,3.54,3.4,2.42,2.34,2.02,1.88,1.62,1.45,1.4,1.31,1.13,1.08,1.02,0.98,0.92,0.89,0.85,0.69,0.66,0.63,0.58,0.59,0.54,0.54,0.54,0.47,0.46,0.47,0.46,0.45,0.44,0.44,0.39,0.38,0.34,0.33,0.36,0.33,0.35,0.3,0.27,0.27,0.18,0.18,0.15,0.13,0.13,0.11,0.1,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.04000000000002
07/19/2021,24.62,6.0,5.9,5.39,5.47,4.31,4.36,3.8,3.56,3.38,2.17,2.36,2.04,1.87,1.62,1.45,1.39,1.31,1.14,1.09,1.02,0.98,0.92,0.88,0.84,0.69,0.66,0.63,0.58,0.59,0.54,0.52,0.54,0.47,0.45,0.45,0.45,0.41,0.43,0.43,0.39,0.39,0.33,0.33,0.36,0.34,0.37,0.29,0.27,0.23,0.18,0.17,0.14,0.13,0.13,0.11,0.1,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,24.62,6.0,5.9,5.39,5.47,4.31,4.36,3.8,3.56,3.38,2.17,2.36,2.04,1.87,1.62,1.45,1.39,1.31,1.14,1.09,1.02,0.98,0.92,0.88,0.84,0.69,0.66,0.63,0.58,0.59,0.54,0.52,0.54,0.47,0.45,0.45,0.45,0.41,0.43,0.43,0.39,0.39,0.33,0.33,0.36,0.34,0.37,0.29,0.27,0.23,0.18,0.17,0.14,0.13,0.13,0.11,0.1,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,24.38,5.82,6.03,5.51,5.54,4.4,4.49,3.94,3.57,3.34,2.28,2.3,2.03,1.81,1.64,1.49,1.37,1.24,1.11,1.06,1.01,0.97,0.91,0.89,0.83,0.69,0.66,0.64,0.59,0.56,0.56,0.53,0.53,0.46,0.45,0.44,0.44,0.43,0.43,0.44,0.36,0.39,0.32,0.32,0.33,0.32,0.36,0.28,0.27,0.25,0.2,0.17,0.14,0.14,0.13,0.11,0.1,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.06
07/23/2021,24.44,5.9,5.94,5.51,5.47,4.38,4.49,3.97,3.48,3.34,2.15,2.3,2.04,1.84,1.64,1.5,1.38,1.25,1.13,1.12,1.02,0.97,0.93,0.9,0.82,0.69,0.65,0.64,0.58,0.57,0.55,0.53,0.53,0.47,0.45,0.45,0.44,0.42,0.43,0.44,0.37,0.4,0.33,0.32,0.33,0.33,0.35,0.29,0.27,0.24,0.2,0.17,0.14,0.14,0.13,0.1,0.1,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,25.62,5.95,5.35,5.23,5.61,4.35,4.42,3.96,3.36,3.19,2.31,2.38,2.03,1.84,1.63,1.49,1.28,1.14,1.12,1.1,1.07,0.93,0.92,1.0,0.83,0.66,0.68,0.59,0.53,0.55,0.5,0.57,0.53,0.49,0.44,0.44,0.48,0.4,0.41,0.39,0.38,0.35,0.35,0.34,0.31,0.33,0.33,0.27,0.27,0.26,0.23,0.17,0.14,0.14,0.13,0.1,0.09,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.04000000000002
08/04/2021,25.62,5.95,5.35,5.23,5.61,4.35,4.42,3.96,3.36,3.19,2.31,2.38,2.03,1.84,1.63,1.49,1.28,1.14,1.12,1.1,1.07,0.93,0.92,1.0,0.83,0.66,0.68,0.59,0.53,0.55,0.5,0.57,0.53,0.49,0.44,0.44,0.48,0.4,0.41,0.39,0.38,0.35,0.35,0.34,0.31,0.33,0.33,0.27,0.27,0.26,0.23,0.17,0.14,0.14,0.13,0.1,0.09,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.04000000000002
08/05/2021,25.62,5.95,5.35,5.23,5.61,4.35,4.42,3.96,3.36,3.19,2.31,2.38,2.03,1.84,1.63,1.49,1.28,1.14,1.12,1.1,1.07,0.93,0.92,1.0,0.83,0.66,0.68,0.59,0.53,0.55,0.5,0.57,0.53,0.49,0.44,0.44,0.48,0.4,0.41,0.39,0.38,0.35,0.35,0.34,0.31,0.33,0.33,0.27,0.27,0.26,0.23,0.17,0.14,0.14,0.13,0.1,0.09,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.04000000000002
08/06/2021,25.97,5.97,5.03,5.17,5.65,4.39,4.46,3.93,3.33,3.17,2.3,2.41,2.02,1.82,1.63,1.5,1.28,1.15,1.13,1.09,1.08,0.93,0.92,1.01,0.83,0.67,0.68,0.58,0.52,0.52,0.49,0.55,0.53,0.49,0.44,0.45,0.51,0.4,0.41,0.39,0.36,0.35,0.34,0.33,0.31,0.32,0.34,0.28,0.27,0.26,0.25,0.16,0.14,0.14,0.12,0.1,0.09,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,100.04000000000002
