,WIX,NICE.TA,CHKP,LUMI.TA,TEVA,POLI.TA,FVRR,KRNT,DSCT.TA,CYBR,ICL.TA,MZTF.TA,ESLT.TA,TSEM,AZRG.TA,NVMI,INMD,BEZQ.TA,SAE.TA,ALHE.TA,NNDM,ENLT.TA,MVNE.TA,FIBI.TA,CGNT,PHOE.TA,MLSR.TA,SKBN.TA,STRS.TA,AMOT.TA,GVYM.TA,RDWR,BIG.TA,CLIS.TA,ILCO.TA,HARL.TA,PZOL.TA,ARPT.TA,ELTR.TA,DANE.TA,NNOX,SPEN.TA,CAMT,MTRN.TA,RIT1.TA,MTRX.TA,AUDC,ASHG.TA,FOX.TA,FORTY.TA,OPCE.TA,ENRG.TA,KEN,SPNS,ISCD.TA,HLAN.TA,MGOR.TA,TARO,DLEA.TA,CGEN,FIBIH.TA,PTNR.TA,ONE.TA,ECP.TA,RMLI.TA,DLEKG.TA,SMT.TA,FTAL.TA,ELCO.TA,EQTL.TA,MGDL.TA,MMHD.TA,GZT.TA,ITRN,ISCN.TA,AFPR.TA,DIMRI.TA,MGIC,ORL.TA,BLSR.TA,NGMS,CEL.TA,DELT.TA,ISRS.TA,ARAD.TA,TDRN.TA,CSTE,ASPF.TA,AZRM.TA,YHNF.TA,GILT,URGN,BCNV.TA,IDIN.TA,MLTM.TA,DORL.TA,ELWS.TA,ILS,PTBL.TA,PRSK.TA,NFTA.TA,XTSLA,SGAFT,EUR,MEDN.TA,VGU1,ARKO,USD,CEL,SUM
07/09/2021,8.74,8.32,6.84,5.82,5.52,4.83,3.41,2.92,2.91,2.77,2.54,2.22,1.77,1.57,1.54,1.46,1.19,1.15,1.09,1.04,0.99,0.99,0.91,0.91,0.8,0.78,0.76,0.75,0.75,0.7,0.69,0.68,0.66,0.65,0.63,0.62,0.6,0.59,0.59,0.57,0.55,0.55,0.53,0.5,0.49,0.48,0.46,0.46,0.45,0.43,0.43,0.43,0.42,0.41,0.4,0.4,0.39,0.36,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.25,0.25,0.24,0.23,0.23,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.1,0.08,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,8.65,8.47,7.06,5.78,5.34,4.84,3.41,2.77,2.85,2.82,2.46,2.23,1.81,1.43,1.61,1.46,1.23,1.17,1.12,1.07,0.94,0.99,0.94,0.91,0.84,0.77,0.78,0.75,0.76,0.73,0.72,0.68,0.69,0.65,0.6,0.61,0.58,0.6,0.6,0.58,0.53,0.57,0.51,0.5,0.49,0.49,0.47,0.47,0.45,0.43,0.44,0.44,0.42,0.41,0.4,0.41,0.41,0.36,0.35,0.33,0.33,0.32,0.33,0.31,0.31,0.26,0.3,0.3,0.3,0.28,0.27,0.27,0.26,0.26,0.25,0.27,0.24,0.24,0.22,0.21,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.11,0.08,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,8.65,8.47,7.06,5.78,5.34,4.84,3.41,2.77,2.85,2.82,2.46,2.23,1.81,1.43,1.61,1.46,1.23,1.17,1.12,1.07,0.94,0.99,0.94,0.91,0.84,0.77,0.78,0.75,0.76,0.73,0.72,0.68,0.69,0.65,0.6,0.61,0.58,0.6,0.6,0.58,0.53,0.57,0.51,0.5,0.49,0.49,0.47,0.47,0.45,0.43,0.44,0.44,0.42,0.41,0.4,0.41,0.41,0.36,0.35,0.33,0.33,0.32,0.33,0.31,0.31,0.26,0.3,0.3,0.3,0.28,0.27,0.27,0.26,0.26,0.25,0.27,0.24,0.24,0.22,0.21,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.11,0.08,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/14/2021,8.67,8.41,7.34,5.74,5.39,4.8,3.42,2.77,2.83,2.85,2.44,2.22,1.79,1.42,1.59,1.45,1.26,1.16,1.11,1.07,0.96,0.99,0.93,0.9,0.83,0.77,0.78,0.74,0.76,0.72,0.71,0.68,0.69,0.65,0.6,0.6,0.58,0.6,0.6,0.58,0.54,0.57,0.51,0.5,0.49,0.48,0.46,0.47,0.44,0.43,0.43,0.44,0.41,0.41,0.4,0.41,0.41,0.36,0.34,0.33,0.33,0.32,0.33,0.31,0.31,0.26,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.27,0.25,0.26,0.24,0.24,0.22,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.12,0.13,0.12,0.1,0.08,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.06
07/15/2021,8.67,8.41,7.34,5.74,5.39,4.8,3.42,2.77,2.83,2.85,2.44,2.22,1.79,1.42,1.59,1.45,1.26,1.16,1.11,1.07,0.96,0.99,0.93,0.9,0.83,0.77,0.78,0.74,0.76,0.72,0.71,0.68,0.69,0.65,0.6,0.6,0.58,0.6,0.6,0.58,0.54,0.57,0.51,0.5,0.49,0.48,0.46,0.47,0.44,0.43,0.43,0.44,0.41,0.41,0.4,0.41,0.41,0.36,0.34,0.33,0.33,0.32,0.33,0.31,0.31,0.26,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.27,0.25,0.26,0.24,0.24,0.22,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.14,0.13,0.12,0.13,0.12,0.1,0.08,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.06
07/19/2021,8.28,8.54,7.41,5.92,5.15,4.86,3.02,2.73,2.9,2.77,2.6,2.22,1.81,1.48,1.69,1.44,1.36,1.15,1.12,1.07,0.86,1.02,0.97,0.9,0.86,0.77,0.82,0.74,0.77,0.72,0.69,0.67,0.72,0.67,0.62,0.62,0.63,0.62,0.6,0.55,0.5,0.57,0.53,0.51,0.5,0.48,0.46,0.47,0.47,0.42,0.44,0.43,0.43,0.41,0.4,0.4,0.42,0.34,0.34,0.3,0.33,0.31,0.31,0.31,0.31,0.26,0.3,0.31,0.3,0.28,0.26,0.28,0.27,0.25,0.24,0.28,0.25,0.24,0.23,0.21,0.18,0.18,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.13,0.14,0.13,0.09,0.12,0.11,0.08,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,8.28,8.54,7.41,5.92,5.15,4.86,3.02,2.73,2.9,2.77,2.6,2.22,1.81,1.48,1.69,1.44,1.36,1.15,1.12,1.07,0.86,1.02,0.97,0.9,0.86,0.77,0.82,0.74,0.77,0.72,0.69,0.67,0.72,0.67,0.62,0.62,0.63,0.62,0.6,0.55,0.5,0.57,0.53,0.51,0.5,0.48,0.46,0.47,0.47,0.42,0.44,0.43,0.43,0.41,0.4,0.4,0.42,0.34,0.34,0.3,0.33,0.31,0.31,0.31,0.31,0.26,0.3,0.31,0.3,0.28,0.26,0.28,0.27,0.25,0.24,0.28,0.25,0.24,0.23,0.21,0.18,0.18,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.13,0.14,0.13,0.09,0.12,0.11,0.08,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,8.83,8.9,7.39,5.83,5.01,4.73,3.19,2.82,2.81,2.86,2.53,2.2,1.77,1.44,1.71,1.4,1.44,1.15,1.11,1.04,0.87,0.99,0.96,0.9,0.86,0.76,0.8,0.72,0.77,0.71,0.69,0.68,0.69,0.66,0.59,0.61,0.63,0.61,0.6,0.55,0.48,0.55,0.5,0.5,0.49,0.47,0.46,0.45,0.45,0.42,0.43,0.42,0.41,0.4,0.39,0.39,0.41,0.36,0.33,0.3,0.32,0.31,0.31,0.3,0.31,0.24,0.3,0.29,0.29,0.27,0.25,0.27,0.26,0.25,0.24,0.27,0.25,0.25,0.22,0.21,0.17,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.17,0.15,0.14,0.13,0.13,0.12,0.09,0.12,0.11,0.08,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
07/23/2021,8.81,9.08,7.32,5.79,5.16,4.61,3.26,2.85,2.81,2.9,2.51,2.17,1.76,1.44,1.67,1.38,1.47,1.15,1.09,1.02,0.88,0.97,0.94,0.9,0.87,0.72,0.79,0.71,0.76,0.7,0.69,0.69,0.69,0.64,0.59,0.59,0.61,0.6,0.59,0.55,0.49,0.55,0.51,0.5,0.48,0.47,0.45,0.45,0.45,0.41,0.42,0.42,0.4,0.4,0.38,0.39,0.41,0.35,0.32,0.31,0.32,0.31,0.31,0.3,0.31,0.24,0.3,0.28,0.29,0.27,0.24,0.26,0.26,0.25,0.23,0.27,0.25,0.25,0.22,0.21,0.17,0.17,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.14,0.13,0.13,0.12,0.09,0.12,0.1,0.08,0.06,0.01,0.0,0.0,0.0,0.0,0.13,0.0,99.98000000000002
07/29/2021,8.82,9.31,7.07,5.74,5.1,4.68,3.37,2.9,2.83,2.94,2.59,2.2,1.75,1.44,1.67,1.43,1.41,1.13,1.08,1.03,0.82,1.02,0.94,0.89,0.83,0.75,0.79,0.71,0.74,0.7,0.68,0.67,0.7,0.64,0.63,0.57,0.6,0.58,0.59,0.57,0.47,0.54,0.52,0.49,0.49,0.48,0.44,0.45,0.46,0.42,0.42,0.44,0.41,0.39,0.4,0.41,0.4,0.35,0.32,0.28,0.32,0.32,0.31,0.3,0.3,0.26,0.3,0.27,0.29,0.27,0.25,0.26,0.26,0.24,0.24,0.27,0.25,0.25,0.22,0.21,0.17,0.17,0.19,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.15,0.16,0.14,0.13,0.13,0.12,0.05,0.12,0.11,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,100.04000000000002
07/30/2021,8.64,9.09,7.22,5.8,5.11,4.69,3.44,2.91,2.87,2.88,2.6,2.23,1.79,1.41,1.69,1.4,1.41,1.13,1.09,1.03,0.81,1.03,0.95,0.91,0.85,0.76,0.8,0.7,0.75,0.7,0.68,0.66,0.72,0.64,0.63,0.57,0.6,0.6,0.6,0.57,0.48,0.54,0.5,0.5,0.5,0.48,0.43,0.46,0.46,0.41,0.41,0.43,0.4,0.38,0.4,0.4,0.4,0.35,0.33,0.27,0.32,0.31,0.31,0.3,0.3,0.26,0.29,0.28,0.29,0.27,0.24,0.26,0.26,0.24,0.24,0.27,0.25,0.26,0.22,0.2,0.16,0.17,0.19,0.18,0.18,0.19,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.05,0.12,0.11,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,99.98000000000002
