,XEC,GT,AA,AN,SIG,M,DKS,PDCE,LPX,FL,MTDR,CC,SLM,EQT,RRC,SAIA,R,EXP,EVR,SF,MRO,AL,SNX,SM,NAVI,ADS,TKR,SNV,SWN,ANF,CMC,DAN,JBL,IRDM,ENSG,MTG,AR,CRI,WAL,NOV,BKU,BPOP,UMPQ,UFPI,MUR,TRTN,MUSA,UNM,UFS,CBRL,KSS,CPRI,SFBS,GATX,HRI,MTH,WTFC,VSH,AVT,BHF,PRG,NUS,AEO,TPH,RDN,CNO,HP,THG,NSIT,CBT,CPE,PFSI,FNB,MATX,BIG,HTH,AEL,JHG,MTZ,BOH,VSTO,DOOR,SFM,WLL,OMI,UMBF,AX,KMT,SANM,CIT,SCL,BCC,TEX,TDS,VLY,REGI,ATI,AIN,CATY,SHEN,TRN,UNFI,PLXS,MLI,ASB,CCS,WERN,URBN,HXL,IBOC,COOP,ESNT,MGRC,FBC,ETRN,PTEN,SIGI,UCTT,ARNC,VSAT,HIBB,ATKR,THRM,BKD,TBIO,CLH,FBP,PBH,IDCC,HUBG,ARCB,TRGP,AAWW,AMKR,GPI,INT,TCBI,LZB,MHO,DY,UCBI,AXS,LGIH,PIPR,PDCO,WAFD,NPO,KALU,PSMT,MIC,OII,PACW,GDOT,GTN,DDS,BKE,CRS,EGBN,AROC,WWE,SWBI,HCSG,WTM,GNW,WBS,ASTE,NMIH,HNI,CORE,SKYW,CDE,ISBC,SCHN,MYRG,SONO,KFY,ENLC,KFRC,TRMK,BCEI,ABG,FTI,BBBY,SFNC,GBX,OMF,MODV,MBUU,BANR,MGLN,TROX,RCII,CADE,NNI,KOS,IMKTA,TBBK,SUPN,ABCB,OVV,FLO,SAFM,HOME,MCY,HZO,ODP,WD,RGR,MRTN,UNF,AM,FLGT,RIG,QDEL,WIRE,STC,SUM
07/09/2021,0.9,0.83,0.78,0.74,0.73,0.73,0.72,0.71,0.71,0.7,0.68,0.66,0.66,0.64,0.62,0.6,0.59,0.59,0.57,0.57,0.57,0.56,0.56,0.55,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.02000000000001
07/12/2021,0.9,0.82,0.75,0.75,0.71,0.7,0.72,0.7,0.7,0.7,0.67,0.64,0.62,0.66,0.65,0.59,0.59,0.59,0.56,0.57,0.55,0.57,0.56,0.52,0.55,0.53,0.54,0.52,0.53,0.51,0.53,0.5,0.51,0.52,0.52,0.5,0.52,0.51,0.5,0.47,0.48,0.47,0.48,0.48,0.46,0.46,0.47,0.43,0.45,0.43,0.42,0.41,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.4,0.4,0.41,0.39,0.4,0.4,0.4,0.39,0.41,0.4,0.4,0.37,0.4,0.38,0.38,0.37,0.36,0.36,0.37,0.36,0.37,0.37,0.37,0.38,0.36,0.37,0.35,0.35,0.36,0.36,0.44,0.35,0.36,0.34,0.35,0.34,0.35,0.35,0.35,0.33,0.33,0.33,0.35,0.32,0.31,0.31,0.3,0.32,0.31,0.31,0.29,0.32,0.3,0.3,0.3,0.3,0.27,0.34,0.28,0.29,0.3,0.29,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.28,0.25,0.26,0.26,0.25,0.24,0.25,0.3,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.25,0.23,0.23,0.24,0.23,0.24,0.22,0.23,0.22,0.22,0.23,0.21,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.18,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.19,0.0,0.19,0.18,0.18,0.19,0.0,0.25,0.22,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.04
07/13/2021,0.9,0.82,0.75,0.75,0.71,0.7,0.72,0.7,0.7,0.7,0.67,0.64,0.62,0.66,0.65,0.59,0.59,0.59,0.56,0.57,0.55,0.57,0.56,0.52,0.55,0.53,0.54,0.52,0.53,0.51,0.53,0.5,0.51,0.52,0.52,0.5,0.52,0.51,0.5,0.47,0.48,0.47,0.48,0.48,0.46,0.46,0.47,0.43,0.45,0.43,0.42,0.41,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.4,0.4,0.41,0.39,0.4,0.4,0.4,0.39,0.41,0.4,0.4,0.37,0.4,0.38,0.38,0.37,0.36,0.36,0.37,0.36,0.37,0.37,0.37,0.38,0.36,0.37,0.35,0.35,0.36,0.36,0.44,0.35,0.36,0.34,0.35,0.34,0.35,0.35,0.35,0.33,0.33,0.33,0.35,0.32,0.31,0.31,0.3,0.32,0.31,0.31,0.29,0.32,0.3,0.3,0.3,0.3,0.27,0.34,0.28,0.29,0.3,0.29,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.28,0.25,0.26,0.26,0.25,0.24,0.25,0.3,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.25,0.23,0.23,0.24,0.23,0.24,0.22,0.23,0.22,0.22,0.23,0.21,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.18,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.19,0.0,0.19,0.18,0.18,0.19,0.0,0.25,0.22,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.04
07/14/2021,0.9,0.82,0.77,0.77,0.71,0.73,0.73,0.69,0.7,0.7,0.67,0.64,0.63,0.65,0.65,0.59,0.59,0.58,0.54,0.57,0.55,0.57,0.56,0.52,0.56,0.54,0.54,0.53,0.52,0.51,0.53,0.5,0.51,0.52,0.51,0.5,0.53,0.51,0.51,0.48,0.49,0.48,0.48,0.47,0.46,0.45,0.46,0.43,0.43,0.43,0.43,0.42,0.44,0.43,0.44,0.41,0.42,0.42,0.42,0.4,0.4,0.41,0.4,0.39,0.4,0.4,0.39,0.41,0.4,0.4,0.37,0.39,0.38,0.4,0.38,0.37,0.36,0.37,0.36,0.38,0.37,0.37,0.38,0.35,0.39,0.35,0.35,0.36,0.35,0.43,0.34,0.36,0.35,0.34,0.35,0.36,0.36,0.34,0.34,0.32,0.33,0.34,0.32,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.32,0.3,0.3,0.3,0.3,0.27,0.34,0.29,0.29,0.3,0.29,0.28,0.27,0.28,0.27,0.27,0.26,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.28,0.25,0.26,0.25,0.25,0.24,0.25,0.3,0.25,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.24,0.24,0.22,0.24,0.23,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.0,0.18,0.19,0.19,0.0,0.19,0.19,0.0,0.2,0.0,0.24,0.21,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.11
07/15/2021,0.89,0.83,0.76,0.77,0.7,0.74,0.71,0.68,0.68,0.7,0.66,0.64,0.63,0.63,0.64,0.58,0.59,0.58,0.54,0.57,0.55,0.57,0.54,0.51,0.57,0.54,0.54,0.52,0.51,0.51,0.53,0.5,0.5,0.52,0.52,0.5,0.5,0.51,0.52,0.48,0.48,0.48,0.48,0.47,0.45,0.46,0.47,0.44,0.43,0.43,0.43,0.41,0.44,0.43,0.44,0.41,0.42,0.42,0.41,0.41,0.39,0.41,0.4,0.4,0.4,0.4,0.38,0.41,0.4,0.4,0.37,0.38,0.38,0.39,0.36,0.36,0.36,0.38,0.37,0.37,0.37,0.37,0.38,0.35,0.38,0.35,0.35,0.36,0.35,0.44,0.34,0.36,0.35,0.34,0.35,0.36,0.36,0.34,0.34,0.32,0.34,0.32,0.32,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.32,0.3,0.3,0.31,0.3,0.27,0.38,0.29,0.29,0.29,0.29,0.28,0.27,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.28,0.26,0.26,0.26,0.28,0.25,0.26,0.25,0.25,0.24,0.26,0.34,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.24,0.23,0.22,0.24,0.23,0.24,0.23,0.22,0.22,0.21,0.23,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.19,0.2,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.21,0.0,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.0,0.19,0.19,0.0,0.25,0.0,0.24,0.25,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.08000000000001
07/16/2021,0.9,0.82,0.74,0.78,0.7,0.73,0.72,0.69,0.67,0.69,0.68,0.63,0.63,0.65,0.65,0.59,0.6,0.58,0.56,0.58,0.55,0.57,0.54,0.51,0.58,0.54,0.54,0.52,0.53,0.51,0.53,0.51,0.51,0.52,0.52,0.5,0.52,0.51,0.51,0.49,0.47,0.48,0.48,0.47,0.45,0.46,0.47,0.44,0.43,0.43,0.43,0.41,0.44,0.44,0.44,0.41,0.42,0.42,0.42,0.41,0.4,0.41,0.4,0.38,0.4,0.41,0.38,0.41,0.39,0.4,0.37,0.38,0.38,0.39,0.36,0.35,0.36,0.39,0.37,0.38,0.37,0.36,0.37,0.35,0.38,0.35,0.35,0.36,0.35,0.44,0.34,0.36,0.35,0.35,0.34,0.36,0.35,0.34,0.34,0.32,0.34,0.32,0.32,0.31,0.31,0.29,0.32,0.31,0.3,0.3,0.32,0.3,0.3,0.3,0.3,0.27,0.38,0.29,0.28,0.3,0.28,0.28,0.27,0.29,0.28,0.27,0.26,0.27,0.26,0.26,0.28,0.26,0.26,0.26,0.28,0.25,0.26,0.25,0.24,0.24,0.25,0.35,0.24,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.23,0.24,0.23,0.22,0.24,0.22,0.23,0.23,0.22,0.22,0.2,0.23,0.21,0.2,0.21,0.21,0.21,0.22,0.22,0.2,0.19,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.21,0.0,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.0,0.18,0.18,0.19,0.0,0.19,0.19,0.0,0.24,0.0,0.24,0.26,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.13
07/19/2021,0.83,0.82,0.73,0.78,0.65,0.71,0.72,0.66,0.66,0.66,0.62,0.63,0.65,0.61,0.62,0.58,0.6,0.59,0.53,0.58,0.52,0.58,0.54,0.47,0.59,0.53,0.54,0.54,0.5,0.48,0.54,0.51,0.51,0.5,0.51,0.51,0.5,0.5,0.53,0.46,0.47,0.48,0.49,0.46,0.42,0.47,0.48,0.44,0.44,0.43,0.42,0.39,0.45,0.45,0.44,0.41,0.43,0.42,0.43,0.41,0.4,0.41,0.38,0.39,0.42,0.41,0.36,0.42,0.4,0.39,0.33,0.38,0.39,0.4,0.36,0.36,0.36,0.39,0.37,0.39,0.37,0.37,0.38,0.32,0.37,0.36,0.36,0.36,0.35,0.51,0.35,0.32,0.35,0.34,0.36,0.37,0.34,0.33,0.35,0.32,0.34,0.32,0.32,0.3,0.32,0.3,0.33,0.3,0.28,0.31,0.32,0.31,0.3,0.31,0.29,0.26,0.43,0.27,0.28,0.3,0.27,0.29,0.27,0.29,0.28,0.28,0.27,0.28,0.26,0.26,0.29,0.25,0.26,0.26,0.28,0.26,0.27,0.25,0.25,0.23,0.25,0.4,0.25,0.25,0.25,0.26,0.24,0.23,0.25,0.24,0.21,0.24,0.24,0.22,0.24,0.22,0.24,0.23,0.22,0.21,0.19,0.23,0.23,0.21,0.21,0.21,0.22,0.22,0.22,0.2,0.2,0.2,0.22,0.21,0.19,0.2,0.19,0.19,0.21,0.0,0.21,0.0,0.18,0.2,0.21,0.2,0.18,0.2,0.19,0.19,0.18,0.0,0.23,0.19,0.0,0.2,0.19,0.0,0.29,0.0,0.25,0.32,0.19,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.03
07/20/2021,0.85,0.81,0.72,0.81,0.65,0.71,0.72,0.65,0.65,0.66,0.63,0.62,0.67,0.61,0.61,0.59,0.61,0.6,0.54,0.59,0.52,0.58,0.55,0.46,0.61,0.54,0.55,0.54,0.5,0.5,0.55,0.51,0.51,0.52,0.53,0.53,0.49,0.51,0.53,0.47,0.47,0.49,0.5,0.22,0.42,0.47,0.51,0.45,0.46,0.44,0.42,0.0,0.46,0.47,0.45,0.42,0.44,0.43,0.44,0.42,0.4,0.42,0.38,0.39,0.43,0.42,0.36,0.44,0.41,0.39,0.31,0.39,0.39,0.41,0.37,0.36,0.38,0.4,0.37,0.4,0.38,0.37,0.4,0.32,0.39,0.36,0.37,0.36,0.36,0.51,0.36,0.32,0.35,0.36,0.36,0.39,0.34,0.34,0.35,0.33,0.35,0.32,0.33,0.31,0.32,0.3,0.34,0.31,0.21,0.31,0.33,0.32,0.31,0.32,0.29,0.26,0.45,0.27,0.29,0.31,0.28,0.3,0.0,0.3,0.3,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.26,0.27,0.28,0.26,0.27,0.25,0.26,0.24,0.26,0.41,0.26,0.25,0.0,0.27,0.24,0.0,0.26,0.25,0.21,0.24,0.25,0.23,0.24,0.22,0.24,0.24,0.22,0.21,0.19,0.23,0.24,0.21,0.21,0.21,0.23,0.22,0.22,0.0,0.19,0.21,0.23,0.21,0.2,0.2,0.19,0.2,0.21,0.17,0.22,0.0,0.18,0.2,0.2,0.21,0.0,0.21,0.2,0.2,0.17,0.0,0.23,0.2,0.0,0.21,0.19,0.17,0.29,0.0,0.27,0.33,0.2,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,72.33
07/21/2021,0.85,0.81,0.72,0.81,0.65,0.71,0.72,0.65,0.65,0.66,0.63,0.62,0.67,0.61,0.61,0.59,0.61,0.6,0.54,0.59,0.52,0.58,0.55,0.46,0.61,0.54,0.55,0.54,0.5,0.5,0.55,0.51,0.51,0.52,0.53,0.53,0.49,0.51,0.53,0.47,0.47,0.49,0.5,0.22,0.42,0.47,0.51,0.45,0.46,0.44,0.42,0.0,0.46,0.47,0.45,0.42,0.44,0.43,0.44,0.42,0.4,0.42,0.38,0.39,0.43,0.42,0.36,0.44,0.41,0.39,0.31,0.39,0.39,0.41,0.37,0.36,0.38,0.4,0.37,0.4,0.38,0.37,0.4,0.32,0.39,0.36,0.37,0.36,0.36,0.51,0.36,0.32,0.35,0.36,0.36,0.39,0.34,0.34,0.35,0.33,0.35,0.32,0.33,0.31,0.32,0.3,0.34,0.31,0.21,0.31,0.33,0.32,0.31,0.32,0.29,0.26,0.45,0.27,0.29,0.31,0.28,0.3,0.0,0.3,0.3,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.26,0.27,0.28,0.26,0.27,0.25,0.26,0.24,0.26,0.41,0.26,0.25,0.0,0.27,0.24,0.0,0.26,0.25,0.21,0.24,0.25,0.23,0.24,0.22,0.24,0.24,0.22,0.21,0.19,0.23,0.24,0.21,0.21,0.21,0.23,0.22,0.22,0.0,0.19,0.21,0.23,0.21,0.2,0.2,0.19,0.2,0.21,0.17,0.22,0.0,0.18,0.2,0.2,0.21,0.0,0.21,0.2,0.2,0.17,0.0,0.23,0.2,0.0,0.21,0.19,0.17,0.29,0.0,0.27,0.33,0.2,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,72.33
07/22/2021,0.85,0.81,0.72,0.81,0.65,0.71,0.72,0.65,0.65,0.66,0.63,0.62,0.67,0.61,0.61,0.59,0.61,0.6,0.54,0.59,0.52,0.58,0.55,0.46,0.61,0.54,0.55,0.54,0.5,0.5,0.55,0.51,0.51,0.52,0.53,0.53,0.49,0.51,0.53,0.47,0.47,0.49,0.5,0.22,0.42,0.47,0.51,0.45,0.46,0.44,0.42,0.0,0.46,0.47,0.45,0.42,0.44,0.43,0.44,0.42,0.4,0.42,0.38,0.39,0.43,0.42,0.36,0.44,0.41,0.39,0.31,0.39,0.39,0.41,0.37,0.36,0.38,0.4,0.37,0.4,0.38,0.37,0.4,0.32,0.39,0.36,0.37,0.36,0.36,0.51,0.36,0.32,0.35,0.36,0.36,0.39,0.34,0.34,0.35,0.33,0.35,0.32,0.33,0.31,0.32,0.3,0.34,0.31,0.21,0.31,0.33,0.32,0.31,0.32,0.29,0.26,0.45,0.27,0.29,0.31,0.28,0.3,0.0,0.3,0.3,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.26,0.27,0.28,0.26,0.27,0.25,0.26,0.24,0.26,0.41,0.26,0.25,0.0,0.27,0.24,0.0,0.26,0.25,0.21,0.24,0.25,0.23,0.24,0.22,0.24,0.24,0.22,0.21,0.19,0.23,0.24,0.21,0.21,0.21,0.23,0.22,0.22,0.0,0.19,0.21,0.23,0.21,0.2,0.2,0.19,0.2,0.21,0.17,0.22,0.0,0.18,0.2,0.2,0.21,0.0,0.21,0.2,0.2,0.17,0.0,0.23,0.2,0.0,0.21,0.19,0.17,0.29,0.0,0.27,0.33,0.2,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,72.33
