,MSFT,AAPL,AMZN,GOOGL,FB,WMT,BRK.B,CSCO,INTC,HD,V,ORCL,VZ,T,PG,JPM,PFE,PM,LOW,PYPL,MA,TSLA,JNJ,BLK,UPS,IBM,QCOM,AMAT,TGT,MRK,ABBV,MMM,UNH,ADBE,CVS,HON,ACN,NFLX,BAC,CRM,MO,GILD,LMT,XOM,ABT,MDLZ,FDX,DHR,HCA,CSX,UNP,NSC,GM,CAT,KO,ADP,CVX,D,NVDA,EMR,NOC,F,MMC,CHTR,FCX,CL,COF,JCI,TT,KHC,GD,AMT,DOW,MDT,AON,CI,TROW,NOW,DD,PH,ALXN,STZ,DE,HPQ,CMI,PAYX,DIS,CMCSA,GIS,MU,LRCX,HSY,ADM,CCI,SWK,NXPI,CTVA,DFS,GLW,BBY,MCK,OXY,TXN,ANTM,NKE,WLTW,ATVI,CBRE,REGN,TMO,GRMN,ORLY,TSN,ILMN,LH,FITB,LLY,URI,ADSK,WFC,WY,KLAC,ITW,IP,PEP,CDW,MCD,MS,GWW,AJG,TMUS,AVGO,DLTR,DISH,TWTR,DOV,IT,EXPD,HAL,COST,AZO,LB,KMI,ROP,AMGN,OMC,STX,BA,GPC,NTAP,LIN,GS,BMY,First American Government Obligs X,PKI,NEE,CAG,AVY,C,FOXA,AMP,SNPS,EA,SCHW,ULTA,BEN,AXP,SBUX,INTU,MHK,HWM,EMN,VRTX,RTX,CDNS,AAP,LKQ,SJM,CTSH,WRK,GE,SYK,SBAC,WHR,EL,SPGI,AMD,IPG,ISRG,BKNG,CARR,USB,LEN,IVZ,K,AES,ANSS,SNA,MOS,IR,FGXXX,NWL,ZTS,PLD,NUE,NDAQ,MRNA,EOG,HES,TPR,BBWI WI,GE.,SHW,MPC,LYB,YUM,TEL,OKE,LHX,PPL,DGX,HOLX,TXT,PENN,PNR,SUM
07/09/2021,6.29,5.89,5.39,4.63,3.1,1.8,1.71,1.45,1.43,1.34,1.29,1.24,1.18,1.16,1.08,1.04,1.0,1.0,0.96,0.96,0.95,0.94,0.88,0.87,0.86,0.84,0.82,0.81,0.78,0.76,0.76,0.76,0.72,0.71,0.7,0.69,0.63,0.6,0.59,0.59,0.58,0.57,0.57,0.56,0.53,0.51,0.51,0.49,0.48,0.47,0.46,0.45,0.43,0.43,0.41,0.41,0.41,0.39,0.38,0.38,0.38,0.38,0.36,0.35,0.35,0.34,0.34,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.31000000000002
07/12/2021,6.42,6.14,5.75,4.73,3.03,1.78,1.68,1.43,1.42,1.34,1.3,1.33,1.17,1.14,1.08,1.0,0.99,0.98,0.95,0.97,0.95,0.89,0.89,0.88,0.86,0.79,0.81,0.78,0.78,0.76,0.77,0.75,0.73,0.73,0.68,0.68,0.64,0.6,0.56,0.59,0.56,0.56,0.57,0.53,0.54,0.51,0.49,0.5,0.49,0.47,0.47,0.45,0.41,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.36,0.35,0.36,0.33,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.17,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.41000000000004
07/13/2021,6.42,6.14,5.75,4.73,3.03,1.78,1.68,1.43,1.42,1.34,1.3,1.33,1.17,1.14,1.08,1.0,0.99,0.98,0.95,0.97,0.95,0.89,0.89,0.88,0.86,0.79,0.81,0.78,0.78,0.76,0.77,0.75,0.73,0.73,0.68,0.68,0.64,0.6,0.56,0.59,0.56,0.56,0.57,0.53,0.54,0.51,0.49,0.5,0.49,0.47,0.47,0.45,0.41,0.42,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.36,0.35,0.36,0.33,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.17,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.41000000000004
07/14/2021,6.36,6.15,5.77,4.69,3.02,1.79,1.69,1.44,1.41,1.33,1.29,1.35,1.16,1.12,1.08,1.02,0.99,0.98,0.94,0.98,0.94,0.9,0.89,0.88,0.86,0.8,0.81,0.78,0.79,0.75,0.77,0.76,0.73,0.73,0.68,0.69,0.65,0.59,0.56,0.58,0.56,0.56,0.57,0.54,0.54,0.51,0.5,0.5,0.49,0.46,0.45,0.43,0.43,0.43,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.36,0.35,0.35,0.34,0.34,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.44
07/15/2021,6.33,6.11,5.76,4.73,3.04,1.78,1.68,1.43,1.43,1.32,1.28,1.34,1.16,1.11,1.08,1.03,0.99,0.97,0.94,0.99,0.95,0.94,0.88,0.89,0.86,0.8,0.82,0.79,0.8,0.75,0.77,0.75,0.73,0.72,0.68,0.69,0.64,0.59,0.57,0.57,0.56,0.55,0.56,0.53,0.53,0.5,0.5,0.5,0.49,0.45,0.45,0.43,0.43,0.43,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.37,0.35,0.34,0.34,0.34,0.35,0.32,0.33,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.3,0.28,0.27,0.27,0.26,0.25,0.26,0.24,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.19,0.19,0.17,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.42000000000002
07/16/2021,6.43,6.17,5.71,4.75,3.04,1.79,1.68,1.43,1.44,1.31,1.31,1.34,1.16,1.11,1.08,1.02,0.99,0.97,0.94,0.98,0.97,0.92,0.89,0.89,0.85,0.8,0.81,0.79,0.8,0.75,0.78,0.75,0.74,0.73,0.69,0.69,0.65,0.6,0.56,0.58,0.56,0.55,0.56,0.53,0.53,0.51,0.5,0.5,0.49,0.46,0.45,0.43,0.43,0.42,0.41,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.33,0.34,0.35,0.32,0.33,0.3,0.3,0.31,0.3,0.3,0.28,0.28,0.29,0.28,0.26,0.26,0.26,0.25,0.26,0.23,0.25,0.25,0.25,0.24,0.23,0.22,0.23,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.19,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.51
07/19/2021,6.45,6.31,5.7,4.78,2.99,1.8,1.67,1.45,1.42,1.31,1.33,1.36,1.16,1.11,1.09,1.01,1.0,0.98,0.93,0.98,0.99,0.89,0.89,0.86,0.85,0.79,0.83,0.79,0.8,0.75,0.77,0.76,0.73,0.73,0.69,0.7,0.65,0.61,0.54,0.57,0.57,0.55,0.55,0.52,0.52,0.51,0.49,0.49,0.49,0.45,0.45,0.43,0.42,0.42,0.42,0.41,0.38,0.39,0.37,0.38,0.37,0.36,0.35,0.33,0.32,0.34,0.34,0.32,0.32,0.3,0.31,0.32,0.3,0.3,0.28,0.28,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.23,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.16,0.19,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.12,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.12,0.11,0.12,0.11,0.12,0.0,0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.0,0.08,0.08,0.07,0.07,0.2,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.46
07/20/2021,6.44,6.3,5.64,4.75,2.98,1.81,1.68,1.44,1.41,1.33,1.34,1.33,1.17,1.12,1.1,1.02,1.01,0.98,0.95,0.97,0.99,0.89,0.88,0.86,0.86,0.8,0.82,0.77,0.8,0.75,0.77,0.76,0.74,0.73,0.69,0.72,0.65,0.6,0.54,0.56,0.57,0.56,0.56,0.52,0.52,0.51,0.5,0.5,0.5,0.46,0.45,0.43,0.41,0.42,0.42,0.42,0.38,0.39,0.36,0.38,0.37,0.35,0.35,0.34,0.32,0.35,0.34,0.32,0.33,0.31,0.31,0.32,0.3,0.29,0.28,0.28,0.29,0.28,0.27,0.26,0.25,0.25,0.25,0.23,0.25,0.25,0.25,0.24,0.23,0.22,0.22,0.23,0.21,0.22,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.16,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.12,0.14,0.14,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.0,0.08,0.08,0.07,0.07,0.21,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.45000000000002
07/21/2021,6.48,6.26,5.59,4.78,2.97,1.82,1.68,1.45,1.4,1.34,1.35,1.36,1.18,1.12,1.12,1.0,1.02,0.99,0.96,0.97,0.99,0.89,0.89,0.86,0.85,0.79,0.81,0.75,0.8,0.76,0.78,0.76,0.75,0.74,0.69,0.72,0.65,0.59,0.54,0.57,0.57,0.56,0.56,0.51,0.53,0.52,0.49,0.52,0.5,0.46,0.45,0.43,0.41,0.41,0.43,0.42,0.37,0.4,0.34,0.38,0.37,0.34,0.35,0.34,0.31,0.35,0.34,0.32,0.33,0.31,0.31,0.32,0.29,0.3,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.25,0.25,0.23,0.25,0.25,0.25,0.24,0.24,0.22,0.21,0.24,0.21,0.22,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.15,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.12,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.0,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.0,0.08,0.08,0.0,0.08,0.21,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.46
07/22/2021,6.48,6.26,5.59,4.78,2.97,1.82,1.68,1.45,1.4,1.34,1.35,1.36,1.18,1.12,1.12,1.0,1.02,0.99,0.96,0.97,0.99,0.89,0.89,0.86,0.85,0.79,0.81,0.75,0.8,0.76,0.78,0.76,0.75,0.74,0.69,0.72,0.65,0.59,0.54,0.57,0.57,0.56,0.56,0.51,0.53,0.52,0.49,0.52,0.5,0.46,0.45,0.43,0.41,0.41,0.43,0.42,0.37,0.4,0.34,0.38,0.37,0.34,0.35,0.34,0.31,0.35,0.34,0.32,0.33,0.31,0.31,0.32,0.29,0.3,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.25,0.25,0.23,0.25,0.25,0.25,0.24,0.24,0.22,0.21,0.24,0.21,0.22,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.15,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.12,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.0,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.09,0.1,0.11,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.0,0.08,0.08,0.0,0.08,0.21,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.46
