,NPI.TO,VWS.CO,ORSTED.CO,916.HK,002531 C2,601615 C1,300443 C2,002080 C2,INE.TO,2208 HK,603218 C1,NDX1.DE,112610.KS,TPIC,TENERGY.AT,9958.TW,GUR.SW,AERI3.SA,EOLU B.ST,IEA,018000.KQ,658.HK,CADLR.OL,AOW.OL,297090.KQ,n/a,SUM
10/15/2021,11.72,11.36,10.2,9.34,6.0,5.58,5.08,4.66,4.63,4.46,4.36,3.9,3.67,3.5,1.88,1.75,1.69,1.1,1.08,1.03,0.89,0.83,0.61,0.4,0.23,0.04,99.99
10/18/2021,11.63,11.06,9.95,9.21,6.29,6.04,5.22,4.83,4.53,4.39,4.34,3.83,3.72,3.53,1.84,1.63,1.64,1.06,1.11,1.02,0.94,0.81,0.61,0.44,0.25,0.04,99.96
10/19/2021,11.63,11.06,9.95,9.21,6.29,6.04,5.22,4.83,4.53,4.39,4.34,3.83,3.72,3.53,1.84,1.63,1.64,1.06,1.11,1.02,0.94,0.81,0.61,0.44,0.25,0.04,99.96
10/21/2021,11.37,11.27,9.95,9.62,5.87,6.08,5.34,4.93,4.41,4.55,4.51,3.99,3.59,3.34,1.89,1.57,1.56,1.08,1.03,1.03,0.9,0.81,0.61,0.42,0.24,0.03,99.99
10/22/2021,11.15,11.22,9.94,10.12,5.88,6.04,5.22,5.09,4.45,4.51,4.39,3.92,3.62,3.38,1.86,1.55,1.47,1.03,1.05,1.02,0.92,0.84,0.64,0.44,0.24,0.03,100.02
10/25/2021,11.03,11.83,10.0,9.97,6.0,5.77,5.42,5.39,4.37,4.41,4.14,4.13,3.51,3.19,1.86,1.52,1.47,0.93,1.05,1.01,0.87,0.81,0.63,0.46,0.23,0.0,100.0
10/26/2021,11.03,11.83,10.0,9.97,6.0,5.77,5.42,5.39,4.37,4.41,4.14,4.13,3.51,3.19,1.86,1.52,1.47,0.93,1.05,1.01,0.87,0.81,0.63,0.46,0.23,0.0,100.0
10/27/2021,11.0,12.07,10.04,9.9,5.78,5.73,5.35,5.64,4.3,4.39,4.18,4.17,3.48,3.13,1.9,1.5,1.51,0.9,1.05,1.0,0.85,0.81,0.63,0.44,0.23,0.02,100.0
10/28/2021,10.68,11.59,9.71,10.51,5.98,5.94,5.72,5.58,4.15,4.4,4.5,4.01,3.46,3.17,1.83,1.47,1.44,0.95,1.03,0.96,0.84,0.83,0.6,0.42,0.23,0.01,100.01000000000002
10/29/2021,10.7,11.82,9.78,10.48,6.05,5.87,5.66,5.42,4.14,4.41,4.25,4.11,3.51,3.04,1.84,1.5,1.46,0.93,1.03,0.98,0.88,0.84,0.61,0.43,0.23,0.01,99.98000000000002
11/01/2021,10.37,11.67,9.7,9.96,6.77,6.11,6.0,5.34,4.01,4.76,4.46,4.06,3.3,3.03,1.79,1.54,1.42,0.89,0.98,0.98,0.84,0.78,0.6,0.39,0.21,0.03,99.99
