,SYLD,VAMO,VGIT,FYLD,EYLD,GVAL,PDBC,BND,WTMF,EMLC,BLDG,FMF,MXI,VBR,DBB,VB,RXI,VEA,DBE,VMOT,WIP,SCHP,Us Dollars,iM DBi Managed Futures Strategy ETF,n/a,DBMF,SECLEND,IXC,IXG,DBA,REZ,SUM
07/09/2021,12.55,11.54,7.62,7.26,7.01,5.88,4.88,4.81,3.79,3.51,3.37,2.68,2.65,2.63,2.56,2.51,2.49,2.3,2.21,1.95,1.9,1.73,1.12,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,12.31,11.27,7.84,7.21,7.04,5.89,7.12,4.94,3.8,3.55,3.43,2.71,2.65,2.6,2.58,2.5,2.49,0.0,2.2,1.94,1.94,1.77,1.19,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/13/2021,12.31,11.27,7.84,7.21,7.04,5.89,7.12,4.94,3.8,3.55,3.43,2.71,2.65,2.6,2.58,2.5,2.49,0.0,2.2,1.94,1.94,1.77,1.19,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/14/2021,12.44,11.37,7.69,7.22,7.17,5.88,7.08,4.85,3.79,3.51,3.44,2.68,2.68,2.62,2.59,2.51,2.49,0.0,2.19,1.95,1.92,1.74,1.17,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,12.49,11.47,7.68,7.22,7.1,5.85,7.09,4.84,3.75,3.5,3.46,2.67,2.68,2.63,2.56,2.51,2.5,0.0,2.19,1.96,1.92,1.74,1.17,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,12.36,11.34,7.73,7.24,6.99,5.84,7.22,4.86,3.81,3.5,3.43,2.73,2.68,2.6,2.58,2.49,2.51,0.0,2.24,1.96,1.92,1.75,1.18,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,12.28,11.04,7.82,7.26,7.13,5.88,7.16,4.93,3.81,3.55,3.46,2.71,2.71,2.6,2.6,2.47,2.51,0.0,2.18,1.94,1.94,1.78,1.2,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,12.07,10.93,7.88,7.25,7.19,5.87,7.2,4.96,3.86,3.59,3.48,2.73,2.69,2.58,2.62,2.46,2.5,0.0,2.2,1.94,1.97,1.79,1.21,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,12.07,10.93,7.88,7.25,7.19,5.87,7.2,4.96,3.86,3.59,3.48,2.73,2.69,2.58,2.62,2.46,2.5,0.0,2.2,1.94,1.97,1.79,1.21,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,12.07,10.93,7.88,7.25,7.19,5.87,7.2,4.96,3.86,3.59,3.48,2.73,2.69,2.58,2.62,2.46,2.5,0.0,2.2,1.94,1.97,1.79,1.21,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
