,SYLD,VAMO,VGIT,FYLD,EYLD,GVAL,PDBC,BND,WTMF,EMLC,BLDG,FMF,MXI,VBR,DBB,VB,RXI,VEA,DBE,VMOT,WIP,SCHP,Us Dollars,iM DBi Managed Futures Strategy ETF,n/a,DBMF,SUM
07/09/2021,12.55,11.54,7.62,7.26,7.01,5.88,4.88,4.81,3.79,3.51,3.37,2.68,2.65,2.63,2.56,2.51,2.49,2.3,2.21,1.95,1.9,1.73,1.12,1.02,0.0,0.0,99.97
07/12/2021,12.31,11.27,7.84,7.21,7.04,5.89,7.12,4.94,3.8,3.55,3.43,2.71,2.65,2.6,2.58,2.5,2.49,0.0,2.2,1.94,1.94,1.77,1.19,1.02,0.0,0.0,99.98999999999998
07/13/2021,12.31,11.27,7.84,7.21,7.04,5.89,7.12,4.94,3.8,3.55,3.43,2.71,2.65,2.6,2.58,2.5,2.49,0.0,2.2,1.94,1.94,1.77,1.19,1.02,0.0,0.0,99.98999999999998
07/14/2021,12.44,11.37,7.69,7.22,7.17,5.88,7.08,4.85,3.79,3.51,3.44,2.68,2.68,2.62,2.59,2.51,2.49,0.0,2.19,1.95,1.92,1.74,1.17,1.02,0.0,0.0,100.0
07/15/2021,12.49,11.47,7.68,7.22,7.1,5.85,7.09,4.84,3.75,3.5,3.46,2.67,2.68,2.63,2.56,2.51,2.5,0.0,2.19,1.96,1.92,1.74,1.17,1.02,0.0,0.0,100.0
07/16/2021,12.36,11.34,7.73,7.24,6.99,5.84,7.22,4.86,3.81,3.5,3.43,2.73,2.68,2.6,2.58,2.49,2.51,0.0,2.24,1.96,1.92,1.75,1.18,1.03,0.0,0.0,99.99
07/19/2021,12.28,11.04,7.82,7.26,7.13,5.88,7.16,4.93,3.81,3.55,3.46,2.71,2.71,2.6,2.6,2.47,2.51,0.0,2.18,1.94,1.94,1.78,1.2,1.03,0.0,0.0,99.99
07/20/2021,12.07,10.93,7.88,7.25,7.19,5.87,7.2,4.96,3.86,3.59,3.48,2.73,2.69,2.58,2.62,2.46,2.5,0.0,2.2,1.94,1.97,1.79,1.21,1.03,0.0,0.0,100.0
07/21/2021,12.07,10.93,7.88,7.25,7.19,5.87,7.2,4.96,3.86,3.59,3.48,2.73,2.69,2.58,2.62,2.46,2.5,0.0,2.2,1.94,1.97,1.79,1.21,1.03,0.0,0.0,100.0
07/22/2021,12.07,10.93,7.88,7.25,7.19,5.87,7.2,4.96,3.86,3.59,3.48,2.73,2.69,2.58,2.62,2.46,2.5,0.0,2.2,1.94,1.97,1.79,1.21,1.03,0.0,0.0,100.0
07/23/2021,12.0,10.96,8.07,7.16,7.17,5.87,7.06,5.09,3.82,3.63,3.47,2.75,2.67,2.57,2.62,2.47,2.5,0.0,2.11,1.94,2.0,1.83,1.23,1.03,0.0,0.0,100.02
07/26/2021,12.1,10.89,7.9,7.23,7.1,5.88,7.23,4.98,3.88,3.57,3.46,2.68,2.69,2.6,2.6,2.5,2.53,0.0,2.21,1.97,1.97,1.79,1.21,1.04,0.0,0.0,100.01
07/27/2021,12.12,11.05,7.84,7.2,7.13,5.84,7.21,4.94,3.86,3.54,3.47,2.69,2.69,2.6,2.63,2.5,2.53,0.0,2.21,1.98,1.96,1.79,1.2,1.04,0.0,0.0,100.02
07/28/2021,12.12,11.05,7.84,7.2,7.13,5.84,7.21,4.94,3.86,3.54,3.47,2.69,2.69,2.6,2.63,2.5,2.53,0.0,2.21,1.98,1.96,1.79,1.2,1.04,0.0,0.0,100.02
07/29/2021,12.18,11.1,7.8,7.23,7.1,5.85,7.23,4.91,3.84,3.52,3.46,2.67,2.71,2.6,2.65,2.49,2.5,0.0,2.21,1.98,1.96,1.79,1.19,1.03,0.0,0.0,100.0
07/30/2021,12.17,10.98,7.86,7.22,7.05,5.88,7.24,4.95,3.83,3.54,3.49,2.68,2.72,2.6,2.63,2.49,2.48,0.0,2.21,1.97,1.97,1.8,1.2,1.03,0.0,0.0,99.99
08/02/2021,12.22,11.1,7.73,7.21,7.1,5.92,7.27,4.87,3.83,3.53,3.47,2.66,2.73,2.6,2.65,2.49,2.49,0.0,2.23,1.97,1.96,1.77,1.18,1.02,0.0,0.0,100.0
08/03/2021,12.22,11.1,7.73,7.21,7.1,5.92,7.27,4.87,3.83,3.53,3.47,2.66,2.73,2.6,2.65,2.49,2.49,0.0,2.23,1.97,1.96,1.77,1.18,1.02,0.0,0.0,100.0
08/04/2021,12.22,11.1,7.73,7.21,7.1,5.92,7.27,4.87,3.83,3.53,3.47,2.66,2.73,2.6,2.65,2.49,2.49,0.0,2.23,1.97,1.96,1.77,1.18,1.02,0.0,0.0,100.0
08/05/2021,12.22,11.1,7.73,7.21,7.1,5.92,7.27,4.87,3.83,3.53,3.47,2.66,2.73,2.6,2.65,2.49,2.49,0.0,2.23,1.97,1.96,1.77,1.18,1.02,0.0,0.0,100.0
08/06/2021,12.26,11.12,7.78,7.26,7.17,5.94,7.14,4.9,3.78,3.52,3.44,2.65,2.74,2.6,2.63,2.49,2.49,0.0,2.18,1.98,1.96,1.77,1.19,1.02,0.0,0.0,100.01
09/07/2021,12.23,11.27,7.68,7.39,7.07,6.11,7.15,4.84,3.83,3.5,5.67,2.61,2.7,2.64,2.64,2.55,0.0,0.0,2.18,2.01,1.94,1.74,0.0,0.0,1.23,1.0,99.98
09/08/2021,12.23,11.27,7.68,7.39,7.07,6.11,7.15,4.84,3.83,3.5,5.67,2.61,2.7,2.64,2.64,2.55,0.0,0.0,2.18,2.01,1.94,1.74,0.0,0.0,1.23,1.0,99.98
09/09/2021,12.23,11.27,7.68,7.39,7.07,6.11,7.15,4.84,3.83,3.5,5.67,2.61,2.7,2.64,2.64,2.55,0.0,0.0,2.18,2.01,1.94,1.74,0.0,0.0,1.23,1.0,99.98
09/10/2021,12.15,11.2,7.68,7.37,7.05,6.15,7.08,4.83,3.82,3.49,5.62,2.61,2.69,2.62,2.66,2.53,0.0,0.0,2.16,2.02,1.94,1.75,0.0,0.0,1.57,1.01,100.0
09/13/2021,12.07,11.15,7.73,7.38,7.01,6.09,7.1,4.88,3.86,3.5,5.59,2.62,2.67,2.61,2.71,2.52,0.0,0.0,2.17,2.01,1.95,1.77,0.0,0.0,1.61,1.01,100.01
09/14/2021,12.0,11.08,7.74,7.36,7.02,6.12,7.21,4.88,3.84,3.5,5.55,2.62,2.67,2.59,2.76,2.5,0.0,0.0,2.21,2.01,1.95,1.77,0.0,0.0,1.61,1.0,99.99
