,BAC,MSFT,NXPI,GM,EXC,JCI,LLY,GLPI,AGO,C,REGN,URI,ABBV,CHTR,APO,FCX,002960.SZ,DOW,NOC,UNP,PEP,COP,AIG,BJ,PG,RDN,ANTM,HLT,TXN,TMO,NRG,ORLY,WMT,AMT,ATVI,LUV,CMCSA,TMUS,VLO,CTVA,BXP,DXC,KEY,301012.SZ,n/a,SUM
08/27/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,2.63,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,0.0,99.98999999999998
08/30/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,2.63,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,0.0,99.98999999999998
08/31/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,2.63,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,0.0,99.98999999999998
09/01/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,2.63,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,0.0,99.98999999999998
09/02/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,2.63,0.0,99.98999999999998
09/03/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,2.63,0.0,99.98999999999998
09/06/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,2.63,0.0,99.98999999999998
09/07/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/08/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/09/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/10/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/13/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/14/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/15/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/16/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/17/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/20/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/21/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/22/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/23/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/24/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/27/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/28/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/29/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
09/30/2021,4.65,4.47,3.68,3.64,3.32,3.3,3.23,3.22,3.18,3.15,3.1,3.07,2.98,2.97,2.71,2.7,0.0,2.42,2.35,2.26,2.24,2.2,2.14,2.09,2.04,2.0,1.98,1.91,1.72,1.69,1.62,1.61,1.5,1.47,1.44,1.41,1.37,1.34,1.34,1.31,0.99,0.91,0.64,0.0,2.63,99.98999999999998
