,2SPY  210930C00002690,2IWM  210930C00149790,2QQQ  210930C00278110,Cash&Other,2SPY  210930C00358800,2QQQ  210930C00297960,2IWM  210930C00160490,SUM
07/09/2021,106.6,42.27,24.95,0.17,-18.82,-19.26,-35.92,99.99
07/12/2021,107.27,42.79,25.25,0.16,-19.51,-19.54,-36.44,99.98000000000002
07/13/2021,107.27,42.79,25.25,0.16,-19.51,-19.54,-36.44,99.98000000000002
07/14/2021,107.27,42.79,25.25,0.16,-19.51,-19.54,-36.44,99.98000000000002
07/15/2021,107.63,42.78,25.7,0.16,-19.89,-19.97,-36.41,100.0
07/16/2021,107.31,40.51,25.65,0.16,-19.54,-19.93,-34.16,100.0
07/19/2021,107.06,37.67,24.83,0.15,-19.19,-19.19,-31.34,99.99
07/20/2021,106.28,36.2,24.22,0.15,-18.44,-18.53,-29.88,100.00000000000004
07/21/2021,106.28,36.2,24.22,0.15,-18.44,-18.53,-29.88,100.00000000000004
07/22/2021,105.37,34.94,23.62,0.15,-17.27,-17.92,-28.88,100.01
07/23/2021,106.42,38.37,24.67,0.14,-18.63,-18.95,-32.03,99.98999999999998
07/26/2021,107.28,38.53,26.13,0.13,-19.54,-20.36,-32.18,99.99
07/27/2021,108.12,38.77,27.13,0.13,-20.39,-21.35,-32.42,99.99
07/28/2021,108.12,38.77,27.13,0.13,-20.39,-21.35,-32.42,99.99
07/29/2021,108.67,38.89,27.2,0.16,-20.45,-21.44,-33.06,99.97
07/30/2021,108.32,37.7,25.99,0.18,-20.09,-20.22,-31.9,99.98
08/02/2021,108.63,40.57,26.35,0.17,-20.51,-20.54,-34.67,100.0
08/03/2021,107.89,39.92,26.21,0.17,-20.23,-20.41,-33.56,99.99
08/04/2021,107.89,39.92,26.21,0.17,-20.23,-20.41,-33.56,99.99
08/05/2021,107.62,39.17,26.17,0.17,-19.95,-20.37,-32.81,100.00000000000004
08/06/2021,108.19,39.15,26.61,0.17,-20.49,-20.81,-32.82,99.99999999999996
08/10/2021,108.62,40.84,26.99,0.15,-20.97,-21.15,-34.48,100.00000000000004
08/11/2021,108.62,40.84,26.99,0.15,-20.97,-21.15,-34.48,100.00000000000004
08/12/2021,108.5,40.18,27.19,0.15,-20.86,-21.34,-33.83,99.99000000000002
08/13/2021,108.51,40.28,26.56,0.15,-20.86,-20.72,-33.92,100.0
08/16/2021,109.09,40.59,26.78,0.14,-21.47,-20.93,-34.21,99.98999999999998
08/17/2021,109.27,39.42,27.14,0.14,-21.66,-21.28,-33.04,99.98999999999998
08/18/2021,109.27,39.42,27.14,0.14,-21.66,-21.28,-33.04,99.98999999999998
08/19/2021,109.59,38.35,27.21,0.14,-21.98,-21.34,-31.97,100.0
08/20/2021,108.88,36.57,26.06,0.14,-21.1,-20.23,-30.31,100.01
08/23/2021,108.13,34.66,25.93,0.13,-20.38,-20.1,-28.37,100.0
08/24/2021,108.66,36.33,26.91,0.12,-21.0,-21.06,-29.97,99.99
08/25/2021,108.66,36.33,26.91,0.12,-21.0,-21.06,-29.97,99.99
08/26/2021,109.67,38.7,28.55,0.12,-22.07,-22.67,-32.31,99.99000000000001
