,DDD,ROK,AZPN,CGNX,ADSK,AMBA,EMR,PTC,ABB,HOLI,QADA,SSYS,ALGM,ON,TSEM,KLAC,DOV,SAP,J,SANM,FARO,AI,PATH,PCTI,n/a,SUM
10/15/2021,6.29,6.15,6.02,5.84,5.48,5.42,5.37,5.04,4.99,4.87,4.25,4.19,3.95,3.74,3.53,3.44,3.3,3.1,3.03,2.93,2.92,2.62,2.23,1.03,0.28,100.01
10/18/2021,6.33,6.17,6.14,5.89,5.54,5.82,5.22,5.07,5.11,4.65,4.11,4.16,3.95,3.58,3.45,3.37,3.31,3.21,2.94,2.85,2.92,2.66,2.29,0.97,0.27,99.98
10/19/2021,6.06,6.26,5.99,6.0,5.59,5.81,5.28,5.1,5.11,4.63,4.11,4.13,4.04,3.61,3.53,3.37,3.37,3.24,2.93,2.85,2.92,2.59,2.24,0.96,0.27,99.99
10/20/2021,6.06,6.26,5.99,6.0,5.59,5.81,5.28,5.1,5.11,4.63,4.11,4.13,4.04,3.61,3.53,3.37,3.37,3.24,2.93,2.85,2.92,2.59,2.24,0.96,0.27,99.99
10/21/2021,6.2,6.24,5.99,6.09,5.59,5.81,5.26,5.14,5.05,4.64,4.1,4.09,4.01,3.67,3.53,3.33,3.38,3.21,2.92,2.82,2.86,2.61,2.23,0.97,0.27,100.01
10/22/2021,6.2,6.24,5.99,6.09,5.59,5.81,5.26,5.14,5.05,4.64,4.1,4.09,4.01,3.67,3.53,3.33,3.38,3.21,2.92,2.82,2.86,2.61,2.23,0.97,0.27,100.01
10/25/2021,6.38,6.22,5.79,5.89,5.6,5.92,5.25,5.23,5.07,4.57,4.02,4.32,4.04,3.71,3.58,3.31,3.37,3.11,2.92,2.7,2.84,2.65,2.26,0.98,0.26,99.99
10/26/2021,6.13,6.21,5.67,5.96,5.84,5.95,5.26,5.22,4.85,4.65,4.06,4.15,4.21,3.78,3.59,3.46,3.4,3.1,2.96,2.7,2.84,2.57,2.24,0.98,0.26,100.04
10/27/2021,6.13,6.21,5.67,5.96,5.84,5.95,5.26,5.22,4.85,4.65,4.06,4.15,4.21,3.78,3.59,3.46,3.4,3.1,2.96,2.7,2.84,2.57,2.24,0.98,0.26,100.04
10/28/2021,6.43,6.07,5.47,5.91,5.77,6.04,5.14,5.16,4.65,4.54,3.98,4.93,4.11,3.72,3.68,3.39,3.32,3.1,2.94,2.7,2.83,2.54,2.35,0.96,0.25,99.98
10/29/2021,6.47,6.1,5.47,6.0,5.83,6.12,5.2,5.12,4.74,4.5,4.0,4.66,4.14,3.66,3.62,3.4,3.31,3.14,2.94,2.7,2.84,2.53,2.33,0.95,0.25,100.02
11/01/2021,6.26,6.14,5.49,5.97,5.88,6.38,5.2,5.07,4.76,4.47,3.98,4.49,4.21,3.8,3.63,3.52,3.33,3.16,2.95,2.62,2.83,2.47,2.22,0.94,0.24,100.01
11/02/2021,6.29,6.12,5.52,6.0,5.86,6.22,5.15,5.06,4.71,4.53,3.96,4.56,4.13,3.86,3.59,3.67,3.32,3.09,2.96,2.62,2.95,2.48,2.17,0.94,0.24,100.0
11/03/2021,6.29,6.12,5.52,6.0,5.86,6.22,5.15,5.06,4.71,4.53,3.96,4.56,4.13,3.86,3.59,3.67,3.32,3.09,2.96,2.62,2.95,2.48,2.17,0.94,0.24,100.0
11/04/2021,6.91,6.0,5.38,5.92,5.69,6.25,5.09,4.93,4.65,4.41,3.88,4.81,3.8,4.32,3.68,3.66,3.26,3.05,2.9,2.64,2.99,2.4,2.23,0.94,0.23,100.02
11/05/2021,6.91,6.0,5.38,5.92,5.69,6.25,5.09,4.93,4.65,4.41,3.88,4.81,3.8,4.32,3.68,3.66,3.26,3.05,2.9,2.64,2.99,2.4,2.23,0.94,0.23,100.02
11/08/2021,6.81,6.28,5.41,5.99,5.64,6.3,4.95,4.61,4.75,3.32,3.8,5.02,3.79,4.61,3.78,3.86,3.24,3.05,2.86,2.77,3.04,2.58,2.38,0.95,0.23,100.02
11/09/2021,6.98,6.27,5.49,5.22,5.78,6.27,5.02,4.83,4.75,3.19,0.0,4.84,3.85,4.58,3.83,3.96,3.25,3.08,2.9,2.89,3.18,2.57,2.34,0.89,4.05,100.01
11/10/2021,6.98,6.27,5.49,5.22,5.78,6.27,5.02,4.83,4.75,3.19,0.0,4.84,3.85,4.58,3.83,3.96,3.25,3.08,2.9,2.89,3.18,2.57,2.34,0.89,4.05,100.01
