,NVDA,COST,UNP,HON,LOW,NEE,CAT,AMT,ZTS,PLD,CCI,CSX,ITW,EQIX,EW,ADI,ILMN,WM,GPN,EMR,REGN,NXPI,EOG,ALGN,NEM,JCI,SCCO,IQV,VRTX,SLB,ROST,A,MSCI,CNC,APTV,PH,APH,AEP,SNPS,SPG,SYY,PAYX,CTAS,ALXN,AFL,CTSH,PANW,PXD,RSG,SBAC,XLNX,AME,ANSS,NUE,DHI,SWKS,WEC,VRSK,EQR,EFX,KEYS,GRMN,PCAR,SIVB,Us Dollars,ARE,IFF,FTV,ED,O,ABC,URI,HAL,MKC,VMC,LNG,IT,WAT,DOV,MLM,DTE,ETR,RF,NTAP,HPE,DISCK,TFX,SSNC,DISCA,JBHT,IP,LNT,MHK,FTI,CNP,WRK,WPC,HSIC,NOV,NI,SEE,DTM WI,Sealed Air Corp,AZN,VICI,n/a,TECH,DIOD,SAIA,DTM,603087.SS,NBAC,NOW,ISRG,HCA,FIS,TWLO,IDXX,KLAC,DOCU,FCX,DLR,VEEV,MCHP,RMD,DD,ODFL,EPAM,WST,MTD,PAYC,W,ZBRA,ALB,EXR,HRL,VTR,SUI,CTLT,DVN,FOXA,FLT,CHD,ALNY,EXPD,TDY,BURL,RNG,ON,AGR,QRVO,DRE,TYL,TER,GPC,AVY,BXP,EXAS,FANG,MKTX,WAB,PWR,SBNY,CDAY,UDR,MOH,AES,INCY,CPT,ELS,LKQ,MASI,NDSN,CGNX,EMN,L,CCK,CSGP,SUM
07/09/2021,9.93,3.69,3.32,3.31,2.93,2.9,2.56,2.44,1.91,1.78,1.74,1.66,1.49,1.44,1.42,1.35,1.29,1.25,1.24,1.22,1.22,1.17,1.11,1.07,1.06,1.05,1.03,1.01,1.01,1.0,0.96,0.96,0.95,0.94,0.92,0.87,0.86,0.86,0.85,0.85,0.84,0.83,0.83,0.83,0.79,0.78,0.74,0.74,0.74,0.73,0.7,0.66,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.59,0.58,0.58,0.58,0.57,0.55,0.53,0.51,0.51,0.51,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.45,0.43,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.37,0.31,0.29,0.29,0.28,0.28,0.28,0.28,0.23,0.22,0.2,0.19,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,9.78,3.82,3.27,3.32,2.93,2.97,2.53,2.51,1.98,1.84,1.8,1.6,1.5,1.51,1.46,1.31,1.31,1.27,1.23,1.22,1.21,1.15,1.05,1.07,1.07,1.06,1.02,1.03,1.01,0.95,0.94,0.97,0.99,0.93,0.89,0.88,0.87,0.88,0.86,0.83,0.83,0.86,0.85,0.83,0.78,0.78,0.78,0.71,0.75,0.76,0.65,0.66,0.63,0.61,0.6,0.6,0.63,0.63,0.63,0.62,0.61,0.59,0.57,0.56,0.35,0.57,0.53,0.51,0.53,0.52,0.49,0.47,0.45,0.48,0.49,0.48,0.48,0.48,0.46,0.46,0.47,0.44,0.4,0.41,0.4,0.38,0.42,0.39,0.35,0.37,0.32,0.3,0.29,0.26,0.29,0.28,0.29,0.23,0.2,0.21,0.0,0.08,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/13/2021,9.78,3.82,3.27,3.32,2.93,2.97,2.53,2.51,1.98,1.84,1.8,1.6,1.5,1.51,1.46,1.31,1.31,1.27,1.23,1.22,1.21,1.15,1.05,1.07,1.07,1.06,1.02,1.03,1.01,0.95,0.94,0.97,0.99,0.93,0.89,0.88,0.87,0.88,0.86,0.83,0.83,0.86,0.85,0.83,0.78,0.78,0.78,0.71,0.75,0.76,0.65,0.66,0.63,0.61,0.6,0.6,0.63,0.63,0.63,0.62,0.61,0.59,0.57,0.56,0.35,0.57,0.53,0.51,0.53,0.52,0.49,0.47,0.45,0.48,0.49,0.48,0.48,0.48,0.46,0.46,0.47,0.44,0.4,0.41,0.4,0.38,0.42,0.39,0.35,0.37,0.32,0.3,0.29,0.26,0.29,0.28,0.29,0.23,0.2,0.21,0.0,0.08,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/14/2021,9.73,3.82,3.27,3.35,2.93,2.93,2.56,2.49,1.96,1.85,1.78,1.62,1.51,1.48,1.43,1.32,1.3,1.26,1.22,1.22,1.21,1.16,1.07,1.07,1.07,1.07,1.05,1.02,1.0,0.95,0.95,0.97,0.99,0.93,0.9,0.88,0.87,0.87,0.86,0.85,0.83,0.86,0.84,0.82,0.78,0.77,0.78,0.7,0.75,0.75,0.65,0.66,0.62,0.62,0.6,0.61,0.62,0.62,0.63,0.62,0.61,0.59,0.57,0.59,0.37,0.57,0.52,0.51,0.52,0.52,0.49,0.48,0.46,0.48,0.49,0.47,0.48,0.48,0.46,0.46,0.47,0.43,0.41,0.41,0.4,0.38,0.41,0.39,0.35,0.38,0.32,0.29,0.29,0.26,0.29,0.28,0.29,0.23,0.21,0.21,0.0,0.08,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,9.91,3.76,3.25,3.35,2.92,2.92,2.56,2.49,1.96,1.87,1.79,1.61,1.5,1.49,1.41,1.32,1.32,1.26,1.21,1.23,1.19,1.18,1.08,1.1,1.05,1.07,1.04,1.01,1.0,0.95,0.94,0.96,0.98,0.94,0.91,0.88,0.87,0.86,0.85,0.85,0.82,0.85,0.85,0.82,0.78,0.77,0.77,0.7,0.74,0.75,0.65,0.67,0.61,0.62,0.59,0.61,0.62,0.61,0.63,0.62,0.61,0.59,0.57,0.6,0.37,0.57,0.52,0.51,0.52,0.52,0.49,0.49,0.46,0.47,0.49,0.46,0.47,0.48,0.46,0.46,0.47,0.43,0.41,0.41,0.4,0.39,0.41,0.39,0.36,0.37,0.32,0.29,0.29,0.25,0.28,0.28,0.29,0.23,0.21,0.21,0.0,0.08,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/16/2021,9.86,3.78,3.25,3.36,2.92,2.94,2.54,2.5,1.98,1.86,1.78,1.62,1.51,1.49,1.42,1.33,1.32,1.26,1.23,1.23,1.21,1.19,1.08,1.1,1.07,1.06,1.04,1.02,1.0,0.94,0.94,0.96,0.98,0.95,0.91,0.88,0.87,0.87,0.85,0.83,0.81,0.86,0.83,0.83,0.78,0.77,0.78,0.7,0.75,0.75,0.65,0.66,0.62,0.61,0.58,0.61,0.62,0.62,0.63,0.61,0.61,0.59,0.57,0.59,0.35,0.57,0.51,0.51,0.52,0.52,0.49,0.48,0.45,0.47,0.49,0.45,0.48,0.48,0.47,0.46,0.46,0.43,0.41,0.4,0.38,0.38,0.41,0.39,0.35,0.38,0.31,0.29,0.29,0.25,0.28,0.27,0.29,0.23,0.21,0.21,0.0,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/19/2021,9.29,3.85,3.28,3.51,2.96,3.03,2.51,2.54,2.0,1.89,1.8,1.64,1.53,1.52,1.43,1.31,1.27,1.3,1.27,1.25,1.24,1.14,1.0,1.08,1.07,1.08,1.04,1.01,1.02,0.89,0.95,0.97,0.99,0.94,0.9,0.87,0.86,0.89,0.86,0.83,0.8,0.87,0.81,0.81,0.79,0.78,0.78,0.66,0.77,0.76,0.63,0.67,0.63,0.62,0.59,0.61,0.65,0.64,0.65,0.63,0.61,0.59,0.58,0.6,0.38,0.58,0.51,0.52,0.53,0.53,0.49,0.49,0.43,0.48,0.5,0.45,0.47,0.49,0.47,0.47,0.47,0.44,0.41,0.4,0.39,0.37,0.37,0.39,0.35,0.38,0.31,0.3,0.29,0.23,0.29,0.27,0.3,0.23,0.19,0.21,0.0,0.08,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,8.97,3.87,3.28,3.51,3.0,3.1,2.49,2.57,2.01,1.91,1.83,1.64,1.54,1.53,1.45,1.29,1.29,1.31,1.28,1.24,1.24,1.12,0.98,1.07,1.05,1.08,1.01,1.03,1.04,0.87,0.93,0.98,1.01,0.94,0.88,0.86,0.86,0.9,0.86,0.83,0.8,0.87,0.86,0.81,0.79,0.78,0.79,0.64,0.78,0.77,0.63,0.68,0.63,0.6,0.59,0.61,0.66,0.65,0.66,0.65,0.61,0.6,0.58,0.58,0.39,0.59,0.51,0.52,0.54,0.54,0.49,0.48,0.42,0.49,0.5,0.46,0.48,0.49,0.47,0.46,0.48,0.45,0.4,0.39,0.39,0.37,0.39,0.4,0.35,0.38,0.31,0.31,0.28,0.23,0.29,0.26,0.3,0.23,0.19,0.22,0.0,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/21/2021,8.97,3.87,3.28,3.51,3.0,3.1,2.49,2.57,2.01,1.91,1.83,1.64,1.54,1.53,1.45,1.29,1.29,1.31,1.28,1.24,1.24,1.12,0.98,1.07,1.05,1.08,1.01,1.03,1.04,0.87,0.93,0.98,1.01,0.94,0.88,0.86,0.86,0.9,0.86,0.83,0.8,0.87,0.86,0.81,0.79,0.78,0.79,0.64,0.78,0.77,0.63,0.68,0.63,0.6,0.59,0.61,0.66,0.65,0.66,0.65,0.61,0.6,0.58,0.58,0.39,0.59,0.51,0.52,0.54,0.54,0.49,0.48,0.42,0.49,0.5,0.46,0.48,0.49,0.47,0.46,0.48,0.45,0.4,0.39,0.39,0.37,0.39,0.4,0.35,0.38,0.31,0.31,0.28,0.23,0.29,0.26,0.3,0.23,0.19,0.22,0.0,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,8.97,3.87,3.28,3.51,3.0,3.1,2.49,2.57,2.01,1.91,1.83,1.64,1.54,1.53,1.45,1.29,1.29,1.31,1.28,1.24,1.24,1.12,0.98,1.07,1.05,1.08,1.01,1.03,1.04,0.87,0.93,0.98,1.01,0.94,0.88,0.86,0.86,0.9,0.86,0.83,0.8,0.87,0.86,0.81,0.79,0.78,0.79,0.64,0.78,0.77,0.63,0.68,0.63,0.6,0.59,0.61,0.66,0.65,0.66,0.65,0.61,0.6,0.58,0.58,0.39,0.59,0.51,0.52,0.54,0.54,0.49,0.48,0.42,0.49,0.5,0.46,0.48,0.49,0.47,0.46,0.48,0.45,0.4,0.39,0.39,0.37,0.39,0.4,0.35,0.38,0.31,0.31,0.28,0.23,0.29,0.26,0.3,0.23,0.19,0.22,0.0,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
