,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,JPM,JNJ,V,UNH,BRK.B,HD,PYPL,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,INTC,VZ,CRM,PFE,T,TMO,CSCO,ABT,KO,PEP,ABBV,WMT,NKE,LLY,MRK,CVX,ACN,AVGO,DHR,TXN,MCD,COST,WFC,MDT,QCOM,PM,UNP,HON,UPS,BMY,LIN,NEE,ORCL,LOW,C,AMGN,SBUX,BA,INTU,GS,RTX,MS,TGT,IBM,AMAT,AMT,BLK,MMM,CAT,GE,AMD,ISRG,CVS,SCHW,NOW,AXP,SPGI,CHTR,DE,ZTS,ANTM,SQ,PLD,LMT,FIS,MU,MDLZ,MO,CI,LRCX,ZM,BKNG,TMUS,CCI,SYK,GILD,ADP,COP,PNC,MRNA,TJX,SNAP,CSX,DUK,USB,EQIX,GM,EL,NSC,BDX,TFC,FDX,MMC,ATVI,CME,CL,COF,ILMN,SHW,ITW,BSX,ADI,APD,ICE,D,REGN,BX,MELI,ADSK,EW,SO,CB,WM,ETN,HUM,TWLO,FISV,UBER,AON,EMR,SNOW,GPN,ECL,PGR,NOC,HCA,MCO,F,IDXX,VRTX,TWTR,BIIB,DG,ROP,FCX,DOCU,PSA,LHX,ROKU,KMB,MSCI,JCI,KLAC,DXCM,LULU,NEM,EOG,TROW,EXC,MRVL,IQV,TT,ROST,A,GD,EBAY,ALGN,DOW,CRWD,APH,DD,PRU,BK,HPQ,PH,CNC,EA,BAX,MET,ALXN,PPG,VEEV,DLR,SNPS,SLB,INFO,AEP,APTV,ORLY,CARR,TEL,WDAY,CASH,MTCH,AIG,TRV,CMG,Cash,GENERAL ELECTRIC CO,TEAM,GEN.,n/a,MCHP,GE.,FTNT,CTSH,AFL,DFS,SBAC,CDNS,PANW,WST,ANSS,CTAS,SPG,MSI,PLTR,RMD,MPC,MAR,PXD,SYY,NET,XLNX,DELL,ODFL,ABNB,PAYX,GIS,KKR,TTD,HLT,AZO,ROK,YUM,DDOG,SRE,SUM
07/09/2021,6.3,5.46,4.15,2.23,1.97,1.93,1.34,1.29,1.23,1.17,1.07,1.02,0.95,0.91,0.91,0.89,0.88,0.83,0.81,0.77,0.69,0.69,0.62,0.61,0.59,0.59,0.58,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.53,0.53,0.53,0.52,0.51,0.51,0.5,0.47,0.47,0.46,0.46,0.46,0.45,0.43,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.62
07/12/2021,6.39,5.49,4.23,2.2,1.96,1.93,1.33,1.24,1.21,1.19,1.06,1.02,0.94,0.91,0.92,0.9,0.87,0.84,0.79,0.79,0.7,0.68,0.61,0.6,0.59,0.58,0.58,0.54,0.55,0.55,0.56,0.56,0.55,0.55,0.53,0.53,0.53,0.52,0.51,0.52,0.5,0.47,0.46,0.47,0.47,0.45,0.46,0.42,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.36,0.34,0.35,0.34,0.34,0.34,0.32,0.33,0.32,0.3,0.3,0.3,0.28,0.29,0.28,0.27,0.28,0.28,0.27,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.23,0.24,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.2,0.19,0.18,0.19,0.2,0.2,0.21,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.69
07/13/2021,6.39,5.49,4.23,2.2,1.96,1.93,1.33,1.24,1.21,1.19,1.06,1.02,0.94,0.91,0.92,0.9,0.87,0.84,0.79,0.79,0.7,0.68,0.61,0.6,0.59,0.58,0.58,0.54,0.55,0.55,0.56,0.56,0.55,0.55,0.53,0.53,0.53,0.52,0.51,0.52,0.5,0.47,0.46,0.47,0.47,0.45,0.46,0.42,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.36,0.36,0.34,0.35,0.34,0.34,0.34,0.32,0.33,0.32,0.3,0.3,0.3,0.28,0.29,0.28,0.27,0.28,0.28,0.27,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.24,0.23,0.24,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.2,0.19,0.18,0.19,0.2,0.2,0.21,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.12,0.0,0.11,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.69
07/14/2021,6.4,5.44,4.17,2.21,1.94,1.92,1.33,1.24,1.24,1.18,1.06,1.02,0.95,0.91,0.93,0.89,0.87,0.85,0.81,0.78,0.69,0.68,0.61,0.6,0.59,0.57,0.58,0.54,0.54,0.55,0.55,0.55,0.54,0.54,0.53,0.53,0.52,0.52,0.51,0.52,0.5,0.47,0.46,0.47,0.47,0.46,0.46,0.43,0.41,0.4,0.41,0.4,0.4,0.4,0.39,0.4,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.33,0.34,0.32,0.32,0.33,0.3,0.3,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.64
07/15/2021,6.36,5.41,4.16,2.22,1.96,1.92,1.38,1.26,1.25,1.17,1.05,1.02,0.95,0.91,0.93,0.89,0.87,0.88,0.82,0.77,0.69,0.68,0.61,0.61,0.59,0.57,0.58,0.53,0.54,0.55,0.55,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.51,0.52,0.51,0.47,0.46,0.47,0.47,0.46,0.45,0.43,0.41,0.39,0.41,0.4,0.4,0.4,0.39,0.39,0.37,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.35,0.34,0.33,0.33,0.33,0.33,0.3,0.31,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.26,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.19,0.18,0.19,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.2,0.19,0.19,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.11,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6
07/16/2021,6.43,5.5,4.13,2.22,1.97,1.94,1.35,1.25,1.24,1.18,1.08,1.03,0.95,0.9,0.93,0.89,0.9,0.88,0.8,0.78,0.69,0.68,0.61,0.61,0.59,0.57,0.58,0.53,0.54,0.55,0.54,0.56,0.55,0.54,0.53,0.53,0.52,0.51,0.51,0.52,0.51,0.47,0.46,0.47,0.47,0.46,0.45,0.43,0.4,0.39,0.41,0.39,0.4,0.39,0.39,0.39,0.37,0.38,0.37,0.37,0.34,0.35,0.35,0.34,0.35,0.34,0.33,0.33,0.32,0.33,0.3,0.3,0.3,0.28,0.29,0.28,0.28,0.27,0.28,0.26,0.25,0.26,0.26,0.26,0.24,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.2,0.19,0.18,0.19,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.11,0.11,0.12,0.0,0.0,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.69
07/19/2021,6.57,5.52,4.08,2.18,1.97,1.95,1.32,1.17,1.24,1.17,1.11,1.04,0.95,0.92,0.92,0.91,0.91,0.88,0.78,0.78,0.7,0.66,0.62,0.6,0.59,0.56,0.59,0.54,0.54,0.55,0.54,0.58,0.56,0.55,0.54,0.53,0.51,0.52,0.5,0.53,0.5,0.48,0.46,0.47,0.47,0.48,0.45,0.43,0.41,0.39,0.42,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.34,0.35,0.35,0.34,0.35,0.34,0.33,0.32,0.33,0.32,0.31,0.3,0.29,0.27,0.29,0.28,0.28,0.28,0.28,0.27,0.25,0.25,0.26,0.26,0.23,0.25,0.24,0.24,0.22,0.24,0.23,0.22,0.22,0.2,0.21,0.22,0.22,0.22,0.22,0.23,0.2,0.21,0.22,0.2,0.17,0.2,0.21,0.21,0.21,0.19,0.19,0.18,0.19,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.16,0.17,0.17,0.18,0.18,0.16,0.16,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.12,0.11,0.12,0.12,0.0,0.11,0.13,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.86
07/20/2021,6.57,5.52,4.08,2.18,1.97,1.95,1.32,1.17,1.24,1.17,1.11,1.04,0.95,0.92,0.92,0.91,0.91,0.88,0.78,0.78,0.7,0.66,0.62,0.6,0.59,0.56,0.59,0.54,0.54,0.55,0.54,0.58,0.56,0.55,0.54,0.53,0.51,0.52,0.5,0.53,0.5,0.48,0.46,0.47,0.47,0.48,0.45,0.43,0.41,0.39,0.42,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.34,0.35,0.35,0.34,0.35,0.34,0.33,0.32,0.33,0.32,0.31,0.3,0.29,0.27,0.29,0.28,0.28,0.28,0.28,0.27,0.25,0.25,0.26,0.26,0.23,0.25,0.24,0.24,0.22,0.24,0.23,0.22,0.22,0.2,0.21,0.22,0.22,0.22,0.22,0.23,0.2,0.21,0.22,0.2,0.17,0.2,0.21,0.21,0.21,0.19,0.19,0.18,0.19,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.16,0.17,0.17,0.18,0.18,0.16,0.16,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.12,0.11,0.12,0.12,0.0,0.11,0.13,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.86
07/21/2021,6.52,5.55,4.04,2.17,1.98,1.97,1.32,1.13,1.22,1.18,1.11,1.05,0.95,0.92,0.92,0.92,0.91,0.87,0.77,0.79,0.7,0.65,0.61,0.6,0.6,0.56,0.6,0.54,0.55,0.56,0.55,0.58,0.57,0.55,0.54,0.53,0.52,0.52,0.49,0.53,0.5,0.49,0.46,0.47,0.48,0.47,0.45,0.43,0.41,0.39,0.42,0.4,0.4,0.4,0.41,0.4,0.38,0.37,0.38,0.37,0.33,0.35,0.35,0.34,0.35,0.34,0.33,0.31,0.33,0.32,0.3,0.29,0.29,0.27,0.29,0.28,0.27,0.27,0.28,0.27,0.25,0.25,0.26,0.26,0.24,0.26,0.25,0.25,0.22,0.24,0.23,0.22,0.21,0.2,0.21,0.23,0.23,0.22,0.23,0.23,0.2,0.21,0.25,0.19,0.17,0.2,0.21,0.21,0.21,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.16,0.17,0.18,0.18,0.18,0.16,0.16,0.17,0.15,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.16,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.11,0.12,0.12,0.0,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.0,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.15,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.93
07/22/2021,6.44,5.56,4.08,2.18,1.97,1.96,1.34,1.19,1.2,1.19,1.09,1.03,0.95,0.93,0.93,0.93,0.88,0.85,0.76,0.79,0.69,0.63,0.62,0.6,0.6,0.57,0.6,0.54,0.56,0.56,0.56,0.58,0.58,0.55,0.55,0.53,0.53,0.52,0.48,0.53,0.5,0.49,0.46,0.47,0.49,0.47,0.45,0.43,0.41,0.39,0.41,0.4,0.4,0.4,0.41,0.41,0.38,0.37,0.38,0.37,0.32,0.36,0.34,0.33,0.35,0.35,0.34,0.32,0.34,0.31,0.31,0.29,0.28,0.28,0.29,0.28,0.27,0.28,0.27,0.27,0.26,0.25,0.26,0.25,0.24,0.26,0.25,0.24,0.22,0.24,0.24,0.21,0.21,0.2,0.2,0.22,0.23,0.21,0.23,0.23,0.19,0.2,0.28,0.19,0.17,0.19,0.21,0.2,0.21,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.19,0.17,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.16,0.17,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.13,0.13,0.12,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.11,0.12,0.12,0.11,0.11,0.13,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.94000000000003
