,2SPY  220131C00002950,2SPY  220131P00351570,Cash&Other,2SPY  220131P00240550,2SPY  220131C00398940,SUM
07/09/2021,109.69,1.57,0.53,-0.3,-11.49,100.0
07/12/2021,110.28,1.53,0.52,-0.29,-12.04,100.0
07/13/2021,110.28,1.53,0.52,-0.29,-12.04,100.0
07/14/2021,110.28,1.53,0.52,-0.29,-12.04,100.0
07/15/2021,110.74,1.49,0.52,-0.29,-12.46,99.99999999999996
07/16/2021,110.34,1.58,0.51,-0.3,-12.14,99.99
07/19/2021,110.14,1.62,0.51,-0.29,-11.98,100.0
07/20/2021,109.47,1.76,0.5,-0.31,-11.42,100.0
07/21/2021,109.47,1.76,0.5,-0.31,-11.42,100.0
07/22/2021,108.27,2.07,0.5,-0.38,-10.46,100.0
07/23/2021,109.51,1.76,0.45,-0.34,-11.38,100.0
07/26/2021,110.55,1.55,0.45,-0.29,-12.26,100.0
07/27/2021,111.4,1.45,0.44,-0.28,-13.01,100.0
07/28/2021,111.4,1.45,0.44,-0.28,-13.01,100.0
07/29/2021,111.66,1.41,0.44,-0.28,-13.23,100.0
07/30/2021,111.08,1.55,0.44,-0.31,-12.76,100.0
08/02/2021,111.48,1.4,0.43,-0.28,-13.03,100.0
08/03/2021,111.28,1.44,0.43,-0.29,-12.87,99.99
08/04/2021,111.28,1.44,0.43,-0.29,-12.87,99.99
08/05/2021,111.05,1.5,0.43,-0.3,-12.68,100.0
08/06/2021,111.52,1.32,0.51,-0.27,-13.09,99.99
08/10/2021,111.85,1.23,0.5,-0.24,-13.34,100.0
08/11/2021,111.85,1.23,0.5,-0.24,-13.34,100.0
08/13/2021,111.85,1.25,0.49,-0.23,-13.36,100.0
08/16/2021,112.3,1.11,0.49,-0.2,-13.7,100.0
08/17/2021,112.36,1.1,0.48,-0.2,-13.75,99.99
08/18/2021,112.36,1.1,0.48,-0.2,-13.75,99.99
08/19/2021,112.69,1.08,0.48,-0.2,-14.05,100.0
08/20/2021,112.03,1.21,0.48,-0.22,-13.5,100.0
08/23/2021,111.53,1.46,0.38,-0.28,-13.1,99.99
08/24/2021,112.1,1.29,0.38,-0.24,-13.52,100.01
08/25/2021,112.1,1.29,0.38,-0.24,-13.52,100.01
08/26/2021,113.02,1.12,0.38,-0.21,-14.31,100.0
08/27/2021,113.09,1.13,0.37,-0.21,-14.39,99.99
08/30/2021,112.82,1.17,0.36,-0.22,-14.13,100.0
08/31/2021,113.48,1.02,0.36,-0.19,-14.67,100.0
09/01/2021,113.48,1.02,0.36,-0.19,-14.67,100.0
09/02/2021,114.05,0.96,0.36,-0.18,-15.2,99.98999999999998
09/03/2021,114.08,0.97,0.36,-0.18,-15.23,100.0
09/06/2021,114.14,0.92,0.35,-0.17,-15.24,100.0
09/07/2021,114.2,0.93,0.34,-0.17,-15.3,100.0
09/08/2021,114.2,0.93,0.34,-0.17,-15.3,100.0
09/09/2021,114.2,0.93,0.34,-0.17,-15.3,100.0
09/10/2021,113.79,1.0,0.34,-0.19,-14.94,100.0
09/13/2021,113.28,1.04,0.33,-0.18,-14.48,99.99
09/14/2021,112.67,1.15,0.33,-0.21,-13.94,100.0
09/15/2021,112.67,1.15,0.33,-0.21,-13.94,100.0
09/16/2021,112.79,1.05,0.33,-0.19,-13.99,99.99
09/17/2021,112.12,1.09,0.37,-0.2,-13.38,100.0
09/20/2021,112.75,0.95,0.36,-0.16,-13.91,99.99
09/21/2021,111.69,1.1,0.36,-0.19,-12.96,100.0
09/22/2021,111.69,1.1,0.36,-0.19,-12.96,100.0
09/23/2021,110.22,1.44,0.36,-0.25,-11.77,100.0
09/24/2021,110.05,1.35,0.36,-0.23,-11.54,99.98999999999998
