,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,2330.TW,NVDA,TSLA,JNJ,JPM,9988.HK,V,700.HK,UNH,005930.KS,NESN.SW,PG,BRK.B,HD,MA,PYPL,DIS,BAC,ASML.AS,ROG.SW,ADBE,CMCSA,NFLX,KO,INTC,VZ,CSCO,CRM,MC.PA,PFE,T,ABT,ABBV,WMT,PEP,7203.T,MRK,TMO,ACN,AVGO,NKE,COST,LLY,NOVN.SW,DHR,WFC,MDT,TXN,SHOP,QCOM,ULVR.L,MCD,HON,6758.T,ORCL,PM,BMY,1299.HK,SAP.DE,PXD,C,SBUX,AZN.L,UPS,NOVO B.CO,UNP,RTX,KMI,AMAT,XTSLA,SIE.DE,IBM,LOW,AMGN,ENB.TO,GS,NEE,INTU,BA,3690.HK,8031.T,DGE.L,AMT,MS,SLB,LIN,OR.PA,CBA.AX,VALE3.SA,CAT,AMD,AXP,TGT,ALV.DE,GE,ISRG,BLK,RY.TO,SAN.PA,HSBA.L,CVS,SU.PA,MMM,BKNG,NOW,9984.T,TD.TO,7741.T,SQ,BATS.L,ZTS,GSK.L,CSL.AX,MDLZ,SCHW,SPGI,DE,FIS,HAL,MO,RIO.L,AWK,6861.T,4063.T,TMUS,GILD,6594.T,CHTR,LRCX,ES,ADP,SYK,ANTM,PLD,CCI,ZM,AIR.PA,BAM.A.TO,SHW,DG.PA,LMT,PNC,TJX,939.HK,DAI.DE,NPN.JO,EL,MU,MMC,FCX,RELIANCE.NS,8306.T,USB,ECL,6098.T,INFY.NS,CI,SIKA.SW,TFC,NIO,CB,EQIX,BNS.TO,ADI,SAN.MC,NSC,BX,NESTE.HE,ADS.DE,GM,NXPI,ITW,PPG,KER.PA,FISV,MELI,CME,PPL.TO,MRNA,INVE B.ST,UBER,WBC.AX,ILMN,WTRG,EW,CSX,BDX,EMR,CL,BSX,DTE.DE,6981.T,WMB,BMO.TO,NG.L,JCI,ABI.BR,WES.AX,BAS.DE,000660.KS,SNAP,388.HK,JD,2881.TW,ETN,ADSK,CS.PA,NAB.AX,USD,SBER.ME,HCA,TWLO,ABBN.SW,RKT.L,EL.PA,RITN.,6201.T,ADYEN.AS,GE.,BAYN.DE,COF,IFX.DE,PRX.AS,1180.SR,CNR.TO,SRT3.,BAM,ALA.TO,SUM
07/09/2021,3.58,2.96,2.38,1.27,1.21,1.09,0.82,0.78,0.78,0.68,0.68,0.65,0.61,0.6,0.58,0.55,0.54,0.54,0.53,0.51,0.51,0.49,0.47,0.46,0.44,0.41,0.41,0.39,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.99000000000001
07/12/2021,3.65,2.98,2.44,1.25,1.22,1.09,0.81,0.76,0.77,0.7,0.67,0.62,0.6,0.58,0.59,0.53,0.55,0.55,0.53,0.52,0.51,0.5,0.47,0.45,0.43,0.42,0.42,0.39,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.34,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.22,0.22,0.2,0.13,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.2,0.18,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.91
07/13/2021,3.65,2.98,2.44,1.25,1.22,1.09,0.81,0.76,0.77,0.7,0.67,0.62,0.6,0.58,0.59,0.53,0.55,0.55,0.53,0.52,0.51,0.5,0.47,0.45,0.43,0.42,0.42,0.39,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.34,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.27,0.26,0.25,0.24,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.21,0.22,0.22,0.2,0.13,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.2,0.18,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.91
07/14/2021,3.66,2.96,2.41,1.26,1.21,1.08,0.8,0.76,0.77,0.69,0.69,0.61,0.6,0.58,0.58,0.52,0.54,0.54,0.54,0.52,0.5,0.5,0.48,0.46,0.44,0.41,0.41,0.39,0.36,0.36,0.35,0.34,0.34,0.33,0.34,0.34,0.32,0.33,0.33,0.33,0.32,0.31,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.25,0.26,0.24,0.26,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.2,0.16,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.2,0.2,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.11,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.890000000000015
07/15/2021,3.66,2.96,2.41,1.26,1.21,1.08,0.8,0.76,0.77,0.69,0.69,0.61,0.6,0.58,0.58,0.52,0.54,0.54,0.54,0.52,0.5,0.5,0.48,0.46,0.44,0.41,0.41,0.39,0.36,0.36,0.35,0.34,0.34,0.33,0.34,0.34,0.32,0.33,0.33,0.33,0.32,0.31,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.25,0.25,0.25,0.25,0.26,0.24,0.26,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.2,0.16,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.2,0.2,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.1,0.11,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.890000000000015
07/16/2021,3.66,2.98,2.37,1.26,1.22,1.09,0.83,0.76,0.78,0.69,0.69,0.64,0.61,0.6,0.59,0.53,0.55,0.54,0.53,0.51,0.52,0.5,0.49,0.46,0.45,0.41,0.41,0.39,0.36,0.36,0.36,0.34,0.34,0.33,0.34,0.33,0.32,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.32,0.31,0.3,0.3,0.29,0.29,0.27,0.27,0.27,0.26,0.25,0.24,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.25,0.23,0.23,0.24,0.24,0.22,0.22,0.21,0.21,0.22,0.2,0.16,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.13000000000001
07/19/2021,3.74,2.99,2.35,1.24,1.23,1.1,0.85,0.72,0.76,0.69,0.69,0.65,0.63,0.61,0.59,0.54,0.54,0.55,0.54,0.52,0.53,0.49,0.5,0.45,0.45,0.41,0.41,0.39,0.36,0.37,0.35,0.35,0.34,0.32,0.34,0.34,0.32,0.32,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.25,0.24,0.25,0.25,0.25,0.27,0.25,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.24,0.23,0.22,0.23,0.21,0.21,0.22,0.2,0.16,0.2,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.2,0.18,0.2,0.2,0.18,0.18,0.17,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.15,0.15,0.13,0.11,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.13,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.13,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.1,0.0,0.11,0.1,0.0,0.0,0.1,0.0,0.11,0.11,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2
07/20/2021,3.74,2.99,2.35,1.24,1.23,1.1,0.85,0.72,0.76,0.69,0.69,0.65,0.63,0.61,0.59,0.54,0.54,0.55,0.54,0.52,0.53,0.49,0.5,0.45,0.45,0.41,0.41,0.39,0.36,0.37,0.35,0.35,0.34,0.32,0.34,0.34,0.32,0.32,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.25,0.24,0.25,0.25,0.25,0.27,0.25,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.24,0.23,0.22,0.23,0.21,0.21,0.22,0.2,0.16,0.2,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.2,0.18,0.2,0.2,0.18,0.18,0.17,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.16,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.15,0.15,0.13,0.11,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.13,0.12,0.11,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.13,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.1,0.0,0.11,0.1,0.0,0.0,0.1,0.0,0.11,0.11,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2
07/21/2021,3.71,3.01,2.33,1.23,1.24,1.1,0.81,0.69,0.76,0.69,0.68,0.65,0.63,0.61,0.6,0.53,0.55,0.56,0.54,0.52,0.53,0.49,0.49,0.44,0.44,0.42,0.42,0.39,0.36,0.37,0.35,0.35,0.35,0.33,0.34,0.34,0.32,0.33,0.33,0.33,0.34,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.25,0.24,0.24,0.25,0.25,0.27,0.24,0.26,0.24,0.25,0.24,0.25,0.21,0.23,0.24,0.23,0.22,0.23,0.21,0.21,0.21,0.19,0.18,0.2,0.21,0.21,0.22,0.2,0.2,0.21,0.2,0.18,0.2,0.19,0.19,0.19,0.2,0.17,0.2,0.2,0.18,0.18,0.17,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.16,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.15,0.15,0.14,0.15,0.15,0.13,0.11,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.11,0.11,0.1,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.13000000000001
07/22/2021,3.67,3.02,2.35,1.24,1.24,1.1,0.81,0.73,0.78,0.7,0.66,0.64,0.62,0.61,0.59,0.53,0.56,0.57,0.53,0.52,0.51,0.5,0.48,0.44,0.44,0.42,0.42,0.39,0.37,0.37,0.35,0.35,0.35,0.33,0.33,0.35,0.32,0.33,0.33,0.34,0.34,0.33,0.32,0.33,0.32,0.31,0.3,0.31,0.3,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.25,0.25,0.26,0.24,0.26,0.25,0.25,0.23,0.25,0.2,0.22,0.24,0.23,0.23,0.23,0.21,0.21,0.21,0.2,0.17,0.2,0.21,0.21,0.22,0.2,0.2,0.21,0.2,0.18,0.19,0.2,0.19,0.19,0.2,0.17,0.2,0.2,0.18,0.18,0.17,0.17,0.17,0.19,0.17,0.17,0.18,0.18,0.18,0.19,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.14,0.14,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.15,0.13,0.16,0.15,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.15,0.15,0.13,0.11,0.12,0.12,0.14,0.12,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.16,0.11,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.0,0.0,0.11,0.11,0.0,0.0,0.1,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.1,0.0,0.17,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.23
