,2SPY  220228C00003040,2SPY  220228P00380360,Cash&Other,2SPY  220228P00323310,2SPY  220228C00423340,SUM
07/09/2021,104.75,2.73,0.55,-1.15,-6.89,99.99
07/12/2021,105.34,2.63,0.54,-1.15,-7.36,100.0
07/13/2021,105.34,2.63,0.54,-1.15,-7.36,100.0
07/14/2021,105.34,2.63,0.54,-1.15,-7.36,100.0
07/15/2021,105.7,2.55,0.53,-1.11,-7.68,99.99
07/16/2021,105.48,2.65,0.51,-1.17,-7.47,100.0
07/19/2021,105.2,2.78,0.53,-1.19,-7.32,100.0
07/20/2021,104.64,3.01,0.53,-1.31,-6.87,100.0
07/21/2021,104.64,3.01,0.53,-1.31,-6.87,100.0
07/22/2021,103.69,3.46,0.53,-1.51,-6.17,100.0
07/23/2021,104.74,2.96,0.5,-1.31,-6.89,100.0
07/26/2021,105.5,2.69,0.49,-1.17,-7.52,99.99
07/27/2021,106.21,2.53,0.49,-1.08,-8.15,100.0
07/28/2021,106.21,2.53,0.49,-1.08,-8.15,100.0
07/29/2021,106.53,2.45,0.49,-1.06,-8.4,100.01
07/30/2021,105.97,2.67,0.48,-1.16,-7.97,99.99
08/02/2021,106.44,2.4,0.49,-1.06,-8.27,100.0
08/03/2021,106.07,2.53,0.48,-1.08,-8.01,99.99
08/04/2021,106.07,2.53,0.48,-1.08,-8.01,99.99
08/05/2021,105.95,2.59,0.48,-1.13,-7.89,100.0
08/06/2021,106.32,2.43,0.48,-1.04,-8.2,99.99
08/10/2021,106.64,2.2,0.47,-0.92,-8.39,100.0
08/11/2021,106.64,2.2,0.47,-0.92,-8.39,100.0
08/13/2021,106.58,2.25,0.46,-0.94,-8.36,99.99
08/16/2021,107.02,2.06,0.45,-0.85,-8.69,99.99
08/17/2021,107.17,2.04,0.45,-0.85,-8.81,100.0
08/18/2021,107.17,2.04,0.45,-0.85,-8.81,100.0
08/19/2021,107.47,1.98,0.45,-0.84,-9.06,100.0
08/20/2021,107.02,2.14,0.42,-0.92,-8.66,100.0
08/23/2021,106.42,2.53,0.42,-1.11,-8.27,99.99
08/24/2021,106.87,2.25,0.42,-0.97,-8.57,100.0
08/25/2021,106.87,2.25,0.42,-0.97,-8.57,100.0
08/26/2021,107.63,2.02,0.42,-0.88,-9.19,100.0
08/27/2021,107.68,2.06,0.42,-0.88,-9.28,100.0
08/30/2021,107.45,2.13,0.41,-0.9,-9.1,99.99
08/31/2021,108.05,1.89,0.41,-0.8,-9.56,99.99
09/01/2021,108.05,1.89,0.41,-0.8,-9.56,99.99
09/02/2021,108.5,1.78,0.41,-0.77,-9.92,100.0
09/03/2021,108.4,1.8,0.41,-0.79,-9.82,100.0
09/06/2021,108.66,1.69,0.41,-0.74,-10.03,99.99
09/07/2021,108.59,1.75,0.41,-0.74,-10.0,100.01
09/08/2021,108.59,1.75,0.41,-0.74,-10.0,100.01
09/09/2021,108.59,1.75,0.41,-0.74,-10.0,100.01
09/10/2021,108.36,1.87,0.4,-0.8,-9.85,99.98000000000002
09/13/2021,107.86,1.96,0.4,-0.83,-9.39,100.0
09/14/2021,107.38,2.12,0.4,-0.91,-8.99,100.0
09/15/2021,107.38,2.12,0.4,-0.91,-8.99,100.0
09/16/2021,107.51,1.97,0.39,-0.85,-9.03,99.99
09/17/2021,106.96,2.04,0.39,-0.85,-8.54,100.0
09/20/2021,107.43,1.86,0.38,-0.77,-8.9,100.0
09/21/2021,106.73,2.06,0.39,-0.87,-8.31,100.0
09/22/2021,106.73,2.06,0.39,-0.87,-8.31,100.0
09/23/2021,105.4,2.65,0.39,-1.11,-7.34,99.99
09/24/2021,105.16,2.58,0.39,-1.04,-7.09,100.0
09/27/2021,106.84,1.81,0.38,-0.69,-8.34,100.0
09/28/2021,106.97,1.74,0.37,-0.66,-8.43,99.99
09/29/2021,106.97,1.74,0.37,-0.66,-8.43,99.99
09/30/2021,106.74,1.79,0.37,-0.69,-8.21,100.0
10/01/2021,105.24,2.33,0.37,-0.9,-7.04,100.0
10/04/2021,104.35,2.44,0.36,-0.91,-6.24,100.0
10/05/2021,105.12,2.16,0.36,-0.81,-6.84,99.99
10/06/2021,105.12,2.16,0.36,-0.81,-6.84,99.99
10/07/2021,104.22,2.38,0.36,-0.89,-6.08,99.99
10/08/2021,104.86,2.13,0.36,-0.77,-6.57,100.01
10/11/2021,105.23,1.98,0.34,-0.74,-6.81,100.00000000000001
