,NYBOT FINEX United States Dollar Index Future,AGPXX,CLTL,B 0 09/09/21,B 0 08/05/21,B 0 11/04/21,B 0 08/12/21,XIB 0 10/07/21,Cash/Receivables/Payables,B 0 10/07/21,1257.HK,United States Treasury Bills 0%,CMBR 0 09/09/21,018000.KQ,XIB 0 11/04/21,n/a,B 0 02/03/22,B 0 12/02/21,B 0 01/06/22,B 0 01/20/22,B 0 12/09/21,B 0 03/10/22,B 0 02.03.22,B 0 12.02.21,B 0 01.06.22,B 0 11.04.21,B 0 01.20.22,B 0 12.09.21,B 0 03.10.22,WIB 0 02.03.22,SUM
07/09/2021,100.03,54.67,11.58,9.76,7.9,5.81,5.11,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.97
07/12/2021,100.0,55.44,11.51,9.69,7.84,5.77,5.08,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.41
07/13/2021,100.0,55.44,11.51,9.69,7.84,5.77,5.08,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.41
07/14/2021,0.0,27.66,5.74,4.84,3.91,2.88,2.53,0.0,0.0,2.53,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,100.0,55.04,11.49,9.68,7.83,5.76,5.07,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.94
07/16/2021,100.0,54.84,11.43,9.62,7.79,5.73,5.04,0.0,0.06,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.55
07/19/2021,100.58,55.07,11.45,9.64,7.8,5.74,5.05,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.38
07/20/2021,0.0,27.77,5.69,4.79,3.88,0.0,2.51,0.0,0.0,2.51,50.01,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,0.0,27.77,5.69,4.79,3.88,2.85,2.51,0.0,0.0,2.51,50.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,100.02,55.48,11.35,9.56,7.74,5.69,5.01,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.86
07/23/2021,100.02,55.66,11.34,9.55,7.73,5.68,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.98
07/26/2021,100.01,57.98,10.75,0.0,7.33,5.39,4.74,0.0,0.0,4.74,0.0,0.0,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.99
07/27/2021,0.0,29.01,5.37,0.0,3.66,2.69,2.37,0.0,0.0,2.37,0.0,0.0,4.52,50.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,0.0,29.01,5.37,0.0,3.66,2.69,2.37,0.0,0.0,2.37,50.02,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,0.0,29.53,5.26,0.0,3.59,2.64,2.32,0.0,0.0,2.32,49.91,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,0.0,29.53,5.27,4.44,3.59,2.64,2.33,0.0,0.0,2.33,0.0,0.0,0.0,49.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,100.02,58.54,10.54,8.88,7.19,5.28,4.65,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.75000000000003
08/04/2021,100.02,58.54,10.54,8.88,7.19,0.0,4.65,0.0,0.0,4.65,0.0,0.0,0.0,0.0,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.75000000000003
08/05/2021,100.02,58.96,10.55,8.89,7.19,0.0,4.66,0.0,0.0,4.66,0.0,0.0,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.22
08/09/2021,0.0,49.34,10.43,8.78,0.0,5.22,4.6,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,100.01,5.85,5.64,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.11
08/10/2021,0.0,24.66,5.21,4.39,0.0,0.0,2.3,0.0,0.0,2.3,0.0,0.0,0.0,49.98,0.0,2.61,2.92,2.82,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
