,IYR,Vanguard Mid-Cap Value ETF,XLI,QQQ,XLV,XLY,PFF,HYG,LQD,TLT,Invesco Govt Agency Instl 1901,GTES,Cash,BLV,BIV,VGT,PFFD,VOO,VTI,VOX,VCR,Vanguard Extended Market ETF,688098.SS,VXF,Global X US Preferred ETF,n/a,688065.SS,SUM
07/09/2021,11.09,10.92,10.58,10.45,10.37,10.33,9.39,9.25,8.87,8.34,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,11.22,10.69,10.42,10.44,10.36,10.3,9.37,9.23,8.93,8.54,0.0,0.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,11.22,10.69,10.42,10.44,10.36,10.3,9.37,9.23,8.93,8.54,0.0,0.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,11.32,10.83,10.53,10.45,10.33,10.34,9.34,9.19,8.84,8.38,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,11.37,10.84,10.52,10.46,10.33,10.39,9.33,9.16,8.82,8.34,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,11.31,10.76,10.51,10.55,10.41,10.36,9.36,9.22,8.86,8.36,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,0.0,0.0,0.0,9.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,10.09,10.02,9.97,9.95,9.94,9.89,9.83,9.77,9.67,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,10.21,10.16,10.01,10.06,10.0,9.95,9.89,9.76,9.72,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,10.21,10.16,10.01,10.06,10.0,9.95,9.89,9.76,9.72,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,10.21,10.16,10.01,10.06,10.0,9.95,9.89,9.76,9.72,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,0.0,0.0,0.0,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,10.25,10.16,10.0,10.01,9.94,9.92,9.85,9.82,9.84,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,0.0,0.0,0.0,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,10.07,10.09,9.91,9.97,9.95,9.87,9.87,9.83,0.23,0.0,0.0,0.0,0.0,100.0
07/27/2021,0.0,0.0,0.0,10.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,9.98,10.1,9.86,9.98,9.96,10.05,9.87,9.85,0.23,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,0.0,0.0,10.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04,9.98,10.1,9.86,9.98,9.96,10.05,9.87,9.85,0.23,0.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,0.0,0.0,10.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,9.96,10.09,9.83,9.99,9.96,10.11,9.93,9.83,0.23,0.0,0.0,0.0,0.0,99.99
07/30/2021,0.0,0.0,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,10.04,10.04,9.87,10.0,9.97,10.04,9.88,9.79,0.23,0.0,0.0,0.0,0.0,100.0
08/02/2021,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,9.99,10.05,0.0,10.0,9.98,9.97,9.91,0.0,0.23,9.9,9.88,0.0,0.0,100.0
08/03/2021,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,9.99,10.05,0.0,10.0,9.98,9.97,9.91,0.0,0.23,9.9,9.88,0.0,0.0,100.0
08/04/2021,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,9.99,10.05,0.0,10.0,9.98,9.97,9.91,0.0,0.23,9.9,9.88,0.0,0.0,100.0
08/05/2021,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,9.99,10.05,0.0,10.0,9.98,9.97,9.91,0.0,0.23,9.9,9.88,0.0,0.0,100.0
