,ANGL,USHY,HYLB,Cash&Other,SUM
07/09/2021,49.24,39.4,9.95,1.41,100.0
07/12/2021,49.25,39.41,9.94,1.4,100.0
07/13/2021,49.25,39.41,9.94,1.4,100.0
07/14/2021,49.25,39.41,9.94,1.4,100.0
07/15/2021,49.25,39.41,9.94,1.4,100.0
07/16/2021,49.26,39.39,9.94,1.4,99.99
07/19/2021,49.25,39.41,9.94,1.4,100.0
07/20/2021,49.25,39.41,9.94,1.4,100.0
07/21/2021,49.25,39.41,9.94,1.4,100.0
07/22/2021,49.23,39.43,9.93,1.4,99.99
07/23/2021,49.18,39.47,9.95,1.4,100.0
07/26/2021,49.24,39.42,9.95,1.39,100.0
07/27/2021,49.22,39.45,9.95,1.38,100.0
07/28/2021,49.22,39.45,9.95,1.38,100.0
07/29/2021,49.25,39.42,9.95,1.38,100.0
07/30/2021,49.24,39.43,9.94,1.38,99.99
