,ROKU,LBRDK,CABO,MSI,CHTR,COMM,LITE,CIEN,DISH,ANET,ATUS,T,CMCSA,TMUS,CSCO,UI,VZ,VSAT,JNPR,LUMN,SHLS,ENPH,FSLR,PLUG,CLR,OXY,XEC,COG,AA,FANG,OKE,TPL,EOG,MRO,SCCO,PXD,COP,AM,LNG,FAST,RGLD,EQT,DVN,KMI,ALB,FCX,HES,XOM,CE,HUN,IFF,GRA,NEU,WMB,HXL,HAL,NEM,PSX,IP,CHPT,CF,MOS,TRGP,CVX,ECL,APA,MPC,CC,CLF,TKR,AVY,SLB,STLD,SMG,LYB,VLO,NUE,ASH,OLN,DOW,VVV,EMN,ESI,RS,BKR,APD,HFC,X,WLK,UNVR,RUN,NOV,NFE,NRG,BEPC,FMC,RSG,PCG,WM,CLH,VST,AEP,NEE,EIX,CMS,SRCL,FE,AES,PNW,AWK,XEL,WEC,D,CNP,UGI,OGE,PPL,PEG,ES,NFG,EXC,DUK,WTRG,HE,SO,LNT,AGR,ATO,AEE,IDA,NI,ED,EVRG,ETR,SRE,SEB,KMB,CLX,HLF,PG,CTVA,DAR,SPB,HSY,DTE,PPC,KDP,REYN,PEP,LW,MKC,INGR,CHD,MCK,STZ,ACI,USFD,CPB,MO,BF.B,SYY,FLO,CL,HRL,BG,FRPT,TSN,K,PM,CAG,MDLZ,POST,KO,GIS,MNST,ABC,GO,BYND,CVS,SJM,SAM,ADM,CASY,KHC,KR,HAIN,TAP,WBA,RYN,Z,EXR,WELL,CONE,LSI,COR,AIRC,CUBE,INVH,PSA,AMH,MAA,WY,AVB,CPT,UDR,ESS,ELS,EQR,SUI,ARE,PEAK,JLL,CBRE,KIM,MRNA,SBAC,PLD,LAMR,OPEN,UPST,AMT,DTM,VTR,PK,EQIX,HTA,HST,SPG,EPR,BRX,JBGS,KRC,AGPXX,VNO,SLG,FRT,REG,CUZ,BXP,SUM
07/09/2021,0.56,0.49,0.48,0.48,0.48,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.42,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.78
07/12/2021,0.55,0.5,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.46,0.46,0.44,0.45,0.45,0.45,0.46,0.44,0.46,0.45,0.43,0.29,0.28,0.29,0.25,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.26,0.27,0.25,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.25,0.22,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.25,0.23,0.23,0.21,0.23,0.21,0.23,0.21,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.14,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.900000000000006
07/13/2021,0.55,0.5,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.46,0.46,0.44,0.45,0.45,0.45,0.46,0.44,0.46,0.45,0.43,0.29,0.28,0.29,0.25,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.26,0.27,0.25,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.25,0.22,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.25,0.23,0.23,0.21,0.23,0.21,0.23,0.21,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.14,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.900000000000006
07/14/2021,0.55,0.5,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.46,0.46,0.44,0.45,0.45,0.45,0.46,0.44,0.46,0.44,0.42,0.29,0.28,0.29,0.24,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.26,0.27,0.25,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.25,0.22,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.26,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.25,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.25,0.23,0.23,0.21,0.23,0.21,0.23,0.21,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.71
07/15/2021,0.55,0.48,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.47,0.44,0.45,0.45,0.45,0.44,0.44,0.46,0.44,0.42,0.29,0.29,0.3,0.24,0.28,0.26,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.26,0.27,0.25,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.25,0.28,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.24,0.25,0.22,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.26,0.25,0.24,0.24,0.26,0.23,0.24,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.21,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.14,0.0,0.13,0.14,0.14,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.83
07/16/2021,0.55,0.48,0.47,0.48,0.47,0.47,0.46,0.45,0.44,0.45,0.46,0.45,0.46,0.46,0.45,0.45,0.45,0.46,0.45,0.42,0.25,0.29,0.3,0.24,0.28,0.27,0.28,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.25,0.25,0.25,0.24,0.26,0.25,0.26,0.26,0.25,0.28,0.25,0.25,0.25,0.26,0.25,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.25,0.21,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.26,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.25,0.23,0.23,0.22,0.23,0.2,0.22,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.0,0.13,0.14,0.13,0.13,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8
07/19/2021,0.53,0.48,0.47,0.48,0.47,0.46,0.46,0.45,0.44,0.45,0.46,0.45,0.46,0.46,0.46,0.44,0.46,0.45,0.46,0.43,0.23,0.26,0.28,0.23,0.26,0.25,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.27,0.24,0.25,0.25,0.24,0.26,0.26,0.25,0.25,0.25,0.28,0.24,0.23,0.24,0.26,0.26,0.24,0.25,0.24,0.24,0.23,0.23,0.25,0.23,0.25,0.19,0.24,0.25,0.24,0.24,0.25,0.22,0.23,0.25,0.25,0.24,0.25,0.23,0.26,0.23,0.24,0.22,0.25,0.24,0.24,0.24,0.23,0.24,0.25,0.24,0.23,0.24,0.22,0.24,0.23,0.23,0.19,0.22,0.19,0.22,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.14,0.14,0.14,0.0,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.68000000000001
07/20/2021,0.52,0.49,0.48,0.48,0.47,0.46,0.46,0.45,0.44,0.45,0.46,0.45,0.46,0.47,0.47,0.44,0.46,0.45,0.46,0.41,0.23,0.26,0.27,0.22,0.25,0.24,0.26,0.26,0.24,0.23,0.25,0.24,0.23,0.23,0.26,0.23,0.24,0.25,0.25,0.27,0.26,0.24,0.24,0.25,0.27,0.24,0.23,0.24,0.26,0.25,0.24,0.25,0.25,0.24,0.23,0.23,0.24,0.22,0.24,0.18,0.24,0.24,0.23,0.24,0.26,0.22,0.22,0.23,0.23,0.24,0.24,0.22,0.25,0.24,0.23,0.21,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.24,0.22,0.24,0.22,0.23,0.22,0.23,0.19,0.22,0.19,0.23,0.21,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.23,0.21,0.21,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.17,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.15,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.14,0.0,0.14,0.14,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.58
07/21/2021,0.52,0.49,0.48,0.48,0.47,0.46,0.46,0.45,0.44,0.45,0.46,0.45,0.46,0.47,0.47,0.44,0.46,0.45,0.46,0.41,0.23,0.26,0.27,0.22,0.25,0.24,0.26,0.26,0.24,0.23,0.25,0.24,0.23,0.23,0.26,0.23,0.24,0.25,0.25,0.27,0.26,0.24,0.24,0.25,0.27,0.24,0.23,0.24,0.26,0.25,0.24,0.25,0.25,0.24,0.23,0.23,0.24,0.22,0.24,0.18,0.24,0.24,0.23,0.24,0.26,0.22,0.22,0.23,0.23,0.24,0.24,0.22,0.25,0.24,0.23,0.21,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.24,0.22,0.24,0.22,0.23,0.22,0.23,0.19,0.22,0.19,0.23,0.21,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.23,0.21,0.21,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.17,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.15,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.14,0.0,0.14,0.14,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.58
07/22/2021,0.52,0.49,0.48,0.48,0.47,0.46,0.46,0.45,0.44,0.45,0.46,0.45,0.46,0.47,0.47,0.44,0.46,0.45,0.46,0.41,0.23,0.26,0.27,0.22,0.25,0.24,0.26,0.26,0.24,0.23,0.25,0.24,0.23,0.23,0.26,0.23,0.24,0.25,0.25,0.27,0.26,0.24,0.24,0.25,0.27,0.24,0.23,0.24,0.26,0.25,0.24,0.25,0.25,0.24,0.23,0.23,0.24,0.22,0.24,0.18,0.24,0.24,0.23,0.24,0.26,0.22,0.22,0.23,0.23,0.24,0.24,0.22,0.25,0.24,0.23,0.21,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.24,0.22,0.24,0.22,0.23,0.22,0.23,0.19,0.22,0.19,0.23,0.21,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.23,0.21,0.21,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.18,0.19,0.19,0.18,0.19,0.17,0.18,0.18,0.18,0.19,0.17,0.18,0.18,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.15,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.14,0.0,0.14,0.14,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.58
