,700.HK,9988,2330.TW,005930.KS,3690.HK,RELIANCE.NS,NPN.JO,VALE3.SA,939,INFY.NS,9618.HK,HDFC.NS,NIO,000660.KS,2269.HK,2318,005935,2454.TW,035420.KS,9888,2317.TW,1398,TCS.NS,GAZP.ME,SBER.ME,ICICIBANK.NS,PDD,9999,035720.KS,1120.SR,3968,051910.KS,LKOH.ME,600519,006400.KS,ITUB4.SA,005380.KS,1180.SR,HINDUNILVR.NS,YUMC,2010.SR,BBDC4.SA,3988,9626,KOTAKBANK.NS,PETR4.SA,2020.HK,BBCA.JK,005490.KS,QNBK.QA,068270.KS,AXISBANK.NS,1211,1024.HK,2382.HK,2331.HK,NBK,2303.TW,PETR3,000270.KS,BAJFINANCE.NS,7010.SR,2308.TW,B3SA3.SA,NVTK.ME,GMKN.ME,2313.HK,105560.KS,FAB,FSR.JO,2881.TW,055550.KS,ROSN.ME,2002.TW,2222.SR,AMXL.MX,175.HK,2057.HK,BHARTIARTL.NS,ASIANPAINT.NS,012330.KS,GFNORTEO.MX,9961,1301.TW,2319.HK,6098.HK,2882.TW,ABEV3.SA,2628,GMEXICOB.MX,WALMEX.MX,2688.HK,2891.TW,HCLTECH.NS,000858,PBBANK.KL,BBRI.JK,LT.NS,096770.KS,2412.TW,FEMSAUBD.MX,MARUTI.NS,MAYBANK.KL,1216.TW,MTN.JO,051900.KS,2603.TW,1303.TW,3328,2886.TW,1093.HK,IMP.JO,066570.KS,3711.TW,291.HK,TATN.ME,KFH,600036,6160.HK,9901,086790.KS,1326.TW,TATASTEEL.NS,SSW.JO,028260.KS,036570.KS,386,2884.TW,OTP.BD,None,CEMEXCPO.MX,1109.HK,9688.HK,2388.HK,MGLU3.SA,ULTRACEMCO.NS,TLKM.JK,ITSA4.SA,PTT-R,2333,IHC,None.1,207940.KS,JSWSTEEL.NS,2885.TW,1177.HK,SBK.JO,003550.KS,011200.KS,1801.HK,868.HK,WIPRO.NS,2615.TW,1288,857,SM.PM,TITAN.NS,5871.TW,017670.KS,DRREDDY.NS,2007.HK,1918.HK,6969.HK,TAL,2379.TW,NTCO3.SA,BBAS3.SA,2382.TW,WEGE3.SA,SUNPHARMA.NS,TECHM.NS,M&M.NS,SBIN.NS,268.HK,2609.TW,9698.HK,TATAMOTORS.NS,1101.TW,3008.TW,241.HK,968.HK,GFI.JO,009150.KS,6415.TW,CPI.JO,3034.TW,SLM.JO,2357.TW,1010.SR,033780.KS,960.HK,SOL.JO,6690,2207.TW,9633.HK,NTPC.NS,ANG.JO,AOT-R,091990.KQ,2601,DIVISLAB.NS,CPALL-,2899,2892.TW,GRASIM.NS,ETISAL,RENT3.SA,2020.SR,ITC.NS,DELTA-,688.HK,2359,5880.TW,POWERGRID.NS,GNDI3.SA,BAP,IQCD.QA,HINDALCO.NS,BJFIN,BMRI.JK,SUZB3.SA,034730.KS,SMPH.PM,TLEVISACPO.MX,BID.JO,1211.SR,SQM/B,CIMB.KL,ADANIPORTS.NS,RDOR3.SA,NESTLEIND.NS,TATACONSUM.NS,BAJAJFINSV.NS,2899.HK,914,HDFCLIFE.NS,SUM
07/09/2021,6.19,5.42,5.31,4.91,2.35,1.21,1.18,1.05,1.02,1.02,0.9,0.82,0.81,0.81,0.8,0.74,0.72,0.71,0.71,0.7,0.68,0.63,0.62,0.62,0.61,0.6,0.6,0.59,0.55,0.49,0.47,0.46,0.46,0.46,0.43,0.41,0.41,0.39,0.38,0.38,0.37,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.06
07/22/2021,5.93,5.35,5.42,4.91,2.07,1.25,1.21,1.04,0.96,1.04,0.93,0.84,0.82,0.78,0.83,0.72,0.72,0.73,0.79,0.67,0.73,0.59,0.61,0.63,0.58,0.63,0.52,0.64,0.57,0.5,0.45,0.46,0.43,0.45,0.48,0.38,0.39,0.39,0.39,0.39,0.39,0.32,0.36,0.32,0.35,0.3,0.35,0.33,0.32,0.33,0.31,0.32,0.3,0.22,0.3,0.35,0.31,0.31,0.27,0.28,0.3,0.29,0.3,0.27,0.28,0.28,0.24,0.24,0.28,0.26,0.31,0.24,0.25,0.26,0.26,0.27,0.24,0.24,0.26,0.25,0.23,0.22,0.2,0.24,0.22,0.22,0.25,0.22,0.2,0.22,0.22,0.23,0.22,0.22,0.19,0.2,0.2,0.22,0.18,0.21,0.21,0.18,0.19,0.19,0.19,0.19,0.23,0.21,0.17,0.19,0.18,0.17,0.18,0.19,0.17,0.15,0.17,0.16,0.16,0.13,0.16,0.18,0.18,0.15,0.16,0.16,0.15,0.17,0.16,0.28,0.15,0.16,0.16,0.16,0.18,0.18,0.15,0.14,0.14,0.17,0.21,0.0,0.17,0.16,0.16,0.15,0.14,0.13,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.12,0.13,0.0,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.12,0.15,0.0,0.0,0.13,0.12,0.11,0.12,0.13,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.14999999999999
07/23/2021,5.88,5.38,5.44,4.92,2.07,1.26,1.2,1.04,0.95,1.05,0.93,0.84,0.84,0.77,0.82,0.71,0.72,0.74,0.79,0.67,0.72,0.58,0.62,0.63,0.59,0.62,0.51,0.65,0.56,0.51,0.45,0.46,0.44,0.46,0.48,0.38,0.39,0.4,0.4,0.39,0.39,0.32,0.36,0.33,0.35,0.3,0.35,0.33,0.31,0.33,0.33,0.32,0.3,0.21,0.3,0.36,0.32,0.31,0.28,0.29,0.3,0.29,0.29,0.27,0.28,0.28,0.24,0.24,0.28,0.26,0.31,0.24,0.25,0.26,0.27,0.27,0.24,0.24,0.25,0.27,0.23,0.22,0.19,0.24,0.23,0.22,0.25,0.22,0.2,0.22,0.22,0.23,0.22,0.21,0.2,0.2,0.2,0.22,0.19,0.22,0.21,0.18,0.19,0.19,0.19,0.19,0.21,0.21,0.17,0.19,0.18,0.18,0.18,0.19,0.18,0.15,0.17,0.15,0.16,0.13,0.16,0.18,0.17,0.16,0.16,0.16,0.14,0.17,0.16,0.28,0.15,0.16,0.16,0.16,0.18,0.18,0.15,0.14,0.13,0.17,0.21,0.0,0.17,0.16,0.16,0.15,0.15,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.12,0.14,0.14,0.14,0.13,0.14,0.12,0.0,0.13,0.0,0.15,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.14,0.0,0.14,0.0,0.11,0.13,0.12,0.0,0.12,0.13,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.13,0.12,0.0,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2
07/26/2021,5.82,5.43,5.47,4.91,2.08,1.27,1.23,1.05,0.94,1.07,0.94,0.85,0.87,0.77,0.79,0.71,0.72,0.73,0.78,0.67,0.69,0.58,0.61,0.65,0.59,0.63,0.51,0.64,0.54,0.5,0.45,0.46,0.45,0.44,0.48,0.38,0.39,0.39,0.39,0.39,0.38,0.32,0.35,0.34,0.35,0.3,0.34,0.33,0.32,0.33,0.32,0.32,0.32,0.22,0.31,0.35,0.31,0.3,0.28,0.29,0.31,0.29,0.29,0.27,0.29,0.28,0.24,0.24,0.27,0.26,0.31,0.24,0.25,0.25,0.26,0.27,0.24,0.24,0.26,0.26,0.23,0.23,0.19,0.23,0.23,0.21,0.25,0.22,0.2,0.23,0.22,0.24,0.22,0.21,0.19,0.19,0.2,0.22,0.18,0.21,0.21,0.18,0.19,0.19,0.19,0.18,0.18,0.21,0.17,0.19,0.17,0.18,0.18,0.19,0.17,0.16,0.17,0.15,0.15,0.14,0.16,0.18,0.18,0.16,0.16,0.16,0.15,0.17,0.16,0.31,0.16,0.16,0.15,0.16,0.18,0.18,0.15,0.14,0.13,0.19,0.2,0.0,0.16,0.17,0.15,0.15,0.14,0.13,0.13,0.14,0.15,0.16,0.13,0.14,0.13,0.14,0.14,0.14,0.12,0.14,0.12,0.0,0.12,0.0,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.12,0.14,0.0,0.0,0.0,0.11,0.13,0.12,0.0,0.12,0.13,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.0,0.0,0.0,0.0,0.11,0.13,0.0,0.0,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.11,0.0,0.12,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.08000000000001
07/27/2021,5.74,5.43,5.46,4.93,2.05,1.27,1.21,1.07,0.95,1.08,0.93,0.85,0.83,0.77,0.77,0.71,0.73,0.75,0.81,0.67,0.7,0.58,0.62,0.65,0.59,0.66,0.48,0.64,0.55,0.5,0.44,0.46,0.45,0.44,0.49,0.39,0.39,0.39,0.39,0.4,0.39,0.32,0.36,0.32,0.35,0.31,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.2,0.3,0.32,0.31,0.31,0.28,0.29,0.31,0.29,0.3,0.28,0.29,0.29,0.24,0.25,0.28,0.26,0.32,0.24,0.25,0.26,0.26,0.27,0.24,0.25,0.26,0.26,0.23,0.23,0.19,0.23,0.23,0.21,0.26,0.22,0.2,0.23,0.22,0.24,0.23,0.22,0.19,0.2,0.2,0.22,0.19,0.21,0.21,0.19,0.19,0.2,0.19,0.17,0.19,0.21,0.17,0.19,0.18,0.18,0.19,0.18,0.17,0.16,0.17,0.15,0.16,0.0,0.17,0.18,0.18,0.16,0.16,0.16,0.15,0.17,0.16,0.32,0.16,0.16,0.16,0.16,0.17,0.18,0.15,0.14,0.13,0.21,0.21,0.0,0.17,0.17,0.16,0.15,0.15,0.13,0.14,0.13,0.14,0.16,0.13,0.14,0.12,0.14,0.15,0.14,0.12,0.14,0.12,0.0,0.12,0.0,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.12,0.0,0.11,0.13,0.12,0.0,0.12,0.13,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.25
07/28/2021,5.74,5.43,5.46,4.93,2.05,1.27,1.21,1.07,0.95,1.08,0.93,0.85,0.83,0.77,0.77,0.71,0.73,0.75,0.81,0.67,0.7,0.58,0.62,0.65,0.59,0.66,0.48,0.64,0.55,0.5,0.44,0.46,0.45,0.44,0.49,0.39,0.39,0.39,0.39,0.4,0.39,0.32,0.36,0.32,0.35,0.31,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.2,0.3,0.32,0.31,0.31,0.28,0.29,0.31,0.29,0.3,0.28,0.29,0.29,0.24,0.25,0.28,0.26,0.32,0.24,0.25,0.26,0.26,0.27,0.24,0.25,0.26,0.26,0.23,0.23,0.19,0.23,0.23,0.21,0.26,0.22,0.2,0.23,0.22,0.24,0.23,0.22,0.19,0.2,0.2,0.22,0.19,0.21,0.21,0.19,0.19,0.2,0.19,0.17,0.19,0.21,0.17,0.19,0.18,0.18,0.19,0.18,0.17,0.16,0.17,0.15,0.16,0.0,0.17,0.18,0.18,0.16,0.16,0.16,0.15,0.17,0.16,0.32,0.16,0.16,0.16,0.16,0.17,0.18,0.15,0.14,0.13,0.21,0.21,0.0,0.17,0.17,0.16,0.15,0.15,0.13,0.14,0.13,0.14,0.16,0.13,0.14,0.12,0.14,0.15,0.14,0.12,0.14,0.12,0.0,0.12,0.0,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.12,0.0,0.11,0.13,0.12,0.0,0.12,0.13,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.25
07/29/2021,5.43,5.21,5.55,5.01,1.81,1.28,1.15,1.12,0.97,1.12,0.88,0.87,0.84,0.78,0.71,0.69,0.74,0.76,0.82,0.64,0.71,0.59,0.63,0.66,0.62,0.67,0.45,0.57,0.56,0.53,0.44,0.47,0.46,0.43,0.49,0.4,0.4,0.4,0.4,0.4,0.4,0.33,0.37,0.29,0.37,0.32,0.33,0.34,0.34,0.34,0.32,0.33,0.32,0.18,0.31,0.33,0.34,0.32,0.3,0.29,0.32,0.3,0.3,0.28,0.3,0.29,0.25,0.25,0.28,0.27,0.3,0.25,0.26,0.26,0.27,0.29,0.25,0.24,0.27,0.27,0.22,0.24,0.18,0.24,0.23,0.18,0.25,0.22,0.19,0.24,0.23,0.24,0.23,0.23,0.18,0.2,0.2,0.22,0.19,0.22,0.22,0.19,0.2,0.2,0.2,0.17,0.18,0.21,0.17,0.2,0.18,0.19,0.19,0.19,0.16,0.16,0.18,0.15,0.16,0.0,0.17,0.18,0.19,0.17,0.17,0.17,0.15,0.17,0.16,0.3,0.17,0.16,0.15,0.16,0.17,0.19,0.16,0.15,0.14,0.2,0.22,0.0,0.17,0.17,0.16,0.14,0.15,0.13,0.13,0.13,0.14,0.16,0.12,0.15,0.13,0.14,0.15,0.15,0.13,0.14,0.12,0.0,0.11,0.0,0.16,0.15,0.13,0.13,0.14,0.15,0.15,0.13,0.14,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.12,0.13,0.13,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.0,0.14,0.12,0.12,0.12,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.11,0.0,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.07
07/30/2021,5.06,5.0,5.7,5.14,1.53,1.3,1.09,1.13,1.01,1.14,0.82,0.88,0.79,0.8,0.67,0.68,0.76,0.79,0.85,0.6,0.74,0.62,0.64,0.68,0.63,0.69,0.41,0.51,0.58,0.54,0.43,0.49,0.47,0.41,0.52,0.42,0.41,0.41,0.4,0.39,0.41,0.35,0.38,0.26,0.37,0.33,0.32,0.35,0.36,0.35,0.33,0.33,0.31,0.18,0.32,0.29,0.34,0.33,0.3,0.3,0.33,0.32,0.3,0.29,0.31,0.31,0.25,0.26,0.29,0.28,0.3,0.26,0.26,0.27,0.28,0.3,0.25,0.23,0.27,0.27,0.23,0.25,0.17,0.24,0.22,0.16,0.25,0.23,0.19,0.25,0.24,0.25,0.24,0.23,0.17,0.21,0.21,0.23,0.19,0.23,0.22,0.19,0.2,0.21,0.2,0.17,0.17,0.22,0.18,0.2,0.17,0.19,0.19,0.19,0.16,0.17,0.18,0.15,0.14,0.0,0.17,0.18,0.2,0.17,0.17,0.17,0.15,0.18,0.16,0.32,0.17,0.16,0.13,0.17,0.17,0.2,0.16,0.15,0.14,0.2,0.22,0.0,0.18,0.18,0.16,0.14,0.15,0.13,0.14,0.0,0.12,0.17,0.12,0.15,0.13,0.15,0.16,0.15,0.13,0.13,0.12,0.0,0.0,0.0,0.17,0.15,0.14,0.14,0.15,0.15,0.15,0.13,0.15,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.12,0.14,0.14,0.14,0.13,0.15,0.12,0.13,0.13,0.13,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.0,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.99
08/16/2021,5.3,5.04,5.61,4.83,1.81,1.3,1.18,1.03,0.99,1.17,0.91,0.92,0.81,0.66,0.7,0.69,0.72,0.74,0.79,0.64,0.71,0.59,0.66,0.69,0.68,0.69,0.44,0.54,0.55,0.57,0.47,0.5,0.46,0.4,0.54,0.41,0.38,0.44,0.4,0.38,0.41,0.31,0.36,0.23,0.37,0.34,0.33,0.35,0.32,0.36,0.34,0.33,0.41,0.14,0.3,0.34,0.33,0.36,0.31,0.29,0.32,0.32,0.28,0.24,0.33,0.29,0.25,0.26,0.29,0.29,0.3,0.25,0.26,0.27,0.27,0.3,0.3,0.25,0.3,0.26,0.22,0.24,0.17,0.24,0.23,0.18,0.25,0.21,0.18,0.23,0.24,0.25,0.23,0.25,0.17,0.2,0.2,0.23,0.17,0.23,0.23,0.18,0.2,0.2,0.21,0.16,0.18,0.22,0.17,0.18,0.19,0.18,0.17,0.21,0.16,0.16,0.18,0.16,0.16,0.0,0.17,0.18,0.21,0.17,0.16,0.16,0.15,0.18,0.17,0.3,0.16,0.17,0.15,0.17,0.16,0.19,0.16,0.15,0.13,0.22,0.22,0.0,0.18,0.18,0.15,0.14,0.16,0.13,0.13,0.12,0.14,0.17,0.13,0.14,0.13,0.15,0.16,0.16,0.13,0.0,0.14,0.12,0.13,0.0,0.15,0.12,0.12,0.12,0.14,0.17,0.18,0.13,0.14,0.12,0.0,0.0,0.0,0.12,0.11,0.0,0.13,0.12,0.13,0.15,0.13,0.14,0.12,0.12,0.14,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.13,0.0,0.14,0.0,0.13,0.12,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.05000000000001
08/17/2021,5.2,4.95,5.6,4.67,1.79,1.33,1.18,1.02,1.0,1.19,0.91,0.94,0.79,0.67,0.72,0.68,0.7,0.75,0.79,0.62,0.71,0.59,0.69,0.7,0.68,0.7,0.43,0.54,0.55,0.58,0.47,0.51,0.46,0.4,0.54,0.41,0.38,0.45,0.41,0.38,0.41,0.32,0.37,0.23,0.37,0.34,0.33,0.36,0.33,0.36,0.33,0.33,0.4,0.13,0.31,0.34,0.33,0.35,0.31,0.28,0.32,0.33,0.28,0.25,0.33,0.29,0.26,0.26,0.29,0.29,0.3,0.25,0.26,0.27,0.27,0.31,0.3,0.24,0.31,0.26,0.22,0.24,0.17,0.24,0.23,0.18,0.24,0.22,0.18,0.23,0.25,0.26,0.23,0.25,0.17,0.2,0.21,0.23,0.18,0.23,0.23,0.18,0.2,0.19,0.22,0.16,0.17,0.21,0.17,0.19,0.19,0.19,0.17,0.2,0.16,0.16,0.18,0.16,0.16,0.0,0.17,0.18,0.21,0.17,0.16,0.16,0.15,0.18,0.18,0.3,0.16,0.17,0.15,0.17,0.16,0.19,0.16,0.15,0.13,0.22,0.22,0.0,0.19,0.18,0.15,0.14,0.16,0.13,0.12,0.12,0.14,0.17,0.12,0.14,0.13,0.14,0.16,0.16,0.13,0.0,0.14,0.12,0.13,0.0,0.15,0.13,0.12,0.12,0.15,0.17,0.18,0.14,0.14,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.13,0.13,0.13,0.14,0.13,0.14,0.12,0.12,0.14,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.0,0.0,0.13,0.0,0.14,0.0,0.13,0.12,0.12,0.13,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,77.89
