,PLUG,CZR,RH,DECK,CHDN,SITE,BRKS,ARWR,LPX,LSCC,FRPT,RUN,YETI,MRTX,CROX,STAA,NTRA,HQY,TXRH,BLD,FFIN,RARE,TTEK,FOXF,PENN,WMS,BJ,IIVI,SAIA,LHCG,SLAB,OMCL,RDFN,EGP,FATE,MMS,APPS,BBIO,HALO,JCOM,BL,HELE,NVRO,SWAV,INSP,BPMC,TWST,LAD,VRNS,SSD,NEOG,POWI,ROLL,QTWO,NOVT,EXPO,BLDR,CAR,MEDP,JBT,CCMP,NEO,SONO,ACIW,UPWK,SEM,ASGN,PACB,RPD,ENSG,WING,ITRI,BHVN,SYNA,AMN,NTLA,SAIL,SMTC,CDNA,LGIH,VIAV,UFPI,DNLI,ALRM,HGV,HLI,BCPC,AEIS,ENV,QTS,WK,MED,CNMD,BCO,LCII,RLI,TGTX,ATKR,FELE,AQUA,LANC,KNSL,AJRD,NUVA,NVTA,MUSA,BLKB,LPSN,NGVT,VC,APLS,EXLS,BOX,SPSC,SHAK,EYE,QLYS,FN,MMSI,RHP,ATRC,FCFS,APPN,KWR,CVLT,CCOI,STMP,CDLX,GKOS,WDFC,PSB,BEAM,TNET,CMD,KTOS,ORA,OSTK,SGMS,TENB,IRDM,ALTR,AWR,DOOR,ONEM,MIME,HLNE,NSA,LIVN,MTSI,CWST,MC,RCM,BMI,KOD,EBS,DORM,FORM,TRUP,AAON,IBP,CSOD,IRBT,SFIX,SKY,RCII,ALLK,RAMP,ARVN,EVTC,PZZA,CWT,VCYT,BLMN,PCRX,SAFM,WERN,SFBS,EGHT,INSM,CARG,NVAX,PTCT,SHEN,AVYA,SVMKEUR,PRLB,FOLD,CMP,AVAV,THRM,CELH,INOV,FSS,PRFT,FUL,CALX,TPTX,WGO,PLXS,NG,PFGC,AEO,MSTR,WSC,KBR,LPRO,DDD,FUBO,ASAN,CRNC,MTDR,SPT,ALKS,DEN,EDIT,SWN,KLIC,BE,AMBA,PGNY,NKLA,SHOO,MGNI,AIT,CBRL,VG,PD,SDGR,RETA,ABG,ROG,NSP,SIG,SAVA,TEX,GTLS,CBT,RIOT,NARI,RXN,BAND,BIGC,WBT,APAM,MXL,ALGT,KTB,ENR,ACAD,ITCI,LTHM,VIR,EAT,FIX,FSR,HRI,WWW,ACCD,NSTG,MNTV,MP,SUM
07/09/2021,0.93,0.84,0.75,0.69,0.56,0.56,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.53
07/12/2021,0.93,0.84,0.75,0.69,0.56,0.56,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.53
07/13/2021,0.93,0.84,0.75,0.69,0.56,0.56,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.53
07/14/2021,0.93,0.84,0.75,0.69,0.56,0.56,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.53
07/15/2021,0.93,0.84,0.75,0.69,0.56,0.56,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.53
07/16/2021,0.93,0.84,0.75,0.69,0.56,0.56,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.53
07/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.0,0.0,0.48,0.46,0.0,0.42,0.43,0.0,0.38,0.0,0.42,0.42,0.0,0.0,0.31,0.45,0.36,0.39,0.44,0.42,0.42,0.42,0.45,0.35,0.41,0.28,0.41,0.38,0.38,0.36,0.37,0.41,0.33,0.31,0.41,0.0,0.39,0.31,0.3,0.32,0.0,0.36,0.31,0.3,0.0,0.0,0.33,0.29,0.28,0.33,0.27,0.28,0.44,0.3,0.29,0.2,0.33,0.29,0.3,0.24,0.23,0.35,0.29,0.67,0.3,0.29,0.29,0.23,0.23,0.26,0.46,0.26,0.23,0.24,0.27,0.28,0.25,0.0,0.3,0.21,0.26,0.24,0.21,0.25,0.32,0.21,0.24,0.25,0.21,0.23,0.19,0.23,0.0,0.22,0.24,0.26,0.21,0.22,0.26,0.22,0.24,0.23,0.26,0.27,0.22,0.2,0.19,0.25,0.23,0.0,0.35,0.21,0.21,0.21,0.0,0.26,0.25,0.23,0.0,0.39,0.19,0.0,0.0,0.0,0.26,0.48,0.24,0.23,0.2,0.0,0.18,0.25,0.2,0.2,0.23,0.21,0.2,0.19,0.0,0.19,0.18,0.2,0.0,0.18,0.0,0.28,0.0,0.19,0.21,0.0,0.23,0.18,0.21,0.19,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.21,0.0,0.18,0.19,0.19,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.37,0.34,0.34,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,53.77
07/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.0,0.0,0.48,0.46,0.0,0.42,0.43,0.0,0.38,0.0,0.42,0.42,0.0,0.0,0.31,0.45,0.36,0.39,0.44,0.42,0.42,0.42,0.45,0.35,0.41,0.28,0.41,0.38,0.38,0.36,0.37,0.41,0.33,0.31,0.41,0.0,0.39,0.31,0.3,0.32,0.0,0.36,0.31,0.3,0.0,0.0,0.33,0.29,0.28,0.33,0.27,0.28,0.44,0.3,0.29,0.2,0.33,0.29,0.3,0.24,0.23,0.35,0.29,0.67,0.3,0.29,0.29,0.23,0.23,0.26,0.46,0.26,0.23,0.24,0.27,0.28,0.25,0.0,0.3,0.21,0.26,0.24,0.21,0.25,0.32,0.21,0.24,0.25,0.21,0.23,0.19,0.23,0.0,0.22,0.24,0.26,0.21,0.22,0.26,0.22,0.24,0.23,0.26,0.27,0.22,0.2,0.19,0.25,0.23,0.0,0.35,0.21,0.21,0.21,0.0,0.26,0.25,0.23,0.0,0.39,0.19,0.0,0.0,0.0,0.26,0.48,0.24,0.23,0.2,0.0,0.18,0.25,0.2,0.2,0.23,0.21,0.2,0.19,0.0,0.19,0.18,0.2,0.0,0.18,0.0,0.28,0.0,0.19,0.21,0.0,0.23,0.18,0.21,0.19,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.21,0.0,0.18,0.19,0.19,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.37,0.34,0.34,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,53.77
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.0,0.0,0.48,0.46,0.0,0.42,0.43,0.0,0.38,0.0,0.42,0.42,0.0,0.0,0.31,0.45,0.36,0.39,0.44,0.42,0.42,0.42,0.45,0.35,0.41,0.28,0.41,0.38,0.38,0.36,0.37,0.41,0.33,0.31,0.41,0.0,0.39,0.31,0.3,0.32,0.0,0.36,0.31,0.3,0.0,0.0,0.33,0.29,0.28,0.33,0.27,0.28,0.44,0.3,0.29,0.2,0.33,0.29,0.3,0.24,0.23,0.35,0.29,0.67,0.3,0.29,0.29,0.23,0.23,0.26,0.46,0.26,0.23,0.24,0.27,0.28,0.25,0.0,0.3,0.21,0.26,0.24,0.21,0.25,0.32,0.21,0.24,0.25,0.21,0.23,0.19,0.23,0.0,0.22,0.24,0.26,0.21,0.22,0.26,0.22,0.24,0.23,0.26,0.27,0.22,0.2,0.19,0.25,0.23,0.0,0.35,0.21,0.21,0.21,0.0,0.26,0.25,0.23,0.0,0.39,0.19,0.0,0.0,0.0,0.26,0.48,0.24,0.23,0.2,0.0,0.18,0.25,0.2,0.2,0.23,0.21,0.2,0.19,0.0,0.19,0.18,0.2,0.0,0.18,0.0,0.28,0.0,0.19,0.21,0.0,0.23,0.18,0.21,0.19,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.21,0.0,0.18,0.19,0.19,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.37,0.34,0.34,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,53.77
07/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.0,0.0,0.0,0.48,0.46,0.0,0.42,0.43,0.0,0.38,0.0,0.42,0.42,0.0,0.0,0.31,0.45,0.36,0.39,0.44,0.42,0.42,0.42,0.45,0.35,0.41,0.28,0.41,0.38,0.38,0.36,0.37,0.41,0.33,0.31,0.41,0.0,0.39,0.31,0.3,0.32,0.0,0.36,0.31,0.3,0.0,0.0,0.33,0.29,0.28,0.33,0.27,0.28,0.44,0.3,0.29,0.2,0.33,0.29,0.3,0.24,0.23,0.35,0.29,0.67,0.3,0.29,0.29,0.23,0.23,0.26,0.46,0.26,0.23,0.24,0.27,0.28,0.25,0.0,0.3,0.21,0.26,0.24,0.21,0.25,0.32,0.21,0.24,0.25,0.21,0.23,0.19,0.23,0.0,0.22,0.24,0.26,0.21,0.22,0.26,0.22,0.24,0.23,0.26,0.27,0.22,0.2,0.19,0.25,0.23,0.0,0.35,0.21,0.21,0.21,0.0,0.26,0.25,0.23,0.0,0.39,0.19,0.0,0.0,0.0,0.26,0.48,0.24,0.23,0.2,0.0,0.18,0.25,0.2,0.2,0.23,0.21,0.2,0.19,0.0,0.19,0.18,0.2,0.0,0.18,0.0,0.28,0.0,0.19,0.21,0.0,0.23,0.18,0.21,0.19,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.21,0.0,0.18,0.19,0.19,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.37,0.34,0.34,0.3,0.29,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,53.77
