,ILMN,A,CERN,OMCL,LH,TNDM,UNH,DXCM,NUAN,2413.T,CHNG,1833.HK,NVTA,TDOC,6618.HK,GH,ONEM,241.HK,PHR,VCYT,RCM,INOV,MDRX,COP.DE,GDRX,AMWL,SGFY,IRTC,EVH,TRHC,EHTH,NXGN,PSNL,OPRX,SDC,CPSI,LFMD,OTRK,DRIO,TLMD,CASH,SUM
07/09/2021,4.92,4.64,4.46,4.46,4.45,4.42,4.37,4.37,4.33,4.28,4.14,3.93,3.83,3.71,3.49,3.19,2.99,2.68,2.41,2.27,2.27,2.16,2.13,1.87,1.62,1.6,1.6,1.54,1.52,0.91,0.89,0.78,0.73,0.71,0.7,0.39,0.35,0.3,0.29,0.22,0.1,100.02
07/12/2021,4.98,4.72,4.54,4.54,4.51,4.41,4.44,4.51,4.39,4.23,4.16,3.78,3.63,3.64,3.39,3.16,2.86,2.62,2.45,2.19,2.29,2.16,2.14,1.87,1.65,1.63,1.66,1.55,1.63,0.95,0.91,0.77,0.69,0.69,0.68,0.38,0.34,0.3,0.27,0.21,0.1,100.02
07/13/2021,4.98,4.72,4.54,4.54,4.51,4.41,4.44,4.51,4.39,4.23,4.16,3.78,3.63,3.64,3.39,3.16,2.86,2.62,2.45,2.19,2.29,2.16,2.14,1.87,1.65,1.63,1.66,1.55,1.63,0.95,0.91,0.77,0.69,0.69,0.68,0.38,0.34,0.3,0.27,0.21,0.1,100.02
07/14/2021,5.01,4.74,4.52,4.52,4.56,4.34,4.45,4.43,4.38,4.13,4.14,3.83,3.73,3.65,3.34,3.23,2.87,2.69,2.44,2.18,2.28,2.15,2.15,1.87,1.63,1.62,1.57,1.54,1.68,0.93,0.91,0.77,0.72,0.68,0.7,0.38,0.35,0.31,0.27,0.21,0.1,100.0
07/15/2021,5.05,4.7,4.52,4.58,4.54,4.26,4.47,4.46,4.36,4.2,4.1,3.9,3.65,3.56,3.48,3.2,2.79,2.76,2.51,2.25,2.24,2.18,2.16,1.85,1.58,1.58,1.64,1.47,1.66,0.94,0.94,0.78,0.69,0.68,0.68,0.38,0.34,0.29,0.29,0.2,0.09,100.0
07/16/2021,5.11,4.75,4.56,4.55,4.57,4.27,4.55,4.52,4.41,4.2,4.09,3.93,3.51,3.57,3.6,3.18,2.71,2.81,2.47,2.24,2.18,2.18,2.16,1.87,1.57,1.54,1.57,1.48,1.65,0.93,0.95,0.78,0.68,0.66,0.66,0.37,0.32,0.29,0.28,0.2,0.09,100.01
07/19/2021,5.01,4.86,4.66,4.65,4.63,4.35,4.68,4.58,4.54,4.17,4.21,4.1,3.39,3.47,3.61,3.05,2.53,2.88,2.44,2.18,2.14,2.12,2.16,1.88,1.54,1.49,1.51,1.37,1.69,0.93,0.96,0.79,0.65,0.65,0.64,0.38,0.32,0.28,0.25,0.2,0.09,100.03
07/20/2021,5.01,4.86,4.66,4.65,4.63,4.35,4.68,4.58,4.54,4.17,4.21,4.1,3.39,3.47,3.61,3.05,2.53,2.88,2.44,2.18,2.14,2.12,2.16,1.88,1.54,1.49,1.51,1.37,1.69,0.93,0.96,0.79,0.65,0.65,0.64,0.38,0.32,0.28,0.25,0.2,0.09,100.03
07/21/2021,5.04,4.85,4.54,4.65,4.62,4.53,4.68,4.65,4.55,4.16,4.24,3.94,3.43,3.48,3.52,3.16,2.45,2.78,2.45,2.26,2.14,2.12,2.13,1.88,1.52,1.49,1.59,1.36,1.69,0.93,0.96,0.79,0.66,0.65,0.63,0.38,0.31,0.27,0.24,0.19,0.09,100.0
07/22/2021,5.1,4.82,4.51,4.65,4.61,4.47,4.57,4.52,4.55,4.17,4.25,3.94,3.47,3.6,3.61,3.15,2.56,2.83,2.47,2.17,2.1,2.12,2.12,1.9,1.55,1.58,1.62,1.34,1.64,0.9,0.93,0.77,0.65,0.65,0.63,0.38,0.32,0.27,0.24,0.2,0.08,100.01
07/23/2021,5.25,4.84,4.53,4.61,4.6,4.62,4.57,4.61,4.53,4.11,4.2,3.76,3.5,3.65,3.54,3.12,2.56,2.59,2.48,2.26,2.15,2.15,2.1,1.85,1.57,1.57,1.59,1.34,1.67,0.9,0.94,0.77,0.67,0.66,0.64,0.38,0.3,0.28,0.24,0.2,0.08,99.98
07/26/2021,5.22,4.85,4.53,4.65,4.66,4.72,4.59,4.63,4.51,4.1,4.19,3.56,3.39,3.59,3.58,3.18,2.59,2.63,2.52,2.25,2.15,2.15,2.08,1.93,1.6,1.58,1.59,1.3,1.62,0.85,0.95,0.76,0.68,0.68,0.65,0.38,0.33,0.27,0.23,0.21,0.07,100.0
07/27/2021,5.22,4.85,4.53,4.65,4.66,4.72,4.59,4.63,4.51,4.1,4.19,3.56,3.39,3.59,3.58,3.18,2.59,2.63,2.52,2.25,2.15,2.15,2.08,1.93,1.6,1.58,1.59,1.3,1.62,0.85,0.95,0.76,0.68,0.68,0.65,0.38,0.33,0.27,0.23,0.21,0.07,100.0
07/29/2021,5.39,4.96,4.64,4.73,4.76,4.77,4.66,4.75,4.62,4.26,4.22,3.34,3.36,3.59,2.96,3.04,2.55,2.3,2.58,2.25,2.23,2.19,2.12,1.99,1.62,1.56,1.54,1.31,1.72,0.83,0.92,0.79,0.66,0.69,0.64,0.39,0.33,0.26,0.22,0.21,0.07,100.02
07/30/2021,5.4,5.01,4.77,4.78,4.85,4.81,4.74,4.77,4.67,4.32,4.26,3.21,3.34,3.67,2.33,3.02,2.59,1.89,2.65,2.26,2.24,2.51,2.15,1.99,1.66,1.59,1.52,1.33,1.72,0.83,0.92,0.8,0.65,0.67,0.63,0.39,0.33,0.27,0.22,0.21,0.07,100.04
08/02/2021,5.32,4.97,4.6,4.37,4.92,4.84,4.59,4.73,4.54,3.99,4.17,3.5,3.38,3.7,2.98,2.96,2.56,2.35,2.69,2.33,2.23,2.51,2.1,1.94,1.67,1.61,1.44,1.31,1.69,0.85,0.92,0.79,0.66,0.7,0.65,0.39,0.33,0.27,0.22,0.2,0.06,100.03
08/03/2021,5.32,4.97,4.6,4.37,4.92,4.84,4.59,4.73,4.54,3.99,4.17,3.5,3.38,3.7,2.98,2.96,2.56,2.35,2.69,2.33,2.23,2.51,2.1,1.94,1.67,1.61,1.44,1.31,1.69,0.85,0.92,0.79,0.66,0.7,0.65,0.39,0.33,0.27,0.22,0.2,0.06,100.03
