,2SPY  220331C00003160,2SPY  220331P00376510,Cash&Other,2SPY  220331P00257610,2SPY  220331C00421620,SUM
07/09/2021,104.58,2.97,0.61,-0.54,-7.62,100.0
07/12/2021,105.17,2.87,0.6,-0.54,-8.11,99.99
07/13/2021,105.17,2.87,0.6,-0.54,-8.11,99.99
07/14/2021,105.17,2.87,0.6,-0.54,-8.11,99.99
07/15/2021,105.5,2.81,0.6,-0.51,-8.4,100.0
07/16/2021,105.23,2.97,0.6,-0.55,-8.25,100.0
07/19/2021,104.9,3.02,0.57,-0.53,-7.97,99.99
07/20/2021,104.36,3.25,0.57,-0.59,-7.59,100.0
07/21/2021,104.36,3.25,0.57,-0.59,-7.59,100.0
07/22/2021,103.24,3.7,0.57,-0.68,-6.84,99.98999999999998
07/23/2021,104.51,3.28,0.57,-0.62,-7.74,100.0
07/26/2021,105.29,2.95,0.56,-0.55,-8.26,99.99
07/27/2021,106.07,2.78,0.55,-0.53,-8.89,99.98
07/28/2021,106.07,2.78,0.55,-0.53,-8.89,99.98
07/29/2021,106.38,2.73,0.55,-0.51,-9.15,100.0
07/30/2021,105.79,2.93,0.55,-0.57,-8.7,100.0
08/02/2021,106.15,2.73,0.54,-0.52,-8.91,99.99000000000002
08/03/2021,105.96,2.8,0.54,-0.53,-8.77,100.0
08/04/2021,105.96,2.8,0.54,-0.53,-8.77,100.0
08/05/2021,105.74,2.88,0.54,-0.54,-8.62,99.99999999999999
