,GME,OMCL,M,SAIA,NEO,GTLS,POWI,MSTR,ADC,IIPR,EXPO,AMN,ENSG,DDD,PDCE,SEM,ITRI,UFPI,JBT,BCPC,AEIS,REZI,SIG,RRC,CNMD,TRUP,WTS,VIAV,CBU,LPSN,ALRM,SHAK,PPBI,BKU,GKOS,MTDR,FHB,ROG,SPSC,STMP,KFY,AJRD,EXLS,LGIH,AGO,WDFC,MTH,NSIT,KLIC,SWN,HP,AIT,VG,FN,ABCB,ARNC,ONTO,LXP,ABG,DIOD,UNF,MED,FUL,SHOO,LCII,HI,EPRT,BBBY,CCOI,MMSI,OMI,SMPL,RCII,ISBC,ITGR,KWR,SFBS,SFNC,LTHM,SHEN,EGHT,FELE,AWR,DORM,WD,AVA,MXL,SJI,REGI,BMI,ABM,CWT,ONB,EAT,FORM,ANF,MATX,SPXC,FIX,UFS,ALGT,MDC,WWW,PRFT,ACA,KTB,FLOW,UCBI,AIN,BRC,SNBR,IBP,AEL,RMBS,IBTX,SM,COLB,EVTC,MD,CVET,ATI,PBH,MDRX,CPE,SCL,GPI,AAON,JJSF,CVBF,PLXS,OI,PRLB,SITC,GDOT,IRBT,PCRX,FBP,VCEL,CADE,ROCK,SANM,UNIT,RPAI,ODP,ESE,MYGN,SBH,FWRD,CAKE,BOOT,MOG.A,CELH,INDB,VSTO,FSS,MLI,BDN,MANT,HSKA,B,EPC,CORT,THRM,CTRE,VICR,AX,HTH,HUBG,UCTT,FFBC,COOP,WGO,SSTK,BCC,AVAV,IDCC,MGLN,FMBI,XPER,IOSP,TSE,BLMN,FCPT,SYKE,SKYW,RNST,RLGY,WSFS,CPK,MNRO,ROIC,PSMT,SVC,MODV,PMT,PRGS,XHR,RAVN,TWO,ARI,BGS,UNFI,WRE,FBC,BIG,STATE STREET INSTITUTIONAL LIQ STATE STR,IRT,CYTK,GMS,CVCO,CCS,VRTS,INT,AAWW,PIPR,KALU,CORE,BANR,TRMK,n/a,THS,TTEC,TTGT,LGND,AAT,CNK,XNCR,SUM
07/09/2021,1.06,0.63,0.54,0.53,0.51,0.51,0.49,0.47,0.47,0.47,0.45,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.41,0.41,0.41,0.41,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.91000000000001
07/12/2021,1.04,0.64,0.53,0.52,0.52,0.51,0.48,0.47,0.48,0.46,0.46,0.45,0.44,0.42,0.43,0.43,0.42,0.43,0.41,0.41,0.4,0.4,0.38,0.42,0.39,0.37,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.37,0.35,0.37,0.36,0.36,0.35,0.36,0.36,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.31,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.34,0.31,0.32,0.32,0.33,0.31,0.32,0.32,0.31,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.29,0.3,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.26,0.26,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.23,0.25,0.27,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.02
07/13/2021,1.04,0.64,0.53,0.52,0.52,0.51,0.48,0.47,0.48,0.46,0.46,0.45,0.44,0.42,0.43,0.43,0.42,0.43,0.41,0.41,0.4,0.4,0.38,0.42,0.39,0.37,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.37,0.35,0.37,0.36,0.36,0.35,0.36,0.36,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.31,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.34,0.31,0.32,0.32,0.33,0.31,0.32,0.32,0.31,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.29,0.3,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.26,0.26,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.23,0.25,0.27,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.02
07/14/2021,1.01,0.62,0.55,0.52,0.51,0.52,0.48,0.47,0.47,0.47,0.45,0.44,0.43,0.41,0.43,0.42,0.42,0.43,0.41,0.41,0.39,0.41,0.38,0.42,0.38,0.36,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.38,0.34,0.37,0.37,0.35,0.34,0.57,0.36,0.34,0.34,0.34,0.34,0.33,0.33,0.34,0.32,0.34,0.33,0.33,0.32,0.33,0.33,0.34,0.32,0.33,0.34,0.31,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.3,0.31,0.3,0.33,0.3,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.26,0.28,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.3,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.24,0.25,0.28,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.98
07/15/2021,1.0,0.63,0.56,0.52,0.51,0.52,0.48,0.43,0.47,0.47,0.45,0.45,0.44,0.37,0.42,0.42,0.42,0.44,0.41,0.41,0.39,0.41,0.38,0.41,0.38,0.35,0.39,0.37,0.38,0.37,0.37,0.36,0.36,0.38,0.34,0.37,0.37,0.36,0.34,0.56,0.36,0.34,0.34,0.34,0.35,0.34,0.33,0.33,0.32,0.33,0.33,0.33,0.32,0.33,0.33,0.34,0.33,0.33,0.34,0.31,0.32,0.32,0.32,0.31,0.32,0.32,0.32,0.31,0.31,0.3,0.32,0.3,0.3,0.29,0.29,0.3,0.3,0.3,0.32,0.26,0.28,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.27,0.28,0.26,0.26,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.26,0.25,0.26,0.24,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.24,0.25,0.28,0.24,0.24,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.23,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.0,0.0,0.19,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.95
07/16/2021,0.97,0.63,0.56,0.53,0.52,0.52,0.48,0.44,0.48,0.48,0.46,0.45,0.44,0.36,0.42,0.43,0.42,0.43,0.41,0.41,0.4,0.4,0.38,0.42,0.38,0.35,0.39,0.38,0.38,0.37,0.38,0.36,0.36,0.37,0.33,0.38,0.36,0.36,0.34,0.57,0.36,0.34,0.35,0.33,0.35,0.33,0.33,0.33,0.33,0.34,0.33,0.33,0.32,0.33,0.33,0.33,0.33,0.34,0.35,0.32,0.32,0.32,0.32,0.32,0.33,0.32,0.32,0.3,0.32,0.3,0.32,0.3,0.3,0.29,0.29,0.3,0.3,0.3,0.31,0.26,0.28,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.29,0.28,0.29,0.28,0.27,0.28,0.27,0.26,0.28,0.28,0.27,0.27,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.27,0.25,0.26,0.25,0.26,0.24,0.25,0.26,0.24,0.25,0.26,0.25,0.25,0.24,0.25,0.28,0.24,0.24,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.06
07/19/2021,0.91,0.64,0.54,0.53,0.49,0.52,0.48,0.41,0.49,0.48,0.46,0.45,0.44,0.34,0.41,0.42,0.42,0.43,0.42,0.42,0.38,0.39,0.36,0.39,0.37,0.34,0.39,0.38,0.39,0.35,0.36,0.33,0.37,0.37,0.25,0.35,0.37,0.36,0.34,0.59,0.36,0.35,0.36,0.34,0.35,0.35,0.33,0.34,0.32,0.32,0.31,0.34,0.32,0.33,0.33,0.32,0.32,0.35,0.36,0.31,0.32,0.32,0.33,0.31,0.33,0.32,0.33,0.29,0.32,0.29,0.32,0.3,0.31,0.3,0.29,0.3,0.31,0.3,0.31,0.26,0.27,0.3,0.3,0.3,0.29,0.29,0.27,0.29,0.3,0.28,0.31,0.29,0.28,0.27,0.26,0.25,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.26,0.25,0.26,0.22,0.25,0.26,0.24,0.25,0.26,0.25,0.25,0.21,0.25,0.28,0.25,0.25,0.25,0.25,0.24,0.23,0.25,0.25,0.24,0.24,0.25,0.24,0.25,0.23,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.2,0.24,0.23,0.23,0.23,0.24,0.24,0.23,0.23,0.22,0.21,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.2,0.21,0.2,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.0,0.2,0.0,0.0,0.21,0.2,0.2,0.0,0.0,0.0,0.21,0.21,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.86
07/20/2021,0.94,0.65,0.53,0.52,0.51,0.52,0.47,0.41,0.5,0.5,0.47,0.45,0.45,0.32,0.39,0.42,0.41,0.43,0.43,0.42,0.37,0.38,0.35,0.38,0.38,0.35,0.39,0.38,0.39,0.35,0.36,0.34,0.36,0.36,0.26,0.35,0.36,0.36,0.35,0.59,0.36,0.36,0.36,0.34,0.35,0.35,0.33,0.34,0.32,0.31,0.31,0.34,0.33,0.33,0.33,0.32,0.31,0.35,0.36,0.31,0.33,0.31,0.33,0.31,0.34,0.33,0.33,0.29,0.33,0.3,0.33,0.31,0.31,0.3,0.29,0.3,0.31,0.3,0.29,0.26,0.28,0.31,0.32,0.3,0.3,0.3,0.27,0.29,0.31,0.28,0.31,0.31,0.28,0.26,0.26,0.25,0.28,0.29,0.27,0.28,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.27,0.25,0.27,0.25,0.26,0.21,0.25,0.26,0.24,0.24,0.26,0.26,0.25,0.0,0.25,0.28,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.24,0.26,0.25,0.24,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.2,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.22,0.21,0.23,0.23,0.23,0.24,0.22,0.22,0.2,0.22,0.22,0.21,0.22,0.0,0.21,0.2,0.22,0.21,0.21,0.22,0.2,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.21,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.98
07/21/2021,0.94,0.65,0.53,0.52,0.51,0.52,0.47,0.41,0.5,0.5,0.47,0.45,0.45,0.32,0.39,0.42,0.41,0.43,0.43,0.42,0.37,0.38,0.35,0.38,0.38,0.35,0.39,0.38,0.39,0.35,0.36,0.34,0.36,0.36,0.26,0.35,0.36,0.36,0.35,0.59,0.36,0.36,0.36,0.34,0.35,0.35,0.33,0.34,0.32,0.31,0.31,0.34,0.33,0.33,0.33,0.32,0.31,0.35,0.36,0.31,0.33,0.31,0.33,0.31,0.34,0.33,0.33,0.29,0.33,0.3,0.33,0.31,0.31,0.3,0.29,0.3,0.31,0.3,0.29,0.26,0.28,0.31,0.32,0.3,0.3,0.3,0.27,0.29,0.31,0.28,0.31,0.31,0.28,0.26,0.26,0.25,0.28,0.29,0.27,0.28,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.27,0.25,0.27,0.25,0.26,0.21,0.25,0.26,0.24,0.24,0.26,0.26,0.25,0.0,0.25,0.28,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.24,0.26,0.25,0.24,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.2,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.22,0.21,0.23,0.23,0.23,0.24,0.22,0.22,0.2,0.22,0.22,0.21,0.22,0.0,0.21,0.2,0.22,0.21,0.21,0.22,0.2,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.21,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.98
07/22/2021,0.94,0.65,0.53,0.52,0.51,0.52,0.47,0.41,0.5,0.5,0.47,0.45,0.45,0.32,0.39,0.42,0.41,0.43,0.43,0.42,0.37,0.38,0.35,0.38,0.38,0.35,0.39,0.38,0.39,0.35,0.36,0.34,0.36,0.36,0.26,0.35,0.36,0.36,0.35,0.59,0.36,0.36,0.36,0.34,0.35,0.35,0.33,0.34,0.32,0.31,0.31,0.34,0.33,0.33,0.33,0.32,0.31,0.35,0.36,0.31,0.33,0.31,0.33,0.31,0.34,0.33,0.33,0.29,0.33,0.3,0.33,0.31,0.31,0.3,0.29,0.3,0.31,0.3,0.29,0.26,0.28,0.31,0.32,0.3,0.3,0.3,0.27,0.29,0.31,0.28,0.31,0.31,0.28,0.26,0.26,0.25,0.28,0.29,0.27,0.28,0.26,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.26,0.27,0.25,0.27,0.25,0.26,0.21,0.25,0.26,0.24,0.24,0.26,0.26,0.25,0.0,0.25,0.28,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.24,0.26,0.25,0.24,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.2,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.23,0.22,0.21,0.23,0.23,0.23,0.24,0.22,0.22,0.2,0.22,0.22,0.21,0.22,0.0,0.21,0.2,0.22,0.21,0.21,0.22,0.2,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.21,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.98
