,MSFT,AAPL,JNJ,MA,AMZN,V,ADBE,GOOG,LLY,COST,GOOGL,WMT,HD,ACN,AMGN,INTU,TGT,VZ,CHTR,PEP,MRK,ZTS,ZM,REGN,FB,PSA,NEE,AWK,ABT,EXPD,ABBV,HSY,ORLY,TRV,SPGI,WDFC,ODFL,CHKP,TTEK,WEC,CCOI,CHE,NEM,WRB,JBHT,Y,CHRW,ICLR,SFM,SYK,RGLD,LSTR,SAIA,TEAM,AEM.TO,UPS,ICE,AON,WM,CB,CRL,TYL,ECL,PGR,NDAQ,KR,CABO,IDA,WCN.TO,RSG,VRSK,QGEN,HELE,MKL,AY,CLX,ELS,IRDM,PNW,CCI,AJG,XEL,AEP,PNM,GLOB,EHC,WERN,VG,KO,BRK.B,ED,PG,T,CMS,OLLI,SBAC,JPM,LBTYK,ROP,EQIX,EXR,TSLA,NWL,Cash,UTHR,CACC,UNH,DUK,PM,CME,OGN,United States Treasury Bills 0%,B 0 07/15/21,E-mini S&P 500 Future Sept 21,B 0 01/27/22,SUM
07/09/2021,6.15,4.57,4.36,3.61,3.28,2.86,2.72,2.48,2.38,2.08,2.06,2.05,1.81,1.74,1.72,1.54,1.46,1.39,1.24,1.22,1.17,1.07,1.02,0.96,0.92,0.9,0.85,0.82,0.81,0.81,0.79,0.78,0.77,0.77,0.76,0.76,0.76,0.76,0.75,0.74,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.7,0.7,0.68,0.67,0.66,0.66,0.64,0.64,0.63,0.63,0.63,0.61,0.6,0.6,0.59,0.59,0.58,0.56,0.56,0.56,0.55,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.49,0.49,0.47,0.46,0.46,0.45,0.43,0.43,0.4,0.39,0.38,0.34,0.32,0.3,0.26,0.23,0.2,0.2,0.17,0.16,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.02,0.0,0.0,0.0,99.99
07/12/2021,6.14,4.68,4.33,3.56,3.41,2.85,2.75,2.48,2.38,2.09,2.06,2.02,1.79,1.75,1.67,1.55,1.45,1.38,1.24,1.22,1.16,1.09,1.02,0.95,0.9,0.91,0.85,0.84,0.82,0.81,0.79,0.79,0.77,0.77,0.76,0.77,0.75,0.75,0.75,0.75,0.72,0.71,0.72,0.72,0.72,0.71,0.71,0.71,0.7,0.69,0.68,0.67,0.64,0.67,0.63,0.64,0.62,0.62,0.63,0.61,0.61,0.61,0.58,0.58,0.57,0.55,0.57,0.56,0.56,0.54,0.54,0.54,0.52,0.53,0.52,0.53,0.53,0.51,0.51,0.51,0.49,0.49,0.47,0.45,0.47,0.45,0.43,0.42,0.4,0.39,0.38,0.34,0.31,0.3,0.26,0.23,0.2,0.19,0.17,0.17,0.09,0.07,0.08,0.09,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.0,0.02,0.0,0.0,100.04
07/13/2021,6.14,4.68,4.33,3.56,3.41,2.85,2.75,2.48,2.38,2.09,2.06,2.02,1.79,1.75,1.67,1.55,1.45,1.38,1.24,1.22,1.16,1.09,1.02,0.95,0.9,0.91,0.85,0.84,0.82,0.81,0.79,0.79,0.77,0.77,0.76,0.77,0.75,0.75,0.75,0.75,0.72,0.71,0.72,0.72,0.72,0.71,0.71,0.71,0.7,0.69,0.68,0.67,0.64,0.67,0.63,0.64,0.62,0.62,0.63,0.61,0.61,0.61,0.58,0.58,0.57,0.55,0.57,0.56,0.56,0.54,0.54,0.54,0.52,0.53,0.52,0.53,0.53,0.51,0.51,0.51,0.49,0.49,0.47,0.45,0.47,0.45,0.43,0.42,0.4,0.39,0.38,0.34,0.31,0.3,0.26,0.23,0.2,0.19,0.17,0.17,0.09,0.07,0.08,0.09,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.0,0.02,0.0,0.0,100.04
07/14/2021,6.1,4.7,4.34,3.56,3.44,2.83,2.74,2.47,2.37,2.13,2.05,2.03,1.79,1.77,1.68,1.54,1.46,1.37,1.23,1.22,1.15,1.09,1.0,0.95,0.9,0.92,0.85,0.84,0.82,0.8,0.79,0.79,0.78,0.77,0.76,0.75,0.76,0.79,0.75,0.75,0.73,0.7,0.72,0.71,0.71,0.71,0.7,0.69,0.72,0.69,0.67,0.66,0.64,0.67,0.63,0.64,0.63,0.61,0.63,0.61,0.61,0.61,0.59,0.58,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.54,0.48,0.53,0.51,0.52,0.54,0.51,0.51,0.51,0.49,0.49,0.47,0.45,0.46,0.45,0.43,0.42,0.4,0.39,0.38,0.34,0.31,0.3,0.26,0.23,0.2,0.19,0.17,0.17,0.09,0.08,0.08,0.09,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.0,0.02,0.0,0.0,99.97
07/15/2021,6.09,4.68,4.34,3.59,3.44,2.83,2.73,2.49,2.38,2.11,2.07,2.03,1.79,1.77,1.68,1.55,1.48,1.37,1.21,1.22,1.15,1.09,0.99,0.94,0.9,0.93,0.85,0.84,0.81,0.8,0.8,0.79,0.78,0.78,0.75,0.76,0.75,0.78,0.76,0.76,0.74,0.71,0.71,0.72,0.71,0.71,0.7,0.68,0.72,0.69,0.67,0.67,0.64,0.65,0.62,0.64,0.63,0.61,0.63,0.62,0.61,0.61,0.59,0.59,0.58,0.56,0.56,0.56,0.55,0.54,0.54,0.52,0.48,0.52,0.51,0.52,0.54,0.52,0.51,0.51,0.49,0.5,0.47,0.45,0.47,0.45,0.43,0.42,0.4,0.39,0.38,0.34,0.31,0.3,0.26,0.23,0.2,0.19,0.17,0.17,0.09,0.08,0.08,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.02,0.0,0.0,100.03
07/16/2021,6.18,4.72,4.33,3.67,3.4,2.88,2.75,2.5,2.38,2.1,2.08,2.04,1.76,1.77,1.68,1.55,1.48,1.37,1.19,1.25,1.15,1.1,0.98,0.94,0.9,0.92,0.85,0.84,0.81,0.8,0.8,0.79,0.78,0.77,0.75,0.74,0.75,0.79,0.75,0.75,0.74,0.71,0.72,0.71,0.72,0.7,0.7,0.69,0.7,0.68,0.67,0.66,0.64,0.65,0.64,0.63,0.63,0.6,0.63,0.61,0.61,0.61,0.59,0.57,0.58,0.56,0.55,0.56,0.55,0.54,0.54,0.5,0.47,0.51,0.51,0.51,0.53,0.5,0.51,0.51,0.49,0.49,0.47,0.45,0.47,0.44,0.44,0.41,0.41,0.39,0.38,0.34,0.31,0.3,0.26,0.23,0.2,0.19,0.17,0.17,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.0,0.02,0.0,0.0,100.05
07/19/2021,6.15,4.79,4.29,3.71,3.34,2.94,2.74,2.5,2.33,2.12,2.06,2.04,1.78,1.78,1.69,1.54,1.48,1.37,1.18,1.26,1.15,1.1,0.92,0.96,0.88,0.92,0.87,0.85,0.79,0.79,0.79,0.8,0.79,0.78,0.75,0.75,0.75,0.79,0.74,0.77,0.74,0.7,0.71,0.72,0.72,0.7,0.71,0.7,0.69,0.67,0.68,0.66,0.63,0.64,0.64,0.63,0.62,0.6,0.63,0.62,0.61,0.61,0.59,0.55,0.57,0.56,0.54,0.58,0.55,0.54,0.55,0.51,0.49,0.51,0.5,0.52,0.54,0.48,0.52,0.51,0.49,0.5,0.48,0.45,0.46,0.44,0.44,0.41,0.41,0.39,0.39,0.34,0.31,0.3,0.26,0.23,0.2,0.19,0.17,0.17,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,100.05
07/20/2021,6.15,4.79,4.29,3.71,3.34,2.94,2.74,2.5,2.33,2.12,2.06,2.04,1.78,1.78,1.69,1.54,1.48,1.37,1.18,1.26,1.15,1.1,0.92,0.96,0.88,0.92,0.87,0.85,0.79,0.79,0.79,0.8,0.79,0.78,0.75,0.75,0.75,0.79,0.74,0.77,0.74,0.7,0.71,0.72,0.72,0.7,0.71,0.7,0.69,0.67,0.68,0.66,0.63,0.64,0.64,0.63,0.62,0.6,0.63,0.62,0.61,0.61,0.59,0.55,0.57,0.56,0.54,0.58,0.55,0.54,0.55,0.51,0.49,0.51,0.5,0.52,0.54,0.48,0.52,0.51,0.49,0.5,0.48,0.45,0.46,0.44,0.44,0.41,0.41,0.39,0.39,0.34,0.31,0.3,0.26,0.23,0.2,0.19,0.17,0.17,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,100.05
07/21/2021,6.15,4.73,4.29,3.69,3.3,2.94,2.75,2.51,2.34,2.11,2.06,2.04,1.78,1.76,1.7,1.53,1.47,1.37,1.19,1.27,1.15,1.1,0.94,0.95,0.87,0.92,0.88,0.87,0.8,0.79,0.8,0.8,0.79,0.79,0.75,0.74,0.74,0.78,0.74,0.78,0.74,0.69,0.7,0.72,0.71,0.7,0.7,0.71,0.7,0.67,0.66,0.65,0.61,0.65,0.63,0.63,0.62,0.6,0.64,0.63,0.61,0.6,0.59,0.56,0.57,0.57,0.55,0.59,0.56,0.55,0.56,0.5,0.49,0.52,0.5,0.53,0.55,0.48,0.53,0.51,0.49,0.5,0.48,0.45,0.46,0.44,0.43,0.41,0.41,0.39,0.39,0.35,0.31,0.3,0.26,0.23,0.19,0.18,0.17,0.17,0.09,0.07,0.08,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,100.0
07/22/2021,6.15,4.73,4.29,3.69,3.3,2.94,2.75,2.51,2.34,2.11,2.06,2.04,1.78,1.76,1.7,1.53,1.47,1.37,1.19,1.27,1.15,1.1,0.94,0.95,0.87,0.92,0.88,0.87,0.8,0.79,0.8,0.8,0.79,0.79,0.75,0.74,0.74,0.78,0.74,0.78,0.74,0.69,0.7,0.72,0.71,0.7,0.7,0.71,0.7,0.67,0.66,0.65,0.61,0.65,0.63,0.63,0.62,0.6,0.64,0.63,0.61,0.6,0.59,0.56,0.57,0.57,0.55,0.59,0.56,0.55,0.56,0.5,0.49,0.52,0.5,0.53,0.55,0.48,0.53,0.51,0.49,0.5,0.48,0.45,0.46,0.44,0.43,0.41,0.41,0.39,0.39,0.35,0.31,0.3,0.26,0.23,0.19,0.18,0.17,0.17,0.09,0.07,0.08,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.0,0.0,0.0,0.02,100.00000000000001
