,GME,OMCL,M,SAIA,GTLS,POWI,MSTR,ADC,EXPO,AMN,ENSG,SEM,ITRI,BCPC,JBT,AEIS,SIG,RRC,TRUP,WTS,CNMD,VIAV,CBU,LPSN,SHAK,BKU,GKOS,PPBI,ROG,FHB,SPSC,EXLS,AGO,MTH,NSIT,KLIC,SWN,HP,FN,ONTO,VG,AIT,LXP,ABCB,UNF,ABG,DIOD,MED,FUL,LCII,HI,SHOO,BBBY,SMPL,MMSI,OMI,ISBC,RCII,SHEN,FELE,SFNC,LTHM,EGHT,MXL,BMI,ABM,SJI,REGI,CWT,ONB,FORM,MATX,EAT,FIX,ANF,SPXC,MDC,WWW,ACA,FLOW,UCBI,AIN,KTB,BRC,IBP,IBTX,SNBR,SM,COLB,EVTC,CVET,PBH,CPE,ATI,JJSF,MDRX,GPI,SCL,PLXS,PCRX,GDOT,SITC,VCEL,CADE,RPAI,UNIT,SANM,ODP,PRLB,FBP,IRBT,ESE,MYGN,SBH,FWRD,BOOT,CAKE,INDB,CELH,FSS,MLI,VSTO,BDN,EPC,CTRE,HTH,VICR,B,THRM,CORT,HSKA,HUBG,FFBC,AVAV,BCC,WGO,FMBI,MGLN,TSE,IOSP,BLMN,FCPT,RLGY,WSFS,ROIC,PMT,XHR,RAVN,PRGS,XNCR,BGS,DRH,WRE,BIG,GMS,UNFI,AKR,IRT,NPO,AAT,CYH,KALU,TTEC,NMIH,PIPR,DLX,KRG,SKT,MEI,AAWW,GVA,CRS,KN,BANR,TTGT,FOE,COKE,HNI,DEA,PRAA,SBCF,LNN,EGBN,NWBI,LZB,MDP,VBTX,PLMR,CSII,COHU,NYMT,CLB,MTOR,GWB,UIS,HOPE,PRK,PFS,HMN,EPAC,OXM,PBI,STAR,CASH,HSC,STC,LTC,CYTK,MYRG,SUM
07/09/2021,1.48,0.88,0.77,0.74,0.71,0.67,0.66,0.65,0.63,0.62,0.61,0.6,0.59,0.57,0.57,0.57,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.45
07/12/2021,1.41,0.87,0.78,0.72,0.73,0.66,0.65,0.66,0.62,0.61,0.6,0.59,0.58,0.57,0.57,0.55,0.53,0.59,0.5,0.53,0.52,0.52,0.53,0.52,0.52,0.53,0.47,0.51,0.49,0.51,0.48,0.48,0.47,0.46,0.47,0.44,0.47,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.45,0.47,0.43,0.45,0.45,0.45,0.45,0.43,0.42,0.42,0.42,0.45,0.42,0.42,0.36,0.42,0.41,0.42,0.4,0.39,0.39,0.39,0.39,0.41,0.39,0.38,0.37,0.4,0.37,0.38,0.37,0.38,0.36,0.37,0.36,0.37,0.37,0.37,0.37,0.35,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.38,0.34,0.34,0.4,0.34,0.35,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.29,0.29,0.3,0.3,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.28,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.0,0.0,0.0,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,74.4
07/13/2021,1.41,0.87,0.78,0.72,0.73,0.66,0.65,0.66,0.62,0.61,0.6,0.59,0.58,0.57,0.57,0.55,0.53,0.59,0.5,0.53,0.52,0.52,0.53,0.52,0.52,0.53,0.47,0.51,0.49,0.51,0.48,0.48,0.47,0.46,0.47,0.44,0.47,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.45,0.47,0.43,0.45,0.45,0.45,0.45,0.43,0.42,0.42,0.42,0.45,0.42,0.42,0.36,0.42,0.41,0.42,0.4,0.39,0.39,0.39,0.39,0.41,0.39,0.38,0.37,0.4,0.37,0.38,0.37,0.38,0.36,0.37,0.36,0.37,0.37,0.37,0.37,0.35,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.38,0.34,0.34,0.4,0.34,0.35,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.29,0.29,0.3,0.3,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.28,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.0,0.0,0.0,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,74.4
07/14/2021,1.41,0.87,0.78,0.72,0.73,0.66,0.65,0.66,0.62,0.61,0.6,0.59,0.58,0.57,0.57,0.55,0.53,0.59,0.5,0.53,0.52,0.52,0.53,0.52,0.52,0.53,0.47,0.51,0.49,0.51,0.48,0.48,0.47,0.46,0.47,0.44,0.47,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.45,0.47,0.43,0.45,0.45,0.45,0.45,0.44,0.42,0.42,0.42,0.45,0.42,0.42,0.36,0.42,0.41,0.42,0.4,0.39,0.39,0.39,0.39,0.41,0.39,0.38,0.37,0.4,0.37,0.38,0.37,0.38,0.36,0.37,0.36,0.37,0.37,0.37,0.37,0.35,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.38,0.34,0.34,0.4,0.34,0.35,0.34,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.29,0.29,0.3,0.3,0.29,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.28,0.27,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.0,0.0,0.0,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,74.44
07/15/2021,1.39,0.89,0.79,0.72,0.72,0.66,0.61,0.66,0.62,0.62,0.61,0.59,0.59,0.57,0.57,0.55,0.53,0.57,0.49,0.54,0.53,0.52,0.53,0.51,0.5,0.53,0.48,0.51,0.5,0.51,0.47,0.48,0.48,0.46,0.46,0.44,0.46,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.45,0.48,0.44,0.44,0.45,0.45,0.45,0.43,0.43,0.42,0.42,0.45,0.41,0.42,0.36,0.42,0.42,0.45,0.39,0.39,0.39,0.4,0.39,0.41,0.39,0.38,0.37,0.39,0.39,0.38,0.37,0.39,0.36,0.36,0.36,0.37,0.37,0.36,0.37,0.35,0.35,0.36,0.35,0.34,0.35,0.35,0.36,0.35,0.33,0.37,0.34,0.35,0.39,0.34,0.34,0.33,0.34,0.35,0.33,0.34,0.34,0.34,0.33,0.34,0.33,0.34,0.33,0.34,0.35,0.33,0.33,0.33,0.33,0.32,0.31,0.32,0.32,0.32,0.33,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.32,0.31,0.3,0.3,0.31,0.3,0.3,0.29,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.29,0.27,0.27,0.26,0.27,0.27,0.28,0.26,0.27,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.26,0.24,0.25,0.23,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.0,0.0,0.23,0.0,0.23,0.22,0.0,0.0,0.0,0.0,0.0,74.42
07/16/2021,1.35,0.88,0.78,0.73,0.73,0.67,0.61,0.66,0.63,0.62,0.61,0.6,0.59,0.57,0.57,0.55,0.53,0.59,0.49,0.54,0.52,0.53,0.53,0.51,0.5,0.52,0.46,0.5,0.5,0.5,0.47,0.49,0.48,0.46,0.46,0.46,0.48,0.46,0.47,0.47,0.45,0.46,0.47,0.46,0.45,0.49,0.44,0.44,0.45,0.46,0.45,0.44,0.42,0.42,0.42,0.44,0.41,0.42,0.36,0.42,0.41,0.43,0.4,0.39,0.39,0.4,0.39,0.4,0.4,0.38,0.37,0.39,0.39,0.38,0.36,0.39,0.36,0.37,0.36,0.37,0.37,0.36,0.36,0.35,0.35,0.36,0.37,0.34,0.34,0.36,0.35,0.35,0.33,0.37,0.34,0.35,0.39,0.35,0.35,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.33,0.34,0.35,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.33,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.32,0.31,0.3,0.3,0.31,0.3,0.29,0.3,0.3,0.3,0.31,0.3,0.28,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.28,0.26,0.26,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.22,0.24,0.23,0.22,0.22,0.24,0.23,0.23,0.23,0.23,0.0,0.22,0.22,0.22,0.0,0.0,0.23,0.22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,74.51
07/19/2021,1.27,0.9,0.76,0.73,0.72,0.67,0.58,0.69,0.64,0.62,0.61,0.58,0.59,0.58,0.58,0.53,0.5,0.55,0.48,0.55,0.51,0.53,0.54,0.49,0.47,0.52,0.36,0.51,0.5,0.52,0.47,0.5,0.49,0.46,0.47,0.45,0.45,0.44,0.46,0.45,0.45,0.47,0.49,0.47,0.45,0.5,0.44,0.44,0.46,0.47,0.45,0.43,0.41,0.43,0.41,0.44,0.42,0.43,0.36,0.43,0.42,0.43,0.38,0.38,0.39,0.43,0.4,0.41,0.41,0.39,0.37,0.39,0.37,0.38,0.35,0.39,0.36,0.36,0.36,0.37,0.37,0.35,0.37,0.36,0.36,0.37,0.36,0.31,0.35,0.36,0.35,0.36,0.3,0.37,0.35,0.35,0.39,0.35,0.35,0.34,0.34,0.35,0.33,0.35,0.35,0.35,0.34,0.34,0.32,0.35,0.33,0.35,0.33,0.33,0.34,0.32,0.32,0.33,0.28,0.33,0.32,0.32,0.33,0.31,0.31,0.31,0.31,0.32,0.31,0.29,0.31,0.32,0.31,0.29,0.28,0.29,0.3,0.3,0.29,0.31,0.3,0.3,0.28,0.3,0.29,0.27,0.29,0.28,0.27,0.26,0.27,0.27,0.29,0.26,0.27,0.26,0.26,0.28,0.26,0.26,0.25,0.26,0.26,0.25,0.25,0.26,0.25,0.26,0.25,0.25,0.24,0.26,0.25,0.25,0.23,0.24,0.26,0.25,0.25,0.25,0.25,0.23,0.24,0.24,0.22,0.24,0.23,0.0,0.0,0.23,0.23,0.22,0.24,0.23,0.0,0.23,0.23,0.23,0.23,0.0,0.22,0.0,0.24,0.22,0.22,0.0,0.0,0.0,0.0,74.35
07/20/2021,1.31,0.91,0.74,0.72,0.73,0.67,0.57,0.7,0.65,0.63,0.63,0.59,0.57,0.59,0.6,0.52,0.49,0.54,0.49,0.55,0.52,0.53,0.54,0.5,0.47,0.51,0.37,0.5,0.51,0.51,0.48,0.51,0.49,0.46,0.47,0.44,0.44,0.43,0.47,0.44,0.46,0.47,0.49,0.46,0.46,0.5,0.44,0.44,0.46,0.47,0.46,0.43,0.4,0.44,0.41,0.46,0.42,0.43,0.37,0.43,0.41,0.4,0.39,0.38,0.39,0.44,0.4,0.43,0.43,0.39,0.37,0.4,0.37,0.37,0.35,0.4,0.37,0.36,0.36,0.37,0.37,0.36,0.37,0.36,0.35,0.36,0.37,0.29,0.35,0.36,0.34,0.36,0.27,0.36,0.35,0.35,0.39,0.36,0.35,0.34,0.35,0.35,0.33,0.34,0.35,0.36,0.34,0.34,0.33,0.34,0.34,0.35,0.33,0.33,0.33,0.32,0.32,0.33,0.28,0.33,0.33,0.32,0.34,0.31,0.32,0.31,0.32,0.31,0.32,0.3,0.33,0.31,0.31,0.3,0.27,0.3,0.3,0.31,0.28,0.31,0.29,0.31,0.28,0.3,0.29,0.27,0.29,0.29,0.27,0.27,0.28,0.27,0.29,0.26,0.27,0.25,0.26,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.23,0.25,0.27,0.25,0.25,0.24,0.24,0.23,0.25,0.24,0.22,0.24,0.23,0.23,0.0,0.22,0.23,0.22,0.24,0.23,0.0,0.22,0.23,0.22,0.23,0.0,0.0,0.0,0.24,0.0,0.0,0.22,0.22,0.0,0.0,74.53
07/21/2021,1.31,0.91,0.74,0.72,0.73,0.67,0.57,0.7,0.65,0.63,0.63,0.59,0.57,0.59,0.6,0.52,0.49,0.54,0.49,0.55,0.52,0.53,0.54,0.5,0.47,0.51,0.37,0.5,0.51,0.51,0.48,0.51,0.49,0.46,0.47,0.44,0.44,0.43,0.47,0.44,0.46,0.47,0.49,0.46,0.46,0.5,0.44,0.44,0.46,0.47,0.46,0.43,0.4,0.44,0.41,0.46,0.42,0.43,0.37,0.43,0.41,0.4,0.39,0.38,0.39,0.44,0.4,0.43,0.43,0.39,0.37,0.4,0.37,0.37,0.35,0.4,0.37,0.36,0.36,0.37,0.37,0.36,0.37,0.36,0.35,0.36,0.37,0.29,0.35,0.36,0.34,0.36,0.27,0.36,0.35,0.35,0.39,0.36,0.35,0.34,0.35,0.35,0.33,0.34,0.35,0.36,0.34,0.34,0.33,0.34,0.34,0.35,0.33,0.33,0.33,0.32,0.32,0.33,0.28,0.33,0.33,0.32,0.34,0.31,0.32,0.31,0.32,0.31,0.32,0.3,0.33,0.31,0.31,0.3,0.27,0.3,0.3,0.31,0.28,0.31,0.29,0.31,0.28,0.3,0.29,0.27,0.29,0.29,0.27,0.27,0.28,0.27,0.29,0.26,0.27,0.25,0.26,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.23,0.25,0.27,0.25,0.25,0.24,0.24,0.23,0.25,0.24,0.22,0.24,0.23,0.23,0.0,0.22,0.23,0.22,0.24,0.23,0.0,0.22,0.23,0.22,0.23,0.0,0.0,0.0,0.24,0.0,0.0,0.22,0.22,0.0,0.0,74.53
07/22/2021,1.37,0.93,0.72,0.72,0.73,0.68,0.55,0.71,0.67,0.63,0.63,0.58,0.57,0.6,0.59,0.52,0.47,0.53,0.52,0.56,0.52,0.53,0.54,0.55,0.47,0.5,0.37,0.49,0.51,0.5,0.49,0.51,0.48,0.47,0.47,0.46,0.43,0.43,0.47,0.45,0.47,0.47,0.49,0.45,0.46,0.51,0.44,0.44,0.46,0.47,0.46,0.43,0.41,0.44,0.42,0.49,0.41,0.43,0.38,0.44,0.41,0.39,0.39,0.38,0.39,0.43,0.4,0.41,0.43,0.38,0.38,0.4,0.35,0.38,0.34,0.39,0.37,0.36,0.36,0.46,0.36,0.35,0.36,0.36,0.36,0.35,0.37,0.28,0.35,0.36,0.34,0.37,0.26,0.35,0.36,0.35,0.4,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.35,0.36,0.34,0.34,0.32,0.34,0.36,0.34,0.33,0.33,0.34,0.32,0.31,0.33,0.29,0.33,0.32,0.32,0.33,0.31,0.32,0.31,0.31,0.32,0.32,0.31,0.34,0.31,0.3,0.3,0.27,0.3,0.29,0.31,0.28,0.3,0.28,0.31,0.28,0.29,0.28,0.27,0.28,0.29,0.27,0.27,0.29,0.26,0.29,0.27,0.26,0.25,0.25,0.28,0.25,0.25,0.25,0.25,0.26,0.25,0.24,0.26,0.23,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.27,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.22,0.24,0.22,0.23,0.0,0.24,0.24,0.0,0.24,0.22,0.0,0.22,0.23,0.22,0.23,0.22,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.28,0.21,74.62
