,NVDA,SE,NTES,ATVI,EA,7974.T,ZNGA,EMBRAC B.ST,TTWO,BILI,036570.KS,9697.T,9766.T,293490.KQ,UBI.PA,3659.T,9684.T,SF.ST,251270.KS,KWS.L,263750.KQ,2432.T,DOYU,3765.T,078340.KQ,799.HK,HUYA,GRVY,112040.KQ,HEAR,067000.KQ,069080.KQ,095660.KQ,6180 TT,041140.KQ,3083 TT,3903.T,3932.T,3656.T,CASH,SUM
07/09/2021,9.77,7.4,6.33,6.32,6.24,5.8,5.25,4.76,4.03,4.03,3.98,3.87,3.8,3.38,3.28,3.19,2.3,1.91,1.7,1.66,1.58,1.24,1.2,0.99,0.68,0.67,0.64,0.47,0.45,0.42,0.37,0.35,0.32,0.3,0.28,0.27,0.27,0.22,0.22,0.06,100.0
07/12/2021,9.66,7.37,6.26,6.34,6.31,5.69,5.17,4.82,4.07,3.82,4.01,3.84,3.87,3.62,3.27,3.14,2.31,1.91,1.69,1.7,1.64,1.26,1.23,0.99,0.68,0.65,0.62,0.49,0.44,0.43,0.4,0.35,0.34,0.3,0.29,0.28,0.26,0.22,0.22,0.05,100.01
07/13/2021,9.66,7.37,6.26,6.34,6.31,5.69,5.17,4.82,4.07,3.82,4.01,3.84,3.87,3.62,3.27,3.14,2.31,1.91,1.69,1.7,1.64,1.26,1.23,0.99,0.68,0.65,0.62,0.49,0.44,0.43,0.4,0.35,0.34,0.3,0.29,0.28,0.26,0.22,0.22,0.05,100.01
07/14/2021,9.68,7.57,6.4,6.32,6.3,5.64,5.07,4.74,4.04,4.05,3.82,3.86,3.86,3.77,3.27,3.06,2.29,1.87,1.66,1.7,1.65,1.24,1.21,0.99,0.64,0.65,0.62,0.52,0.42,0.43,0.38,0.34,0.33,0.3,0.28,0.27,0.26,0.22,0.21,0.05,99.98
07/15/2021,9.87,7.55,6.41,6.34,6.29,5.65,5.1,4.82,4.07,4.05,3.68,3.88,3.85,3.56,3.26,3.11,2.31,1.88,1.68,1.7,1.64,1.25,1.1,1.0,0.63,0.72,0.6,0.49,0.42,0.43,0.38,0.34,0.34,0.3,0.28,0.27,0.26,0.22,0.21,0.05,99.99
07/16/2021,9.67,7.63,6.56,6.31,6.33,5.58,5.07,4.79,4.07,4.14,3.68,3.88,3.8,3.68,3.18,3.08,2.3,1.86,1.68,1.68,1.61,1.24,1.14,1.0,0.65,0.73,0.64,0.5,0.42,0.41,0.41,0.35,0.34,0.3,0.29,0.27,0.27,0.22,0.22,0.05,100.03
07/19/2021,9.22,7.43,6.81,6.25,6.42,5.69,4.98,4.69,4.02,4.21,3.89,3.83,3.89,3.67,3.15,3.12,2.41,1.8,1.74,1.7,1.64,1.23,1.07,1.02,0.66,0.7,0.65,0.48,0.45,0.41,0.43,0.35,0.35,0.31,0.29,0.27,0.28,0.23,0.23,0.04,100.01
07/20/2021,9.22,7.43,6.81,6.25,6.42,5.69,4.98,4.69,4.02,4.21,3.89,3.83,3.89,3.67,3.15,3.12,2.41,1.8,1.74,1.7,1.64,1.23,1.07,1.02,0.66,0.7,0.65,0.48,0.45,0.41,0.43,0.35,0.35,0.31,0.29,0.27,0.28,0.23,0.23,0.04,100.01
07/21/2021,8.84,7.41,6.68,6.34,6.44,5.62,5.01,4.76,4.08,4.17,4.07,3.82,3.85,3.93,3.11,3.15,2.4,1.81,1.77,1.69,1.68,1.23,1.03,1.01,0.66,0.71,0.63,0.48,0.45,0.4,0.42,0.36,0.35,0.31,0.28,0.27,0.28,0.23,0.23,0.04,100.0
07/22/2021,9.17,7.57,6.71,6.25,6.38,5.57,5.05,4.73,4.05,4.16,4.0,3.9,3.78,3.8,3.08,3.15,2.44,1.81,1.73,1.68,1.7,1.23,1.0,1.01,0.65,0.7,0.59,0.47,0.48,0.42,0.4,0.35,0.34,0.31,0.28,0.27,0.28,0.23,0.23,0.04,99.99
07/23/2021,9.11,7.78,6.78,6.35,6.39,5.43,5.11,4.65,4.09,4.31,3.96,3.82,3.71,3.79,2.99,3.1,2.46,1.75,1.79,1.65,1.76,1.19,1.02,1.0,0.65,0.69,0.59,0.48,0.47,0.43,0.4,0.35,0.34,0.31,0.28,0.26,0.27,0.22,0.22,0.04,99.99000000000001
