,NBK.,KFH.,AUB.,AGLTY.,ZAIN.,MABANEE.,GBK.,HUMANSFT.,NIND.,WARBABAN.,NRE.,BURG.,KIB.,BPCC.,ALIMTIAZ.,KPROJ.,CABLE.,AAYAN.,KRE.,BOURSA.,ALQURAIN.,MEZZAN.,AZNOULA.,SHIP.,INTEGRAT.,ALAFCO.,NINV.,NOOR.,ABK.,JAZEERA.,CGC.,KWD,ALMUTAHED,BOUBYAN.,USD,XTSLA,AUB,BURG,ALIMTIAZ,KPROJ,AAYAN,KRE,CABLE,SHIP,ALAFCO,NOOR,NINV,ABK,CGC,SUM
07/09/2021,22.72,17.44,5.61,4.35,4.29,3.69,3.35,3.07,2.83,2.42,2.38,2.26,1.97,1.88,1.73,1.72,1.56,1.53,1.53,1.48,1.36,1.25,1.21,1.18,1.17,1.14,1.05,1.04,0.89,0.88,0.51,0.27,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/12/2021,22.65,17.38,5.57,4.42,4.25,3.69,3.42,3.06,2.84,2.42,2.47,2.26,1.96,1.86,1.71,1.72,1.55,1.53,1.51,1.5,1.35,1.25,1.21,1.19,1.16,1.14,1.04,1.06,0.88,0.92,0.51,0.27,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/13/2021,22.65,17.38,5.57,4.42,4.25,3.69,3.42,3.06,2.84,2.42,2.47,2.26,1.96,1.86,1.71,1.72,1.55,1.53,1.51,1.5,1.35,1.25,1.21,1.19,1.16,1.14,1.04,1.06,0.88,0.92,0.51,0.27,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/16/2021,22.86,17.33,5.54,4.43,4.28,3.64,3.4,2.77,2.86,2.4,2.53,2.26,1.97,1.85,1.73,1.74,1.52,1.6,1.53,1.57,1.36,1.23,1.22,1.17,1.16,1.15,1.05,1.03,0.89,0.97,0.5,0.15,0.15,0.15,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11
07/19/2021,22.63,17.45,5.64,4.4,4.24,3.63,3.42,2.8,2.85,2.38,2.57,2.25,1.97,1.84,1.79,1.7,1.52,1.59,1.53,1.58,1.34,1.22,1.21,1.17,1.18,1.14,1.05,1.06,0.88,0.96,0.54,0.15,0.15,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/20/2021,22.63,17.45,5.64,4.4,4.24,3.63,3.42,2.8,2.85,2.38,2.57,2.25,1.97,1.84,1.79,1.7,1.52,1.59,1.53,1.58,1.34,1.22,1.21,1.17,1.18,1.14,1.05,1.06,0.88,0.96,0.54,0.15,0.15,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/22/2021,22.64,17.45,5.64,4.4,4.24,3.63,3.42,2.8,2.85,2.38,2.57,2.25,1.97,1.84,1.79,1.7,1.52,1.59,1.53,1.58,1.34,1.22,1.21,1.17,1.18,1.14,1.05,1.06,0.88,0.96,0.54,0.15,0.15,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05000000000004
07/23/2021,22.64,17.45,5.64,4.4,4.24,3.63,3.42,2.8,2.85,2.38,2.57,2.25,1.97,1.84,1.79,1.7,1.52,1.59,1.53,1.58,1.34,1.22,1.21,1.17,1.18,1.14,1.05,1.06,0.88,0.96,0.54,0.15,0.15,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05000000000004
07/27/2021,22.64,17.45,0.0,4.4,4.24,3.63,3.42,2.8,2.85,2.39,2.57,0.0,1.97,1.84,0.0,0.0,0.0,0.0,0.0,1.58,1.34,1.22,1.21,0.0,1.18,0.0,0.0,0.0,0.0,0.96,0.0,0.15,0.15,0.15,0.0,0.06,5.64,2.25,1.79,1.7,1.59,1.53,1.53,1.17,1.14,1.06,1.05,0.88,0.54,100.07000000000002
07/29/2021,23.02,17.29,5.68,4.34,4.19,3.58,3.44,2.75,2.86,2.4,2.56,2.24,1.93,1.82,1.78,1.68,1.51,1.7,1.52,1.58,1.29,1.21,1.19,1.14,1.16,1.12,1.06,1.04,0.9,0.99,0.53,0.2,0.14,0.16,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/30/2021,23.02,17.33,5.64,4.37,4.2,3.62,3.42,2.74,2.86,2.38,2.58,2.23,1.92,1.82,1.78,1.67,1.51,1.66,1.54,1.57,1.3,1.2,1.19,1.14,1.16,1.12,1.06,1.03,0.9,0.96,0.54,0.2,0.14,0.16,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
