,PFFD,HYLB,SRLN,EMLC,SDIV,AGG,CASH,Global X SuperDividend™ ETF,Cash,SUM
07/09/2021,20.34,20.26,20.08,19.54,14.6,5.06,0.12,0.0,0.0,100.0
07/12/2021,20.37,20.29,20.09,19.55,14.4,5.09,0.21,0.0,0.0,100.0
07/13/2021,20.37,20.29,20.09,19.55,14.4,5.09,0.21,0.0,0.0,100.0
07/14/2021,20.33,20.24,20.04,19.59,14.54,5.06,0.2,0.0,0.0,100.0
07/15/2021,20.34,20.23,20.05,19.55,14.57,5.05,0.2,0.0,0.0,99.99
07/16/2021,20.35,20.28,20.12,19.51,14.48,5.06,0.2,0.0,0.0,100.0
07/19/2021,20.32,20.26,20.07,19.61,14.46,5.09,0.2,0.0,0.0,100.01
07/20/2021,20.32,20.26,20.07,19.61,14.46,5.09,0.2,0.0,0.0,100.01
07/21/2021,20.3,20.25,20.07,19.66,14.43,5.09,0.2,0.0,0.0,100.0
07/22/2021,20.35,20.26,20.17,19.66,14.21,5.15,0.2,0.0,0.0,100.0
07/23/2021,20.37,20.3,20.13,19.63,14.25,5.13,0.19,0.0,0.0,100.0
07/26/2021,20.28,20.32,20.09,19.64,14.36,5.12,0.19,0.0,0.0,100.0
07/27/2021,20.28,20.32,20.09,19.64,14.36,5.12,0.19,0.0,0.0,100.0
07/28/2021,20.34,20.36,20.09,19.59,0.0,5.11,0.0,14.3,0.21,100.0
07/29/2021,20.34,20.35,20.1,19.62,14.28,5.11,0.19,0.0,0.0,99.99
07/30/2021,20.36,20.38,20.13,19.68,14.13,5.14,0.19,0.0,0.0,100.00999999999998
08/02/2021,20.38,20.35,20.04,19.81,14.13,5.11,0.18,0.0,0.0,100.0
08/03/2021,20.38,20.35,20.04,19.81,14.13,5.11,0.18,0.0,0.0,100.0
08/04/2021,20.5,20.37,20.07,19.75,13.99,5.13,0.18,0.0,0.0,99.99
08/05/2021,20.49,20.23,19.97,19.68,14.08,5.13,0.42,0.0,0.0,100.0
