,DDOG,MDB,DT,SPLK,SNOW,NICE,ESTC,MSTR,TYL,TDC,NTNX,PLTR,ZBRA,FIVN,AYX,NEWR,ZEN,LPSN,CVLT,TWOU,DOMO,IDCC,NTCT,SUMO,MWTR,APX,MSP,6287.T,LVC,n/a,6287,SUM
10/15/2021,6.79,6.09,5.94,5.69,5.41,5.21,5.15,5.05,5.0,4.75,4.38,4.14,4.04,3.81,3.69,3.64,3.51,3.28,2.91,2.11,2.06,1.82,1.7,0.84,0.65,0.64,0.52,0.51,0.47,0.2,0.0,100.0
10/18/2021,6.94,6.2,6.03,5.85,5.48,5.13,5.3,4.73,4.96,4.73,4.26,4.05,3.96,4.0,3.74,3.56,3.76,3.17,2.82,2.06,2.09,1.75,1.65,0.85,0.62,0.65,0.5,0.0,0.46,0.19,0.49,99.98
10/19/2021,7.0,6.25,5.93,5.88,5.52,5.16,5.26,4.9,5.01,4.73,4.2,4.0,4.0,3.96,3.69,3.49,3.76,3.15,2.82,2.04,2.05,1.74,1.67,0.85,0.61,0.67,0.5,0.0,0.45,0.18,0.5,99.97
10/20/2021,7.0,6.25,5.93,5.88,5.52,5.16,5.26,4.9,5.01,4.73,4.2,4.0,4.0,3.96,3.69,3.49,3.76,3.15,2.82,2.04,2.05,1.74,1.67,0.85,0.61,0.67,0.5,0.0,0.45,0.18,0.5,99.97
10/21/2021,7.1,6.37,5.98,5.82,5.56,5.1,5.18,4.81,5.0,4.73,4.22,4.03,4.07,4.04,3.67,3.39,3.75,3.12,2.82,2.05,2.12,1.72,1.63,0.85,0.58,0.68,0.5,0.0,0.45,0.18,0.49,100.01
10/22/2021,7.1,6.37,5.98,5.82,5.56,5.1,5.18,4.81,5.0,4.73,4.22,4.03,4.07,4.04,3.67,3.39,3.75,3.12,2.82,2.05,2.12,1.72,1.63,0.85,0.58,0.68,0.5,0.0,0.45,0.18,0.49,100.01
10/25/2021,7.12,6.34,5.96,5.9,5.47,5.07,5.11,4.91,5.04,4.65,4.29,4.0,4.05,4.04,3.66,3.43,3.83,3.03,2.82,1.99,2.15,1.71,1.63,0.84,0.61,0.73,0.51,0.0,0.45,0.18,0.49,100.01000000000002
10/26/2021,7.24,6.31,6.1,5.87,5.53,5.14,5.09,4.62,5.16,4.76,4.23,4.01,4.03,4.08,3.49,3.55,4.01,2.87,2.8,1.88,2.11,1.71,1.58,0.83,0.61,0.76,0.52,0.0,0.44,0.17,0.5,100.0
10/27/2021,7.24,6.31,6.1,5.87,5.53,5.14,5.09,4.62,5.16,4.76,4.23,4.01,4.03,4.08,3.49,3.55,4.01,2.87,2.8,1.88,2.11,1.71,1.58,0.83,0.61,0.76,0.52,0.0,0.44,0.17,0.5,100.0
10/28/2021,7.17,6.45,5.99,5.87,5.52,5.15,5.18,4.77,5.18,4.74,4.14,4.15,4.04,4.04,3.52,3.52,3.9,2.86,2.77,1.85,2.11,1.7,1.57,0.84,0.58,0.75,0.51,0.0,0.45,0.17,0.49,99.98
10/29/2021,7.38,6.33,6.07,5.93,5.62,5.16,5.23,4.77,5.23,4.7,4.09,4.23,4.05,4.11,3.49,3.6,3.74,2.9,2.27,1.86,2.09,1.68,1.58,0.85,0.6,0.78,0.53,0.0,0.46,0.17,0.5,100.0
11/01/2021,7.33,6.43,5.86,5.89,5.78,5.22,5.28,4.71,5.36,4.64,4.13,4.29,4.15,4.09,3.42,3.65,3.61,2.84,2.29,1.8,2.06,1.72,1.61,0.86,0.58,0.76,0.52,0.0,0.46,0.17,0.5,100.01
11/02/2021,7.55,6.61,5.89,5.86,5.84,5.24,5.3,4.66,5.39,4.64,4.1,4.31,4.13,4.05,3.57,3.76,3.06,2.75,2.29,1.78,2.06,1.7,1.61,0.85,0.59,0.76,0.53,0.0,0.44,0.16,0.49,99.97
11/03/2021,7.55,6.61,5.89,5.86,5.84,5.24,5.3,4.66,5.39,4.64,4.1,4.31,4.13,4.05,3.57,3.76,3.06,2.75,2.29,1.78,2.06,1.7,1.61,0.85,0.59,0.76,0.53,0.0,0.44,0.16,0.49,99.97
11/04/2021,7.43,6.28,5.77,5.87,5.87,5.26,5.28,4.77,5.34,4.6,4.17,4.39,4.18,4.08,3.66,3.8,3.02,2.77,2.33,1.87,2.06,1.74,1.68,0.85,0.58,0.78,0.52,0.0,0.44,0.16,0.5,100.04999999999998
11/05/2021,7.43,6.28,5.77,5.87,5.87,5.26,5.28,4.77,5.34,4.6,4.17,4.39,4.18,4.08,3.66,3.8,3.02,2.77,2.33,1.87,2.06,1.74,1.68,0.85,0.58,0.78,0.52,0.0,0.44,0.16,0.5,100.04999999999998
11/08/2021,7.34,6.59,5.92,5.76,5.72,5.14,5.09,5.08,5.21,4.54,4.16,4.28,4.5,3.82,3.81,3.87,3.01,2.6,2.39,1.64,2.04,1.77,1.92,0.83,0.55,0.79,0.51,0.0,0.44,0.15,0.49,99.96
11/09/2021,8.17,6.86,5.84,5.76,5.86,4.99,5.0,5.07,5.16,3.91,4.15,4.21,4.58,3.7,3.78,3.94,2.96,2.54,2.47,1.61,1.98,1.78,1.97,0.82,0.55,0.77,0.51,0.0,0.45,0.15,0.49,100.03
11/10/2021,8.17,6.86,5.84,5.76,5.86,4.99,5.0,5.07,5.16,3.91,4.15,4.21,4.58,3.7,3.78,3.94,2.96,2.54,2.47,1.61,1.98,1.78,1.97,0.82,0.55,0.77,0.51,0.0,0.45,0.15,0.49,100.03
11/11/2021,8.32,6.96,5.75,5.77,5.88,4.92,5.04,5.39,5.17,3.98,4.1,4.28,4.44,3.58,3.67,4.05,2.92,2.55,2.41,1.54,1.97,1.73,1.92,0.81,0.57,0.74,0.5,0.0,0.43,0.14,0.48,100.01
11/12/2021,8.31,6.83,5.58,5.76,5.81,4.98,5.24,5.24,5.03,3.86,3.99,3.77,4.31,3.98,3.65,5.46,2.82,2.52,2.36,1.51,1.94,1.68,1.81,0.81,0.54,0.7,0.49,0.0,0.42,0.14,0.47,100.01
11/15/2021,8.27,6.68,5.54,5.6,5.85,5.49,5.13,5.13,5.19,3.86,4.0,3.68,4.35,3.96,3.39,5.49,2.9,2.45,2.4,1.49,1.92,1.78,1.88,0.81,0.52,0.7,0.54,0.0,0.42,0.14,0.43,99.99
11/16/2021,8.28,6.82,5.53,5.67,6.05,5.48,5.3,5.03,5.18,3.79,3.95,3.61,4.35,3.91,3.32,5.35,2.97,2.44,2.37,1.53,1.96,1.74,1.83,0.8,0.52,0.71,0.52,0.0,0.43,0.13,0.44,100.00999999999998
11/17/2021,8.28,6.82,5.53,5.67,6.05,5.48,5.3,5.03,5.18,3.79,3.95,3.61,4.35,3.91,3.32,5.35,2.97,2.44,2.37,1.53,1.96,1.74,1.83,0.8,0.52,0.71,0.52,0.0,0.43,0.13,0.44,100.00999999999998
11/18/2021,8.32,6.86,5.34,4.71,6.25,5.62,5.37,4.99,5.27,3.88,4.0,3.75,4.41,3.99,3.34,5.41,3.0,2.46,2.38,1.54,1.91,1.77,1.85,0.77,0.53,0.74,0.53,0.0,0.42,0.13,0.44,99.98
11/19/2021,8.37,7.09,5.29,4.81,6.35,5.53,5.46,4.71,5.24,3.72,4.01,3.68,4.49,4.09,3.44,5.39,3.0,2.41,2.34,1.52,1.97,1.78,1.84,0.76,0.52,0.72,0.53,0.0,0.42,0.07,0.43,99.98
11/22/2021,8.36,7.01,5.21,4.82,6.39,5.53,5.41,4.78,5.22,3.81,4.08,3.64,4.57,4.12,3.38,5.4,3.02,2.34,2.32,1.5,2.0,1.82,1.84,0.75,0.44,0.76,0.53,0.0,0.45,0.07,0.42,99.99
