,1299.HK,CBA.AX,BHP.AX,CSL.AX,388.HK,WBC.AX,NAB.AX,ANZ.AX,WES.AX,D05.SI,MQG.AX,O39.SI,WOW.AX,RIO.AX,U11.SI,TCL.AX,669.HK,FMG.AX,GMG.AX,16.HK,1.HK,823.HK,APT.AX,ALL.AX,CASH OR CASH COLLATERAL,3.HK,WPL.AX,J36.SI,27.HK,COL.AX,2.HK,NCM.AX,JHX.AX,11.HK,1113.HK,SHL.AX,FPH.NZ,BXB.AX,ST,QBE.AX,COH.AX,TLS.AX,ASX.AX,SCG.AX,SUN.AX,S32.AX,1997.HK,STO.AX,1928.HK,F34.SI,IAG.AX,DXS.AX,RHC.AX,66.HK,MGR.AX,NST.AX,SEK.AX,708.HK,6.HK,288.HK,TAH.AX,SGP.AX,APA.AX,BSL.AX,SYD.AX,17.HK,C38U.SI,A17U.SI,CPU.AX,C31.SI,GPT.AX,S68.SI,MPL.AX,12.HK,TWE.AX,REA.AX,AIA.NZ,SPK.NZ,ORG.AX,EVN.AX,LLC.AX,MFG.AX,BN4.SI,BLD.AX,DMP.AX,1876.HK,AZJ.AX,ALD.AX,83.HK,C6L.SI,6823.HK,1929.HK,REH.AX,VCX.AX,MEL.NZ,101.HK,CEN.NZ,S63.SI,FBU.NZ,522.HK,BEN.AX,ORI.AX,AGL.AX,V03.SI,RYM.NZ,ATM.NZ,1038.HK,WTC.AX,IPL.AX,G13.SI,N2IU.SI,QAN.AX,19.HK,1821.HK,SOL.AX,1972.HK,CWN.AX,MCY.NZ,AMP.AX,AWC.AX,23.HK,HVN.AX,WOR.AX,1691.HK,U14.SI,C52.SI,C09.SI,AST.AX,T82U.SI,CGF.AX,SVW.AX,880.HK,1128.HK,2638.HK,S58.SI,K71U.SI,TPG.AX,RW0U.SI,C07.SI,U96.SI,D01.SI,2282.HK,G07.SI,CIM.AX,87,293.HK,O32.SI,TQ5.SI,QZN1,OLAMR4,XPU1 COMB Index,Z74.SI,FPL,SUM
07/09/2021,7.37,6.48,5.26,4.68,3.51,3.45,3.18,2.95,2.43,2.02,1.96,1.79,1.75,1.71,1.48,1.47,1.45,1.43,1.3,1.11,1.02,1.01,1.01,0.99,0.89,0.86,0.85,0.82,0.82,0.82,0.8,0.77,0.72,0.72,0.68,0.66,0.61,0.61,0.58,0.57,0.57,0.57,0.54,0.54,0.53,0.51,0.5,0.5,0.49,0.48,0.45,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.4,0.4,0.4,0.39,0.38,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.01,0.0,-0.01,0.0,0.0,100.0
07/12/2021,7.31,6.48,5.51,4.63,3.73,3.45,3.2,2.94,2.43,1.93,1.94,1.75,1.78,1.73,1.44,1.46,1.44,1.48,1.33,1.1,0.99,0.98,1.04,0.99,0.89,0.87,0.84,0.82,0.81,0.83,0.79,0.78,0.73,0.7,0.66,0.67,0.59,0.61,0.57,0.58,0.59,0.58,0.54,0.52,0.54,0.52,0.48,0.5,0.48,0.47,0.45,0.41,0.43,0.43,0.43,0.44,0.42,0.43,0.41,0.4,0.4,0.4,0.4,0.4,0.38,0.34,0.35,0.36,0.34,0.34,0.35,0.33,0.33,0.31,0.32,0.31,0.31,0.31,0.3,0.29,0.3,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.21,0.22,0.21,0.2,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.1,0.08,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,7.31,6.48,5.51,4.63,3.73,3.45,3.2,2.94,2.43,1.93,1.94,1.75,1.78,1.73,1.44,1.46,1.44,1.48,1.33,1.1,0.99,0.98,1.04,0.99,0.89,0.87,0.84,0.82,0.81,0.83,0.79,0.78,0.73,0.7,0.66,0.67,0.59,0.61,0.57,0.58,0.59,0.58,0.54,0.52,0.54,0.52,0.48,0.5,0.48,0.47,0.45,0.41,0.43,0.43,0.43,0.44,0.42,0.43,0.41,0.4,0.4,0.4,0.4,0.4,0.38,0.34,0.35,0.36,0.34,0.34,0.35,0.33,0.33,0.31,0.32,0.31,0.31,0.31,0.3,0.29,0.3,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.21,0.22,0.21,0.2,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.1,0.08,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,7.31,6.48,5.51,4.63,3.73,3.45,3.2,2.94,2.43,1.93,1.94,1.75,1.78,1.73,1.44,1.46,1.44,1.48,1.33,1.1,0.99,0.98,1.04,0.99,0.89,0.87,0.84,0.82,0.81,0.83,0.79,0.78,0.73,0.7,0.66,0.67,0.59,0.61,0.57,0.58,0.59,0.58,0.54,0.52,0.54,0.52,0.48,0.5,0.48,0.47,0.45,0.41,0.43,0.43,0.43,0.44,0.42,0.43,0.41,0.4,0.4,0.4,0.4,0.4,0.38,0.34,0.35,0.36,0.34,0.34,0.35,0.33,0.33,0.31,0.32,0.31,0.31,0.31,0.3,0.29,0.3,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.21,0.22,0.21,0.2,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.1,0.08,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,7.22,6.47,5.52,4.66,3.8,3.45,3.18,2.93,2.43,1.95,1.94,1.76,1.77,1.74,1.46,1.45,1.48,1.51,1.35,1.12,0.99,0.99,1.04,0.98,0.89,0.87,0.83,0.82,0.8,0.81,0.79,0.77,0.73,0.7,0.67,0.67,0.6,0.6,0.0,0.58,0.58,0.57,0.53,0.52,0.54,0.52,0.49,0.49,0.47,0.47,0.44,0.4,0.43,0.43,0.43,0.44,0.42,0.41,0.41,0.39,0.39,0.4,0.39,0.4,0.38,0.33,0.35,0.36,0.34,0.34,0.35,0.34,0.33,0.31,0.32,0.3,0.31,0.31,0.29,0.29,0.3,0.27,0.27,0.28,0.27,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.22,0.2,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.0,0.0,0.0,0.57,0.0,99.95
07/16/2021,7.4,6.39,5.5,4.66,3.81,3.41,3.17,2.9,2.43,1.96,1.93,1.77,1.78,1.74,1.46,1.47,1.47,1.53,1.33,1.13,1.0,0.99,1.02,0.97,0.88,0.87,0.81,0.81,0.8,0.82,0.79,0.77,0.73,0.71,0.67,0.68,0.6,0.6,0.0,0.58,0.58,0.57,0.53,0.51,0.53,0.51,0.49,0.48,0.48,0.47,0.44,0.4,0.43,0.44,0.42,0.43,0.43,0.38,0.42,0.39,0.39,0.4,0.39,0.4,0.38,0.33,0.35,0.36,0.34,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.31,0.29,0.29,0.3,0.28,0.27,0.28,0.27,0.26,0.26,0.26,0.26,0.23,0.24,0.24,0.24,0.22,0.23,0.22,0.22,0.22,0.2,0.21,0.21,0.2,0.18,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.1,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.0,0.01,0.0,0.0,0.57,0.03,99.94
07/20/2021,7.41,6.37,5.46,4.64,3.96,3.33,3.13,2.85,2.46,1.95,1.94,1.77,1.78,1.77,1.46,1.46,1.47,1.56,1.35,1.15,1.01,1.0,0.89,0.99,0.9,0.88,0.8,0.82,0.79,0.83,0.8,0.8,0.74,0.71,0.67,0.69,0.61,0.6,0.0,0.58,0.58,0.58,0.54,0.5,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.41,0.43,0.44,0.41,0.45,0.41,0.31,0.43,0.4,0.4,0.38,0.42,0.42,0.38,0.34,0.35,0.37,0.34,0.35,0.33,0.34,0.33,0.32,0.32,0.3,0.32,0.31,0.29,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.27,0.25,0.26,0.23,0.25,0.22,0.24,0.21,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.1,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.57,0.03,100.08
07/21/2021,7.41,6.37,5.46,4.64,3.96,3.33,3.13,2.85,2.46,1.95,1.94,1.77,1.78,1.77,1.46,1.46,1.47,1.56,1.35,1.15,1.01,1.0,0.89,0.99,0.9,0.88,0.8,0.82,0.79,0.83,0.8,0.8,0.74,0.71,0.67,0.69,0.61,0.6,0.0,0.58,0.58,0.58,0.54,0.5,0.54,0.51,0.5,0.48,0.47,0.47,0.45,0.41,0.43,0.44,0.41,0.45,0.41,0.31,0.43,0.4,0.4,0.38,0.42,0.42,0.38,0.34,0.35,0.37,0.34,0.35,0.33,0.34,0.33,0.32,0.32,0.3,0.32,0.31,0.29,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.27,0.25,0.26,0.23,0.25,0.22,0.24,0.21,0.23,0.22,0.23,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.1,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.57,0.03,100.08
07/22/2021,7.27,6.39,5.4,4.75,4.02,3.32,3.11,2.85,2.49,1.95,1.93,1.76,1.79,1.74,1.46,1.44,1.48,1.55,1.36,1.15,1.01,1.01,0.91,0.98,0.92,0.9,0.79,0.81,0.79,0.85,0.82,0.79,0.74,0.71,0.68,0.7,0.62,0.61,0.0,0.57,0.58,0.58,0.55,0.49,0.54,0.5,0.5,0.47,0.47,0.47,0.44,0.41,0.43,0.45,0.41,0.44,0.4,0.25,0.44,0.39,0.4,0.38,0.42,0.42,0.39,0.34,0.35,0.37,0.33,0.36,0.33,0.35,0.33,0.32,0.32,0.29,0.32,0.31,0.29,0.27,0.29,0.28,0.27,0.28,0.28,0.27,0.26,0.25,0.27,0.23,0.25,0.23,0.24,0.21,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.18,0.15,0.16,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.1,0.11,0.12,0.1,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.0,0.0,0.0,-0.01,0.57,0.03,99.99
07/26/2021,7.4,6.47,5.54,4.82,4.11,3.32,3.13,2.91,2.55,1.97,1.96,1.78,1.82,1.73,1.46,1.43,1.51,1.54,1.36,1.13,1.0,1.01,0.92,0.97,0.23,0.9,0.79,0.81,0.8,0.85,0.81,0.79,0.76,0.7,0.67,0.69,0.63,0.61,0.0,0.58,0.59,0.58,0.55,0.49,0.54,0.5,0.5,0.46,0.47,0.47,0.44,0.41,0.44,0.46,0.41,0.46,0.39,0.25,0.43,0.38,0.4,0.38,0.42,0.42,0.38,0.34,0.35,0.37,0.34,0.37,0.33,0.36,0.33,0.31,0.31,0.3,0.31,0.31,0.29,0.26,0.3,0.28,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.25,0.23,0.24,0.21,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.19,0.18,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.18,0.15,0.16,0.13,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.1,0.1,0.12,0.1,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.06,0.05,0.04,0.04,0.03,0.0,0.0,0.0,0.57,0.0,100.04
