,RELIANCE.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HDFC.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,AXISBANK.NS,XTSLA,LT.NS,ITC.NS,SBIN.NS,BAJFINANCE.NS,ASIANPAINT.NS,BHARTIARTL.NS,HCLTECH.NS,MARUTI.NS,TATASTEEL.NS,ULTRACEMCO.NS,WIPRO.NS,M&M.NS,TITAN.NS,BJFIN.NS,SUNPHARMA.NS,DRREDDY.NS,JSWSTEEL.NS,TECHM.NS,NESTLEIND.NS,INDUSINDBK.NS,POWERGRID.NS,DIVISLAB.NS,GRASIM.NS,TATAMOTORS.NS,HDFCLIFE.NS,HINDALCO.NS,NTPC.NS,BAJAJ-AUTO.NS,ADANIPORTS.NS,CIPLA.NS,TATACONSUM.NS,SBILIFE.NS,ONGC.NS,UPL.NS,BPCL.NS,BRITANNIA.NS,HEROMOTOCO.NS,EICHERMOT.NS,SHREECEM.NS,COALINDIA.NS,IOC.NS,INR,YESBANK.NS,WFFUT,BRITIN,IHN1,IHQ1,USD,-,SUM
07/09/2021,9.99,9.74,8.43,6.55,6.54,4.92,3.75,3.21,2.84,2.73,2.65,2.57,2.4,2.39,1.97,1.81,1.54,1.45,1.33,1.16,1.15,1.09,1.07,1.07,1.06,0.98,0.95,0.95,0.91,0.9,0.85,0.84,0.83,0.83,0.82,0.82,0.81,0.79,0.76,0.72,0.66,0.65,0.64,0.64,0.62,0.61,0.55,0.55,0.54,0.45,0.4,0.17,0.05,0.01,0.01,0.0,0.0,0.0,0.0,102.72
07/12/2021,9.9,9.71,8.47,6.5,6.63,4.94,3.72,3.2,2.84,2.76,2.65,2.58,2.39,2.37,2.0,1.82,1.55,1.44,1.36,1.17,1.15,1.09,1.05,1.09,1.05,0.97,0.95,0.96,0.92,0.92,0.87,0.84,0.82,0.8,0.83,0.82,0.82,0.78,0.76,0.71,0.67,0.66,0.62,0.65,0.62,0.6,0.55,0.56,0.54,0.45,0.4,0.17,0.05,0.01,0.01,0.0,0.0,0.0,0.0,102.76
07/13/2021,9.9,9.71,8.47,6.5,6.63,4.94,3.72,3.2,2.84,2.76,2.65,2.58,2.39,2.37,2.0,1.82,1.55,1.44,1.36,1.17,1.15,1.09,1.05,1.09,1.05,0.97,0.95,0.96,0.92,0.92,0.87,0.84,0.82,0.8,0.83,0.82,0.82,0.78,0.76,0.71,0.67,0.66,0.62,0.65,0.62,0.6,0.55,0.56,0.54,0.45,0.4,0.17,0.05,0.01,0.01,0.0,0.0,0.0,0.0,102.76
07/14/2021,9.82,9.61,8.5,6.48,6.6,4.88,3.7,3.21,2.82,2.79,2.66,2.58,2.39,2.39,1.99,1.86,1.56,1.45,1.42,1.17,1.14,1.08,1.05,1.14,1.06,0.97,0.97,0.96,0.92,0.92,0.87,0.86,0.84,0.8,0.83,0.83,0.82,0.76,0.78,0.72,0.67,0.66,0.63,0.66,0.62,0.6,0.55,0.56,0.54,0.45,0.4,0.17,0.05,0.01,0.01,0.0,0.0,0.0,0.0,102.78000000000002
07/15/2021,9.82,9.61,8.5,6.48,6.6,4.88,3.7,3.21,2.82,2.79,2.66,2.58,2.39,2.39,1.99,1.86,1.56,1.45,1.42,1.17,1.14,1.08,1.05,1.14,1.06,0.97,0.97,0.96,0.92,0.92,0.87,0.86,0.84,0.8,0.83,0.83,0.82,0.76,0.78,0.72,0.67,0.66,0.63,0.66,0.62,0.6,0.55,0.56,0.54,0.45,0.4,0.17,0.05,0.01,0.01,0.0,0.0,0.0,0.0,102.78000000000002
07/16/2021,9.88,9.54,8.34,6.7,6.68,4.81,3.73,3.17,2.88,2.69,2.66,2.57,2.4,2.38,1.97,1.82,1.53,1.44,1.4,1.2,1.13,1.09,1.05,1.14,1.07,0.96,0.99,0.95,0.92,0.93,0.85,0.85,0.88,0.81,0.84,0.83,0.83,0.75,0.75,0.71,0.67,0.67,0.64,0.66,0.61,0.6,0.55,0.55,0.55,0.45,0.4,0.17,0.05,0.0,0.01,0.0,0.0,0.0,0.0,102.7
07/29/2021,9.77,9.11,8.66,6.82,6.46,4.82,3.72,3.05,2.83,2.75,2.81,2.69,2.37,2.38,2.01,1.87,1.58,1.4,1.48,1.28,1.27,1.05,1.04,1.19,1.1,0.96,0.99,1.01,0.94,0.86,0.87,0.91,0.86,0.76,0.8,0.85,0.83,0.73,0.73,0.7,0.68,0.69,0.61,0.65,0.62,0.6,0.53,0.52,0.54,0.44,0.39,0.22,0.05,0.01,0.01,0.0,0.0,0.0,0.0,102.87
07/30/2021,9.72,9.19,8.7,6.86,6.42,4.83,3.65,3.06,2.75,2.77,2.84,2.67,2.42,2.42,2.0,1.87,1.58,1.41,1.52,1.28,1.28,1.04,1.05,1.22,1.09,0.86,1.01,1.02,0.95,0.86,0.87,0.89,0.85,0.76,0.81,0.89,0.83,0.73,0.71,0.68,0.67,0.71,0.61,0.65,0.62,0.6,0.53,0.53,0.55,0.43,0.39,0.23,0.05,0.01,0.01,0.0,0.0,0.0,0.0,102.95
08/02/2021,9.68,9.02,8.75,6.94,6.35,4.83,3.51,3.04,2.69,2.8,2.81,2.63,2.47,2.48,1.97,1.95,1.6,1.36,1.66,1.3,1.28,1.02,1.06,1.29,1.11,0.83,1.06,1.02,0.93,0.87,0.63,0.9,0.86,0.77,0.8,0.97,0.81,0.71,0.7,0.65,0.66,0.72,0.61,0.66,0.61,0.59,0.52,0.51,0.54,0.43,0.39,0.22,0.05,0.0,0.01,0.0,0.0,0.0,0.21,102.84
08/03/2021,9.61,9.09,8.72,6.9,6.43,4.8,3.55,3.04,2.66,2.82,2.83,2.62,2.42,2.41,1.95,1.94,1.63,1.35,1.64,1.28,1.27,1.04,1.04,1.26,1.22,0.84,1.04,1.09,0.92,0.86,0.64,0.91,0.87,0.77,0.8,0.95,0.82,0.73,0.72,0.68,0.66,0.7,0.61,0.65,0.61,0.59,0.52,0.52,0.55,0.44,0.38,0.19,0.05,0.0,0.01,0.0,0.0,0.0,0.21,102.85
