,DOX,PFE,KR,VZ,AGNC,NLOK,MMC,RSG,GRMN,WM,AJG,TYL,MCD,WMT,LMT,JNJ,PINC,CHRW,FLO,JKHY,FIS,QGEN,HE,CHTR,KO,T,CTXS,RGLD,HBAN,MRK,DGX,COP,PEP,BKR,NUE,DKS,CC,STLD,SLG,CNC,WMB,XOM,PAYX,KMI,OKE,RTX,PRGO,JNPR,IP,HRB,VLO,CERN,CVS,IPG,VIAC,BK,BIO,QRTEA,ORI,ABBV,STWD,CSCO,STX,PRU,STT,NVT,OZK,UHS,EMN,JEF,LUMN,MAN,WFC,IBM,GD,CVX,ADM,DISH,KNX,CFG,KEY,CMA,FITB,AFL,HII,IVZ,INGR,C,PFG,MO,PACW,NYCB,NXST,SJM,ZION,UNM,VLY,LNC,KHC,MET,TFC,PBCT,FOXA,FHN,RF,DOW,BXMT,UBSI,MTG,BG,CI,DUK,SNV,LYB,WHR,CAH,CTVA,INTC,MOS,TSN,RDN,HPE,WBA,AL,RGA,NEM,CASH,ZM,SUI,FTDR,NLY,TMUS,DHR,NEE,ATR,COST,PG,LLY,YUM,EXR,CUBE,BKI,ACN,PSA,AZO,MSI,LBRDK,DG,NFG,MORN,WSO,MDT,MDLZ,AEP,CABO,NOC,HSY,LNT,ES,ADP,CHD,BJ,AON,PGR,CHE,CMS,ED,ZNGA,SO,LHX,EA,VTRS,APD,ERIE,BRK.B,ARE,AKAM,SON,FCN,ELS,AEE,ESS,EQR,WRB,SBUX,UHAL,CLX,COR,DLR,HRL,DIS,BMY,OGN,Cash,PNM,DTM WI,CIT,UMPQ,KBH,HFC,HPQ,OMC,NRZ,TGNA,MTB,HUN,CBRL,FL,NWL,ADS,SMG,ORCL,WAT,DPZ,CHNG,BAX,GILD,n/a,DTM,SUM
07/09/2021,2.04,2.01,2.0,1.96,1.96,1.88,1.7,1.61,1.6,1.6,1.56,1.52,1.52,1.51,1.49,1.48,1.41,1.37,1.35,1.26,1.25,1.25,1.23,1.2,1.14,1.14,1.11,1.0,0.9,0.8,0.65,0.6,0.59,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.31,0.3,0.28,0.23,0.21,0.21,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
07/12/2021,2.06,2.03,2.04,1.95,1.93,1.86,1.7,1.63,1.62,1.61,1.55,1.54,1.54,1.52,1.5,1.5,1.41,1.36,1.35,1.29,1.24,1.27,1.22,1.23,1.16,1.11,1.12,0.99,0.89,0.81,0.66,0.59,0.59,0.58,0.6,0.58,0.56,0.58,0.55,0.55,0.56,0.55,0.56,0.54,0.53,0.54,0.54,0.53,0.54,0.53,0.5,0.53,0.52,0.52,0.51,0.51,0.53,0.51,0.51,0.52,0.5,0.51,0.51,0.5,0.5,0.51,0.51,0.51,0.51,0.48,0.51,0.5,0.49,0.51,0.51,0.5,0.5,0.49,0.53,0.49,0.48,0.48,0.49,0.49,0.49,0.48,0.5,0.48,0.48,0.49,0.48,0.48,0.47,0.48,0.46,0.47,0.47,0.46,0.48,0.45,0.47,0.45,0.46,0.46,0.46,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.46,0.46,0.47,0.46,0.45,0.45,0.46,0.46,0.45,0.45,0.43,0.43,0.41,0.31,0.35,0.27,0.23,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,2.06,2.03,2.04,1.95,1.93,1.86,1.7,1.63,1.62,1.61,1.55,1.54,1.54,1.52,1.5,1.5,1.41,1.36,1.35,1.29,1.24,1.27,1.22,1.23,1.16,1.11,1.12,0.99,0.89,0.81,0.66,0.59,0.59,0.58,0.6,0.58,0.56,0.58,0.55,0.55,0.56,0.55,0.56,0.54,0.53,0.54,0.54,0.53,0.54,0.53,0.5,0.53,0.52,0.52,0.51,0.51,0.53,0.51,0.51,0.52,0.5,0.51,0.51,0.5,0.5,0.51,0.51,0.51,0.51,0.48,0.51,0.5,0.49,0.51,0.51,0.5,0.5,0.49,0.53,0.49,0.48,0.48,0.49,0.49,0.49,0.48,0.5,0.48,0.48,0.49,0.48,0.48,0.47,0.48,0.46,0.47,0.47,0.46,0.48,0.45,0.47,0.45,0.46,0.46,0.46,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.46,0.46,0.47,0.46,0.45,0.45,0.46,0.46,0.45,0.45,0.43,0.43,0.41,0.31,0.35,0.27,0.23,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/14/2021,2.06,2.01,2.02,1.93,1.94,1.85,1.69,1.6,1.61,1.59,1.54,1.53,1.53,1.5,1.49,1.48,1.4,1.36,1.34,1.27,1.23,1.25,1.22,1.2,1.14,1.11,1.1,0.99,0.93,0.79,0.67,0.6,0.6,0.59,0.62,0.6,0.58,0.6,0.55,0.56,0.57,0.55,0.57,0.56,0.55,0.54,0.55,0.53,0.54,0.54,0.5,0.52,0.52,0.53,0.51,0.52,0.53,0.52,0.51,0.52,0.51,0.51,0.51,0.5,0.51,0.51,0.53,0.52,0.51,0.48,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.52,0.51,0.49,0.49,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.49,0.5,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.47,0.46,0.48,0.46,0.46,0.47,0.47,0.48,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.45,0.45,0.45,0.47,0.45,0.45,0.45,0.43,0.44,0.42,0.31,0.14,0.26,0.23,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/15/2021,2.04,2.02,2.03,1.94,1.94,1.83,1.68,1.6,1.62,1.59,1.55,1.52,1.53,1.49,1.47,1.48,1.4,1.35,1.34,1.27,1.24,1.21,1.22,1.17,1.14,1.11,1.08,0.98,0.94,0.79,0.67,0.6,0.6,0.6,0.62,0.59,0.59,0.62,0.56,0.57,0.56,0.55,0.57,0.56,0.55,0.54,0.55,0.52,0.54,0.55,0.5,0.52,0.52,0.53,0.52,0.52,0.53,0.52,0.52,0.52,0.51,0.5,0.52,0.51,0.52,0.52,0.53,0.52,0.51,0.49,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.52,0.51,0.5,0.49,0.5,0.49,0.48,0.5,0.48,0.49,0.49,0.49,0.5,0.49,0.47,0.48,0.48,0.49,0.49,0.49,0.47,0.47,0.48,0.46,0.47,0.47,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.47,0.46,0.47,0.46,0.45,0.46,0.47,0.45,0.46,0.44,0.43,0.44,0.43,0.31,0.14,0.26,0.23,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,2.05,2.03,2.03,1.95,1.9,1.84,1.68,1.62,1.63,1.6,1.54,1.54,1.55,1.52,1.49,1.49,1.39,1.37,1.34,1.28,1.26,1.18,1.21,1.17,1.17,1.11,1.08,1.0,0.93,0.8,0.67,0.6,0.62,0.59,0.61,0.6,0.58,0.61,0.55,0.58,0.56,0.55,0.58,0.55,0.54,0.54,0.55,0.53,0.54,0.54,0.5,0.53,0.53,0.52,0.52,0.53,0.53,0.52,0.51,0.52,0.51,0.51,0.52,0.51,0.52,0.51,0.51,0.52,0.51,0.49,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.53,0.51,0.5,0.49,0.5,0.49,0.48,0.5,0.47,0.49,0.48,0.49,0.49,0.48,0.47,0.48,0.47,0.48,0.48,0.49,0.47,0.46,0.48,0.46,0.46,0.46,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.47,0.47,0.47,0.46,0.46,0.45,0.46,0.46,0.45,0.45,0.43,0.43,0.44,0.43,0.31,0.15,0.26,0.23,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/19/2021,2.06,2.05,2.07,1.97,1.87,1.75,1.68,1.64,1.63,1.63,1.55,1.53,1.55,1.52,1.48,1.48,1.42,1.38,1.36,1.31,1.28,1.2,1.25,1.16,1.2,1.11,1.1,1.01,0.93,0.8,0.67,0.58,0.62,0.56,0.61,0.59,0.58,0.61,0.55,0.57,0.55,0.53,0.58,0.54,0.53,0.53,0.55,0.54,0.52,0.54,0.47,0.52,0.53,0.52,0.5,0.51,0.53,0.5,0.51,0.52,0.5,0.51,0.51,0.51,0.51,0.5,0.52,0.52,0.51,0.52,0.51,0.5,0.51,0.5,0.5,0.49,0.5,0.48,0.54,0.5,0.5,0.49,0.5,0.5,0.48,0.48,0.47,0.49,0.48,0.49,0.49,0.49,0.46,0.49,0.48,0.48,0.48,0.48,0.47,0.46,0.49,0.46,0.46,0.46,0.47,0.47,0.47,0.48,0.47,0.45,0.46,0.48,0.47,0.46,0.47,0.46,0.44,0.45,0.45,0.45,0.46,0.44,0.42,0.44,0.43,0.31,0.15,0.25,0.23,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/20/2021,2.06,2.05,2.07,1.97,1.87,1.75,1.68,1.64,1.63,1.63,1.55,1.53,1.55,1.52,1.48,1.48,1.42,1.38,1.36,1.31,1.28,1.2,1.25,1.16,1.2,1.11,1.1,1.01,0.93,0.8,0.67,0.58,0.62,0.56,0.61,0.59,0.58,0.61,0.55,0.57,0.55,0.53,0.58,0.54,0.53,0.53,0.55,0.54,0.52,0.54,0.47,0.52,0.53,0.52,0.5,0.51,0.53,0.5,0.51,0.52,0.5,0.51,0.51,0.51,0.51,0.5,0.52,0.52,0.51,0.52,0.51,0.5,0.51,0.5,0.5,0.49,0.5,0.48,0.54,0.5,0.5,0.49,0.5,0.5,0.48,0.48,0.47,0.49,0.48,0.49,0.49,0.49,0.46,0.49,0.48,0.48,0.48,0.48,0.47,0.46,0.49,0.46,0.46,0.46,0.47,0.47,0.47,0.48,0.47,0.45,0.46,0.48,0.47,0.46,0.47,0.46,0.44,0.45,0.45,0.45,0.46,0.44,0.42,0.44,0.43,0.31,0.15,0.25,0.23,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/21/2021,2.08,2.08,2.12,1.98,1.89,1.77,1.7,1.67,1.65,1.65,1.56,1.53,1.55,1.54,1.49,1.49,1.42,1.39,1.38,1.32,1.29,1.19,1.25,1.18,1.21,1.12,1.12,1.0,0.91,0.81,0.68,0.57,0.63,0.54,0.59,0.57,0.55,0.6,0.54,0.57,0.55,0.52,0.58,0.54,0.52,0.53,0.55,0.54,0.52,0.54,0.46,0.51,0.53,0.51,0.49,0.52,0.54,0.49,0.51,0.53,0.5,0.52,0.5,0.5,0.53,0.5,0.51,0.52,0.5,0.52,0.49,0.5,0.51,0.5,0.51,0.48,0.5,0.48,0.52,0.49,0.48,0.48,0.49,0.5,0.48,0.47,0.47,0.48,0.48,0.5,0.47,0.48,0.46,0.5,0.46,0.48,0.47,0.47,0.47,0.46,0.48,0.45,0.46,0.44,0.46,0.46,0.48,0.47,0.47,0.44,0.46,0.49,0.46,0.44,0.47,0.46,0.44,0.45,0.44,0.45,0.45,0.43,0.42,0.43,0.42,0.31,0.15,0.25,0.24,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/22/2021,2.07,2.11,2.25,1.99,1.88,1.81,1.7,1.67,1.66,1.65,1.55,1.59,1.54,1.56,1.5,1.51,1.44,1.41,1.4,1.34,1.26,1.25,1.27,1.2,1.21,1.12,1.11,1.01,0.89,0.81,0.7,0.56,0.64,0.53,0.59,0.58,0.54,0.59,0.53,0.57,0.54,0.51,0.58,0.53,0.5,0.52,0.55,0.53,0.52,0.55,0.45,0.52,0.53,0.51,0.5,0.51,0.55,0.49,0.5,0.53,0.5,0.52,0.51,0.5,0.5,0.5,0.5,0.51,0.49,0.5,0.5,0.49,0.51,0.51,0.5,0.47,0.5,0.48,0.52,0.48,0.47,0.47,0.47,0.49,0.48,0.47,0.47,0.48,0.48,0.5,0.46,0.48,0.45,0.51,0.45,0.47,0.47,0.45,0.48,0.45,0.47,0.44,0.46,0.43,0.45,0.45,0.47,0.46,0.46,0.45,0.46,0.49,0.45,0.43,0.46,0.46,0.43,0.46,0.44,0.45,0.45,0.43,0.43,0.42,0.41,0.31,0.15,0.25,0.24,0.21,0.2,0.19,0.2,0.2,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.07,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
