,SLB,HAL,HP,RIG,CHX,BKR,NOV,FTI,WHD,PTEN,CLB,OII,LBRT,DRQ,AROC,BOOM,SLCA,HLX,NEX,PUMP,NBR,VTOL,TDW,OIS,WTTR,FI,XTSLA,USD,SGAFT,IXPU1,SUM
07/09/2021,21.73,20.7,4.82,4.75,4.46,4.33,4.22,4.14,3.51,3.04,2.97,2.64,2.07,1.96,1.94,1.83,1.56,1.34,1.33,1.27,1.24,1.07,0.85,0.79,0.62,0.61,0.12,0.06,0.01,0.0,99.98000000000002
07/12/2021,21.8,20.6,4.8,4.7,4.51,4.35,4.21,4.14,3.65,2.99,2.99,2.64,2.08,1.97,1.93,1.83,1.54,1.31,1.3,1.27,1.23,1.09,0.89,0.77,0.62,0.61,0.18,0.0,0.01,0.0,100.01000000000002
07/13/2021,21.8,20.6,4.8,4.7,4.51,4.35,4.21,4.14,3.65,2.99,2.99,2.64,2.08,1.97,1.93,1.83,1.54,1.31,1.3,1.27,1.23,1.09,0.89,0.77,0.62,0.61,0.18,0.0,0.01,0.0,100.01000000000002
07/14/2021,21.62,20.71,4.83,4.52,4.59,4.37,4.33,4.09,3.65,3.05,2.91,2.66,2.11,1.96,1.95,1.85,1.56,1.28,1.32,1.3,1.22,1.1,0.86,0.77,0.62,0.61,0.18,0.0,0.01,0.0,100.03
07/16/2021,21.57,20.79,4.78,4.36,4.61,4.37,4.37,4.0,3.76,3.06,3.05,2.61,2.05,1.95,1.98,1.85,1.52,1.27,1.32,1.27,1.21,1.18,0.85,0.76,0.65,0.63,0.18,0.0,0.01,0.0,100.01
07/19/2021,21.78,20.94,4.85,4.02,4.68,4.46,4.37,4.0,3.76,3.04,3.08,2.53,2.0,1.94,2.06,1.82,1.46,1.26,1.25,1.24,1.17,1.18,0.9,0.73,0.68,0.6,0.19,0.0,0.02,0.0,100.01
07/20/2021,21.78,20.94,4.85,4.02,4.68,4.46,4.37,4.0,3.76,3.04,3.08,2.53,2.0,1.94,2.06,1.82,1.46,1.26,1.25,1.24,1.17,1.18,0.9,0.73,0.68,0.6,0.19,0.0,0.02,0.0,100.01
07/22/2021,21.69,21.04,4.93,3.96,4.64,4.43,4.48,4.01,3.8,3.0,3.09,2.48,2.03,1.97,2.09,1.84,1.44,1.2,1.18,1.21,1.13,1.2,0.91,0.72,0.69,0.65,0.19,0.0,0.02,0.0,100.02
07/23/2021,21.63,21.28,4.94,3.95,4.54,4.41,4.48,4.04,3.83,2.97,3.13,2.5,1.97,1.95,2.08,1.85,1.44,1.21,1.17,1.22,1.13,1.19,0.9,0.72,0.68,0.62,0.18,0.0,0.02,0.0,100.03000000000002
07/27/2021,21.67,21.26,4.95,4.22,4.54,4.27,4.43,3.83,3.89,2.96,3.1,2.57,2.01,1.92,2.06,1.71,1.46,1.25,1.21,1.28,1.13,1.19,0.9,0.73,0.7,0.62,0.18,0.0,0.02,0.0,100.06000000000004
07/29/2021,22.3,20.92,4.92,4.15,4.57,4.38,4.49,3.82,3.8,2.96,2.99,2.53,1.94,1.95,2.11,1.54,1.45,1.24,1.22,1.28,1.12,1.18,0.9,0.73,0.71,0.62,0.19,0.0,0.01,0.0,100.02
07/30/2021,22.42,21.18,4.91,4.02,4.55,4.4,4.49,3.86,3.86,2.94,3.02,2.49,1.93,1.94,2.11,1.56,1.4,1.13,1.19,1.26,1.09,1.17,0.88,0.72,0.68,0.63,0.19,0.0,0.01,0.0,100.03
08/02/2021,22.29,21.34,4.76,4.01,4.76,4.41,4.5,3.81,3.84,2.95,2.92,2.6,1.75,1.99,2.14,1.58,1.49,1.14,1.19,1.2,1.13,1.15,0.87,0.7,0.69,0.65,0.19,0.0,0.01,0.0,100.06
08/03/2021,22.25,21.32,4.81,4.05,4.78,4.54,4.44,3.8,3.79,2.91,2.98,2.56,1.72,1.96,2.15,1.58,1.45,1.14,1.19,1.19,1.1,1.16,0.89,0.67,0.73,0.65,0.19,0.0,0.01,0.0,100.01
