,AMZN,HD,WMT,AAPL,COST,NKE,TGT,LOW,PG,MCD,TJX,SBUX,DG,ROST,LULU,EL,ORLY,BKNG,XTSLA,VFC,MELI,YUM,AZO,KR,CMG,DLTR,BURL,HLT,ULTA,TSCO,FDX,PINS,BBY,WBA,UBER,LB,YUMC,DPZ,DRI,MAR,W,PYPL,V,EBAY,KMX,RH,TPR,FIVE,AAP,WSM,GPS,CVNA,CTAS,CCL,MA,DECK,KSS,FND,LVS,ETSY,GWW,SYY,FAST,CZR,PVH,MGM,POOL,AEO,DKS,MTN,SKX,CASY,GPC,FL,CROX,PLNT,LYV,OLLI,CRI,CPRI,KMB,RL,TXRH,WH,M,HBI,RCL,BJ,EXPE,WYNN,ARMK,TPX,SQ,JWN,SIG,BBBY,NCLH,NWL,INTU,PENN,LAD,TNL,YETI,HST,MAS,HAS,SHOO,ANF,UAA,CBRL,AN,USFD,URBN,WEN,BIG,GO,CHH,BOOT,MAN,SBH,IPG,UA,COLM,WING,CHWY,CHDN,STZ,TOL,SMG,PFGC,RCII,MAT,MTCH,SITE,ALK,PRG,ROL,MUSA,SFM,FRPT,EAT,TMX,BLMN,H,EYE,HLF,SHAK,SNBR,VVV,HRB,LKQ,GRUB,EEFT,VAC,FCFS,OXM,MNRO,HOME,FLO,CAKE,OSTK,PSMT,JBLU,RRR,BYND,BYD,PZZA,JACK,HELE,CL,LOPE,PLAY,SGMS,TTWO,MSGS,HGV,UNF,SFIX,BKE,MSM,GIII,LEVI,PII,WWW,CORE,PK,RHP,APLE,BFAM,LZB,CNK,USD,SIX,QRTEA,MAC,RUTH,BJRI,CNNE,TMHC,IPAR,Just Eat Takeaway.com NV ADR,127.HK,SUM
07/09/2021,17.94,7.38,5.26,5.06,4.55,4.3,3.56,2.79,2.73,2.67,2.2,1.88,1.5,1.31,1.28,1.26,1.02,0.99,0.86,0.84,0.83,0.76,0.75,0.73,0.7,0.67,0.67,0.62,0.59,0.57,0.55,0.52,0.52,0.52,0.51,0.51,0.5,0.44,0.44,0.44,0.42,0.41,0.4,0.37,0.35,0.34,0.34,0.34,0.33,0.32,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,99.94
07/12/2021,18.25,7.38,5.26,5.11,4.66,4.32,3.61,2.77,2.76,2.67,2.16,1.89,1.52,1.27,1.29,1.24,1.03,0.97,0.86,0.82,0.82,0.77,0.75,0.74,0.7,0.66,0.65,0.6,0.57,0.57,0.54,0.5,0.51,0.51,0.48,0.5,0.5,0.44,0.43,0.44,0.42,0.41,0.39,0.37,0.36,0.34,0.33,0.33,0.33,0.32,0.29,0.31,0.31,0.27,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.23,0.22,0.21,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,100.02
07/13/2021,18.25,7.38,5.26,5.11,4.66,4.32,3.61,2.77,2.76,2.67,2.16,1.89,1.52,1.27,1.29,1.24,1.03,0.97,0.86,0.82,0.82,0.77,0.75,0.74,0.7,0.66,0.65,0.6,0.57,0.57,0.54,0.5,0.51,0.51,0.48,0.5,0.5,0.44,0.43,0.44,0.42,0.41,0.39,0.37,0.36,0.34,0.33,0.33,0.33,0.32,0.29,0.31,0.31,0.27,0.28,0.27,0.26,0.25,0.25,0.25,0.24,0.23,0.22,0.21,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,100.02
07/14/2021,17.99,7.38,5.23,5.12,4.66,4.28,3.57,2.78,2.73,2.67,2.19,1.89,1.51,1.28,1.29,1.24,1.03,0.97,0.85,0.84,0.82,0.77,0.75,0.74,0.7,0.66,0.65,0.61,0.58,0.56,0.54,0.5,0.51,0.51,0.49,0.5,0.49,0.43,0.44,0.45,0.41,0.41,0.39,0.37,0.36,0.35,0.34,0.33,0.34,0.33,0.3,0.3,0.31,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,99.92
07/15/2021,17.99,7.38,5.23,5.12,4.66,4.28,3.57,2.78,2.73,2.67,2.19,1.89,1.51,1.28,1.29,1.24,1.03,0.97,0.85,0.84,0.82,0.77,0.75,0.74,0.7,0.66,0.65,0.61,0.58,0.56,0.54,0.5,0.51,0.51,0.49,0.5,0.49,0.43,0.44,0.45,0.41,0.41,0.39,0.37,0.36,0.35,0.34,0.33,0.34,0.33,0.3,0.3,0.31,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.24,0.23,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,99.92
07/16/2021,17.92,7.32,5.27,5.18,4.64,4.33,3.65,2.78,2.75,2.7,2.18,1.94,1.51,1.27,1.27,1.26,1.04,0.97,0.86,0.83,0.83,0.76,0.75,0.74,0.72,0.66,0.66,0.6,0.57,0.57,0.55,0.47,0.51,0.51,0.48,0.51,0.49,0.44,0.44,0.44,0.4,0.42,0.4,0.37,0.35,0.35,0.34,0.32,0.33,0.33,0.29,0.3,0.3,0.26,0.29,0.28,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,99.92
07/19/2021,17.72,7.46,5.32,5.29,4.7,4.34,3.67,2.81,2.8,2.71,2.2,1.93,1.53,1.28,1.29,1.29,1.05,0.97,0.86,0.81,0.81,0.76,0.78,0.76,0.7,0.66,0.66,0.6,0.58,0.57,0.55,0.46,0.52,0.5,0.47,0.51,0.49,0.44,0.43,0.44,0.39,0.41,0.41,0.37,0.35,0.33,0.33,0.32,0.33,0.32,0.27,0.29,0.29,0.25,0.29,0.27,0.26,0.26,0.25,0.23,0.24,0.22,0.22,0.21,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.13,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,99.96
07/20/2021,17.72,7.46,5.32,5.29,4.7,4.34,3.67,2.81,2.8,2.71,2.2,1.93,1.53,1.28,1.29,1.29,1.05,0.97,0.86,0.81,0.81,0.76,0.78,0.76,0.7,0.66,0.66,0.6,0.58,0.57,0.55,0.46,0.52,0.5,0.47,0.51,0.49,0.44,0.43,0.44,0.39,0.41,0.41,0.37,0.35,0.33,0.33,0.32,0.33,0.32,0.27,0.29,0.29,0.25,0.29,0.27,0.26,0.26,0.25,0.23,0.24,0.22,0.22,0.21,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.13,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,99.96
07/21/2021,17.61,7.51,5.37,5.27,4.73,4.33,3.68,2.84,2.85,2.71,2.2,1.95,1.54,1.25,1.29,1.29,1.07,0.97,0.87,0.8,0.82,0.76,0.79,0.78,0.7,0.67,0.65,0.59,0.57,0.58,0.55,0.45,0.52,0.5,0.47,0.51,0.49,0.45,0.42,0.43,0.39,0.41,0.41,0.37,0.35,0.33,0.32,0.32,0.33,0.31,0.26,0.3,0.31,0.24,0.29,0.27,0.25,0.26,0.24,0.24,0.24,0.22,0.22,0.2,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.15,0.14,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.15,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.11,0.11,0.1,0.11,0.1,0.1,0.09,0.11,0.1,0.1,0.09,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.09,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.08,0.07,0.07,0.07,0.08,0.06,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.0,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.03,99.96
07/22/2021,17.7,7.53,5.42,5.18,4.83,4.33,3.72,2.83,2.88,2.68,2.14,1.91,1.58,1.23,1.31,1.27,1.07,0.94,0.88,0.78,0.82,0.76,0.79,0.82,0.71,0.67,0.64,0.58,0.56,0.56,0.56,0.48,0.52,0.5,0.47,0.5,0.49,0.45,0.41,0.42,0.41,0.42,0.41,0.38,0.35,0.33,0.32,0.32,0.33,0.32,0.26,0.3,0.31,0.23,0.28,0.27,0.25,0.26,0.24,0.25,0.24,0.22,0.23,0.2,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.15,0.14,0.13,0.14,0.12,0.15,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.09,0.11,0.11,0.1,0.11,0.1,0.1,0.09,0.11,0.1,0.1,0.09,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.07,0.06,0.07,0.07,0.06,0.06,0.07,0.08,0.07,0.07,0.06,0.08,0.05,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,99.95
