,VNA.DE,16.HK,823.HK,1878.T,1925.T,DWNI.DE,GMG.AX,1109.HK,8801.T,SPSN.SW,2007.HK,SGP.AX,CBI.MI,688.HK,LEG.DE,960.HK,8802.T,12.HK,17.HK,1918.HK,SGRO.L,GFC.PA,MGR.AX,C38U.SI,A17U.SI,8953.T,CAST.ST,C31.SI,83.HK,COFB.BR,2202.HK,3383.HK,AOX.DE,ENTRA.OL,8830.T,M44U.SI,TEG.DE,3281.T,1813.HK,WDP.BR,3003.T,NXI.PA,MRL.MC,BBOX.L,884.HK,PSPN.SW,101.HK,ME8U.SI,AED.BR,CHP.UN.TO,ALLN.SW,754.HK,CHC.AX,14.HK,1972.HK,AGR.L,813.HK,T82U.SI,3231.T,FABG.ST,CAR.UN.TO,WIHL.ST,WPR.AX,CAI.VI,3288.T,8804.T,AP.UN.TO,4.HK,3298.T,SCP.AX,817.HK,LMP.L,CMW.AX,AMOT.TA,N2IU.SI,10.HK,1030.HK,WKP.L,SAFE.L,SIR.L,123.HK,FCR.UN.TO,BYG.L,3883.HK,3380.HK,RW0U.SI,KOJAMO.HE,HMN.SI,CQR.AX,KLED.ST,CLW.AX,PHP.L,1238.HK,1233.HK,BTOU.SI,K71U.SI,COL.MC,2778.HK,AJBU.SI,TERRA13.MX,BWP.AX,HUFV A.ST,ALHE.TA,C2PU.SI,U14.SI,5522.TW,GRT.UN.TO,CWBU.SI,ATRLJ B.ST,604.HK,87001.HK,CRT.UN.TO,TCN.TO,SMPH.PM,GPOR.L,NWH.UN.TO,DIR-U.NE,81.HK,CY6U.SI,CIP.AX,GOZ.AX,405.HK,FSV.TO,1966.HK,KMP.UN.TO,1628.HK,C09.SI,3990.HK,AZRG.TA,ABP.AX,GRI.L,J69U.SI,CPN-R.BK,FIBRAPL14.MX,CATE.ST,INA.AX,SMU.UN.TO,BEFB.BR,Z25.SI,SBB B.ST,NYVL.,BUOU.SI,WHA-R.BK,CENCOSHOPP.SN,9945.TW,8876.T,8905.T,8803.T,IIP.UN.TO,34.HK,KLCC.KL,2772.HK,TS0U.SI,EMBASSY.NS,AIF.TO,MVNE.TA,2019.HK,SUNREIT.KL,SK6U.SI,832.HK,1908.HK,8850.T,6158.HK,IGBREIT.KL,3900.HK,1638.HK,RLC.PM,2768.HK,CLI.L,WALL B.ST,PARAUCO.SN,2337.T,PAT.DE,1996.HK,8919.T,DXS.AX,n/a,SUM
07/09/2021,5.09,4.11,3.42,2.54,2.51,2.37,2.2,2.16,1.92,1.86,1.85,1.8,1.67,1.59,1.57,1.54,1.5,1.41,1.4,1.4,1.39,1.39,1.25,1.18,1.17,1.08,1.05,1.0,0.96,0.95,0.88,0.85,0.81,0.8,0.8,0.79,0.78,0.76,0.73,0.7,0.69,0.69,0.67,0.67,0.66,0.65,0.59,0.59,0.58,0.56,0.53,0.52,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.0,0.0,100.08
09/07/2021,5.0,3.82,3.22,2.61,2.62,2.39,2.4,2.04,1.93,1.96,1.84,1.75,0.0,1.59,1.64,1.28,1.46,1.31,1.25,1.05,1.64,1.36,1.3,1.15,1.21,0.99,1.13,1.08,0.86,0.99,0.77,0.7,0.84,0.81,0.75,0.8,0.78,0.81,0.56,0.84,0.72,0.68,0.72,0.79,0.57,0.69,0.59,0.63,0.62,0.58,0.56,0.47,0.61,0.44,0.47,0.52,0.42,0.47,0.5,0.48,0.46,0.46,0.46,0.41,0.42,0.4,0.36,0.33,0.39,0.41,0.36,0.41,0.38,0.4,0.33,0.32,0.33,0.38,0.41,0.36,0.3,0.32,0.39,0.22,0.27,0.3,0.32,0.3,0.31,0.36,0.33,0.32,0.27,0.25,0.26,0.27,0.28,0.27,0.27,0.26,0.25,0.25,0.28,0.29,0.24,0.3,0.26,0.24,0.23,0.21,0.2,0.23,0.23,0.2,0.23,0.21,0.23,0.25,0.21,0.22,0.21,0.18,0.21,0.17,0.19,0.15,0.17,0.16,0.25,0.17,0.2,0.17,0.16,0.17,0.2,0.19,0.2,0.16,0.15,0.2,0.15,0.17,0.14,0.13,0.17,0.13,0.13,0.14,0.13,0.13,0.14,0.12,0.12,0.13,0.14,0.17,0.11,0.11,0.12,0.1,0.19,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.11,0.07,0.09,0.08,0.09,0.09,1.65,0.0,99.97
09/08/2021,5.0,3.82,3.22,2.61,2.62,2.39,2.4,2.04,1.93,1.96,1.84,1.75,0.0,1.59,1.64,1.28,1.46,1.31,1.25,1.05,1.64,1.36,1.3,1.15,1.21,0.99,1.13,1.08,0.86,0.99,0.77,0.7,0.84,0.81,0.75,0.8,0.78,0.81,0.56,0.84,0.72,0.68,0.72,0.79,0.57,0.69,0.59,0.63,0.62,0.58,0.56,0.47,0.61,0.44,0.47,0.52,0.42,0.47,0.5,0.48,0.46,0.46,0.46,0.41,0.42,0.4,0.36,0.33,0.39,0.41,0.36,0.41,0.38,0.4,0.33,0.32,0.33,0.38,0.41,0.36,0.3,0.32,0.39,0.22,0.27,0.3,0.32,0.3,0.31,0.36,0.33,0.32,0.27,0.25,0.26,0.27,0.28,0.27,0.27,0.26,0.25,0.25,0.28,0.29,0.24,0.3,0.26,0.24,0.23,0.21,0.2,0.23,0.23,0.2,0.23,0.21,0.23,0.25,0.21,0.22,0.21,0.18,0.21,0.17,0.19,0.15,0.17,0.16,0.25,0.17,0.2,0.17,0.16,0.17,0.2,0.19,0.2,0.16,0.15,0.2,0.15,0.17,0.14,0.13,0.17,0.13,0.13,0.14,0.13,0.13,0.14,0.12,0.12,0.13,0.14,0.17,0.11,0.11,0.12,0.1,0.19,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.11,0.07,0.09,0.08,0.09,0.09,1.65,0.0,99.97
09/09/2021,5.0,3.82,3.22,2.61,2.62,2.39,2.4,2.04,1.93,1.96,1.84,1.75,0.0,1.59,1.64,1.28,1.46,1.31,1.25,1.05,1.64,1.36,1.3,1.15,1.21,0.99,1.13,1.08,0.86,0.99,0.77,0.7,0.84,0.81,0.75,0.8,0.78,0.81,0.56,0.84,0.72,0.68,0.72,0.79,0.57,0.69,0.59,0.63,0.62,0.58,0.56,0.47,0.61,0.44,0.47,0.52,0.42,0.47,0.5,0.48,0.46,0.46,0.46,0.41,0.42,0.4,0.36,0.33,0.39,0.41,0.36,0.41,0.38,0.4,0.33,0.32,0.33,0.38,0.41,0.36,0.3,0.32,0.39,0.22,0.27,0.3,0.32,0.3,0.31,0.36,0.33,0.32,0.27,0.25,0.26,0.27,0.28,0.27,0.27,0.26,0.25,0.25,0.28,0.29,0.24,0.3,0.26,0.24,0.23,0.21,0.2,0.23,0.23,0.2,0.23,0.21,0.23,0.25,0.21,0.22,0.21,0.18,0.21,0.17,0.19,0.15,0.17,0.16,0.25,0.17,0.2,0.17,0.16,0.17,0.2,0.19,0.2,0.16,0.15,0.2,0.15,0.17,0.14,0.13,0.17,0.13,0.13,0.14,0.13,0.13,0.14,0.12,0.12,0.13,0.14,0.17,0.11,0.11,0.12,0.1,0.19,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.11,0.07,0.09,0.08,0.09,0.09,1.65,0.0,99.97
09/10/2021,5.0,3.82,3.22,2.61,2.62,2.39,2.4,2.04,1.93,1.96,1.84,1.75,0.0,1.59,1.64,1.28,1.46,1.31,1.25,1.05,1.64,1.36,1.3,1.15,1.21,0.99,1.13,1.08,0.86,0.99,0.77,0.7,0.84,0.81,0.75,0.8,0.78,0.81,0.56,0.84,0.72,0.68,0.72,0.79,0.57,0.69,0.59,0.63,0.62,0.58,0.56,0.47,0.61,0.44,0.47,0.52,0.42,0.47,0.5,0.48,0.46,0.46,0.46,0.41,0.42,0.4,0.36,0.33,0.39,0.41,0.36,0.41,0.38,0.4,0.33,0.32,0.33,0.38,0.41,0.36,0.3,0.32,0.39,0.22,0.27,0.3,0.32,0.3,0.31,0.36,0.33,0.32,0.27,0.25,0.26,0.27,0.28,0.27,0.27,0.26,0.25,0.25,0.28,0.29,0.24,0.3,0.26,0.24,0.23,0.21,0.2,0.23,0.23,0.2,0.23,0.21,0.23,0.25,0.21,0.22,0.21,0.18,0.21,0.17,0.19,0.15,0.17,0.16,0.25,0.17,0.2,0.17,0.16,0.17,0.2,0.19,0.2,0.16,0.15,0.2,0.15,0.17,0.14,0.13,0.17,0.13,0.13,0.14,0.13,0.13,0.14,0.12,0.12,0.13,0.14,0.17,0.11,0.11,0.12,0.1,0.19,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.11,0.07,0.09,0.08,0.09,0.09,1.65,0.0,99.97
09/13/2021,4.89,3.92,3.23,2.75,2.78,2.43,2.39,2.05,2.02,1.89,1.79,1.73,0.0,1.59,1.62,1.25,1.51,1.31,1.26,1.0,1.62,1.34,1.27,1.14,1.21,0.99,1.13,1.09,0.86,0.97,0.76,0.64,0.82,0.81,0.81,0.8,0.76,0.8,0.53,0.83,0.75,0.69,0.69,0.78,0.55,0.68,0.58,0.63,0.6,0.58,0.55,0.48,0.61,0.45,0.47,0.52,0.42,0.47,0.53,0.47,0.46,0.44,0.46,0.41,0.44,0.43,0.35,0.33,0.39,0.41,0.36,0.4,0.36,0.4,0.33,0.32,0.32,0.36,0.39,0.35,0.31,0.33,0.37,0.22,0.25,0.3,0.31,0.31,0.31,0.36,0.33,0.32,0.26,0.24,0.26,0.27,0.27,0.28,0.28,0.26,0.25,0.25,0.28,0.29,0.24,0.3,0.26,0.24,0.22,0.22,0.2,0.23,0.23,0.2,0.22,0.21,0.24,0.25,0.21,0.22,0.2,0.19,0.21,0.18,0.19,0.14,0.16,0.16,0.26,0.18,0.2,0.17,0.17,0.17,0.19,0.19,0.2,0.16,0.15,0.2,0.14,0.16,0.14,0.12,0.19,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.12,0.14,0.14,0.18,0.11,0.11,0.12,0.1,0.19,0.11,0.1,0.12,0.11,0.08,0.09,0.09,0.09,0.11,0.07,0.09,0.08,0.1,0.1,1.67,0.0,99.98
09/14/2021,4.87,3.97,3.22,2.82,2.85,2.43,2.35,2.08,2.05,1.89,1.81,1.7,0.0,1.6,1.61,1.29,1.53,1.32,1.26,0.97,1.62,1.32,1.26,1.15,1.22,0.99,1.13,1.1,0.85,0.96,0.75,0.63,0.82,0.78,0.82,0.81,0.77,0.79,0.53,0.82,0.77,0.68,0.69,0.78,0.56,0.68,0.58,0.64,0.6,0.57,0.55,0.46,0.6,0.46,0.47,0.52,0.41,0.47,0.53,0.47,0.46,0.44,0.45,0.41,0.46,0.44,0.35,0.34,0.39,0.41,0.36,0.39,0.35,0.41,0.33,0.32,0.32,0.36,0.38,0.35,0.31,0.32,0.36,0.22,0.25,0.3,0.31,0.3,0.31,0.35,0.32,0.32,0.26,0.23,0.26,0.27,0.27,0.27,0.28,0.26,0.25,0.24,0.28,0.29,0.25,0.29,0.26,0.25,0.22,0.21,0.2,0.22,0.23,0.2,0.22,0.21,0.24,0.24,0.2,0.22,0.2,0.19,0.21,0.18,0.19,0.13,0.16,0.16,0.25,0.18,0.2,0.17,0.17,0.17,0.18,0.19,0.2,0.16,0.15,0.21,0.15,0.17,0.15,0.11,0.2,0.14,0.14,0.14,0.13,0.13,0.14,0.12,0.13,0.13,0.14,0.18,0.11,0.11,0.12,0.1,0.19,0.11,0.1,0.11,0.11,0.08,0.09,0.09,0.09,0.1,0.07,0.1,0.08,0.1,0.1,1.67,0.0,100.02
09/15/2021,4.87,3.97,3.22,2.82,2.85,2.43,2.35,2.08,2.05,1.89,1.81,1.7,0.0,1.6,1.61,1.29,1.53,1.32,1.26,0.97,1.62,1.32,1.26,1.15,1.22,0.99,1.13,1.1,0.85,0.96,0.75,0.63,0.82,0.78,0.82,0.81,0.77,0.79,0.53,0.82,0.77,0.68,0.69,0.78,0.56,0.68,0.58,0.64,0.6,0.57,0.55,0.46,0.6,0.46,0.47,0.52,0.41,0.47,0.53,0.47,0.46,0.44,0.45,0.41,0.46,0.44,0.35,0.34,0.39,0.41,0.36,0.39,0.35,0.41,0.33,0.32,0.32,0.36,0.38,0.35,0.31,0.32,0.36,0.22,0.25,0.3,0.31,0.3,0.31,0.35,0.32,0.32,0.26,0.23,0.26,0.27,0.27,0.27,0.28,0.26,0.25,0.24,0.28,0.29,0.25,0.29,0.26,0.25,0.22,0.21,0.2,0.22,0.23,0.2,0.22,0.21,0.24,0.24,0.2,0.22,0.2,0.19,0.21,0.18,0.19,0.13,0.16,0.16,0.25,0.18,0.2,0.17,0.17,0.17,0.18,0.19,0.2,0.16,0.15,0.21,0.15,0.17,0.15,0.11,0.2,0.14,0.14,0.14,0.13,0.13,0.14,0.12,0.13,0.13,0.14,0.18,0.11,0.11,0.12,0.1,0.19,0.11,0.1,0.11,0.11,0.08,0.09,0.09,0.09,0.1,0.07,0.1,0.08,0.1,0.1,1.67,0.0,100.02
09/17/2021,4.88,3.94,3.19,2.84,2.89,2.43,2.35,2.08,2.01,1.93,1.84,1.7,0.0,1.62,1.62,1.27,1.53,1.32,1.27,0.96,1.62,1.32,1.26,1.13,1.21,0.99,1.14,1.07,0.84,0.96,0.76,0.65,0.83,0.77,0.81,0.79,0.77,0.79,0.55,0.82,0.78,0.69,0.7,0.78,0.57,0.69,0.58,0.63,0.6,0.57,0.56,0.45,0.59,0.44,0.47,0.51,0.41,0.47,0.53,0.48,0.45,0.44,0.45,0.41,0.46,0.44,0.35,0.33,0.39,0.41,0.36,0.39,0.35,0.42,0.33,0.32,0.32,0.36,0.38,0.36,0.31,0.32,0.36,0.22,0.25,0.31,0.31,0.29,0.31,0.36,0.32,0.31,0.25,0.23,0.25,0.27,0.28,0.27,0.28,0.26,0.25,0.24,0.29,0.29,0.24,0.3,0.26,0.24,0.22,0.21,0.2,0.22,0.23,0.2,0.22,0.21,0.24,0.24,0.2,0.22,0.2,0.18,0.2,0.18,0.19,0.13,0.17,0.16,0.25,0.18,0.2,0.17,0.17,0.17,0.18,0.18,0.2,0.16,0.15,0.21,0.15,0.16,0.15,0.11,0.2,0.13,0.14,0.15,0.14,0.13,0.14,0.12,0.13,0.13,0.13,0.18,0.11,0.11,0.12,0.1,0.19,0.12,0.1,0.11,0.11,0.08,0.09,0.09,0.09,0.1,0.07,0.1,0.08,0.1,0.1,1.65,0.0,99.99
09/20/2021,4.96,3.89,3.18,2.97,2.98,2.48,2.39,1.99,2.0,1.92,1.57,1.78,0.0,1.58,1.62,1.25,1.55,1.32,1.25,0.82,1.63,1.33,1.32,1.14,1.24,1.01,1.15,1.09,0.86,0.97,0.71,0.59,0.83,0.78,0.82,0.81,0.76,0.8,0.51,0.82,0.77,0.69,0.7,0.78,0.52,0.68,0.57,0.64,0.59,0.58,0.56,0.42,0.61,0.44,0.47,0.51,0.39,0.46,0.53,0.48,0.46,0.45,0.46,0.42,0.49,0.44,0.35,0.33,0.4,0.42,0.35,0.4,0.36,0.42,0.34,0.32,0.28,0.36,0.38,0.37,0.31,0.33,0.37,0.2,0.24,0.31,0.31,0.3,0.32,0.36,0.33,0.31,0.25,0.21,0.26,0.28,0.28,0.27,0.28,0.27,0.25,0.24,0.3,0.29,0.25,0.29,0.27,0.25,0.22,0.21,0.2,0.23,0.24,0.2,0.23,0.22,0.23,0.23,0.21,0.22,0.21,0.18,0.18,0.17,0.19,0.12,0.18,0.16,0.25,0.19,0.2,0.17,0.17,0.17,0.18,0.19,0.18,0.16,0.15,0.21,0.15,0.16,0.16,0.11,0.22,0.13,0.14,0.15,0.14,0.13,0.14,0.12,0.13,0.13,0.13,0.18,0.11,0.11,0.12,0.1,0.19,0.12,0.1,0.12,0.1,0.07,0.09,0.09,0.09,0.1,0.07,0.1,0.08,0.1,0.1,1.73,0.0,100.04999999999998
