,4SPX  210831C02099970,4XSP  210831C00210010,4SPX  210831P04199950,4SPX  210831P03324940,4XSP  210831P00420010,4XSP  210831P00332490,4XSP  210831P00210010,4XSP  210831P00227490,4SPX  210831P02274960,Cash&Other,4SPX  210831P02099970,4XSP  210831C00420010,4XSP  210831C00378410,4SPX  210831C04199950,4SPX  210831C03784140,2SPY  220831C00003600,2SPY  220831P00428980,2SPY  220831P00293510,2SPY  220831C00480820,SUM
07/09/2021,112.54,5.87,1.36,0.15,0.07,0.01,0.0,0.0,-0.02,-0.02,-0.03,-0.25,-0.74,-4.7,-14.24,0.0,0.0,0.0,0.0,100.00000000000004
07/12/2021,113.95,5.94,1.18,0.14,0.06,0.01,0.0,0.0,-0.02,-0.03,-0.03,-0.28,-0.78,-5.24,-14.9,0.0,0.0,0.0,0.0,100.0
07/13/2021,113.95,5.94,1.18,0.14,0.06,0.01,0.0,0.0,-0.02,-0.03,-0.03,-0.28,-0.78,-5.24,-14.9,0.0,0.0,0.0,0.0,100.0
07/14/2021,113.95,5.94,1.18,0.14,0.06,0.01,0.0,0.0,-0.02,-0.03,-0.03,-0.28,-0.78,-5.24,-14.9,0.0,0.0,0.0,0.0,100.0
07/15/2021,114.77,5.98,1.05,0.12,0.06,0.01,0.0,0.0,-0.02,-0.03,-0.02,-0.29,-0.8,-5.55,-15.28,0.0,0.0,0.0,0.0,100.0
07/16/2021,114.03,5.94,1.2,0.13,0.06,0.01,0.0,0.0,-0.02,-0.03,-0.02,-0.28,-0.78,-5.32,-14.93,0.0,0.0,0.0,0.0,99.98999999999998
07/19/2021,113.36,5.91,1.21,0.11,0.06,0.01,0.0,0.0,-0.02,-0.04,-0.02,-0.26,-0.76,-4.99,-14.58,0.0,0.0,0.0,0.0,99.98999999999998
07/20/2021,111.76,5.83,1.48,0.13,0.08,0.01,0.0,0.0,-0.02,-0.04,-0.02,-0.23,-0.72,-4.42,-13.82,0.0,0.0,0.0,0.0,100.02
07/21/2021,111.76,5.83,1.48,0.13,0.08,0.01,0.0,0.0,-0.02,-0.04,-0.02,-0.23,-0.72,-4.42,-13.82,0.0,0.0,0.0,0.0,100.02
07/22/2021,108.92,5.68,2.11,0.2,0.11,0.01,0.0,0.0,-0.03,-0.04,-0.05,-0.19,-0.65,-3.53,-12.54,0.0,0.0,0.0,0.0,100.0
07/23/2021,112.04,5.84,1.43,0.13,0.07,0.01,0.0,0.0,-0.02,-0.05,-0.03,-0.23,-0.73,-4.51,-13.95,0.0,0.0,0.0,0.0,100.0
07/26/2021,114.1,5.95,1.03,0.1,0.05,0.0,0.0,0.0,-0.01,-0.06,-0.02,-0.27,-0.78,-5.19,-14.91,0.0,0.0,0.0,0.0,99.99
07/27/2021,115.97,6.04,0.82,0.09,0.04,0.0,0.0,0.0,-0.01,-0.06,-0.02,-0.31,-0.82,-5.94,-15.81,0.0,0.0,0.0,0.0,99.99
