,FNV.TO,RGLD,WPM.TO,CG.TO,OR.TO,SSL.TO,MTA.V,TXG.TO,KRR.TO,AR.TO,2099 HK,AU,DPM.TO,ELD.TO,SBSW,FVI.TO,HAM.,IMG.TO,RBP.JO,SLR.AX,RRL.AX,IMP.JO,CEY.L,EDV.TO,HOC.L,RMS.AX,WGX AU,GFI,WGX.AX,HOC LN,FVI CN,SLR AU,WPM,FNV,CG CN,OR,TXG CN,MTA,SAND,AR CN,DPM CN,EGO,KRR CN,HMY,EDV CN,IAG,RRL AU,CEY LN,IMP SJ,RBP SJ,RMS AU,EDG.,NGD.TO,SVM.TO,K.TO,SSRM,AMI.AX,AMS.JO,SUM
07/09/2021,10.7,10.5,10.33,4.27,4.1,3.89,3.78,3.72,3.02,2.96,2.93,2.91,2.88,2.86,2.84,2.79,2.67,2.63,2.21,2.15,2.1,2.1,2.04,1.99,1.92,1.92,1.83,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87
07/12/2021,10.74,10.61,10.39,4.21,4.02,3.89,3.69,3.6,2.89,3.0,2.88,2.95,2.95,2.83,2.9,2.75,2.66,2.63,2.24,2.11,2.13,2.04,1.99,2.02,1.94,1.94,1.82,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.66999999999996
07/13/2021,10.74,10.61,10.39,4.21,4.02,3.89,3.69,3.6,2.89,3.0,2.88,2.95,2.95,2.83,2.9,2.75,2.66,2.63,2.24,2.11,2.13,2.04,1.99,2.02,1.94,1.94,1.82,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.66999999999996
07/14/2021,10.74,10.61,10.39,4.21,4.02,3.89,3.69,3.6,2.89,3.0,2.88,2.95,2.95,2.83,2.9,2.75,2.66,2.63,2.24,2.11,2.13,2.04,1.99,2.02,1.94,1.94,1.82,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.66999999999996
07/15/2021,11.15,10.89,10.62,4.21,4.23,4.08,3.97,3.6,3.0,3.09,2.91,3.03,3.01,2.9,3.01,0.0,2.76,2.69,2.23,2.13,2.16,2.06,2.03,2.08,1.9,1.98,1.84,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.44
07/16/2021,11.21,10.83,10.73,4.14,4.19,4.07,3.84,3.65,2.95,3.11,2.98,3.06,3.09,2.91,2.96,0.0,2.86,2.67,2.25,2.1,2.12,2.09,2.05,2.12,1.95,1.96,1.85,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.64
07/19/2021,11.25,10.8,10.72,4.15,4.12,4.04,3.67,3.63,3.05,3.12,2.92,3.1,3.01,2.89,2.95,0.0,2.93,2.69,2.2,2.22,2.18,2.14,2.05,2.13,1.9,2.07,1.87,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.75000000000004
07/20/2021,11.36,10.89,10.71,4.19,4.16,3.99,3.61,3.6,2.95,3.18,2.94,3.08,3.0,2.83,2.88,0.0,2.92,2.61,2.22,2.25,2.23,2.11,2.06,2.13,1.95,2.07,1.91,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.78
07/21/2021,11.36,10.89,10.71,4.19,4.16,3.99,3.61,3.6,2.95,3.18,2.94,3.08,3.0,2.83,2.88,0.0,2.92,2.61,2.22,2.25,2.23,2.11,2.06,2.13,1.95,2.07,1.91,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.78
07/22/2021,11.42,11.07,10.69,4.26,4.16,3.96,3.57,3.56,2.97,3.21,2.97,3.12,2.97,2.82,2.78,0.0,3.0,2.59,2.16,2.2,2.2,2.04,2.11,2.15,1.92,2.05,1.85,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.78
