,JNJ,UNH,PFE,ABT,ABBV,TMO,MRK,LLY,DHR,MDT,BMY,AMGN,ISRG,CVS,ANTM,ZTS,SYK,GILD,CI,BDX,MRNA,ILMN,EW,BSX,REGN,HUM,HCA,IDXX,BIIB,VRTX,IQV,A,ALGN,CNC,DXCM,ALXN,BAX,RMD,ZBH,MTD,MCK,WST,LH,WAT,HZNP,TDOC,EXAS,STE,ALNY,COO,SGEN,TFX,CTLT,PODD,CRL,AVTR,TECH,HOLX,DGX,VTRS,ELAN,NVCR,INCY,BMRN,NVAX,ABMD,MOH,BIO,TXG,XRAY,MASI,XTSLA,UHS,JAZZ,HSIC,GH,RGEN,PEN,SYNH,NBIX,UTHR,DVA,AMED,EHC,BRKR,OGN,HRC,CHE,THC,HQY,XLRN,LHCG,TNDM,PRGO,GMED,EXEL,ACHC,RARE,SRPT,IONS,PPD,BPMC,NEOG,QDEL,IART,ALKS,ICUI,MRVI,RPRX,NUVA,HAE,NKTR,CVET,PINC,ONEM,ACAD,VIR,EBS,AGIO,FGEN,BLUE,GDRX,SHC,OSH,ALLO,AMWL,SGFY,WFFUT,BLI,AVIR,IXCU1,USD,SUM
07/09/2021,8.31,7.27,4.13,3.96,3.84,3.82,3.71,3.52,3.32,3.21,2.8,2.63,2.11,2.01,1.77,1.73,1.63,1.61,1.52,1.36,1.34,1.3,1.24,1.16,1.14,1.1,1.06,1.06,0.98,0.97,0.9,0.85,0.82,0.81,0.8,0.77,0.77,0.68,0.64,0.62,0.56,0.51,0.51,0.42,0.4,0.4,0.39,0.39,0.39,0.38,0.36,0.36,0.36,0.36,0.36,0.35,0.33,0.33,0.33,0.32,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.24,0.23,0.22,0.21,0.2,0.2,0.2,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.0,100.12
07/12/2021,8.36,7.27,4.13,3.98,3.86,3.83,3.71,3.54,3.3,3.22,2.8,2.64,2.12,1.98,1.77,1.76,1.62,1.59,1.49,1.37,1.33,1.3,1.26,1.16,1.13,1.1,1.06,1.06,1.04,0.96,0.9,0.85,0.83,0.8,0.81,0.76,0.77,0.68,0.62,0.62,0.56,0.52,0.51,0.42,0.39,0.39,0.38,0.39,0.38,0.38,0.36,0.37,0.36,0.35,0.36,0.35,0.34,0.34,0.33,0.31,0.31,0.31,0.29,0.29,0.24,0.28,0.28,0.27,0.26,0.25,0.25,0.11,0.22,0.21,0.2,0.2,0.2,0.17,0.17,0.18,0.15,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.1,0.1,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.04,100.02
07/13/2021,8.36,7.27,4.13,3.98,3.86,3.83,3.71,3.54,3.3,3.22,2.8,2.64,2.12,1.98,1.77,1.76,1.62,1.59,1.49,1.37,1.33,1.3,1.26,1.16,1.13,1.1,1.06,1.06,1.04,0.96,0.9,0.85,0.83,0.8,0.81,0.76,0.77,0.68,0.62,0.62,0.56,0.52,0.51,0.42,0.39,0.39,0.38,0.39,0.38,0.38,0.36,0.37,0.36,0.35,0.36,0.35,0.34,0.34,0.33,0.31,0.31,0.31,0.29,0.29,0.24,0.28,0.28,0.27,0.26,0.25,0.25,0.11,0.22,0.21,0.2,0.2,0.2,0.17,0.17,0.18,0.15,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.1,0.1,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.04,100.02
07/14/2021,8.36,7.27,4.15,3.98,3.85,3.8,3.69,3.5,3.29,3.23,2.81,2.64,2.11,2.0,1.78,1.75,1.62,1.6,1.51,1.36,1.33,1.3,1.25,1.16,1.14,1.1,1.08,1.06,1.01,0.96,0.9,0.85,0.84,0.8,0.8,0.76,0.76,0.67,0.62,0.63,0.56,0.52,0.51,0.43,0.4,0.39,0.38,0.39,0.39,0.38,0.35,0.37,0.36,0.35,0.36,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.29,0.29,0.24,0.28,0.28,0.27,0.26,0.26,0.25,0.11,0.22,0.21,0.2,0.2,0.2,0.18,0.17,0.18,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.04,100.03
07/16/2021,8.35,7.4,4.16,3.95,3.9,3.79,3.68,3.51,3.29,3.21,2.82,2.63,2.12,2.01,1.83,1.77,1.61,1.6,1.51,1.35,1.34,1.32,1.24,1.15,1.13,1.11,1.08,1.06,0.99,0.96,0.9,0.85,0.87,0.81,0.81,0.77,0.76,0.68,0.61,0.63,0.56,0.51,0.51,0.43,0.4,0.38,0.37,0.38,0.39,0.38,0.34,0.37,0.36,0.33,0.36,0.35,0.33,0.33,0.33,0.31,0.3,0.3,0.28,0.28,0.24,0.27,0.28,0.27,0.25,0.25,0.25,0.11,0.22,0.21,0.2,0.19,0.19,0.17,0.17,0.17,0.15,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.12,0.12,0.12,0.11,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.04,99.98
07/19/2021,8.34,7.45,4.22,3.9,3.89,3.8,3.71,3.46,3.35,3.17,2.83,2.66,2.12,2.03,1.82,1.79,1.58,1.61,1.52,1.35,1.49,1.27,1.24,1.13,1.16,1.13,1.09,1.05,0.93,0.97,0.89,0.85,0.84,0.8,0.8,0.75,0.77,0.68,0.6,0.63,0.56,0.52,0.51,0.43,0.4,0.36,0.36,0.38,0.38,0.37,0.34,0.33,0.35,0.32,0.36,0.35,0.33,0.33,0.33,0.32,0.3,0.29,0.28,0.27,0.23,0.26,0.29,0.27,0.24,0.25,0.25,0.11,0.22,0.2,0.2,0.18,0.19,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.09,99.94
07/20/2021,8.34,7.45,4.22,3.9,3.89,3.8,3.71,3.46,3.35,3.17,2.83,2.66,2.12,2.03,1.82,1.79,1.58,1.61,1.52,1.35,1.49,1.27,1.24,1.13,1.16,1.13,1.09,1.05,0.93,0.97,0.89,0.85,0.84,0.8,0.8,0.75,0.77,0.68,0.6,0.63,0.56,0.52,0.51,0.43,0.4,0.36,0.36,0.38,0.38,0.37,0.34,0.33,0.35,0.32,0.36,0.35,0.33,0.33,0.33,0.32,0.3,0.29,0.28,0.27,0.23,0.26,0.29,0.27,0.24,0.25,0.25,0.11,0.22,0.2,0.2,0.18,0.19,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.09,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.09,99.94
07/22/2021,8.3,7.29,4.24,3.99,3.85,3.87,3.68,3.52,3.4,3.12,2.8,2.68,2.08,2.01,1.78,1.77,1.54,1.62,1.48,1.36,1.81,1.3,1.21,1.11,1.16,1.12,1.08,1.08,0.92,0.97,0.87,0.85,0.81,0.79,0.79,0.75,0.76,0.7,0.59,0.63,0.56,0.52,0.51,0.42,0.39,0.38,0.37,0.38,0.39,0.37,0.35,0.33,0.36,0.33,0.36,0.35,0.33,0.34,0.34,0.31,0.31,0.3,0.27,0.27,0.27,0.27,0.28,0.27,0.24,0.25,0.25,0.12,0.22,0.19,0.2,0.19,0.19,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.05,0.06,0.05,0.02,0.03,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.07,100.05
07/23/2021,8.34,7.33,4.32,3.97,3.85,3.86,3.63,3.52,3.38,3.17,2.8,2.67,2.13,2.02,1.79,1.79,1.57,1.63,1.5,1.35,1.76,1.34,1.25,1.14,1.16,1.12,1.23,1.07,0.91,0.96,0.89,0.85,0.83,0.79,0.81,0.0,0.76,0.7,0.61,0.63,0.58,0.52,0.51,0.43,0.4,0.38,0.38,0.38,0.4,0.37,0.35,0.34,0.36,0.34,0.36,0.36,0.34,0.34,0.33,0.32,0.32,0.31,0.28,0.27,0.27,0.28,0.28,0.27,0.25,0.26,0.25,0.12,0.22,0.2,0.2,0.19,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.12,0.12,0.12,0.12,0.11,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.1,0.09,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.05,0.06,0.05,0.02,0.03,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.05,100.0
07/27/2021,8.35,7.31,4.33,3.92,3.87,3.84,3.61,3.54,3.42,3.19,2.83,2.62,2.15,2.03,1.75,1.78,1.58,1.61,1.49,1.35,1.84,1.32,1.24,1.15,1.15,1.12,1.21,1.09,0.92,0.95,0.88,0.85,0.84,0.79,0.81,0.0,0.75,0.7,0.62,0.63,0.59,0.51,0.51,0.43,0.42,0.37,0.38,0.39,0.4,0.37,0.34,0.34,0.37,0.34,0.37,0.36,0.34,0.34,0.34,0.31,0.32,0.3,0.27,0.27,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.35,0.22,0.19,0.2,0.19,0.2,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.12,0.12,0.12,0.11,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.11,0.09,0.07,0.07,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.02,0.03,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.0,100.22
