,FINX,CLOU,GNOM,LIT,BOTZ,SOCL,POTX,CASH,Global X Cannabis ETF,Cash,SUM
07/09/2021,25.32,18.83,16.87,11.23,10.53,10.15,7.03,0.05,0.0,0.0,100.01
07/12/2021,25.18,18.81,16.83,11.84,10.46,9.91,6.92,0.05,0.0,0.0,100.0
07/13/2021,25.18,18.81,16.83,11.84,10.46,9.91,6.92,0.05,0.0,0.0,100.0
07/14/2021,25.15,18.63,16.82,12.03,10.48,9.95,6.89,0.05,0.0,0.0,100.0
07/15/2021,25.03,18.46,16.61,12.52,10.57,9.91,6.84,0.06,0.0,0.0,100.0
07/16/2021,25.04,18.55,16.38,12.47,10.5,10.05,6.96,0.06,0.0,0.0,100.01
07/19/2021,25.12,18.49,16.31,12.69,10.51,10.19,6.62,0.06,0.0,0.0,99.99
07/20/2021,25.12,18.49,16.31,12.69,10.51,10.19,6.62,0.06,0.0,0.0,99.99
07/21/2021,25.29,18.66,16.51,12.38,10.48,10.14,6.48,0.06,0.0,0.0,100.0
07/22/2021,25.15,18.87,16.73,12.24,10.39,10.09,6.47,0.07,0.0,0.0,100.01
07/23/2021,25.13,18.85,16.79,12.36,10.35,10.03,6.44,0.06,0.0,0.0,100.01
07/26/2021,25.24,18.76,16.57,12.76,10.33,9.95,6.33,0.06,0.0,0.0,100.0
07/27/2021,25.24,18.76,16.57,12.76,10.33,9.95,6.33,0.06,0.0,0.0,100.0
07/28/2021,25.25,18.76,16.57,12.76,10.33,9.96,0.0,0.0,6.33,0.04,100.0
07/29/2021,25.71,18.88,15.96,12.66,10.44,9.94,6.34,0.07,0.0,0.0,100.0
07/30/2021,25.81,19.03,16.09,12.35,10.54,9.93,6.19,0.07,0.0,0.0,100.01
08/02/2021,25.47,18.74,16.17,12.89,10.45,9.82,6.39,0.07,0.0,0.0,100.0
08/03/2021,25.47,18.74,16.17,12.89,10.45,9.82,6.39,0.07,0.0,0.0,100.0
08/04/2021,25.35,18.76,16.34,13.08,10.46,9.68,6.27,0.07,0.0,0.0,100.01
