,BABA,FB,TCEHY,SPOT,NFLX,BRK.B,JD,TSLX,NOW,AMZN,Warrant on Airbnb Inc Ordinary Shares - Class A,WDAY,ETSY,SBUX,GOOGL,ADYEY,FGXXX,The Howard Hughes Corp,AAPL,ACGL,CUZ,PINS,PYPL,TEAM,RBLX,ALGN,Tencent Holdings Ltd ADR,SAR.AX,HHC,ABNB,Adyen NV ADR,SUM
07/09/2021,15.14,13.99,9.14,7.62,4.73,4.4,4.25,4.05,4.03,3.61,3.39,3.29,3.21,2.73,2.65,2.59,2.58,1.93,1.91,1.24,0.94,0.63,0.54,0.5,0.47,0.46,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,14.42,14.06,0.0,7.47,4.83,4.46,4.05,4.3,4.22,3.95,0.0,3.39,3.15,2.86,2.79,2.71,2.62,0.0,2.05,1.24,0.95,0.62,0.57,0.53,0.48,0.46,8.69,3.23,1.91,0.0,0.0,100.01000000000002
07/13/2021,14.42,14.06,0.0,7.47,4.83,4.46,4.05,4.3,4.22,3.95,0.0,3.39,3.15,2.86,2.79,2.71,2.62,0.0,2.05,1.24,0.95,0.62,0.57,0.53,0.48,0.46,8.69,3.23,1.91,0.0,0.0,100.01000000000002
07/14/2021,14.22,14.0,0.0,7.55,4.81,4.46,4.08,4.31,4.23,3.96,0.0,3.39,3.17,2.86,2.75,2.72,2.56,0.0,2.05,1.21,0.97,0.61,0.57,0.53,0.48,0.47,8.76,3.35,1.91,0.0,0.0,99.98
07/15/2021,14.24,14.16,0.0,7.52,4.83,4.47,4.07,4.41,4.22,3.97,0.0,3.35,3.17,2.89,2.79,2.78,2.57,0.0,2.04,1.21,0.99,0.58,0.58,0.51,0.48,0.48,8.5,3.3,1.87,0.0,0.0,99.98
07/16/2021,14.24,14.16,0.0,7.52,4.83,4.47,4.07,4.41,4.22,3.97,0.0,3.35,3.17,2.89,2.79,2.78,2.57,0.0,2.04,1.21,0.99,0.58,0.58,0.51,0.48,0.48,8.5,3.3,1.87,0.0,0.0,99.98
07/19/2021,14.86,13.79,0.0,7.14,4.88,4.46,4.77,4.31,4.18,3.87,0.0,3.24,2.97,2.9,2.79,2.79,1.33,0.0,2.1,1.2,0.99,0.56,0.57,0.51,0.43,0.46,11.11,0.64,0.72,2.45,0.0,100.02
07/20/2021,14.86,13.79,0.0,7.14,4.88,4.46,4.77,4.31,4.18,3.87,0.0,3.24,2.97,2.9,2.79,2.79,1.33,0.0,2.1,1.2,0.99,0.56,0.57,0.51,0.43,0.46,11.11,0.64,0.72,2.45,0.0,100.02
07/21/2021,14.83,13.8,0.0,7.07,4.81,4.48,4.74,4.37,4.21,3.85,0.0,3.26,3.04,2.92,2.82,2.82,1.34,0.0,2.09,1.22,1.01,0.55,0.57,0.52,0.43,0.46,11.04,0.63,0.71,2.42,0.0,100.01
07/22/2021,14.83,13.8,0.0,7.07,4.81,4.48,4.74,4.37,4.21,3.85,0.0,3.26,3.04,2.92,2.82,2.82,1.34,0.0,2.09,1.22,1.01,0.55,0.57,0.52,0.43,0.46,11.04,0.63,0.71,2.42,0.0,100.01
07/23/2021,14.83,13.8,0.0,7.07,4.81,4.48,4.74,4.37,4.21,3.85,0.0,3.26,3.04,2.92,2.82,2.82,1.34,0.0,2.09,1.22,1.01,0.55,0.57,0.52,0.43,0.46,11.04,0.63,0.71,2.42,0.0,100.01
07/26/2021,14.67,13.92,10.73,7.17,4.63,4.48,4.69,4.36,4.27,3.84,0.0,3.38,3.2,2.92,2.81,0.0,1.34,0.0,2.06,1.22,1.03,0.58,0.58,0.53,0.44,0.46,0.0,0.65,0.73,2.49,2.81,99.99
07/27/2021,14.67,13.92,10.73,7.17,4.63,4.48,4.69,4.36,4.27,3.84,0.0,3.38,3.2,2.92,2.81,0.0,1.34,0.0,2.06,1.22,1.03,0.58,0.58,0.53,0.44,0.46,0.0,0.65,0.73,2.49,2.81,99.99
07/28/2021,14.23,14.74,10.19,6.98,4.61,4.42,4.47,4.31,4.37,3.88,0.0,3.39,3.39,3.06,2.91,0.0,1.33,0.0,2.09,1.21,1.01,0.61,0.59,0.53,0.45,0.47,0.0,0.64,0.72,2.46,2.94,100.0
