,MSTR,PYPL,SQ,HUT.TO,MARA,4819.T,NVDA,VYGR.CN,GLXY.TO,HIVE.V,COIN,SI,8473.T,ARB.L,9449.T,OSTK,RIOT,BITF.V,CLSK,NB2.DE,MOGO.TO,IBM,CME,ORCL,ACN,4689.T,CAN,GBTC,EBON,BABA,MUDS,AMD,ICE,VIH,EQOS,TSM,WETF,Cash&Other,9984.T,VONN.SW,BIGG.CN,BIDU,700.HK,4755.T,005930.KS,MBTCU,SUM
07/09/2021,5.94,4.88,4.69,3.93,3.81,3.73,3.72,3.7,3.69,3.53,3.48,3.37,3.31,3.0,2.97,2.97,2.79,2.6,2.47,2.43,2.18,1.99,1.85,1.75,1.69,1.65,1.57,1.5,1.24,1.07,1.07,1.06,1.04,1.01,0.97,0.96,0.91,0.85,0.76,0.69,0.63,0.62,0.58,0.55,0.5,0.33,100.03
07/12/2021,6.05,5.14,4.73,3.62,3.64,3.75,3.7,3.67,3.46,3.15,3.85,3.45,3.31,2.83,2.98,3.35,2.65,2.62,2.47,2.23,2.15,2.08,1.91,1.9,1.78,1.68,1.43,1.48,1.16,1.07,1.09,1.05,1.08,1.03,1.0,0.99,0.92,0.87,0.77,0.72,0.6,0.61,0.58,0.58,0.49,0.34,100.01
07/13/2021,6.05,5.14,4.73,3.62,3.64,3.75,3.7,3.67,3.46,3.15,3.85,3.45,3.31,2.83,2.98,3.35,2.65,2.62,2.47,2.23,2.15,2.08,1.91,1.9,1.78,1.68,1.43,1.48,1.16,1.07,1.09,1.05,1.08,1.03,1.0,0.99,0.92,0.87,0.77,0.72,0.6,0.61,0.58,0.58,0.49,0.34,100.01
07/14/2021,6.05,5.14,4.73,3.62,3.64,3.75,3.7,3.67,3.46,3.15,3.85,3.45,3.31,2.83,2.98,3.35,2.65,2.62,2.47,2.23,2.15,2.08,1.91,1.9,1.78,1.68,1.43,1.48,1.16,1.07,1.09,1.05,1.08,1.03,1.0,0.99,0.92,0.87,0.77,0.72,0.6,0.61,0.58,0.58,0.49,0.34,100.01
07/15/2021,5.7,5.22,4.79,3.68,3.63,3.88,3.81,3.66,3.3,3.18,3.79,3.35,3.39,2.7,3.11,3.33,2.56,2.59,2.45,2.38,2.15,2.09,1.93,1.9,1.79,1.74,1.43,1.45,1.15,1.08,1.08,1.06,1.09,1.03,0.96,1.01,0.94,0.88,0.8,0.73,0.59,0.62,0.58,0.61,0.5,0.34,100.03000000000002
07/16/2021,5.74,5.3,4.85,3.45,3.51,3.92,3.84,3.57,3.34,3.08,3.8,3.27,3.51,2.54,3.2,3.42,2.5,2.44,2.39,2.42,2.1,2.12,1.97,1.93,1.83,1.78,1.39,1.45,1.11,1.12,1.12,1.07,1.1,1.05,0.98,1.04,0.95,0.91,0.82,0.76,0.56,0.64,0.61,0.62,0.51,0.35,99.98
07/19/2021,5.65,5.51,4.99,3.3,3.5,4.05,3.8,2.87,2.99,3.03,3.7,3.23,3.67,2.33,3.34,3.22,3.01,2.47,2.38,2.34,2.01,2.24,2.08,2.02,1.95,1.99,1.46,1.97,1.12,1.21,1.13,1.09,0.0,1.11,1.02,1.04,1.01,1.07,0.86,0.8,0.48,0.68,0.66,0.65,0.55,0.37,99.95000000000002
07/20/2021,5.53,5.54,5.1,3.24,3.37,4.15,3.68,2.87,3.12,2.99,3.75,3.11,3.7,2.75,3.4,3.08,2.94,2.32,2.37,2.48,2.03,2.24,2.1,2.08,1.95,1.95,1.35,2.04,1.05,1.21,1.11,1.09,0.0,1.12,0.99,1.04,0.99,1.08,0.86,0.81,0.48,0.67,0.66,0.66,0.55,0.37,99.97
07/21/2021,5.53,5.54,5.1,3.24,3.37,4.15,3.68,2.87,3.12,2.99,3.75,3.11,3.7,2.75,3.4,3.08,2.94,2.32,2.37,2.48,2.03,2.24,2.1,2.08,1.95,1.95,1.35,2.04,1.05,1.21,1.11,1.09,0.0,1.12,0.99,1.04,0.99,1.08,0.86,0.81,0.48,0.67,0.66,0.66,0.55,0.37,99.97
07/22/2021,5.41,5.69,5.15,3.11,3.32,4.2,3.91,2.94,2.75,2.83,3.78,3.15,3.77,2.67,3.52,3.16,2.88,2.3,2.28,2.36,1.99,2.29,2.12,2.12,1.99,2.03,1.37,2.02,1.06,1.22,1.14,1.13,0.0,1.15,0.94,1.06,0.98,1.12,0.88,0.83,0.42,0.67,0.66,0.68,0.55,0.38,99.98
