,AAPL,MSFT,AMZN,FB,JNJ,JPM,GOOG,GOOGL,BRK.B,CMCSA,INTC,UNH,V,VZ,MA,BAC,PG,CSCO,QCOM,NVDA,PFE,PEP,ORCL,WMT,UNP,TGT,KO,T,DIS,HD,TXN,LLY,ACN,MS,MRK,AXP,CHTR,ABBV,LOW,ADBE,AVGO,XOM,CVX,LRCX,NKE,CAT,AMAT,IBM,WFC,TMO,COST,AMGN,GNRC,MSCI,CSX,C,MMM,UPS,DHR,MU,BBY,ANTM,HON,GS,SCHW,DE,COP,RTX,ODFL,GM,CVS,ABT,PYPL,CI,SPGI,NSC,TSLA,GILD,TROW,BMY,ALGN,NFLX,MCD,MDT,APTV,F,USB,FDX,AMP,ZTS,COF,TMUS,ZBRA,BKNG,MO,CRL,URI,TJX,HUM,IDXX,KR,INTU,TEL,SIVB,FCX,ADP,LMT,DFS,PNC,SHW,ETN,PPG,KLAC,HZNP,NUE,SYF,CPRT,WST,ALL,PH,ON,AON,DHI,SWKS,MRVL,LBRDK,JCI,ADI,SBUX,LIN,EMR,CNC,BLK,PAYC,EL,LPLA,CMI,CTAS,EBAY,ITW,TRV,RSG,CBRE,DOW,CTLT,ORLY,KEYS,WM,MOH,NDAQ,TT,DG,MPC,BLL,CB,BK,AVY,IQV,LYB,MCO,ALLY,TFC,BIIB,ENTG,ICE,DVA,TER,MMC,ALB,CARR,CDW,NOC,SEDG,QRVO,CDNS,FTNT,JBL,LUV,KSU,STLD,CMG,WSM,HBAN,DECK,LEN,PAYX,GPN,ROK,MTD,PGR,ATVI,XLNX,LH,LULU,FIS,WBA,MDLZ,MET,PCAR,GLW,ADM,MCHP,GD,SNPS,RMD,TSCO,SLB,DOV,PWR,A,HIG,PXD,MAR,KMX,SUM
08/16/2021,4.72,3.82,2.34,1.05,1.05,1.05,0.86,0.84,0.77,0.7,0.69,0.69,0.68,0.59,0.58,0.54,0.5,0.5,0.44,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.33,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00000000000001
08/17/2021,4.73,3.86,2.33,1.05,1.06,1.04,0.86,0.84,0.76,0.71,0.69,0.69,0.69,0.59,0.58,0.53,0.5,0.5,0.44,0.43,0.42,0.41,0.4,0.4,0.4,0.4,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.33,0.33,0.31,0.3,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.07000000000001
08/18/2021,4.73,3.86,2.33,1.05,1.06,1.04,0.86,0.84,0.76,0.71,0.69,0.69,0.69,0.59,0.58,0.53,0.5,0.5,0.44,0.43,0.42,0.41,0.4,0.4,0.4,0.4,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.33,0.33,0.31,0.3,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.07000000000001
08/19/2021,4.73,3.86,2.33,1.05,1.06,1.04,0.86,0.84,0.76,0.71,0.69,0.69,0.69,0.59,0.58,0.53,0.5,0.5,0.44,0.43,0.42,0.41,0.4,0.4,0.4,0.4,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.33,0.33,0.31,0.3,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.07000000000001
08/20/2021,4.79,3.88,2.33,1.06,1.07,1.03,0.86,0.84,0.77,0.71,0.69,0.71,0.69,0.59,0.58,0.52,0.51,0.5,0.44,0.42,0.42,0.42,0.4,0.4,0.4,0.4,0.38,0.37,0.37,0.36,0.36,0.37,0.36,0.35,0.36,0.33,0.33,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.28,0.27,0.26,0.27,0.27,0.27,0.25,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.25
08/23/2021,4.8,3.9,2.32,1.05,1.09,1.03,0.86,0.84,0.77,0.72,0.69,0.72,0.7,0.6,0.59,0.53,0.51,0.5,0.43,0.41,0.44,0.42,0.41,0.41,0.4,0.39,0.39,0.38,0.36,0.35,0.36,0.37,0.37,0.35,0.37,0.33,0.34,0.33,0.29,0.31,0.29,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.26,0.28,0.27,0.27,0.24,0.25,0.23,0.23,0.23,0.24,0.24,0.23,0.21,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.21,0.21,0.2,0.19,0.18,0.2,0.18,0.19,0.17,0.18,0.18,0.18,0.16,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.14,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.35000000000001
08/24/2021,4.75,4.06,2.36,1.06,1.09,1.02,0.87,0.85,0.77,0.72,0.68,0.74,0.69,0.6,0.57,0.52,0.53,0.52,0.43,0.44,0.43,0.42,0.4,0.41,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.37,0.37,0.34,0.37,0.32,0.34,0.32,0.34,0.32,0.29,0.27,0.27,0.28,0.29,0.26,0.27,0.27,0.25,0.28,0.28,0.26,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.21,0.23,0.22,0.21,0.21,0.2,0.2,0.21,0.22,0.19,0.21,0.22,0.21,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.17,0.19,0.18,0.18,0.16,0.16,0.16,0.17,0.16,0.18,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.420000000000016
08/25/2021,4.75,4.06,2.36,1.06,1.09,1.02,0.87,0.85,0.77,0.72,0.68,0.74,0.69,0.6,0.57,0.52,0.53,0.52,0.43,0.44,0.43,0.42,0.4,0.41,0.4,0.39,0.38,0.37,0.36,0.36,0.36,0.37,0.37,0.34,0.37,0.32,0.34,0.32,0.34,0.32,0.29,0.27,0.27,0.28,0.29,0.26,0.27,0.27,0.25,0.28,0.28,0.26,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.21,0.23,0.22,0.21,0.21,0.2,0.2,0.21,0.22,0.19,0.21,0.22,0.21,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.17,0.19,0.18,0.18,0.16,0.16,0.16,0.17,0.16,0.18,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.420000000000016
08/26/2021,4.76,4.03,2.39,1.06,1.07,1.02,0.88,0.86,0.76,0.72,0.69,0.72,0.69,0.59,0.58,0.52,0.52,0.52,0.43,0.46,0.43,0.42,0.4,0.41,0.39,0.38,0.38,0.36,0.37,0.36,0.36,0.36,0.37,0.34,0.36,0.32,0.34,0.32,0.33,0.32,0.3,0.28,0.28,0.29,0.29,0.26,0.28,0.26,0.25,0.27,0.27,0.26,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.19,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.440000000000005
08/27/2021,4.74,3.98,2.41,1.06,1.05,1.02,0.89,0.86,0.76,0.71,0.69,0.72,0.69,0.58,0.58,0.53,0.51,0.53,0.43,0.46,0.42,0.41,0.39,0.4,0.39,0.38,0.37,0.36,0.37,0.35,0.36,0.36,0.36,0.34,0.36,0.32,0.33,0.32,0.32,0.32,0.29,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.25,0.27,0.27,0.26,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.19,0.21,0.21,0.21,0.2,0.19,0.18,0.18,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31
