,FJUN,FMAY,FFEB,FAPR,FMAR,FJAN,FNOV,FDEC,FOCT,FAUG,FSEP,FJUL,US Dollar,FT Cboe Vest US Equity Buffer ETF Jul,688180.SS,MISXX,Morgan Stanley Instl Lqudty Trs Instl,FT Cboe Vest US Equity Buffer ETF Sep,FT Cboe Vest US Equity Buffer ETF Aug,n/a,601019.SS,SUM
07/09/2021,8.43,8.42,8.41,8.38,8.36,8.33,8.31,8.3,8.3,8.28,8.28,8.2,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,8.44,8.43,8.4,8.39,8.37,8.33,8.31,8.29,8.29,8.27,8.27,8.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,8.44,8.43,8.4,8.39,8.37,8.33,8.31,8.29,8.29,8.27,8.27,8.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,8.44,8.43,8.4,8.39,8.37,8.34,8.31,8.29,8.29,8.28,8.27,0.0,0.0,8.19,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/15/2021,8.45,8.44,8.42,8.4,8.37,8.34,8.3,8.3,8.29,8.26,8.27,0.0,0.0,8.17,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,8.44,8.43,8.42,8.37,8.37,8.34,8.31,8.3,8.3,8.27,8.27,0.0,0.0,8.19,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/19/2021,8.43,8.43,8.4,8.38,8.36,8.33,8.31,8.29,8.3,8.28,8.28,0.0,0.0,8.21,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,8.42,8.41,8.4,8.35,8.35,8.33,8.31,8.3,8.3,8.3,8.29,8.23,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
07/21/2021,8.42,8.41,8.4,8.35,8.35,8.33,8.31,8.3,8.3,8.3,8.29,0.0,0.0,8.23,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,8.4,8.4,8.39,8.32,8.33,8.33,8.33,8.3,8.31,8.34,8.34,8.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,8.43,8.41,8.4,8.37,8.36,8.33,8.31,8.3,8.3,8.3,8.28,0.0,0.0,8.21,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,8.43,8.42,8.4,8.39,8.36,8.32,8.3,8.3,8.29,8.28,8.26,0.0,0.0,8.24,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,8.44,8.44,8.41,8.39,8.37,8.33,8.29,8.29,8.28,8.25,0.0,8.26,0.0,0.0,0.0,0.01,0.0,8.24,0.0,0.0,0.0,100.0
07/28/2021,8.44,8.44,8.41,8.39,8.37,8.33,8.29,8.29,8.28,8.25,0.0,8.26,0.0,0.0,0.0,0.01,0.0,8.24,0.0,0.0,0.0,100.0
07/29/2021,8.43,8.44,8.43,8.39,8.36,8.32,8.29,8.29,8.28,0.0,8.26,8.26,0.0,0.0,0.0,0.01,0.0,0.0,8.25,0.0,0.0,100.01
07/30/2021,8.44,8.43,8.41,8.38,8.36,8.33,8.29,8.29,8.28,8.27,8.26,0.0,0.0,8.26,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,8.45,8.44,8.41,8.4,8.37,8.33,8.29,8.29,8.26,8.26,0.0,8.26,0.0,0.0,0.0,0.0,0.0,8.24,0.0,0.0,0.0,100.0
08/03/2021,8.44,8.43,8.41,8.39,8.35,8.32,8.3,8.28,8.29,8.27,8.27,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,8.44,8.43,8.41,8.39,8.35,8.32,8.3,8.28,8.29,8.27,8.27,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,8.43,8.42,8.41,8.38,8.36,8.32,8.29,8.3,8.28,8.28,8.27,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/06/2021,8.45,8.44,8.41,8.38,8.36,8.34,8.29,8.29,8.27,8.27,0.0,8.26,0.0,0.0,0.0,0.0,0.0,8.24,0.0,0.0,0.0,100.0
08/09/2021,8.45,8.44,8.41,8.41,8.36,8.33,8.29,8.29,8.28,0.0,8.25,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,-0.01,100.01
08/10/2021,8.47,8.45,8.42,8.41,8.36,8.33,8.29,8.28,8.25,0.0,8.24,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24,-0.01,99.99999999999996
08/11/2021,8.47,8.45,8.42,8.41,8.36,8.33,8.29,8.28,8.25,0.0,8.24,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24,-0.01,99.99999999999997
