,CTRA,CACC,DVN,MOS,PAG,AA,BLDR,MRNA,JEF,AIG,ZION,OVV,FANG,CMA,M,LNC,WAL,PXD,AN,HIG,DKS,FITB,AMP,HUN,APA,FOXA,AER,JHG,EWBC,OLN,SF,WLK,THO,KEY,CB,STT,FAF,MET,TPX,BK,TFC,HBAN,EOG,JBL,BOKF,BAC,PRU,PFG,BPOP,USB,BG,FCNCA,RF,ATH,FNF,WFC,BAP,AMKR,CFG,JPM,MTB,PRI,COF,LPX,OGN,MS,RGA,TSN,VOYA,DFS,PBCT,ADM,DELL,WSM,ALLY,DISH,SNV,PFE,FLEX,MCK,C,EVR,EQH,Y,NXST,ACGL,CVS,CE,SYF,RE,BC,F,ABC,KR,WES,ARW,AFL,NUE,INGR,GM,TRV,MRK,PB,GPK,VNT,UTHR,GL,DCP,WBA,GS,HPE,UNM,FCX,GILD,CNHI.MI,RNR,BWA,BBY,TOL,MO,STLD,FHN,MPLX,LEA,LYB,HOLX,MMP,CLF,IBM,SSB,NRG,PCG,EIX,WRK,ALV,ALL,INTC,PSXP,ORI,OMC,VTRS,ORCC,PAA,BEN,PPL,LEN,AGNC,KNX,OMF,RS,IVZ,VIAC,NLY,MHK,ABBV,STWD,STX,CC,DOW,ET,EPD,DHI,EMN,OC,VZ,TPR,BHC.TO,THC,DVA,WHR,HPQ,BERY,HBI,X,LUMN,IP,REGN,AMG,MU,PHM,SLM,T,CI,CNC,NVAX,WU,KSS,TAP,UHS,DXC,BMY,CAH,WDC,HOG,HLF,SHLX,FL,JAZZ,n/a,SLVM,CAR,NVR,PII,WCC,LAD,COP,RPRX,ZIM,PCAR,XOM,FDX,NYCB,FMC,CPRI,PVH,RRC,OZK,NLSN,CMI,SNX,NWL,AGCO,GPS,CHK,AR,VLY,AMGN,OSK,BIIB,SWN,ATUS,SUM
10/15/2021,1.15,0.69,0.66,0.65,0.65,0.64,0.63,0.63,0.62,0.62,0.6,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.38,0.37,0.35,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
10/18/2021,1.09,0.67,0.65,0.63,0.63,0.64,0.64,0.67,0.62,0.6,0.59,0.61,0.58,0.58,0.61,0.58,0.58,0.57,0.56,0.56,0.59,0.56,0.58,0.56,0.6,0.56,0.56,0.55,0.56,0.53,0.55,0.53,0.48,0.55,0.54,0.54,0.57,0.54,0.54,0.55,0.54,0.54,0.54,0.53,0.54,0.55,0.53,0.53,0.52,0.51,0.53,0.53,0.53,0.55,0.55,0.5,0.52,0.46,0.51,0.51,0.52,0.54,0.52,0.54,0.52,0.53,0.53,0.52,0.53,0.51,0.51,0.51,0.51,0.53,0.51,0.51,0.51,0.5,0.51,0.51,0.5,0.52,0.51,0.51,0.5,0.53,0.5,0.51,0.5,0.52,0.5,0.51,0.49,0.49,0.52,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.5,0.51,0.5,0.47,0.49,0.51,0.51,0.49,0.49,0.47,0.5,0.48,0.49,0.48,0.49,0.49,0.5,0.49,0.48,0.48,0.48,0.49,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.49,0.47,0.45,0.47,0.45,0.46,0.47,0.45,0.46,0.45,0.46,0.47,0.46,0.46,0.47,0.45,0.46,0.46,0.46,0.45,0.45,0.45,0.46,0.44,0.46,0.45,0.44,0.45,0.44,0.45,0.46,0.45,0.45,0.44,0.46,0.45,0.44,0.43,0.45,0.43,0.44,0.45,0.45,0.43,0.43,0.43,0.45,0.41,0.44,0.42,0.41,0.41,0.41,0.42,0.42,0.42,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.39,0.38,0.37,0.34,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.91
10/19/2021,1.06,0.67,0.65,0.63,0.64,0.74,0.64,0.65,0.63,0.61,0.59,0.61,0.57,0.58,0.63,0.57,0.59,0.56,0.56,0.56,0.59,0.56,0.58,0.56,0.6,0.55,0.57,0.55,0.56,0.53,0.55,0.53,0.47,0.54,0.53,0.55,0.56,0.54,0.53,0.55,0.54,0.54,0.53,0.52,0.54,0.56,0.53,0.53,0.52,0.51,0.53,0.53,0.54,0.54,0.55,0.53,0.54,0.46,0.51,0.52,0.52,0.54,0.52,0.54,0.54,0.54,0.52,0.52,0.53,0.52,0.51,0.51,0.52,0.54,0.53,0.5,0.51,0.5,0.51,0.51,0.5,0.53,0.51,0.51,0.49,0.53,0.51,0.51,0.51,0.52,0.5,0.51,0.48,0.48,0.52,0.49,0.5,0.51,0.5,0.49,0.48,0.47,0.49,0.51,0.5,0.46,0.5,0.51,0.49,0.5,0.49,0.46,0.52,0.47,0.5,0.48,0.47,0.49,0.49,0.49,0.48,0.48,0.48,0.5,0.48,0.46,0.48,0.47,0.47,0.47,0.47,0.51,0.47,0.42,0.48,0.45,0.46,0.47,0.46,0.46,0.45,0.46,0.48,0.45,0.46,0.47,0.45,0.47,0.47,0.46,0.45,0.44,0.45,0.46,0.44,0.45,0.44,0.44,0.45,0.44,0.46,0.46,0.45,0.45,0.44,0.46,0.45,0.44,0.44,0.45,0.44,0.45,0.44,0.44,0.42,0.4,0.43,0.45,0.41,0.43,0.42,0.41,0.42,0.43,0.4,0.42,0.42,0.4,0.41,0.42,0.41,0.4,0.39,0.39,0.39,0.37,0.37,0.35,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/20/2021,1.06,0.67,0.65,0.63,0.64,0.74,0.64,0.65,0.63,0.61,0.59,0.61,0.57,0.58,0.63,0.57,0.59,0.56,0.56,0.56,0.59,0.56,0.58,0.56,0.6,0.55,0.57,0.55,0.56,0.53,0.55,0.53,0.47,0.54,0.53,0.55,0.56,0.54,0.53,0.55,0.54,0.54,0.53,0.52,0.54,0.56,0.53,0.53,0.52,0.51,0.53,0.53,0.54,0.54,0.55,0.53,0.54,0.46,0.51,0.52,0.52,0.54,0.52,0.54,0.54,0.54,0.52,0.52,0.53,0.52,0.51,0.51,0.52,0.54,0.53,0.5,0.51,0.5,0.51,0.51,0.5,0.53,0.51,0.51,0.49,0.53,0.51,0.51,0.51,0.52,0.5,0.51,0.48,0.48,0.52,0.49,0.5,0.51,0.5,0.49,0.48,0.47,0.49,0.51,0.5,0.46,0.5,0.51,0.49,0.5,0.49,0.46,0.52,0.47,0.5,0.48,0.47,0.49,0.49,0.49,0.48,0.48,0.48,0.5,0.48,0.46,0.48,0.47,0.47,0.47,0.47,0.51,0.47,0.42,0.48,0.45,0.46,0.47,0.46,0.46,0.45,0.46,0.48,0.45,0.46,0.47,0.45,0.47,0.47,0.46,0.45,0.44,0.45,0.46,0.44,0.45,0.44,0.44,0.45,0.44,0.46,0.46,0.45,0.45,0.44,0.46,0.45,0.44,0.44,0.45,0.44,0.45,0.44,0.44,0.42,0.4,0.43,0.45,0.41,0.43,0.42,0.41,0.42,0.43,0.4,0.42,0.42,0.4,0.41,0.42,0.41,0.4,0.39,0.39,0.39,0.37,0.37,0.35,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/21/2021,0.45,0.0,0.51,0.51,0.49,0.59,0.51,0.0,0.52,0.49,0.48,0.51,0.51,0.0,0.61,0.49,0.51,0.5,0.48,0.48,0.5,0.0,0.51,0.5,0.58,0.0,0.5,0.48,0.0,0.5,0.5,0.5,0.43,0.49,0.0,0.52,0.5,0.49,0.0,0.51,0.5,0.49,0.51,0.48,0.0,0.0,0.49,0.49,0.48,0.0,0.49,0.5,0.5,0.52,0.51,0.5,0.51,0.0,0.48,0.0,0.48,0.51,0.49,0.52,0.52,0.0,0.49,0.49,0.52,0.5,0.0,0.0,0.49,0.0,0.5,0.0,0.49,0.47,0.5,0.49,0.48,0.0,0.5,0.5,0.47,0.51,0.49,0.5,0.5,0.5,0.5,0.51,0.48,0.48,0.53,0.49,0.5,0.51,0.0,0.49,0.47,0.46,0.0,0.51,0.49,0.45,0.5,0.5,0.49,0.51,0.5,0.0,0.55,0.47,0.49,0.49,0.49,0.52,0.51,0.5,0.51,0.49,0.51,0.52,0.49,0.0,0.53,0.5,0.49,0.0,0.48,0.51,0.49,0.46,0.51,0.48,0.49,0.5,0.48,0.49,0.48,0.49,0.53,0.48,0.0,0.52,0.5,0.49,0.5,0.51,0.47,0.47,0.49,0.5,0.47,0.5,0.48,0.0,0.49,0.51,0.52,0.51,0.49,0.5,0.47,0.49,0.49,0.48,0.47,0.49,0.5,0.5,0.48,0.51,0.46,0.47,0.48,0.5,0.46,0.5,0.0,0.45,0.49,0.49,0.49,0.5,0.5,0.46,0.49,0.49,0.47,0.47,0.47,0.5,0.0,0.0,0.0,0.49,0.86,0.0,0.61,0.58,0.52,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.44,99.45
10/22/2021,0.46,0.0,0.51,0.51,0.48,0.55,0.51,0.0,0.52,0.5,0.49,0.51,0.51,0.0,0.57,0.5,0.51,0.5,0.48,0.49,0.49,0.0,0.52,0.51,0.57,0.0,0.49,0.48,0.0,0.5,0.5,0.5,0.43,0.5,0.0,0.53,0.5,0.5,0.0,0.52,0.5,0.5,0.51,0.48,0.0,0.0,0.5,0.5,0.48,0.0,0.5,0.48,0.51,0.56,0.51,0.51,0.51,0.0,0.49,0.0,0.48,0.51,0.49,0.5,0.52,0.0,0.49,0.49,0.52,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.51,0.48,0.5,0.49,0.48,0.0,0.52,0.51,0.48,0.5,0.49,0.5,0.51,0.5,0.49,0.5,0.49,0.48,0.53,0.49,0.5,0.51,0.0,0.49,0.48,0.47,0.0,0.51,0.49,0.46,0.5,0.51,0.49,0.51,0.51,0.0,0.55,0.48,0.5,0.49,0.49,0.51,0.5,0.5,0.52,0.5,0.51,0.51,0.49,0.0,0.53,0.49,0.49,0.0,0.48,0.52,0.49,0.46,0.51,0.48,0.5,0.51,0.49,0.49,0.48,0.5,0.53,0.48,0.0,0.52,0.5,0.5,0.5,0.51,0.48,0.48,0.5,0.5,0.47,0.5,0.48,0.0,0.49,0.51,0.52,0.51,0.5,0.49,0.47,0.49,0.5,0.49,0.48,0.49,0.5,0.51,0.48,0.52,0.47,0.47,0.49,0.51,0.47,0.5,0.0,0.46,0.49,0.49,0.47,0.47,0.49,0.46,0.48,0.48,0.48,0.48,0.47,0.49,0.0,0.0,0.0,0.51,0.43,0.0,0.61,0.58,0.52,0.51,0.51,0.51,0.52,0.54,0.51,0.51,0.5,0.51,0.5,0.49,0.5,0.51,0.5,0.5,0.5,0.49,0.49,0.49,0.47,0.46,0.49,0.48,0.48,0.47,0.46,0.46,0.44,99.5
10/25/2021,0.46,0.0,0.5,0.51,0.52,0.51,0.52,0.0,0.52,0.5,0.49,0.5,0.5,0.0,0.56,0.5,0.52,0.49,0.52,0.49,0.5,0.0,0.52,0.5,0.57,0.0,0.51,0.48,0.0,0.5,0.5,0.49,0.42,0.51,0.0,0.53,0.51,0.49,0.0,0.53,0.51,0.5,0.51,0.48,0.0,0.0,0.5,0.49,0.49,0.0,0.5,0.48,0.52,0.59,0.51,0.51,0.51,0.44,0.49,0.0,0.5,0.51,0.48,0.5,0.52,0.0,0.48,0.5,0.51,0.47,0.0,0.0,0.51,0.0,0.48,0.0,0.52,0.48,0.49,0.5,0.47,0.0,0.53,0.52,0.47,0.51,0.5,0.5,0.48,0.5,0.47,0.54,0.5,0.48,0.52,0.5,0.5,0.5,0.0,0.5,0.49,0.48,0.0,0.52,0.49,0.47,0.48,0.5,0.5,0.5,0.51,0.0,0.54,0.47,0.5,0.49,0.49,0.53,0.52,0.5,0.51,0.49,0.51,0.51,0.48,0.0,0.54,0.49,0.44,0.0,0.48,0.54,0.5,0.46,0.51,0.48,0.5,0.5,0.49,0.46,0.5,0.49,0.52,0.48,0.0,0.52,0.5,0.55,0.47,0.51,0.48,0.46,0.5,0.51,0.47,0.5,0.48,0.0,0.49,0.5,0.51,0.51,0.49,0.49,0.48,0.49,0.49,0.54,0.49,0.49,0.53,0.52,0.48,0.52,0.48,0.47,0.5,0.52,0.47,0.51,0.0,0.46,0.51,0.52,0.0,0.46,0.49,0.46,0.5,0.49,0.47,0.48,0.48,0.49,0.0,0.0,0.0,0.5,0.43,0.0,0.64,0.56,0.5,0.51,0.5,0.51,0.51,0.54,0.5,0.5,0.51,0.5,0.51,0.5,0.51,0.49,0.5,0.49,0.5,0.48,0.5,0.5,0.47,0.46,0.47,0.48,0.48,0.48,0.46,0.46,0.46,99.64
10/26/2021,0.47,0.0,0.51,0.51,0.52,0.5,0.52,0.0,0.52,0.51,0.51,0.5,0.5,0.0,0.57,0.51,0.53,0.5,0.53,0.49,0.5,0.0,0.52,0.5,0.58,0.0,0.52,0.48,0.0,0.55,0.51,0.49,0.4,0.51,0.0,0.54,0.5,0.49,0.0,0.53,0.51,0.5,0.52,0.47,0.0,0.0,0.5,0.49,0.5,0.0,0.5,0.48,0.53,0.6,0.51,0.51,0.5,0.42,0.5,0.0,0.5,0.51,0.48,0.5,0.52,0.0,0.48,0.5,0.51,0.47,0.0,0.0,0.52,0.0,0.46,0.0,0.52,0.49,0.48,0.5,0.48,0.0,0.53,0.52,0.47,0.51,0.5,0.51,0.48,0.5,0.46,0.53,0.5,0.49,0.51,0.49,0.5,0.5,0.0,0.49,0.5,0.48,0.0,0.52,0.49,0.47,0.48,0.5,0.49,0.51,0.5,0.0,0.53,0.47,0.51,0.49,0.47,0.53,0.51,0.5,0.51,0.5,0.5,0.5,0.48,0.0,0.54,0.55,0.43,0.0,0.48,0.54,0.51,0.46,0.49,0.48,0.44,0.5,0.49,0.45,0.49,0.49,0.52,0.49,0.0,0.51,0.5,0.55,0.45,0.51,0.48,0.45,0.49,0.51,0.47,0.5,0.51,0.0,0.48,0.49,0.51,0.51,0.49,0.48,0.47,0.49,0.5,0.54,0.49,0.5,0.52,0.52,0.47,0.53,0.47,0.47,0.5,0.52,0.46,0.5,0.0,0.45,0.51,0.52,0.0,0.45,0.5,0.45,0.49,0.48,0.47,0.49,0.48,0.49,0.0,0.0,0.0,0.5,0.45,0.0,0.64,0.56,0.49,0.5,0.5,0.51,0.51,0.54,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.51,0.49,0.49,0.5,0.48,0.48,0.49,0.46,0.46,0.48,0.48,0.48,0.48,0.44,0.46,0.47,99.54
10/27/2021,0.47,0.0,0.51,0.51,0.52,0.5,0.52,0.0,0.52,0.51,0.51,0.5,0.5,0.0,0.57,0.51,0.53,0.5,0.53,0.49,0.5,0.0,0.52,0.5,0.58,0.0,0.52,0.48,0.0,0.55,0.51,0.49,0.4,0.51,0.0,0.54,0.5,0.49,0.0,0.53,0.51,0.5,0.52,0.47,0.0,0.0,0.5,0.49,0.5,0.0,0.5,0.48,0.53,0.6,0.51,0.51,0.5,0.42,0.5,0.0,0.5,0.51,0.48,0.5,0.52,0.0,0.48,0.5,0.51,0.47,0.0,0.0,0.52,0.0,0.46,0.0,0.52,0.49,0.48,0.5,0.48,0.0,0.53,0.52,0.47,0.51,0.5,0.51,0.48,0.5,0.46,0.53,0.5,0.49,0.51,0.49,0.5,0.5,0.0,0.49,0.5,0.48,0.0,0.52,0.49,0.47,0.48,0.5,0.49,0.51,0.5,0.0,0.53,0.47,0.51,0.49,0.47,0.53,0.51,0.5,0.51,0.5,0.5,0.5,0.48,0.0,0.54,0.55,0.43,0.0,0.48,0.54,0.51,0.46,0.49,0.48,0.44,0.5,0.49,0.45,0.49,0.49,0.52,0.49,0.0,0.51,0.5,0.55,0.45,0.51,0.48,0.45,0.49,0.51,0.47,0.5,0.51,0.0,0.48,0.49,0.51,0.51,0.49,0.48,0.47,0.49,0.5,0.54,0.49,0.5,0.52,0.52,0.47,0.53,0.47,0.47,0.5,0.52,0.46,0.5,0.0,0.45,0.51,0.52,0.0,0.45,0.5,0.45,0.49,0.48,0.47,0.49,0.48,0.49,0.0,0.0,0.0,0.5,0.45,0.0,0.64,0.56,0.49,0.5,0.5,0.51,0.51,0.54,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.51,0.49,0.49,0.5,0.48,0.48,0.49,0.46,0.46,0.48,0.48,0.48,0.48,0.44,0.46,0.47,99.54
10/28/2021,0.49,0.0,0.51,0.51,0.53,0.52,0.53,0.0,0.53,0.5,0.5,0.5,0.5,0.0,0.57,0.5,0.51,0.5,0.53,0.49,0.51,0.0,0.52,0.5,0.59,0.0,0.52,0.47,0.0,0.56,0.51,0.5,0.4,0.51,0.0,0.53,0.5,0.49,0.0,0.52,0.51,0.5,0.52,0.47,0.0,0.0,0.5,0.49,0.5,0.0,0.5,0.48,0.53,0.6,0.51,0.51,0.5,0.43,0.5,0.0,0.49,0.51,0.48,0.51,0.54,0.0,0.48,0.51,0.51,0.46,0.0,0.0,0.5,0.0,0.46,0.0,0.52,0.48,0.49,0.5,0.47,0.0,0.52,0.51,0.47,0.51,0.5,0.51,0.47,0.5,0.46,0.51,0.49,0.49,0.51,0.49,0.5,0.53,0.0,0.49,0.49,0.48,0.0,0.5,0.49,0.46,0.47,0.5,0.49,0.5,0.5,0.0,0.55,0.47,0.51,0.49,0.48,0.53,0.51,0.49,0.54,0.49,0.51,0.49,0.48,0.0,0.52,0.59,0.43,0.0,0.48,0.53,0.51,0.46,0.49,0.48,0.44,0.49,0.49,0.44,0.48,0.49,0.51,0.49,0.0,0.51,0.49,0.53,0.45,0.52,0.47,0.45,0.49,0.51,0.47,0.5,0.52,0.0,0.48,0.5,0.51,0.5,0.49,0.49,0.47,0.5,0.5,0.52,0.47,0.49,0.52,0.52,0.47,0.57,0.46,0.47,0.5,0.52,0.47,0.5,0.0,0.45,0.51,0.51,0.0,0.45,0.5,0.44,0.48,0.47,0.47,0.48,0.47,0.49,0.0,0.0,0.0,0.49,0.45,0.0,0.67,0.55,0.49,0.51,0.5,0.51,0.51,0.54,0.5,0.51,0.51,0.49,0.5,0.5,0.5,0.54,0.5,0.48,0.49,0.48,0.48,0.5,0.46,0.5,0.5,0.48,0.47,0.48,0.45,0.49,0.45,99.54
