,MSFT,NVDA,ADBE,BRK.B,PG,HD,COST,V,CSCO,TSLA,BAC,UNH,PYPL,PEP,NFLX,TMUS,MA,ACN,XOM,NEE,INTC,DHR,PFE,MRK,ABBV,TXN,ABT,LLY,CVX,NOW,INTU,TMO,MCD,CHTR,C,QCOM,HON,LIN,AMD,MDT,AVGO,BMY,BKNG,ORCL,MS,UNP,AMGN,LOW,UPS,TGT,PNC,RTX,PM,IBM,SCHW,ADSK,USB,CAT,ATVI,ZBRA,BA,AMAT,AMT,MDLZ,GE,ISRG,ANET,CVS,VEEV,SPGI,ADP,CI,DE,GILD,ZTS,TFC,PLD,LMT,LRCX,EQIX,FIS,CB,SYK,AXP,CDNS,CME,OMC,MU,MO,CCI,LUMN,DG,DUK,VRTX,TJX,MET,GRMN,ICE,ANTM,CSX,PRU,NSC,ILMN,MCO,F,REGN,SO,MMC,STZ,FDX,JCI,APD,BIIB,BDX,EMR,DD,MNST,CL,SHW,IPG,ETN,FISV,D,BSX,EL,ADM,WM,COF,ADI,CMG,PSA,ECL,EW,ALXN,NOC,BK,INFO,ROP,TROW,SNPS,VRSN,EXC,TEL,DOW,COP,GPN,IAC,ITW,AIG,EXPE,VIAC,LHX,HUM,HCA,APTV,ROST,WBA,SLB,ALGN,MPC,CMI,ZM,FCX,TRV,AON,NEM,DISH,ALL,CTSH,PSX,FRC,EA,ORLY,SYY,MAR,HPQ,SIVB,APH,AEP,PAYX,AFL,FITB,SRE,LUV,YUM,DLR,EBAY,PPG,CBRE,AMP,HLT,STT,NWSA,KR,IQV,BAX,MCK,FTNT,KLAC,EOG,KMB,GD,TT,VRSK,AZN,DXCM,GE.,MSI,WFC,MTCH,MMM,FOXA,SPOT,ETSY,IT,FOX,MGM,AAL,SUM
07/09/2021,6.71,2.35,2.27,2.22,1.76,1.61,1.59,1.57,1.55,1.54,1.4,1.27,1.26,1.15,1.14,1.09,1.07,1.02,0.91,0.86,0.78,0.78,0.78,0.74,0.74,0.74,0.74,0.73,0.7,0.7,0.69,0.69,0.67,0.66,0.66,0.64,0.63,0.62,0.6,0.58,0.58,0.58,0.55,0.55,0.51,0.51,0.5,0.49,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.16
07/12/2021,6.78,2.35,2.32,2.22,1.78,1.61,1.62,1.59,1.55,1.46,1.35,1.28,1.3,1.16,1.15,1.11,1.07,1.04,0.87,0.87,0.77,0.8,0.77,0.75,0.76,0.73,0.75,0.74,0.68,0.71,0.71,0.71,0.67,0.67,0.63,0.63,0.63,0.63,0.58,0.59,0.59,0.58,0.54,0.58,0.5,0.51,0.49,0.49,0.48,0.46,0.44,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.4,0.38,0.37,0.38,0.38,0.35,0.37,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.34,0.35,0.32,0.34,0.33,0.31,0.32,0.31,0.3,0.3,0.3,0.3,0.28,0.28,0.27,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.36999999999999
07/13/2021,6.78,2.35,2.32,2.22,1.78,1.61,1.62,1.59,1.55,1.46,1.35,1.28,1.3,1.16,1.15,1.11,1.07,1.04,0.87,0.87,0.77,0.8,0.77,0.75,0.76,0.73,0.75,0.74,0.68,0.71,0.71,0.71,0.67,0.67,0.63,0.63,0.63,0.63,0.58,0.59,0.59,0.58,0.54,0.58,0.5,0.51,0.49,0.49,0.48,0.46,0.44,0.44,0.43,0.43,0.41,0.41,0.4,0.4,0.4,0.4,0.38,0.37,0.38,0.38,0.35,0.37,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.34,0.35,0.32,0.34,0.33,0.31,0.32,0.31,0.3,0.3,0.3,0.3,0.28,0.28,0.27,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.36999999999999
07/14/2021,6.71,2.3,2.31,2.23,1.78,1.6,1.64,1.57,1.56,1.49,1.36,1.28,1.31,1.16,1.14,1.09,1.06,1.05,0.88,0.87,0.77,0.79,0.77,0.74,0.75,0.73,0.75,0.73,0.69,0.71,0.7,0.7,0.67,0.66,0.64,0.63,0.64,0.62,0.58,0.59,0.6,0.58,0.54,0.59,0.51,0.5,0.49,0.49,0.48,0.47,0.45,0.44,0.43,0.44,0.41,0.41,0.41,0.41,0.39,0.4,0.39,0.37,0.38,0.38,0.36,0.37,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.34,0.35,0.33,0.34,0.33,0.31,0.32,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.24,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.35
07/15/2021,6.71,2.3,2.31,2.23,1.78,1.6,1.64,1.57,1.56,1.49,1.36,1.28,1.31,1.16,1.14,1.09,1.06,1.05,0.88,0.87,0.77,0.79,0.77,0.74,0.75,0.73,0.75,0.73,0.69,0.71,0.7,0.7,0.67,0.66,0.64,0.63,0.64,0.62,0.58,0.59,0.6,0.58,0.54,0.59,0.51,0.5,0.49,0.49,0.48,0.47,0.45,0.44,0.43,0.44,0.41,0.41,0.41,0.41,0.39,0.4,0.39,0.37,0.38,0.38,0.36,0.37,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.34,0.35,0.33,0.34,0.33,0.31,0.32,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.24,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.35
07/16/2021,6.68,2.35,2.29,2.22,1.77,1.6,1.62,1.56,1.54,1.55,1.38,1.28,1.31,1.15,1.14,1.09,1.06,1.04,0.88,0.87,0.78,0.79,0.78,0.73,0.76,0.74,0.74,0.73,0.68,0.71,0.7,0.69,0.67,0.65,0.64,0.64,0.64,0.62,0.57,0.59,0.6,0.58,0.54,0.58,0.52,0.5,0.49,0.49,0.48,0.47,0.45,0.44,0.43,0.44,0.42,0.4,0.41,0.41,0.39,0.4,0.38,0.37,0.38,0.37,0.36,0.37,0.36,0.36,0.37,0.35,0.36,0.35,0.35,0.34,0.35,0.33,0.35,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.24,0.24,0.22,0.22,0.23,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.13,0.15,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.25999999999999
07/19/2021,6.84,2.28,2.34,2.22,1.79,1.59,1.64,1.62,1.57,1.48,1.32,1.29,1.31,1.2,1.17,1.11,1.11,1.06,0.86,0.88,0.78,0.79,0.78,0.74,0.76,0.74,0.73,0.74,0.67,0.71,0.71,0.69,0.68,0.63,0.64,0.64,0.65,0.62,0.57,0.59,0.6,0.59,0.54,0.6,0.52,0.5,0.49,0.48,0.47,0.48,0.44,0.43,0.43,0.43,0.41,0.41,0.41,0.4,0.39,0.39,0.36,0.37,0.39,0.38,0.35,0.37,0.36,0.36,0.36,0.35,0.36,0.35,0.34,0.34,0.35,0.33,0.34,0.32,0.31,0.32,0.31,0.31,0.29,0.3,0.29,0.29,0.28,0.27,0.28,0.28,0.26,0.28,0.28,0.27,0.27,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.15,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.13,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.42999999999999
07/20/2021,6.85,2.11,2.35,2.23,1.84,1.62,1.65,1.65,1.57,1.47,1.3,1.31,1.3,1.22,1.14,1.13,1.11,1.06,0.84,0.91,0.77,0.82,0.8,0.75,0.77,0.73,0.74,0.73,0.66,0.71,0.71,0.71,0.68,0.65,0.63,0.63,0.67,0.62,0.55,0.59,0.59,0.59,0.53,0.59,0.52,0.5,0.5,0.5,0.48,0.47,0.44,0.43,0.43,0.43,0.41,0.41,0.41,0.39,0.39,0.38,0.36,0.35,0.39,0.39,0.35,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.34,0.35,0.35,0.33,0.35,0.32,0.3,0.32,0.31,0.31,0.29,0.3,0.29,0.29,0.27,0.26,0.28,0.28,0.26,0.28,0.29,0.28,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.24,0.24,0.21,0.23,0.24,0.23,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.2,0.2,0.18,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.15,0.18,0.15,0.17,0.16,0.16,0.15,0.17,0.17,0.17,0.15,0.15,0.15,0.13,0.15,0.14,0.15,0.14,0.14,0.16,0.15,0.15,0.14,0.15,0.15,0.12,0.15,0.14,0.15,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.41
07/21/2021,6.85,2.11,2.35,2.23,1.84,1.62,1.65,1.65,1.57,1.47,1.3,1.31,1.3,1.22,1.14,1.13,1.11,1.06,0.84,0.91,0.77,0.82,0.8,0.75,0.77,0.73,0.74,0.73,0.66,0.71,0.71,0.71,0.68,0.65,0.63,0.63,0.67,0.62,0.55,0.59,0.59,0.59,0.53,0.59,0.52,0.5,0.5,0.5,0.48,0.47,0.44,0.43,0.43,0.43,0.41,0.41,0.41,0.39,0.39,0.38,0.36,0.35,0.39,0.39,0.35,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.34,0.35,0.35,0.33,0.35,0.32,0.3,0.32,0.31,0.31,0.29,0.3,0.29,0.29,0.27,0.26,0.28,0.28,0.26,0.28,0.29,0.28,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.24,0.24,0.21,0.23,0.24,0.23,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.2,0.2,0.18,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.15,0.18,0.15,0.17,0.16,0.16,0.15,0.17,0.17,0.17,0.15,0.15,0.15,0.13,0.15,0.14,0.15,0.14,0.14,0.16,0.15,0.15,0.14,0.15,0.15,0.12,0.15,0.14,0.15,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.41
07/22/2021,6.85,2.11,2.35,2.23,1.84,1.62,1.65,1.65,1.57,1.47,1.3,1.31,1.3,1.22,1.14,1.13,1.11,1.06,0.84,0.91,0.77,0.82,0.8,0.75,0.77,0.73,0.74,0.73,0.66,0.71,0.71,0.71,0.68,0.65,0.63,0.63,0.67,0.62,0.55,0.59,0.59,0.59,0.53,0.59,0.52,0.5,0.5,0.5,0.48,0.47,0.44,0.43,0.43,0.43,0.41,0.41,0.41,0.39,0.39,0.38,0.36,0.35,0.39,0.39,0.35,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.34,0.35,0.35,0.33,0.35,0.32,0.3,0.32,0.31,0.31,0.29,0.3,0.29,0.29,0.27,0.26,0.28,0.28,0.26,0.28,0.29,0.28,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.24,0.24,0.21,0.23,0.24,0.23,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.2,0.21,0.19,0.2,0.2,0.18,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.15,0.18,0.15,0.17,0.16,0.16,0.15,0.17,0.17,0.17,0.15,0.15,0.15,0.13,0.15,0.14,0.15,0.14,0.14,0.16,0.15,0.15,0.14,0.15,0.15,0.12,0.15,0.14,0.15,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.12,0.12,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.41
