,EQNR.OL,DNB.OL,TEL.OL,MOWI.OL,YAR.OL,NHY.OL,ORK.OL,TOM.OL,ADE.OL,GJF.OL,BAKKA.OL,SCHB NO,STB.OL,NOD.OL,SCHA.OL,SALM.OL,NEL.OL,SCATC.OL,ENTRA.OL,LSG.OL,KOG.OL,SRBNK.OL,SUBC.OL,BRG.OL,AKER.OL,MING.OL,ATEA.OL,TGS.OL,NOFI.OL,VEI.OL,GOGLO QX,AUSS.OL,EPR.OL,SBANK.OL,NONG.OL,ELK.OL,FRO.OL,KAHOT.OL,PROT.OL,CRAYN.OL,BONHR.OL,PEXIP.OL,FKRFT.OL,SPOL.OL,DNO.OL,GSF.OL,HEX.OL,BWLPG.OL,FLNG.OL,SNI.OL,WAWI.OL,BWO.OL,XXL.OL,SBO.OL,VACC.OL,NRS.OL,ACC.OL,HAFNI.OL,AKSO.OL,ASA.OL,HPUR.OL,OCY.OL,RECSI.OL,AKH.OL,BWE.OL,VOLUE.OL,CASH,QFUEL.OL,AKBM.OL,MWTR.OL,LINK NO,LINK.OL,MWTR NO,AKBM NO,BANO,SUM
07/09/2021,11.25,11.05,6.55,6.38,5.19,4.4,4.3,3.48,2.65,2.49,2.46,2.46,2.39,2.35,2.18,2.15,1.84,1.83,1.68,1.52,1.31,1.31,1.19,1.18,1.15,0.99,0.92,0.84,0.82,0.8,0.75,0.66,0.6,0.55,0.52,0.5,0.5,0.46,0.42,0.38,0.35,0.34,0.33,0.32,0.31,0.3,0.28,0.27,0.24,0.22,0.2,0.18,0.16,0.16,0.15,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,100.04999999999998
07/12/2021,11.02,11.01,6.74,6.38,5.33,4.3,4.43,3.52,2.69,2.56,2.44,2.55,2.34,2.33,2.23,2.13,1.72,1.84,1.73,1.51,1.38,1.33,1.2,1.17,1.1,1.0,0.94,0.78,0.82,0.81,0.75,0.65,0.6,0.56,0.53,0.51,0.49,0.35,0.42,0.39,0.35,0.29,0.33,0.33,0.29,0.29,0.26,0.27,0.23,0.21,0.2,0.17,0.16,0.16,0.14,0.14,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.11,0.1,0.09,0.1,0.0,0.0,0.09,0.09,0.0,0.0,100.0
07/13/2021,11.02,11.01,6.74,6.38,5.33,4.3,4.43,3.52,2.69,2.56,2.44,2.55,2.34,2.33,2.23,2.13,1.72,1.84,1.73,1.51,1.38,1.33,1.2,1.17,1.1,1.0,0.94,0.78,0.82,0.81,0.75,0.65,0.6,0.56,0.53,0.51,0.49,0.35,0.42,0.39,0.35,0.29,0.33,0.33,0.29,0.29,0.26,0.27,0.23,0.21,0.2,0.17,0.16,0.16,0.14,0.14,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.11,0.1,0.09,0.1,0.0,0.0,0.09,0.09,0.0,0.0,100.0
07/14/2021,11.0,11.02,6.71,6.32,5.37,4.46,4.38,3.5,2.7,2.62,2.42,2.54,2.37,2.31,2.2,2.1,1.69,1.8,1.75,1.49,1.37,1.33,1.23,1.18,1.09,1.0,0.91,0.78,0.83,0.8,0.75,0.64,0.6,0.55,0.53,0.52,0.48,0.35,0.46,0.39,0.35,0.31,0.32,0.32,0.29,0.28,0.26,0.27,0.24,0.21,0.2,0.17,0.17,0.16,0.14,0.14,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.09,0.09,0.1,0.0,0.0,0.09,0.09,0.0,0.0,99.97
07/15/2021,10.94,11.18,6.67,6.3,5.31,4.4,4.37,3.57,2.67,2.63,2.41,2.53,2.38,2.33,2.21,2.08,1.72,1.83,1.76,1.47,1.39,1.35,1.21,1.18,1.09,1.03,0.92,0.77,0.83,0.8,0.75,0.64,0.61,0.55,0.53,0.52,0.48,0.35,0.45,0.41,0.35,0.32,0.32,0.32,0.28,0.28,0.26,0.28,0.24,0.21,0.2,0.17,0.17,0.17,0.14,0.14,0.12,0.12,0.11,0.1,0.13,0.12,0.11,0.11,0.11,0.11,0.09,0.09,0.1,0.0,0.0,0.09,0.09,0.0,0.0,100.07
07/16/2021,10.92,10.95,6.66,6.31,5.37,4.44,4.43,3.57,2.71,2.6,2.41,2.54,2.38,2.47,2.22,2.08,1.72,1.81,1.75,1.47,1.38,1.36,1.18,1.19,1.07,1.04,0.94,0.76,0.82,0.8,0.73,0.64,0.61,0.54,0.53,0.52,0.47,0.34,0.45,0.44,0.35,0.32,0.33,0.32,0.28,0.28,0.25,0.27,0.24,0.21,0.2,0.17,0.17,0.16,0.13,0.14,0.12,0.12,0.11,0.09,0.12,0.12,0.1,0.11,0.11,0.11,0.1,0.09,0.1,0.0,0.0,0.09,0.08,0.0,0.0,100.00999999999998
07/19/2021,10.71,10.78,6.66,6.29,5.51,4.55,4.09,3.59,2.84,2.63,2.44,2.56,2.36,2.59,2.24,2.14,1.67,1.72,1.68,1.49,1.45,1.38,1.17,1.31,1.07,1.07,0.92,0.77,0.87,0.8,0.74,0.65,0.65,0.55,0.54,0.53,0.46,0.33,0.44,0.44,0.37,0.33,0.33,0.32,0.27,0.28,0.25,0.27,0.24,0.21,0.2,0.17,0.18,0.16,0.13,0.14,0.11,0.12,0.11,0.09,0.11,0.12,0.1,0.1,0.11,0.1,0.09,0.09,0.08,0.0,0.0,0.09,0.08,0.0,0.0,100.03
07/20/2021,10.71,10.78,6.66,6.29,5.51,4.55,4.09,3.59,2.84,2.63,2.44,2.56,2.36,2.59,2.24,2.14,1.67,1.72,1.68,1.49,1.45,1.38,1.17,1.31,1.07,1.07,0.92,0.77,0.87,0.8,0.74,0.65,0.65,0.55,0.54,0.53,0.46,0.33,0.44,0.44,0.37,0.33,0.33,0.32,0.27,0.28,0.25,0.27,0.24,0.21,0.2,0.17,0.18,0.16,0.13,0.14,0.11,0.12,0.11,0.09,0.11,0.12,0.1,0.1,0.11,0.1,0.09,0.09,0.08,0.0,0.0,0.09,0.08,0.0,0.0,100.03
07/21/2021,10.76,10.68,6.76,6.36,5.31,4.39,4.01,3.57,2.89,2.66,2.5,2.63,2.34,2.63,2.3,2.17,1.59,1.75,1.71,1.54,1.41,1.36,1.15,1.32,1.07,1.05,0.92,0.76,0.88,0.8,0.74,0.67,0.65,0.55,0.53,0.52,0.46,0.33,0.45,0.45,0.37,0.33,0.33,0.32,0.27,0.29,0.24,0.27,0.24,0.21,0.2,0.17,0.18,0.16,0.14,0.17,0.11,0.12,0.11,0.09,0.11,0.12,0.11,0.1,0.11,0.11,0.09,0.09,0.0,0.08,0.0,0.09,0.0,0.08,0.0,100.03
07/22/2021,10.67,10.59,6.81,6.42,5.37,4.35,4.07,3.64,3.0,2.67,2.51,2.62,2.28,2.63,2.28,2.18,1.57,1.76,1.73,1.54,1.44,1.34,1.14,1.34,1.06,1.05,0.9,0.74,0.9,0.8,0.71,0.66,0.65,0.57,0.53,0.54,0.45,0.31,0.44,0.44,0.38,0.33,0.32,0.32,0.26,0.28,0.24,0.26,0.23,0.2,0.19,0.16,0.17,0.16,0.13,0.17,0.11,0.11,0.11,0.09,0.1,0.11,0.1,0.1,0.1,0.11,0.09,0.09,0.08,0.0,0.0,0.09,0.08,0.0,0.0,99.97
